RevisionColumn,GenderID,NUTS,periods,Units,ValueColumn
"r_6","0","BG","2018","perc","5.2"
"r_6","0","BG31","2018","perc","11.2"
"r_6","0","BG311","2018","perc","19.7"
"r_6","0","BG313","2018","perc","9.9"
"r_6","0","BG315","2018","perc","9.6"
"r_6","0","BG312","2018","perc","15.1"
"r_6","0","BG314","2018","perc","8"
"r_6","0","BG32","2018","perc","6.7"
"r_6","0","BG321","2018","perc","5.4"
"r_6","0","BG322","2018","perc","(4.4)"
"r_6","0","BG324","2018","perc","11.2"
"r_6","0","BG323","2018","perc","5.1"
"r_6","0","BG325","2018","perc","11.1"
"r_6","0","BG33","2018","perc","7.4"
"r_6","0","BG331","2018","perc","4.4"
"r_6","0","BG332","2018","perc","8.5"
"r_6","0","BG334","2018","perc","11.1"
"r_6","0","BG333","2018","perc","11.7"
"r_6","0","BG34","2018","perc","5.4"
"r_6","0","BG341","2018","perc","5.3"
"r_6","0","BG342","2018","perc","9.7"
"r_6","0","BG344","2018","perc","(2.3)"
"r_6","0","BG343","2018","perc","8.2"
"r_6","0","BG41","2018","perc","2.6"
"r_6","0","BG413","2018","perc","4.7"
"r_6","0","BG415","2018","perc","(3.6)"
"r_6","0","BG414","2018","perc","7.5"
"r_6","0","BG412","2018","perc","(0.7)"
"r_6","0","BG411","2018","perc","2"
"r_6","0","BG42","2018","perc","4.2"
"r_6","0","BG425","2018","perc","(3.3)"
"r_6","0","BG423","2018","perc","4.6"
"r_6","0","BG421","2018","perc","3.6"
"r_6","0","BG424","2018","perc","10.3"
"r_6","0","BG422","2018","perc","(3.0)"
"r_6","1","BG","2018","perc","5.7"
"r_6","1","BG31","2018","perc","13"
"r_6","1","BG311","2018","perc","22.6"
"r_6","1","BG313","2018","perc","10.6"
"r_6","1","BG315","2018","perc","(12.5)"
"r_6","1","BG312","2018","perc","(18.2)"
"r_6","1","BG314","2018","perc","8.8"
"r_6","1","BG32","2018","perc","7.4"
"r_6","1","BG321","2018","perc","6.3"
"r_6","1","BG322","2018","perc","(4.9)"
"r_6","1","BG324","2018","perc","(11.9)"
"r_6","1","BG323","2018","perc","(6.0)"
"r_6","1","BG325","2018","perc","(10.6)"
"r_6","1","BG33","2018","perc","7.1"
"r_6","1","BG331","2018","perc","3.6"
"r_6","1","BG332","2018","perc","(10.0)"
"r_6","1","BG334","2018","perc","(11.9)"
"r_6","1","BG333","2018","perc","10.6"
"r_6","1","BG34","2018","perc","5.9"
"r_6","1","BG341","2018","perc","5.3"
"r_6","1","BG342","2018","perc","11.8"
"r_6","1","BG344","2018","perc","(2.3)"
"r_6","1","BG343","2018","perc","(9.3)"
"r_6","1","BG41","2018","perc","2.9"
"r_6","1","BG413","2018","perc","5.1"
"r_6","1","BG415","2018","perc","(3.8)"
"r_6","1","BG414","2018","perc","(7.7)"
"r_6","1","BG412","2018","perc","(0.6)"
"r_6","1","BG411","2018","perc","(2.2)"
"r_6","1","BG42","2018","perc","4.6"
"r_6","1","BG425","2018","perc","(3.9)"
"r_6","1","BG423","2018","perc","(4.9)"
"r_6","1","BG421","2018","perc","3.8"
"r_6","1","BG424","2018","perc","(9.5)"
"r_6","1","BG422","2018","perc","(4.7)"
"r_6","2","BG","2018","perc","4.7"
"r_6","2","BG31","2018","perc","9.1"
"r_6","2","BG311","2018","perc","(16.3)"
"r_6","2","BG313","2018","perc","(9.1)"
"r_6","2","BG315","2018","perc","(6.7)"
"r_6","2","BG312","2018","perc","(11.2)"
"r_6","2","BG314","2018","perc","(7.0)"
"r_6","2","BG32","2018","perc","5.9"
"r_6","2","BG321","2018","perc","(4.4)"
"r_6","2","BG322","2018","perc","(3.9)"
"r_6","2","BG324","2018","perc","(10.3)"
"r_6","2","BG323","2018","perc","(4.1)"
"r_6","2","BG325","2018","perc","(11.9)"
"r_6","2","BG33","2018","perc","7.7"
"r_6","2","BG331","2018","perc","5.5"
"r_6","2","BG332","2018","perc","(6.5)"
"r_6","2","BG334","2018","perc","(10.1)"
"r_6","2","BG333","2018","perc","13"
