Code list,Code,Name of Code list or Code in Bulgarian,Name of Code list or Code in English
"Units","","Мерни единици","Measuring units"
"Units","1000BGN","хиляди левове","Thousand BGN"
"Indicators","","Показатели","Indicators"
"Indicators","3.1.2.5.1.1","ВСИЧКО","TOTAL"
"Indicators","3.1.2.5.1.1.1","Разходи за дейността","Expenditure"
"Indicators","3.1.2.5.1.1.1.1","Финансови разходи","Financial costs"
"Indicators","3.1.2.5.1.1.1.2","Нефинансови разходи","Non-financial costs"
"Indicators","3.1.2.5.1.1.2","Печалба от обичайната дейност","Profit from ordinary activity"
"Indicators","3.1.2.5.1.1.3","Извънредни разходи","Extraordinary expenditure"
"Indicators","3.1.2.5.1.1.4","Печалба преди облагане с данъци","Profit before tax"
"Indicators","3.1.2.5.1.1.5","Разходи за данъци","Taxes"
"Indicators","3.1.2.5.1.1.6","Нетна печалба","Net profit"
"Indicators","3.1.2.5.1.2","ВСИЧКО","TOTAL"
"Indicators","3.1.2.5.1.2.1","Приходи от дейността","Revenues"
"Indicators","3.1.2.5.1.2.1.1","Финансови приходи","Financial receipts"
"Indicators","3.1.2.5.1.2.1.2","Нефинансови приходи","Non-financial revenues"
"Indicators","3.1.2.5.1.2.2","Загуба от дейността","Loss from activity"
"Indicators","3.1.2.5.1.2.3","Извънредни приходи","Extraordinary revenues"
"Indicators","3.1.2.5.1.2.4","Загуба преди облагане с данъци","Loss before tax"
"Indicators","3.1.2.5.1.2.5","Нетна загуба","Net loss"
