RevisionColumn,periods,Units,Indicators,ValueColumn
"r_3","2005","1000BGN","3.1.2.5.1.1.1","93729"
"r_3","2006","1000BGN","3.1.2.5.1.1.1","146333"
"r_3","2007","1000BGN","3.1.2.5.1.1.1","588973"
"r_3","2008","1000BGN","3.1.2.5.1.1.1","1292455"
"r_3","2009","1000BGN","3.1.2.5.1.1.1","806340"
"r_3","2010","1000BGN","3.1.2.5.1.1.1","780659"
"r_3","2011","1000BGN","3.1.2.5.1.1.1","887795"
"r_3","2012","1000BGN","3.1.2.5.1.1.1","628370"
"r_3","2013","1000BGN","3.1.2.5.1.1.1","671136"
"r_3","2014","1000BGN","3.1.2.5.1.1.1","769551"
"r_3","2015","1000BGN","3.1.2.5.1.1.1","874529"
"r_3","2016","1000BGN","3.1.2.5.1.1.1","880633"
"r_3","2017","1000BGN","3.1.2.5.1.1.1","1428581"
"r_3","2018","1000BGN","3.1.2.5.1.1.1","1383015"
"r_3","2019","1000BGN","3.1.2.5.1.1.1","1161351"
"r_3","2020","1000BGN","3.1.2.5.1.1.1","2066214"
"r_3","2005","1000BGN","3.1.2.5.1.1.1.1","70839"
"r_3","2006","1000BGN","3.1.2.5.1.1.1.1","114865"
"r_3","2007","1000BGN","3.1.2.5.1.1.1.1","499008"
"r_3","2008","1000BGN","3.1.2.5.1.1.1.1","1117504"
"r_3","2009","1000BGN","3.1.2.5.1.1.1.1","628463"
"r_3","2010","1000BGN","3.1.2.5.1.1.1.1","540594"
"r_3","2011","1000BGN","3.1.2.5.1.1.1.1","605713"
"r_3","2012","1000BGN","3.1.2.5.1.1.1.1","447557"
"r_3","2013","1000BGN","3.1.2.5.1.1.1.1","450654"
"r_3","2014","1000BGN","3.1.2.5.1.1.1.1","520777"
"r_3","2015","1000BGN","3.1.2.5.1.1.1.1","697110"
"r_3","2016","1000BGN","3.1.2.5.1.1.1.1","681851"
"r_3","2017","1000BGN","3.1.2.5.1.1.1.1","1125411"
"r_3","2018","1000BGN","3.1.2.5.1.1.1.1","1148526"
"r_3","2019","1000BGN","3.1.2.5.1.1.1.1","940372"
"r_3","2020","1000BGN","3.1.2.5.1.1.1.1","1744681"
"r_3","2005","1000BGN","3.1.2.5.1.1.1.2","22890"
"r_3","2006","1000BGN","3.1.2.5.1.1.1.2","31468"
"r_3","2007","1000BGN","3.1.2.5.1.1.1.2","89965"
"r_3","2008","1000BGN","3.1.2.5.1.1.1.2","174951"
"r_3","2009","1000BGN","3.1.2.5.1.1.1.2","177877"
