RevisionColumn,Units,periods,Indicators,ValueColumn
"r_2","1000BGN","2005","3.1.2.3.1.1",""
"r_2","1000BGN","2006","3.1.2.3.1.1",""
"r_2","1000BGN","2007","3.1.2.3.1.1",""
"r_2","1000BGN","2008","3.1.2.3.1.1",""
"r_2","1000BGN","2009","3.1.2.3.1.1",""
"r_2","1000BGN","2010","3.1.2.3.1.1",""
"r_2","1000BGN","2011","3.1.2.3.1.1",""
"r_2","1000BGN","2012","3.1.2.3.1.1",""
"r_2","1000BGN","2013","3.1.2.3.1.1",""
"r_2","1000BGN","2014","3.1.2.3.1.1",""
"r_2","1000BGN","2015","3.1.2.3.1.1",""
"r_2","1000BGN","2016","3.1.2.3.1.1",""
"r_2","1000BGN","2017","3.1.2.3.1.1",""
"r_2","1000BGN","2018","3.1.2.3.1.1",""
"r_2","1000BGN","2019","3.1.2.3.1.1",""
"r_2","1000BGN","2020","3.1.2.3.1.1",""
"r_2","1000BGN","2005","3.1.2.3.1.1.1","619130"
"r_2","1000BGN","2006","3.1.2.3.1.1.1","773411"
"r_2","1000BGN","2007","3.1.2.3.1.1.1","950174"
"r_2","1000BGN","2008","3.1.2.3.1.1.1","1180811"
"r_2","1000BGN","2009","3.1.2.3.1.1.1","1282083"
"r_2","1000BGN","2010","3.1.2.3.1.1.1","1197576"
"r_2","1000BGN","2011","3.1.2.3.1.1.1","1172382"
"r_2","1000BGN","2012","3.1.2.3.1.1.1","1165396"
"r_2","1000BGN","2013","3.1.2.3.1.1.1","1255950"
"r_2","1000BGN","2014","3.1.2.3.1.1.1","1258338"
"r_2","1000BGN","2015","3.1.2.3.1.1.1","1228472"
"r_2","1000BGN","2016","3.1.2.3.1.1.1","1268531"
"r_2","1000BGN","2017","3.1.2.3.1.1.1","1344335"
"r_2","1000BGN","2018","3.1.2.3.1.1.1","1477988"
"r_2","1000BGN","2019","3.1.2.3.1.1.1","1630082"
"r_2","1000BGN","2020","3.1.2.3.1.1.1","1726819"
"r_2","1000BGN","2005","3.1.2.3.1.1.1.0",""
"r_2","1000BGN","2006","3.1.2.3.1.1.1.0",""
"r_2","1000BGN","2007","3.1.2.3.1.1.1.0",""
"r_2","1000BGN","2008","3.1.2.3.1.1.1.0",""
"r_2","1000BGN","2009","3.1.2.3.1.1.1.0",""
"r_2","1000BGN","2010","3.1.2.3.1.1.1.0",""
"r_2","1000BGN","2011","3.1.2.3.1.1.1.0",""
"r_2","1000BGN","2012","3.1.2.3.1.1.1.0",""
"r_2","1000BGN","2013","3.1.2.3.1.1.1.0",""
"r_2","1000BGN","2014","3.1.2.3.1.1.1.0",""
"r_2","1000BGN","2015","3.1.2.3.1.1.1.0",""
"r_2","1000BGN","2016","3.1.2.3.1.1.1.0",""
"r_2","1000BGN","2017","3.1.2.3.1.1.1.0",""
"r_2","1000BGN","2018","3.1.2.3.1.1.1.0",""
"r_2","1000BGN","2019","3.1.2.3.1.1.1.0",""
"r_2","1000BGN","2020","3.1.2.3.1.1.1.0",""
"r_2","1000BGN","2005","3.1.2.3.1.1.1.1","920969"
"r_2","1000BGN","2006","3.1.2.3.1.1.1.1","1060768"
"r_2","1000BGN","2007","3.1.2.3.1.1.1.1","1283056"
"r_2","1000BGN","2008","3.1.2.3.1.1.1.1","1554319"
"r_2","1000BGN","2009","3.1.2.3.1.1.1.1","1499468"
"r_2","1000BGN","2010","3.1.2.3.1.1.1.1","1429734"
"r_2","1000BGN","2011","3.1.2.3.1.1.1.1","1433233"
"r_2","1000BGN","2012","3.1.2.3.1.1.1.1","1419252"
"r_2","1000BGN","2013","3.1.2.3.1.1.1.1","1511093"
"r_2","1000BGN","2014","3.1.2.3.1.1.1.1","1515210"
"r_2","1000BGN","2015","3.1.2.3.1.1.1.1","1580495"
"r_2","1000BGN","2016","3.1.2.3.1.1.1.1","1711666"
"r_2","1000BGN","2017","3.1.2.3.1.1.1.1","1919827"
"r_2","1000BGN","2018","3.1.2.3.1.1.1.1","2245925"
"r_2","1000BGN","2019","3.1.2.3.1.1.1.1","2595980"
"r_2","1000BGN","2020","3.1.2.3.1.1.1.1","2582464"
"r_2","1000BGN","2005","3.1.2.3.1.1.1.2","235998"
"r_2","1000BGN","2006","3.1.2.3.1.1.1.2","223084"
"r_2","1000BGN","2007","3.1.2.3.1.1.1.2","249099"
"r_2","1000BGN","2008","3.1.2.3.1.1.1.2","270826"
"r_2","1000BGN","2009","3.1.2.3.1.1.1.2","214534"
"r_2","1000BGN","2010","3.1.2.3.1.1.1.2","246904"
"r_2","1000BGN","2011","3.1.2.3.1.1.1.2","253759"
"r_2","1000BGN","2012","3.1.2.3.1.1.1.2","249050"
"r_2","1000BGN","2013","3.1.2.3.1.1.1.2","237108"
"r_2","1000BGN","2014","3.1.2.3.1.1.1.2","244447"
"r_2","1000BGN","2015","3.1.2.3.1.1.1.2","374467"
"r_2","1000BGN","2016","3.1.2.3.1.1.1.2","452966"
"r_2","1000BGN","2017","3.1.2.3.1.1.1.2","535337"
"r_2","1000BGN","2018","3.1.2.3.1.1.1.2","683660"
"r_2","1000BGN","2019","3.1.2.3.1.1.1.2","859160"
"r_2","1000BGN","2020","3.1.2.3.1.1.1.2","834003"
"r_2","1000BGN","2005","3.1.2.3.1.1.2","12908"
"r_2","1000BGN","2006","3.1.2.3.1.1.2","24193"
"r_2","1000BGN","2007","3.1.2.3.1.1.2","35981"
"r_2","1000BGN","2008","3.1.2.3.1.1.2","20648"
"r_2","1000BGN","2009","3.1.2.3.1.1.2","30584"
"r_2","1000BGN","2010","3.1.2.3.1.1.2","27983"
"r_2","1000BGN","2011","3.1.2.3.1.1.2","26184"
"r_2","1000BGN","2012","3.1.2.3.1.1.2","28821"
"r_2","1000BGN","2013","3.1.2.3.1.1.2","28085"
"r_2","1000BGN","2014","3.1.2.3.1.1.2","22126"
"r_2","1000BGN","2015","3.1.2.3.1.1.2","19917"
"r_2","1000BGN","2016","3.1.2.3.1.1.2","17769"
"r_2","1000BGN","2017","3.1.2.3.1.1.2","17043"
"r_2","1000BGN","2018","3.1.2.3.1.1.2","18073"
"r_2","1000BGN","2019","3.1.2.3.1.1.2","17143"
"r_2","1000BGN","2020","3.1.2.3.1.1.2","10852"
"r_2","1000BGN","2005","3.1.2.3.1.1.3","43222"
"r_2","1000BGN","2006","3.1.2.3.1.1.3","7388"
"r_2","1000BGN","2007","3.1.2.3.1.1.3","5867"
"r_2","1000BGN","2008","3.1.2.3.1.1.3","4119"
"r_2","1000BGN","2009","3.1.2.3.1.1.3","13705"
"r_2","1000BGN","2010","3.1.2.3.1.1.3","27377"
"r_2","1000BGN","2011","3.1.2.3.1.1.3","15443"
"r_2","1000BGN","2012","3.1.2.3.1.1.3","15174"
"r_2","1000BGN","2013","3.1.2.3.1.1.3","17518"
"r_2","1000BGN","2014","3.1.2.3.1.1.3","17083"
"r_2","1000BGN","2015","3.1.2.3.1.1.3","16395"
"r_2","1000BGN","2016","3.1.2.3.1.1.3","20539"
"r_2","1000BGN","2017","3.1.2.3.1.1.3","26171"
"r_2","1000BGN","2018","3.1.2.3.1.1.3","71180"
"r_2","1000BGN","2019","3.1.2.3.1.1.3","28237"
"r_2","1000BGN","2020","3.1.2.3.1.1.3","28237"
"r_2","1000BGN","2005","3.1.2.3.1.1.4","296659"
"r_2","1000BGN","2006","3.1.2.3.1.1.4","388566"
"r_2","1000BGN","2007","3.1.2.3.1.1.4","472416"
"r_2","1000BGN","2008","3.1.2.3.1.1.4","638697"
"r_2","1000BGN","2009","3.1.2.3.1.1.4","677532"
"r_2","1000BGN","2010","3.1.2.3.1.1.4","619956"
"r_2","1000BGN","2011","3.1.2.3.1.1.4","585899"
"r_2","1000BGN","2012","3.1.2.3.1.1.4","620690"
"r_2","1000BGN","2013","3.1.2.3.1.1.4","662602"
"r_2","1000BGN","2014","3.1.2.3.1.1.4","712392"
"r_2","1000BGN","2015","3.1.2.3.1.1.4","597205"
"r_2","1000BGN","2016","3.1.2.3.1.1.4","678741"
"r_2","1000BGN","2017","3.1.2.3.1.1.4","721809"
"r_2","1000BGN","2018","3.1.2.3.1.1.4","710676"
"r_2","1000BGN","2019","3.1.2.3.1.1.4","815457"
"r_2","1000BGN","2020","3.1.2.3.1.1.4","780746"
