RevisionColumn,EKATTE,Units,Edu_schYear,ValueColumn
"r_1","BG","num","2000/2001","200449"
"r_1","BG","num","2001/2002","199206"
"r_1","BG","num","2002/2003","201317"
"r_1","BG","num","2003/2004","201145"
"r_1","BG","num","2004/2005","202803"
"r_1","BG","num","2005/2006","206243"
"r_1","BG","num","2006/2007","206745"
"r_1","BG","num","2007/2008","207682"
"r_1","BG","num","2008/2009","212454"
"r_1","BG","num","2009/2010","217804"
"r_1","BG","num","2010/2011","223186"
"r_1","BG","num","2011/2012","227971"
"r_1","BG","num","2012/2013","235015"
"r_1","BG","num","2013/2014","240622"
"r_1","BG","num","2014/2015","241123"
"r_1","BG3","num","2000/2001","108666"
"r_1","BG3","num","2001/2002","107248"
"r_1","BG3","num","2002/2003","108385"
"r_1","BG3","num","2003/2004","108227"
"r_1","BG3","num","2004/2005","108674"
"r_1","BG3","num","2005/2006","101403"
"r_1","BG3","num","2006/2007","101569"
"r_1","BG3","num","2007/2008","102021"
"r_1","BG3","num","2008/2009","113162"
"r_1","BG3","num","2009/2010","114534"
"r_1","BG3","num","2010/2011","116451"
"r_1","BG3","num","2011/2012","117891"
"r_1","BG3","num","2012/2013","120173"
"r_1","BG3","num","2013/2014","122224"
"r_1","BG3","num","2014/2015","121292"
"r_1","BG31","num","2000/2001","26216"
"r_1","BG31","num","2001/2002","25715"
"r_1","BG31","num","2002/2003","25770"
"r_1","BG31","num","2003/2004","25559"
"r_1","BG31","num","2004/2005","25799"
"r_1","BG31","num","2005/2006","13453"
"r_1","BG31","num","2006/2007","13235"
"r_1","BG31","num","2007/2008","13320"
"r_1","BG31","num","2008/2009","25215"
"r_1","BG31","num","2009/2010","25413"
"r_1","BG31","num","2010/2011","25489"
"r_1","BG31","num","2011/2012","25535"
"r_1","BG31","num","2012/2013","25724"
"r_1","BG31","num","2013/2014","25872"
"r_1","BG31","num","2014/2015","25602"
"r_1","VID","num","2000/2001","3093"
"r_1","VID","num","2001/2002","2895"
"r_1","VID","num","2002/2003","3011"
"r_1","VID","num","2003/2004","3043"
"r_1","VID","num","2004/2005","2919"
"r_1","VID","num","2005/2006","2946"
"r_1","VID","num","2006/2007","2904"
"r_1","VID","num","2007/2008","3014"
"r_1","VID","num","2008/2009","3032"
"r_1","VID","num","2009/2010","2951"
"r_1","VID","num","2010/2011","3004"
"r_1","VID","num","2011/2012","2930"
"r_1","VID","num","2012/2013","2847"
"r_1","VID","num","2013/2014","2882"
"r_1","VID","num","2014/2015","2944"
"r_1","VID01","num","2000/2001","162"
"r_1","VID01","num","2001/2002","121"
"r_1","VID01","num","2002/2003","132"
"r_1","VID01","num","2003/2004","132"
"r_1","VID01","num","2004/2005","134"
"r_1","VID01","num","2005/2006","137"
"r_1","VID01","num","2006/2007","136"
"r_1","VID01","num","2007/2008","174"
"r_1","VID01","num","2008/2009","174"
"r_1","VID01","num","2009/2010","161"
"r_1","VID01","num","2010/2011","181"
"r_1","VID01","num","2011/2012","171"
"r_1","VID01","num","2012/2013","163"
"r_1","VID01","num","2013/2014","183"
"r_1","VID01","num","2014/2015","216"
"r_1","VID03","num","2000/2001","46"
"r_1","VID03","num","2001/2002","34"
"r_1","VID03","num","2002/2003","36"
"r_1","VID03","num","2003/2004","36"
"r_1","VID03","num","2004/2005","38"
"r_1","VID03","num","2005/2006","33"
"r_1","VID03","num","2006/2007","37"
"r_1","VID03","num","2007/2008","31"
"r_1","VID03","num","2008/2009","41"
"r_1","VID03","num","2009/2010","40"
"r_1","VID03","num","2010/2011","34"
"r_1","VID03","num","2011/2012","34"
"r_1","VID03","num","2012/2013","30"
"r_1","VID03","num","2013/2014","25"
"r_1","VID03","num","2014/2015","21"
"r_1","VID06","num","2000/2001","178"
"r_1","VID06","num","2001/2002","180"
"r_1","VID06","num","2002/2003","185"
"r_1","VID06","num","2003/2004","179"
"r_1","VID06","num","2004/2005","167"
"r_1","VID06","num","2005/2006","178"
"r_1","VID06","num","2006/2007","165"
"r_1","VID06","num","2007/2008","170"
"r_1","VID06","num","2008/2009","178"
"r_1","VID06","num","2009/2010","196"
"r_1","VID06","num","2010/2011","190"
"r_1","VID06","num","2011/2012","193"
"r_1","VID06","num","2012/2013","202"
"r_1","VID06","num","2013/2014","194"
"r_1","VID06","num","2014/2015","192"
"r_1","VID09","num","2000/2001","2095"
"r_1","VID09","num","2001/2002","1956"
"r_1","VID09","num","2002/2003","2040"
"r_1","VID09","num","2003/2004","2055"
"r_1","VID09","num","2004/2005","1987"
"r_1","VID09","num","2005/2006","1963"
"r_1","VID09","num","2006/2007","1899"
"r_1","VID09","num","2007/2008","2014"
"r_1","VID09","num","2008/2009","2014"
"r_1","VID09","num","2009/2010","1953"
"r_1","VID09","num","2010/2011","1972"
"r_1","VID09","num","2011/2012","1924"
"r_1","VID09","num","2012/2013","1875"
"r_1","VID09","num","2013/2014","1895"
"r_1","VID09","num","2014/2015","1901"
"r_1","VID15","num","2000/2001","74"
"r_1","VID15","num","2001/2002","66"
"r_1","VID15","num","2002/2003","77"
"r_1","VID15","num","2003/2004","73"
"r_1","VID15","num","2004/2005","57"
"r_1","VID15","num","2005/2006","43"
"r_1","VID15","num","2006/2007","61"
"r_1","VID15","num","2007/2008","55"
"r_1","VID15","num","2008/2009","49"
"r_1","VID15","num","2009/2010","47"
"r_1","VID15","num","2010/2011","44"
"r_1","VID15","num","2011/2012","49"
"r_1","VID15","num","2012/2013","47"
"r_1","VID15","num","2013/2014","41"
"r_1","VID15","num","2014/2015","50"
"r_1","VID16","num","2000/2001","170"
"r_1","VID16","num","2001/2002","174"
"r_1","VID16","num","2002/2003","164"
"r_1","VID16","num","2003/2004","155"
"r_1","VID16","num","2004/2005","137"
"r_1","VID16","num","2005/2006","171"
"r_1","VID16","num","2006/2007","190"
"r_1","VID16","num","2007/2008","161"
"r_1","VID16","num","2008/2009","166"
"r_1","VID16","num","2009/2010","169"
