RevisionColumn,Units,periods,GenderID,ValueColumn
"r_43","perc","2003Q1","0","9.7"
"r_43","perc","2003Q1","1","10.4"
"r_43","perc","2003Q1","2","8.9"
"r_43","perc","2003Q2","0","9.2"
"r_43","perc","2003Q2","1","9.4"
"r_43","perc","2003Q2","2","8.9"
"r_43","perc","2003Q3","0","8.4"
"r_43","perc","2003Q3","1","8.4"
"r_43","perc","2003Q3","2","8.5"
"r_43","perc","2003Q4","0","8.4"
"r_43","perc","2003Q4","1","8.6"
"r_43","perc","2003Q4","2","8.2"
"r_43","perc","2004Q1","0","8"
"r_43","perc","2004Q1","1","8.1"
"r_43","perc","2004Q1","2","7.9"
"r_43","perc","2004Q2","0","6.9"
"r_43","perc","2004Q2","1","6.8"
"r_43","perc","2004Q2","2","7"
"r_43","perc","2004Q3","0","6.7"
"r_43","perc","2004Q3","1","6.7"
"r_43","perc","2004Q3","2","6.6"
"r_43","perc","2004Q4","0","7.1"
"r_43","perc","2004Q4","1","7.5"
"r_43","perc","2004Q4","2","6.7"
"r_43","perc","2005Q1","0","6.5"
"r_43","perc","2005Q1","1","6.6"
"r_43","perc","2005Q1","2","6.3"
"r_43","perc","2005Q2","0","6"
"r_43","perc","2005Q2","1","6"
"r_43","perc","2005Q2","2","6"
"r_43","perc","2005Q3","0","5.7"
"r_43","perc","2005Q3","1","5.7"
"r_43","perc","2005Q3","2","5.6"
"r_43","perc","2005Q4","0","6"
"r_43","perc","2005Q4","1","5.9"
"r_43","perc","2005Q4","2","6.1"
"r_43","perc","2006Q1","0","5.5"
"r_43","perc","2006Q1","1","5.2"
"r_43","perc","2006Q1","2","5.8"
"r_43","perc","2006Q2","0","4.8"
"r_43","perc","2006Q2","1","4.6"
"r_43","perc","2006Q2","2","5.1"
"r_43","perc","2006Q3","0","5"
"r_43","perc","2006Q3","1","4.7"
"r_43","perc","2006Q3","2","5.3"
"r_43","perc","2006Q4","0","4.7"
"r_43","perc","2006Q4","1","4.6"
"r_43","perc","2006Q4","2","4.8"
"r_43","perc","2007Q1","0","4.5"
"r_43","perc","2007Q1","1","4.3"
"r_43","perc","2007Q1","2","4.6"
"r_43","perc","2007Q2","0","3.9"
"r_43","perc","2007Q2","1","3.7"
"r_43","perc","2007Q2","2","4.1"
"r_43","perc","2007Q3","0","4"
"r_43","perc","2007Q3","1","3.5"
"r_43","perc","2007Q3","2","4.6"
"r_43","perc","2007Q4","0","3.9"
"r_43","perc","2007Q4","1","3.3"
"r_43","perc","2007Q4","2","4.5"
"r_43","perc","2008Q1","0","3.3"
"r_43","perc","2008Q1","1","3"
"r_43","perc","2008Q1","2","3.6"
"r_43","perc","2008Q2","0","2.9"
"r_43","perc","2008Q2","1","2.9"
"r_43","perc","2008Q2","2","3"
"r_43","perc","2008Q3","0","2.7"
"r_43","perc","2008Q3","1","2.6"
"r_43","perc","2008Q3","2","2.9"
"r_43","perc","2008Q4","0","2.7"
"r_43","perc","2008Q4","1","2.6"
"r_43","perc","2008Q4","2","2.8"
"r_43","perc","2009Q1","0","2.8"
"r_43","perc","2009Q1","1","2.7"
"r_43","perc","2009Q1","2","2.9"
"r_43","perc","2009Q2","0","2.9"
"r_43","perc","2009Q2","1","2.5"
"r_43","perc","2009Q2","2","3.3"
"r_43","perc","2009Q3","0","2.8"
"r_43","perc","2009Q3","1","2.8"
"r_43","perc","2009Q3","2","2.8"
"r_43","perc","2009Q4","0","3.4"
"r_43","perc","2009Q4","1","3.5"
"r_43","perc","2009Q4","2","3.3"
"r_43","perc","2010Q1","0","4.2"
"r_43","perc","2010Q1","1","4.4"
"r_43","perc","2010Q1","2","4"
"r_43","perc","2010Q2","0","4.3"
"r_43","perc","2010Q2","1","4.5"
"r_43","perc","2010Q2","2","4.1"
"r_43","perc","2010Q3","0","4.5"
"r_43","perc","2010Q3","1","4.9"
"r_43","perc","2010Q3","2","4.1"
"r_43","perc","2010Q4","0","5.9"
"r_43","perc","2010Q4","1","6.2"
"r_43","perc","2010Q4","2","5.6"
"r_43","perc","2011Q1","0","6.4"
"r_43","perc","2011Q1","1","6.8"
"r_43","perc","2011Q1","2","5.8"
"r_43","perc","2011Q2","0","6.3"
"r_43","perc","2011Q2","1","6.8"
"r_43","perc","2011Q2","2","5.6"
"r_43","perc","2011Q3","0","6.2"
"r_43","perc","2011Q3","1","6.9"
"r_43","perc","2011Q3","2","5.3"
"r_43","perc","2011Q4","0","6.4"
"r_43","perc","2011Q4","1","7.5"
"r_43","perc","2011Q4","2","5.1"
"r_43","perc","2012Q1","0","6.9"
"r_43","perc","2012Q1","1","8.1"
"r_43","perc","2012Q1","2","5.6"
"r_43","perc","2012Q2","0","6.9"
"r_43","perc","2012Q2","1","7.7"
"r_43","perc","2012Q2","2","5.9"
"r_43","perc","2012Q3","0","6.5"
"r_43","perc","2012Q3","1","7.2"
"r_43","perc","2012Q3","2","5.7"
"r_43","perc","2012Q4","0","6.8"
"r_43","perc","2012Q4","1","7.7"
"r_43","perc","2012Q4","2","5.8"
"r_43","perc","2013Q1","0","7.6"
"r_43","perc","2013Q1","1","8.7"
"r_43","perc","2013Q1","2","6.3"
"r_43","perc","2013Q2","0","7.2"
"r_43","perc","2013Q2","1","8"
"r_43","perc","2013Q2","2","6.3"
"r_43","perc","2013Q3","0","7.1"
"r_43","perc","2013Q3","1","7.5"
"r_43","perc","2013Q3","2","6.6"
"r_43","perc","2013Q4","0","7.8"
"r_43","perc","2013Q4","1","8.3"
"r_43","perc","2013Q4","2","7.3"
"r_43","perc","2014Q1","0","7.7"
"r_43","perc","2014Q1","1","8.4"
"r_43","perc","2014Q1","2","6.8"
"r_43","perc","2014Q2","0","6.6"
"r_43","perc","2014Q2","1","7.3"
