RevisionColumn,Units,periods,GenderID,Age10_LFS,ValueColumn
"r_16","1000cp","2019Q2","0","0","142"
"r_16","1000cp","2019Q2","0","15 - 64","139.8"
"r_16","1000cp","2019Q2","0","20 - 64","136.4"
"r_16","1000cp","2019Q2","0","15 - 29","32.6"
"r_16","1000cp","2019Q2","0","15 - 24","13.7"
"r_16","1000cp","2019Q2","0","25 - 34","41"
"r_16","1000cp","2019Q2","0","35 - 44","34.3"
"r_16","1000cp","2019Q2","0","45 - 54","26.8"
"r_16","1000cp","2019Q2","0","55 - 64","24.1"
"r_16","1000cp","2019Q2","0","65+","(2.2)"
"r_16","1000cp","2019Q2","1","0","82.7"
"r_16","1000cp","2019Q2","1","15 - 64","81.3"
"r_16","1000cp","2019Q2","1","20 - 64","78.9"
"r_16","1000cp","2019Q2","1","15 - 29","19.8"
"r_16","1000cp","2019Q2","1","15 - 24","8.1"
"r_16","1000cp","2019Q2","1","25 - 34","26.5"
"r_16","1000cp","2019Q2","1","35 - 44","19.9"
"r_16","1000cp","2019Q2","1","45 - 54","13.7"
"r_16","1000cp","2019Q2","1","55 - 64","13"
"r_16","1000cp","2019Q2","1","65+","(1.4)"
"r_16","1000cp","2019Q2","2","0","59.3"
"r_16","1000cp","2019Q2","2","15 - 64","58.5"
"r_16","1000cp","2019Q2","2","20 - 64","57.5"
"r_16","1000cp","2019Q2","2","15 - 29","12.8"
"r_16","1000cp","2019Q2","2","15 - 24","5.6"
"r_16","1000cp","2019Q2","2","25 - 34","14.4"
"r_16","1000cp","2019Q2","2","35 - 44","14.3"
"r_16","1000cp","2019Q2","2","45 - 54","13.1"
"r_16","1000cp","2019Q2","2","55 - 64","11"
"r_16","1000cp","2019Q2","2","65+","(0.8)"
"r_18","1000cp","2019Q3","0","0","125.4"
"r_18","1000cp","2019Q3","0","15 - 64","122.7"
"r_18","1000cp","2019Q3","0","20 - 64","119.3"
"r_18","1000cp","2019Q3","0","15 - 29","29.5"
"r_18","1000cp","2019Q3","0","15 - 24","12.4"
"r_18","1000cp","2019Q3","0","25 - 34","35.8"
"r_18","1000cp","2019Q3","0","35 - 44","28.4"
"r_18","1000cp","2019Q3","0","45 - 54","22.2"
