RevisionColumn,GenderID,Units,periods,ValueColumn
"r_2","0","1000cp","2003Q1","2646.9"
"r_2","0","1000cp","2003Q2","2796.4"
"r_2","0","1000cp","2003Q3","2850"
"r_2","0","1000cp","2003Q4","2759.4"
"r_2","0","1000cp","2004Q1","2719.6"
"r_2","0","1000cp","2004Q2","2901.6"
"r_2","0","1000cp","2004Q3","2947.7"
"r_2","0","1000cp","2004Q4","2847.5"
"r_2","0","1000cp","2005Q1","2781.9"
"r_2","0","1000cp","2005Q2","2947.6"
"r_2","0","1000cp","2005Q3","3028.5"
"r_2","0","1000cp","2005Q4","2921"
"r_2","0","1000cp","2006Q1","2883.5"
"r_2","0","1000cp","2006Q2","3075.4"
"r_2","0","1000cp","2006Q3","3118.8"
"r_2","0","1000cp","2006Q4","3090"
"r_2","0","1000cp","2007Q1","3074"
"r_2","0","1000cp","2007Q2","3187.2"
"r_2","0","1000cp","2007Q3","3232.7"
"r_2","0","1000cp","2007Q4","3229.6"
"r_2","0","1000cp","2008Q1","3211.4"
"r_2","0","1000cp","2008Q2","3287"
"r_2","0","1000cp","2008Q3","3324.1"
"r_2","0","1000cp","2008Q4","3280.6"
"r_2","0","1000cp","2009Q1","3188.7"
"r_2","0","1000cp","2009Q2","3220.7"
"r_2","0","1000cp","2009Q3","3204.1"
"r_2","0","1000cp","2009Q4","3100.9"
"r_2","0","1000cp","2010Q1","2980"
"r_2","0","1000cp","2010Q2","3043.5"
"r_2","0","1000cp","2010Q3","3074.3"
"r_2","0","1000cp","2010Q4","2992.7"
"r_2","0","1000cp","2011Q1","2858.7"
"r_2","0","1000cp","2011Q2","2901.4"
"r_2","0","1000cp","2011Q3","2984.8"
"r_2","0","1000cp","2011Q4","2925.3"
"r_2","0","1000cp","2012Q1","2807.7"
"r_2","0","1000cp","2012Q2","2865.5"
"r_2","0","1000cp","2012Q3","2961.1"
"r_2","0","1000cp","2012Q4","2894.3"
"r_2","0","1000cp","2013Q1","2805.7"
"r_2","0","1000cp","2013Q2","2887.5"
"r_2","0","1000cp","2013Q3","2953.8"
"r_2","0","1000cp","2013Q4","2871.5"
"r_2","0","1000cp","2014Q1","2834.2"
"r_2","0","1000cp","2014Q2","2914.4"
"r_2","0","1000cp","2014Q3","2993.8"
"r_2","0","1000cp","2014Q4","2923"
"r_2","0","1000cp","2015Q1","2884.3"
"r_2","0","1000cp","2015Q2","2945.2"
"r_2","0","1000cp","2015Q3","3030.7"
"r_2","0","1000cp","2015Q4","2992.5"
"r_2","1","1000cp","2003Q1","1390.3"
"r_2","1","1000cp","2003Q2","1475.4"
"r_2","1","1000cp","2003Q3","1505.9"
"r_2","1","1000cp","2003Q4","1458.1"
"r_2","1","1000cp","2004Q1","1444.7"
"r_2","1","1000cp","2004Q2","1532.3"
"r_2","1","1000cp","2004Q3","1554.4"
"r_2","1","1000cp","2004Q4","1509"
"r_2","1","1000cp","2005Q1","1477.9"
"r_2","1","1000cp","2005Q2","1565.6"
"r_2","1","1000cp","2005Q3","1615.3"
"r_2","1","1000cp","2005Q4","1562"
"r_2","1","1000cp","2006Q1","1527"
"r_2","1","1000cp","2006Q2","1627.1"
"r_2","1","1000cp","2006Q3","1647.8"
"r_2","1","1000cp","2006Q4","1643.2"
"r_2","1","1000cp","2007Q1","1629.9"
"r_2","1","1000cp","2007Q2","1679.8"
"r_2","1","1000cp","2007Q3","1712.1"
"r_2","1","1000cp","2007Q4","1718.4"
"r_2","1","1000cp","2008Q1","1696"
"r_2","1","1000cp","2008Q2","1737.6"
"r_2","1","1000cp","2008Q3","1767.8"
"r_2","1","1000cp","2008Q4","1746.4"
"r_2","1","1000cp","2009Q1","1688"
"r_2","1","1000cp","2009Q2","1704.3"
"r_2","1","1000cp","2009Q3","1695.8"
"r_2","1","1000cp","2009Q4","1644.3"
"r_2","1","1000cp","2010Q1","1588.1"
"r_2","1","1000cp","2010Q2","1623.3"
"r_2","1","1000cp","2010Q3","1635"
"r_2","1","1000cp","2010Q4","1573.8"
"r_2","1","1000cp","2011Q1","1508.2"
"r_2","1","1000cp","2011Q2","1529.7"
"r_2","1","1000cp","2011Q3","1576.1"
"r_2","1","1000cp","2011Q4","1526.7"
"r_2","1","1000cp","2012Q1","1464.4"
"r_2","1","1000cp","2012Q2","1502.6"
"r_2","1","1000cp","2012Q3","1551.8"
"r_2","1","1000cp","2012Q4","1525.2"
"r_2","1","1000cp","2013Q1","1469.4"
"r_2","1","1000cp","2013Q2","1508.6"
"r_2","1","1000cp","2013Q3","1553.4"
"r_2","1","1000cp","2013Q4","1516.7"
"r_2","1","1000cp","2014Q1","1495.7"
"r_2","1","1000cp","2014Q2","1534.4"
"r_2","1","1000cp","2014Q3","1582.1"
"r_2","1","1000cp","2014Q4","1534.7"
"r_2","1","1000cp","2015Q1","1521.3"
"r_2","1","1000cp","2015Q2","1553.8"
"r_2","1","1000cp","2015Q3","1600.7"
"r_2","1","1000cp","2015Q4","1586.8"
"r_2","2","1000cp","2003Q1","1256.6"
"r_2","2","1000cp","2003Q2","1321"
"r_2","2","1000cp","2003Q3","1344.1"
"r_2","2","1000cp","2003Q4","1301.2"
"r_2","2","1000cp","2004Q1","1274.9"
"r_2","2","1000cp","2004Q2","1369.3"
"r_2","2","1000cp","2004Q3","1393.4"
"r_2","2","1000cp","2004Q4","1338.5"
"r_2","2","1000cp","2005Q1","1304"
"r_2","2","1000cp","2005Q2","1382"
"r_2","2","1000cp","2005Q3","1413.3"
"r_2","2","1000cp","2005Q4","1359"
"r_2","2","1000cp","2006Q1","1356.5"
"r_2","2","1000cp","2006Q2","1448.3"
"r_2","2","1000cp","2006Q3","1471.1"
"r_2","2","1000cp","2006Q4","1446.8"
"r_2","2","1000cp","2007Q1","1444.1"
"r_2","2","1000cp","2007Q2","1507.4"
"r_2","2","1000cp","2007Q3","1520.6"
"r_2","2","1000cp","2007Q4","1511.2"
"r_2","2","1000cp","2008Q1","1515.4"
"r_2","2","1000cp","2008Q2","1549.4"
"r_2","2","1000cp","2008Q3","1556.3"
"r_2","2","1000cp","2008Q4","1534.2"
"r_2","2","1000cp","2009Q1","1500.7"
"r_2","2","1000cp","2009Q2","1516.4"
"r_2","2","1000cp","2009Q3","1508.3"
"r_2","2","1000cp","2009Q4","1456.6"
"r_2","2","1000cp","2010Q1","1391.9"
"r_2","2","1000cp","2010Q2","1420.2"
"r_2","2","1000cp","2010Q3","1439.3"
"r_2","2","1000cp","2010Q4","1418.9"
"r_2","2","1000cp","2011Q1","1350.5"
"r_2","2","1000cp","2011Q2","1371.8"
"r_2","2","1000cp","2011Q3","1408.7"
"r_2","2","1000cp","2011Q4","1398.6"
"r_2","2","1000cp","2012Q1","1343.3"
"r_2","2","1000cp","2012Q2","1362.9"
"r_2","2","1000cp","2012Q3","1409.3"
"r_2","2","1000cp","2012Q4","1369.1"
"r_2","2","1000cp","2013Q1","1336.3"
"r_2","2","1000cp","2013Q2","1378.9"
"r_2","2","1000cp","2013Q3","1400.5"
"r_2","2","1000cp","2013Q4","1354.8"
"r_2","2","1000cp","2014Q1","1338.4"
"r_2","2","1000cp","2014Q2","1380"
"r_2","2","1000cp","2014Q3","1411.7"
"r_2","2","1000cp","2014Q4","1388.3"
"r_2","2","1000cp","2015Q1","1363"
"r_2","2","1000cp","2015Q2","1391.3"
"r_2","2","1000cp","2015Q3","1430"
"r_2","2","1000cp","2015Q4","1405.7"
"r_3","0","1000cp","2016Q1","2905.4"
"r_3","1","1000cp","2016Q1","1544.2"
"r_3","2","1000cp","2016Q1","1361.2"
"r_4","0","1000cp","2016Q2","2959"
"r_4","1","1000cp","2016Q2","1563.7"
"r_4","2","1000cp","2016Q2","1395.4"
"r_5","0","1000cp","2016Q3","2975.2"
"r_5","1","1000cp","2016Q3","1576"
"r_5","2","1000cp","2016Q3","1399.1"
"r_6","0","1000cp","2016Q4","2932.2"
"r_6","1","1000cp","2016Q4","1566"
"r_6","2","1000cp","2016Q4","1366.2"
"r_6","0","1000cp","2017Q1","2954.5"
"r_6","1","1000cp","2017Q1","1576"
