RevisionColumn,GenderID,Units,periods,ValueColumn
"r_2","0","perc","2003Q1","55.5"
"r_2","0","perc","2003Q2","58.7"
"r_2","0","perc","2003Q3","59.9"
"r_2","0","perc","2003Q4","58.1"
"r_2","0","perc","2004Q1","57.1"
"r_2","0","perc","2004Q2","61.2"
"r_2","0","perc","2004Q3","62.3"
"r_2","0","perc","2004Q4","59.9"
"r_2","0","perc","2005Q1","58.7"
"r_2","0","perc","2005Q2","62.4"
"r_2","0","perc","2005Q3","64.2"
"r_2","0","perc","2005Q4","62.2"
"r_2","0","perc","2006Q1","61.6"
"r_2","0","perc","2006Q2","65.6"
"r_2","0","perc","2006Q3","66.8"
"r_2","0","perc","2006Q4","66.3"
"r_2","0","perc","2007Q1","66.1"
"r_2","0","perc","2007Q2","68.3"
"r_2","0","perc","2007Q3","69.4"
"r_2","0","perc","2007Q4","69.7"
"r_2","0","perc","2008Q1","69.2"
"r_2","0","perc","2008Q2","70.5"
"r_2","0","perc","2008Q3","71.7"
"r_2","0","perc","2008Q4","71.3"
"r_2","0","perc","2009Q1","68.9"
"r_2","0","perc","2009Q2","69.5"
"r_2","0","perc","2009Q3","69.5"
"r_2","0","perc","2009Q4","67.5"
"r_2","0","perc","2010Q1","63.8"
"r_2","0","perc","2010Q2","65.1"
"r_2","0","perc","2010Q3","65.8"
"r_2","0","perc","2010Q4","64.1"
"r_2","0","perc","2011Q1","61.7"
"r_2","0","perc","2011Q2","62.6"
"r_2","0","perc","2011Q3","64.4"
"r_2","0","perc","2011Q4","63.1"
"r_2","0","perc","2012Q1","61.1"
"r_2","0","perc","2012Q2","62.6"
"r_2","0","perc","2012Q3","64.8"
"r_2","0","perc","2012Q4","63.4"
"r_2","0","perc","2013Q1","61.7"
"r_2","0","perc","2013Q2","63.6"
"r_2","0","perc","2013Q3","65.3"
"r_2","0","perc","2013Q4","63.6"
"r_2","0","perc","2014Q1","63"
"r_2","0","perc","2014Q2","65"
"r_2","0","perc","2014Q3","66.9"
"r_2","0","perc","2014Q4","65.5"
"r_2","0","perc","2015Q1","65"
"r_2","0","perc","2015Q2","66.6"
"r_2","0","perc","2015Q3","68.8"
"r_2","0","perc","2015Q4","68.1"
"r_2","1","perc","2003Q1","59.2"
"r_2","1","perc","2003Q2","62.8"
"r_2","1","perc","2003Q3","64.4"
"r_2","1","perc","2003Q4","62.5"
"r_2","1","perc","2004Q1","61.5"
"r_2","1","perc","2004Q2","65.3"
"r_2","1","perc","2004Q3","66.3"
"r_2","1","perc","2004Q4","64.4"
"r_2","1","perc","2005Q1","63.3"
"r_2","1","perc","2005Q2","67"
"r_2","1","perc","2005Q3","69.2"
"r_2","1","perc","2005Q4","67.5"
"r_2","1","perc","2006Q1","66.4"
"r_2","1","perc","2006Q2","70.5"
"r_2","1","perc","2006Q3","71.4"
"r_2","1","perc","2006Q4","71.5"
"r_2","1","perc","2007Q1","71.5"
"r_2","1","perc","2007Q2","73"
"r_2","1","perc","2007Q3","74.3"
"r_2","1","perc","2007Q4","74.8"
"r_2","1","perc","2008Q1","74.3"
"r_2","1","perc","2008Q2","75.9"
"r_2","1","perc","2008Q3","77.1"
"r_2","1","perc","2008Q4","77"
"r_2","1","perc","2009Q1","74"
"r_2","1","perc","2009Q2","74.7"
"r_2","1","perc","2009Q3","74.4"
"r_2","1","perc","2009Q4","72"
"r_2","1","perc","2010Q1","67.9"
"r_2","1","perc","2010Q2","69.4"
"r_2","1","perc","2010Q3","69.9"
"r_2","1","perc","2010Q4","67.3"
"r_2","1","perc","2011Q1","64.9"
"r_2","1","perc","2011Q2","65.8"
"r_2","1","perc","2011Q3","67.8"
"r_2","1","perc","2011Q4","65.7"
"r_2","1","perc","2012Q1","63.5"
"r_2","1","perc","2012Q2","65.4"
"r_2","1","perc","2012Q3","67.6"
"r_2","1","perc","2012Q4","66.6"
"r_2","1","perc","2013Q1","64.3"
"r_2","1","perc","2013Q2","66.1"
"r_2","1","perc","2013Q3","68.3"
"r_2","1","perc","2013Q4","66.8"
"r_2","1","perc","2014Q1","66.1"
"r_2","1","perc","2014Q2","68"
"r_2","1","perc","2014Q3","70.2"
"r_2","1","perc","2014Q4","68.3"
"r_2","1","perc","2015Q1","68.1"
"r_2","1","perc","2015Q2","69.8"
"r_2","1","perc","2015Q3","72.1"
"r_2","1","perc","2015Q4","71.7"
"r_2","2","perc","2003Q1","51.9"
"r_2","2","perc","2003Q2","54.7"
"r_2","2","perc","2003Q3","55.6"
"r_2","2","perc","2003Q4","53.8"
"r_2","2","perc","2004Q1","52.8"
"r_2","2","perc","2004Q2","57.2"
"r_2","2","perc","2004Q3","58.4"
"r_2","2","perc","2004Q4","55.5"
"r_2","2","perc","2005Q1","54.2"
"r_2","2","perc","2005Q2","57.9"
"r_2","2","perc","2005Q3","59.3"
"r_2","2","perc","2005Q4","57.1"
"r_2","2","perc","2006Q1","57.1"
"r_2","2","perc","2006Q2","60.8"
"r_2","2","perc","2006Q3","62.3"
"r_2","2","perc","2006Q4","61.3"
"r_2","2","perc","2007Q1","61"
"r_2","2","perc","2007Q2","63.7"
"r_2","2","perc","2007Q3","64.6"
"r_2","2","perc","2007Q4","64.7"
"r_2","2","perc","2008Q1","64.2"
"r_2","2","perc","2008Q2","65.3"
"r_2","2","perc","2008Q3","66.4"
"r_2","2","perc","2008Q4","65.7"
"r_2","2","perc","2009Q1","63.9"
"r_2","2","perc","2009Q2","64.5"
"r_2","2","perc","2009Q3","64.6"
"r_2","2","perc","2009Q4","63"
"r_2","2","perc","2010Q1","59.7"
"r_2","2","perc","2010Q2","60.9"
"r_2","2","perc","2010Q3","61.7"
"r_2","2","perc","2010Q4","60.8"
"r_2","2","perc","2011Q1","58.5"
"r_2","2","perc","2011Q2","59.4"
"r_2","2","perc","2011Q3","61"
"r_2","2","perc","2011Q4","60.5"
"r_2","2","perc","2012Q1","58.7"
"r_2","2","perc","2012Q2","59.8"
"r_2","2","perc","2012Q3","61.9"
"r_2","2","perc","2012Q4","60.3"
"r_2","2","perc","2013Q1","59.1"
"r_2","2","perc","2013Q2","61"
"r_2","2","perc","2013Q3","62.2"
"r_2","2","perc","2013Q4","60.4"
