RevisionColumn,periods,Units,Age10_LFS,GenderID,ValueColumn
"r_16","2019Q2","perc","0","0","4.2"
"r_16","2019Q2","perc","15 - 64","0","4.2"
"r_16","2019Q2","perc","20 - 64","0","4.1"
"r_16","2019Q2","perc","15 - 29","0","6.9"
"r_16","2019Q2","perc","15 - 24","0","9.5"
"r_16","2019Q2","perc","25 - 34","0","5.6"
"r_16","2019Q2","perc","35 - 44","0","3.8"
"r_16","2019Q2","perc","45 - 54","0","3.1"
"r_16","2019Q2","perc","55 - 64","0","3.7"
"r_16","2019Q2","perc","65+","0","(2.2)"
"r_16","2019Q2","perc","0","1","4.6"
"r_16","2019Q2","perc","15 - 64","1","4.6"
"r_16","2019Q2","perc","20 - 64","1","4.5"
"r_16","2019Q2","perc","15 - 29","1","7.3"
"r_16","2019Q2","perc","15 - 24","1","9.4"
"r_16","2019Q2","perc","25 - 34","1","6.4"
"r_16","2019Q2","perc","35 - 44","1","4.1"
"r_16","2019Q2","perc","45 - 54","1","3.1"
"r_16","2019Q2","perc","55 - 64","1","4"
"r_16","2019Q2","perc","65+","1","(2.4)"
"r_16","2019Q2","perc","0","2","3.7"
"r_16","2019Q2","perc","15 - 64","2","3.8"
"r_16","2019Q2","perc","20 - 64","2","3.7"
"r_16","2019Q2","perc","15 - 29","2","6.3"
"r_16","2019Q2","perc","15 - 24","2","9.6"
"r_16","2019Q2","perc","25 - 34","2","4.5"
"r_16","2019Q2","perc","35 - 44","2","3.4"
"r_16","2019Q2","perc","45 - 54","2","3.1"
"r_16","2019Q2","perc","55 - 64","2","3.5"
"r_16","2019Q2","perc","65+","2","(1.9)"
"r_17","2003Q1","perc","0","0","15.6"
"r_17","2003Q1","perc","15 - 64","0","15.7"
"r_17","2003Q1","perc","20 - 64","0","15.3"
"r_17","2003Q1","perc","15 - 29","0","23"
"r_17","2003Q1","perc","15 - 24","0","30.8"
"r_17","2003Q1","perc","25 - 34","0","16.1"
"r_17","2003Q1","perc","35 - 44","0","13"
"r_17","2003Q1","perc","45 - 54","0","13.4"
"r_17","2003Q1","perc","55 - 64","0","13.8"
"r_17","2003Q1","perc","65+","0","(4.3)"
"r_17","2003Q1","perc","0","1","16.3"
"r_17","2003Q1","perc","15 - 64","1","16.6"
"r_17","2003Q1","perc","20 - 64","1","16.1"
"r_17","2003Q1","perc","15 - 29","1","24.2"
"r_17","2003Q1","perc","15 - 24","1","33.9"
"r_17","2003Q1","perc","25 - 34","1","16.3"
"r_17","2003Q1","perc","35 - 44","1","14.9"
"r_17","2003Q1","perc","45 - 54","1","13"
"r_17","2003Q1","perc","55 - 64","1","13.4"
"r_17","2003Q1","perc","65+","1","(3.2)"
"r_17","2003Q1","perc","0","2","14.8"
"r_17","2003Q1","perc","15 - 64","2","14.8"
"r_17","2003Q1","perc","20 - 64","2","14.3"
"r_17","2003Q1","perc","15 - 29","2","21.5"
"r_17","2003Q1","perc","15 - 24","2","27"
"r_17","2003Q1","perc","25 - 34","2","15.9"
"r_17","2003Q1","perc","35 - 44","2","11.1"
"r_17","2003Q1","perc","45 - 54","2","13.8"
"r_17","2003Q1","perc","55 - 64","2","14.6"
"r_17","2003Q1","perc","65+","2","(7.8)"
"r_17","2003Q2","perc","0","0","13.7"
"r_17","2003Q2","perc","15 - 64","0","13.9"
"r_17","2003Q2","perc","20 - 64","0","13.6"
"r_17","2003Q2","perc","15 - 29","0","21.4"
"r_17","2003Q2","perc","15 - 24","0","27"
"r_17","2003Q2","perc","25 - 34","0","14.8"
"r_17","2003Q2","perc","35 - 44","0","11.7"
"r_17","2003Q2","perc","45 - 54","0","11.7"
"r_17","2003Q2","perc","55 - 64","0","11.6"
"r_17","2003Q2","perc","65+","0","(1.9)"
"r_17","2003Q2","perc","0","1","14.2"
"r_17","2003Q2","perc","15 - 64","1","14.5"
"r_17","2003Q2","perc","20 - 64","1","14.2"
"r_17","2003Q2","perc","15 - 29","1","22.5"
"r_17","2003Q2","perc","15 - 24","1","29.3"
"r_17","2003Q2","perc","25 - 34","1","14.7"
"r_17","2003Q2","perc","35 - 44","1","12.4"
"r_17","2003Q2","perc","45 - 54","1","11.9"
"r_17","2003Q2","perc","55 - 64","1","11.4"
"r_17","2003Q2","perc","65+","1","(1.4)"
"r_17","2003Q2","perc","0","2","13.2"
"r_17","2003Q2","perc","15 - 64","2","13.3"
"r_17","2003Q2","perc","20 - 64","2","12.9"
"r_17","2003Q2","perc","15 - 29","2","20"
"r_17","2003Q2","perc","15 - 24","2","24.1"
"r_17","2003Q2","perc","25 - 34","2","14.9"
"r_17","2003Q2","perc","35 - 44","2","10.9"
"r_17","2003Q2","perc","45 - 54","2","11.5"
"r_17","2003Q2","perc","55 - 64","2","12"
"r_17","2003Q2","perc","65+","2","(3.1)"
"r_17","2003Q3","perc","0","0","12.7"
"r_17","2003Q3","perc","15 - 64","0","12.9"
"r_17","2003Q3","perc","20 - 64","0","12.4"
