RevisionColumn,periods,Units,EKATTE_Hlth,Mpersonnel,ValueColumn
"r_1","2003","num","BG","1","28128"
"r_1","2003","num","BG","2","6475"
"r_1","2003","num","BG","3","45731"
"r_1","2004","num","BG","1","27423"
"r_1","2004","num","BG","2","6491"
"r_1","2004","num","BG","3","46037"
"r_1","2005","num","BG","1","28197"
"r_1","2005","num","BG","2","6493"
"r_1","2005","num","BG","3","47657"
"r_1","2006","num","BG","1","28111"
"r_1","2006","num","BG","2","6512"
"r_1","2006","num","BG","3","48112"
"r_1","2007","num","BG","1","27911"
"r_1","2007","num","BG","2","6432"
"r_1","2007","num","BG","3","48631"
"r_1","2008","num","BG","1","27480"
"r_1","2008","num","BG","2","6288"
"r_1","2008","num","BG","3","48378"
"r_1","2009","num","BG","1","27988"
"r_1","2009","num","BG","2","6493"
"r_1","2009","num","BG","3","48099"
"r_1","2010","num","BG","1","27997"
"r_1","2010","num","BG","2","6355"
"r_1","2010","num","BG","3","47468"
"r_1","2011","num","BG","1","28411"
"r_1","2011","num","BG","2","6655"
"r_1","2011","num","BG","3","47427"
"r_1","2012","num","BG","1","28643"
"r_1","2012","num","BG","2","6706"
"r_1","2012","num","BG","3","47806"
"r_1","2013","num","BG","1","28937"
"r_1","2013","num","BG","2","7247"
"r_1","2013","num","BG","3","48463"
"r_1","2014","num","BG","1","28842"
"r_1","2014","num","BG","2","7013"
"r_1","2014","num","BG","3","48158"
"r_1","2015","num","BG","1","29073"
"r_1","2015","num","BG","2","7512"
"r_1","2015","num","BG","3","47428"
"r_1","2016","num","BG","1","29539"
"r_1","2016","num","BG","2","8011"
"r_1","2016","num","BG","3","46930"
"r_1","2017","num","BG","1","30078"
"r_1","2017","num","BG","2","8355"
"r_1","2017","num","BG","3","46702"
"r_1","2003","num","BG3","1","13176"
"r_1","2003","num","BG3","2","2687"
"r_1","2003","num","BG3","3","22046"
"r_1","2004","num","BG3","1","13063"
"r_1","2004","num","BG3","2","2632"
"r_1","2004","num","BG3","3","22891"
"r_1","2005","num","BG3","1","12979"
"r_1","2005","num","BG3","2","2636"
"r_1","2005","num","BG3","3","23249"
"r_1","2006","num","BG3","1","12967"
"r_1","2006","num","BG3","2","2667"
"r_1","2006","num","BG3","3","23499"
"r_1","2007","num","BG3","1","12917"
"r_1","2007","num","BG3","2","2673"
"r_1","2007","num","BG3","3","23804"
"r_1","2008","num","BG3","1","12949"
"r_1","2008","num","BG3","2","2560"
"r_1","2008","num","BG3","3","23511"
"r_1","2009","num","BG3","1","13266"
"r_1","2009","num","BG3","2","2731"
"r_1","2009","num","BG3","3","23611"
"r_1","2010","num","BG3","1","13376"
"r_1","2010","num","BG3","2","2633"
"r_1","2010","num","BG3","3","23142"
"r_1","2011","num","BG3","1","13189"
