RevisionColumn,periods,Units,GenderID,LFS_DuratUnempl,ValueColumn
"r_2","2003Q1","1000cp","0","0","499.6"
"r_2","2003Q1","1000cp","1","0","277.8"
"r_2","2003Q1","1000cp","2","0","221.8"
"r_2","2003Q1","1000cp","0","1","122.5"
"r_2","2003Q1","1000cp","1","1","65"
"r_2","2003Q1","1000cp","2","1","57.599999999999994"
"r_2","2003Q1","1000cp","0","2","65.7"
"r_2","2003Q1","1000cp","1","2","35"
"r_2","2003Q1","1000cp","2","2","30.7"
"r_2","2003Q1","1000cp","0","3","78.4"
"r_2","2003Q1","1000cp","1","3","46.9"
"r_2","2003Q1","1000cp","2","3","31.5"
"r_2","2003Q1","1000cp","0","4","233"
"r_2","2003Q1","1000cp","1","4","130.8"
"r_2","2003Q1","1000cp","2","4","102.10000000000001"
"r_2","2003Q2","1000cp","0","0","457.3"
"r_2","2003Q2","1000cp","1","0","252.1"
"r_2","2003Q2","1000cp","2","0","205.2"
"r_2","2003Q2","1000cp","0","1","89.7"
"r_2","2003Q2","1000cp","1","1","51.8"
"r_2","2003Q2","1000cp","2","1","37.900000000000006"
"r_2","2003Q2","1000cp","0","2","60.2"
"r_2","2003Q2","1000cp","1","2","32.2"
"r_2","2003Q2","1000cp","2","2","27.9"
"r_2","2003Q2","1000cp","0","3","73.4"
"r_2","2003Q2","1000cp","1","3","40.4"
"r_2","2003Q2","1000cp","2","3","33.1"
"r_2","2003Q2","1000cp","0","4","232"
"r_2","2003Q2","1000cp","1","4","126.6"
"r_2","2003Q2","1000cp","2","4","105.5"
"r_2","2003Q3","1000cp","0","0","426.3"
"r_2","2003Q3","1000cp","1","0","228.5"
"r_2","2003Q3","1000cp","2","0","197.8"
"r_2","2003Q3","1000cp","0","1","87.5"
"r_2","2003Q3","1000cp","1","1","48.6"
"r_2","2003Q3","1000cp","2","1","38.9"
"r_2","2003Q3","1000cp","0","2","53.7"
"r_2","2003Q3","1000cp","1","2","29.8"
"r_2","2003Q3","1000cp","2","2","23.8"
"r_2","2003Q3","1000cp","0","3","70.2"
"r_2","2003Q3","1000cp","1","3","36.4"
"r_2","2003Q3","1000cp","2","3","33.7"
"r_2","2003Q3","1000cp","0","4","213.3"
"r_2","2003Q3","1000cp","1","4","112.9"
"r_2","2003Q3","1000cp","2","4","100.30000000000001"
"r_2","2003Q4","1000cp","0","0","411.4"
"r_2","2003Q4","1000cp","1","0","223.2"
"r_2","2003Q4","1000cp","2","0","188.3"
"r_2","2003Q4","1000cp","0","1","92.1"
"r_2","2003Q4","1000cp","1","1","47.800000000000004"
"r_2","2003Q4","1000cp","2","1","44.099999999999994"
"r_2","2003Q4","1000cp","0","2","45.1"
"r_2","2003Q4","1000cp","1","2","25.2"
"r_2","2003Q4","1000cp","2","2","19.9"
"r_2","2003Q4","1000cp","0","3","64.4"
"r_2","2003Q4","1000cp","1","3","35.7"
"r_2","2003Q4","1000cp","2","3","28.7"
"r_2","2003Q4","1000cp","0","4","208.2"
"r_2","2003Q4","1000cp","1","4","113"
"r_2","2003Q4","1000cp","2","4","95.3"
"r_2","2004Q1","1000cp","0","0","428.7941311530535"
"r_2","2004Q1","1000cp","1","0","237.816412323765"
"r_2","2004Q1","1000cp","2","0","190.97771882928873"
"r_2","2004Q1","1000cp","0","1","122.12108230555192"
"r_2","2004Q1","1000cp","1","1","71.6752161885423"
"r_2","2004Q1","1000cp","2","1","50.44586611700946"
"r_2","2004Q1","1000cp","0","2","48.58168552709626"
"r_2","2004Q1","1000cp","1","2","26.082400229761962"
"r_2","2004Q1","1000cp","2","2","22.499285297334325"
"r_2","2004Q1","1000cp","0","3","68.29288867170013"
"r_2","2004Q1","1000cp","1","3","37.01985098932298"
"r_2","2004Q1","1000cp","2","3","31.273037682377158"
"r_2","2004Q1","1000cp","0","4","188.1872796990799"
"r_2","2004Q1","1000cp","1","4","101.59380402056611"
"r_2","2004Q1","1000cp","2","4","86.59347567851383"
"r_2","2004Q2","1000cp","0","0","406.1"
"r_2","2004Q2","1000cp","1","0","222.7"
"r_2","2004Q2","1000cp","2","0","183.4"
"r_2","2004Q2","1000cp","0","1","113.1"
"r_2","2004Q2","1000cp","1","1","69.3"
"r_2","2004Q2","1000cp","2","1","43.8"
"r_2","2004Q2","1000cp","0","2","59.2"
"r_2","2004Q2","1000cp","1","2","29.9"
"r_2","2004Q2","1000cp","2","2","29.3"
"r_2","2004Q2","1000cp","0","3","62.5"
"r_2","2004Q2","1000cp","1","3","33.7"
"r_2","2004Q2","1000cp","2","3","28.9"
"r_2","2004Q2","1000cp","0","4","170.5"
"r_2","2004Q2","1000cp","1","4","89.4"
"r_2","2004Q2","1000cp","2","4","81.10000000000001"
"r_2","2004Q3","1000cp","0","0","373"
"r_2","2004Q3","1000cp","1","0","207.3"
"r_2","2004Q3","1000cp","2","0","165.8"
"r_2","2004Q3","1000cp","0","1","91"
"r_2","2004Q3","1000cp","1","1","53.4"
"r_2","2004Q3","1000cp","2","1","37.8"
"r_2","2004Q3","1000cp","0","2","55.4"
"r_2","2004Q3","1000cp","1","2","32.8"
"r_2","2004Q3","1000cp","2","2","22.6"
"r_2","2004Q3","1000cp","0","3","64.8"
"r_2","2004Q3","1000cp","1","3","34"
"r_2","2004Q3","1000cp","2","3","30.8"
"r_2","2004Q3","1000cp","0","4","161.4"
"r_2","2004Q3","1000cp","1","4","86.9"
"r_2","2004Q3","1000cp","2","4","74.5"
"r_2","2004Q4","1000cp","0","0","390.97295351718515"
"r_2","2004Q4","1000cp","1","0","220.02611290503776"
"r_2","2004Q4","1000cp","2","0","170.94684061214912"
"r_2","2004Q4","1000cp","0","1","107.99880577117439"
"r_2","2004Q4","1000cp","1","1","60.36250876129209"
"r_2","2004Q4","1000cp","2","1","47.63629700988222"
"r_2","2004Q4","1000cp","0","2","47.281993708972855"
"r_2","2004Q4","1000cp","1","2","27.243027893469574"
"r_2","2004Q4","1000cp","2","2","20.03896581550333"
"r_2","2004Q4","1000cp","0","3","66.71673176002665"
"r_2","2004Q4","1000cp","1","3","40.45564975051298"
"r_2","2004Q4","1000cp","2","3","26.261082009513725"
"r_2","2004Q4","1000cp","0","4","168.0349468683116"
"r_2","2004Q4","1000cp","1","4","91.50809734956566"
"r_2","2004Q4","1000cp","2","4","76.52684951874602"
"r_2","2005Q1","1000cp","0","0","362.3"
"r_2","2005Q1","1000cp","1","0","200.2"
"r_2","2005Q1","1000cp","2","0","162.1"
"r_2","2005Q1","1000cp","0","1","119.3"
"r_2","2005Q1","1000cp","1","1","67.9"
"r_2","2005Q1","1000cp","2","1","51.4"
"r_2","2005Q1","1000cp","0","2","36.1"
"r_2","2005Q1","1000cp","1","2","19.6"
"r_2","2005Q1","1000cp","2","2","16.4"
"r_2","2005Q1","1000cp","0","3","62.7"
"r_2","2005Q1","1000cp","1","3","36.3"
"r_2","2005Q1","1000cp","2","3","26.4"
"r_2","2005Q1","1000cp","0","4","143.4"
"r_2","2005Q1","1000cp","1","4","75.7"
"r_2","2005Q1","1000cp","2","4","67.7"
"r_2","2005Q2","1000cp","0","0","332.9"
"r_2","2005Q2","1000cp","1","0","183.8"
"r_2","2005Q2","1000cp","2","0","149.1"
"r_2","2005Q2","1000cp","0","1","83.89999999999999"
"r_2","2005Q2","1000cp","1","1","46.8"
"r_2","2005Q2","1000cp","2","1","37.1"
"r_2","2005Q2","1000cp","0","2","47.8"
"r_2","2005Q2","1000cp","1","2","29"
"r_2","2005Q2","1000cp","2","2","18.8"
"r_2","2005Q2","1000cp","0","3","60.3"
"r_2","2005Q2","1000cp","1","3","29.8"
"r_2","2005Q2","1000cp","2","3","30.5"
"r_2","2005Q2","1000cp","0","4","141"
"r_2","2005Q2","1000cp","1","4","78.1"
"r_2","2005Q2","1000cp","2","4","62.8"
"r_2","2005Q3","1000cp","0","0","312.9"
"r_2","2005Q3","1000cp","1","0","167.8"
"r_2","2005Q3","1000cp","2","0","145.1"
"r_2","2005Q3","1000cp","0","1","69.2"
"r_2","2005Q3","1000cp","1","1","36.8"
"r_2","2005Q3","1000cp","2","1","32.4"
"r_2","2005Q3","1000cp","0","2","49.4"
"r_2","2005Q3","1000cp","1","2","26"
"r_2","2005Q3","1000cp","2","2","23.4"
"r_2","2005Q3","1000cp","0","3","53.900000000000006"
"r_2","2005Q3","1000cp","1","3","28.799999999999997"
"r_2","2005Q3","1000cp","2","3","25.1"
"r_2","2005Q3","1000cp","0","4","139.3"
"r_2","2005Q3","1000cp","1","4","75.4"
"r_2","2005Q3","1000cp","2","4","63.900000000000006"
"r_2","2005Q4","1000cp","0","0","328.5"
"r_2","2005Q4","1000cp","1","0","179"
"r_2","2005Q4","1000cp","2","0","149.5"
"r_2","2005Q4","1000cp","0","1","88"
"r_2","2005Q4","1000cp","1","1","51.4"
"r_2","2005Q4","1000cp","2","1","36.6"
"r_2","2005Q4","1000cp","0","2","41.3"
"r_2","2005Q4","1000cp","1","2","22.4"
"r_2","2005Q4","1000cp","2","2","18.9"
"r_2","2005Q4","1000cp","0","3","54.5"
"r_2","2005Q4","1000cp","1","3","29.200000000000003"
"r_2","2005Q4","1000cp","2","3","25.200000000000003"
"r_2","2005Q4","1000cp","0","4","143.5"
"r_2","2005Q4","1000cp","1","4","75.6"
"r_2","2005Q4","1000cp","2","4","68"
"r_2","2006Q1","1000cp","0","0","315.2"
"r_2","2006Q1","1000cp","1","0","164.7"
"r_2","2006Q1","1000cp","2","0","150.6"
"r_2","2006Q1","1000cp","0","1","98.9"
"r_2","2006Q1","1000cp","1","1","56.1"
"r_2","2006Q1","1000cp","2","1","42.8"
"r_2","2006Q1","1000cp","0","2","36.8"
"r_2","2006Q1","1000cp","1","2","17.9"
"r_2","2006Q1","1000cp","2","2","18.9"
"r_2","2006Q1","1000cp","0","3","49"
"r_2","2006Q1","1000cp","1","3","23"
"r_2","2006Q1","1000cp","2","3","26.1"
"r_2","2006Q1","1000cp","0","4","130.5"
"r_2","2006Q1","1000cp","1","4","67.7"
"r_2","2006Q1","1000cp","2","4","62.9"
"r_2","2006Q2","1000cp","0","0","308.9"
"r_2","2006Q2","1000cp","1","0","159.3"
"r_2","2006Q2","1000cp","2","0","149.6"
"r_2","2006Q2","1000cp","0","1","97"
"r_2","2006Q2","1000cp","1","1","54.2"
"r_2","2006Q2","1000cp","2","1","42.8"
"r_2","2006Q2","1000cp","0","2","45.1"
"r_2","2006Q2","1000cp","1","2","21.4"
"r_2","2006Q2","1000cp","2","2","23.7"
"r_2","2006Q2","1000cp","0","3","50.3"
"r_2","2006Q2","1000cp","1","3","21.6"
"r_2","2006Q2","1000cp","2","3","28.7"
"r_2","2006Q2","1000cp","0","4","116.5"
"r_2","2006Q2","1000cp","1","4","62.1"
"r_2","2006Q2","1000cp","2","4","54.4"
"r_2","2006Q3","1000cp","0","0","310.4"
"r_2","2006Q3","1000cp","1","0","153.8"
"r_2","2006Q3","1000cp","2","0","156.7"
"r_2","2006Q3","1000cp","0","1","89"
"r_2","2006Q3","1000cp","1","1","43.7"
"r_2","2006Q3","1000cp","2","1","45.3"
"r_2","2006Q3","1000cp","0","2","46.4"
"r_2","2006Q3","1000cp","1","2","23.2"
"r_2","2006Q3","1000cp","2","2","23.2"
"r_2","2006Q3","1000cp","0","3","48.4"
"r_2","2006Q3","1000cp","1","3","21.9"
"r_2","2006Q3","1000cp","2","3","26.5"
"r_2","2006Q3","1000cp","0","4","126.6"
"r_2","2006Q3","1000cp","1","4","65"
"r_2","2006Q3","1000cp","2","4","61.6"
"r_2","2006Q4","1000cp","0","0","288.4"
"r_2","2006Q4","1000cp","1","0","147.8"
"r_2","2006Q4","1000cp","2","0","140.6"
"r_2","2006Q4","1000cp","0","1","84.5"
"r_2","2006Q4","1000cp","1","1","42.9"
"r_2","2006Q4","1000cp","2","1","41.6"
"r_2","2006Q4","1000cp","0","2","42.4"
"r_2","2006Q4","1000cp","1","2","21"
"r_2","2006Q4","1000cp","2","2","21.4"
"r_2","2006Q4","1000cp","0","3","41.1"
"r_2","2006Q4","1000cp","1","3","21.7"
"r_2","2006Q4","1000cp","2","3","19.5"
"r_2","2006Q4","1000cp","0","4","120.3"
"r_2","2006Q4","1000cp","1","4","62.2"
"r_2","2006Q4","1000cp","2","4","58.1"
"r_2","2007Q1","1000cp","0","0","272.7"
"r_2","2007Q1","1000cp","1","0","138.5"
"r_2","2007Q1","1000cp","2","0","134.2"
"r_2","2007Q1","1000cp","0","1","85.4"
"r_2","2007Q1","1000cp","1","1","43.8"
"r_2","2007Q1","1000cp","2","1","41.6"
"r_2","2007Q1","1000cp","0","2","35.6"
"r_2","2007Q1","1000cp","1","2","17"
"r_2","2007Q1","1000cp","2","2","18.6"
"r_2","2007Q1","1000cp","0","3","37"
"r_2","2007Q1","1000cp","1","3","18.8"
"r_2","2007Q1","1000cp","2","3","18.2"
"r_2","2007Q1","1000cp","0","4","114.7"
"r_2","2007Q1","1000cp","1","4","58.8"
"r_2","2007Q1","1000cp","2","4","55.9"
"r_2","2007Q2","1000cp","0","0","237.8"
"r_2","2007Q2","1000cp","1","0","125.3"
"r_2","2007Q2","1000cp","2","0","112.6"
"r_2","2007Q2","1000cp","0","1","59.8"
"r_2","2007Q2","1000cp","1","1","33.3"
"r_2","2007Q2","1000cp","2","1","26.6"
"r_2","2007Q2","1000cp","0","2","41.7"
"r_2","2007Q2","1000cp","1","2","23.7"
"r_2","2007Q2","1000cp","2","2","18.1"
"r_2","2007Q2","1000cp","0","3","34.8"
"r_2","2007Q2","1000cp","1","3","17"
"r_2","2007Q2","1000cp","2","3","17.8"
"r_2","2007Q2","1000cp","0","4","101.4"
"r_2","2007Q2","1000cp","1","4","51.3"
"r_2","2007Q2","1000cp","2","4","50.1"
"r_2","2007Q3","1000cp","0","0","235.1"
"r_2","2007Q3","1000cp","1","0","113.5"
"r_2","2007Q3","1000cp","2","0","121.6"
"r_2","2007Q3","1000cp","0","1","60.7"
"r_2","2007Q3","1000cp","1","1","32"
"r_2","2007Q3","1000cp","2","1","28.7"
"r_2","2007Q3","1000cp","0","2","32.6"
"r_2","2007Q3","1000cp","1","2","15.8"
"r_2","2007Q3","1000cp","2","2","16.8"
"r_2","2007Q3","1000cp","0","3","42.7"
"r_2","2007Q3","1000cp","1","3","21.8"
"r_2","2007Q3","1000cp","2","3","20.9"
"r_2","2007Q3","1000cp","0","4","99"
"r_2","2007Q3","1000cp","1","4","43.8"
"r_2","2007Q3","1000cp","2","4","55.2"
"r_2","2007Q4","1000cp","0","0","215.3"
"r_2","2007Q4","1000cp","1","0","105.5"
"r_2","2007Q4","1000cp","2","0","109.8"
"r_2","2007Q4","1000cp","0","1","48.2"
"r_2","2007Q4","1000cp","1","1","27.9"
"r_2","2007Q4","1000cp","2","1","20.3"
"r_2","2007Q4","1000cp","0","2","30.7"
"r_2","2007Q4","1000cp","1","2","15.8"
"r_2","2007Q4","1000cp","2","2","14.9"
"r_2","2007Q4","1000cp","0","3","36.7"
"r_2","2007Q4","1000cp","1","3","16.2"
"r_2","2007Q4","1000cp","2","3","20.5"
"r_2","2007Q4","1000cp","0","4","99.7"
"r_2","2007Q4","1000cp","1","4","45.6"
"r_2","2007Q4","1000cp","2","4","54.1"
"r_2","2008Q1","1000cp","0","0","228.8"
"r_2","2008Q1","1000cp","1","0","119"
"r_2","2008Q1","1000cp","2","0","109.9"
"r_2","2008Q1","1000cp","0","1","82.4"
"r_2","2008Q1","1000cp","1","1","47.7"
"r_2","2008Q1","1000cp","2","1","34.7"
"r_2","2008Q1","1000cp","0","2","30.3"
"r_2","2008Q1","1000cp","1","2","15.1"
"r_2","2008Q1","1000cp","2","2","15.2"
"r_2","2008Q1","1000cp","0","3","35.3"
"r_2","2008Q1","1000cp","1","3","16.7"
"r_2","2008Q1","1000cp","2","3","18.6"
"r_2","2008Q1","1000cp","0","4","80.9"
"r_2","2008Q1","1000cp","1","4","39.5"
"r_2","2008Q1","1000cp","2","4","41.4"
"r_2","2008Q2","1000cp","0","0","207.2"
"r_2","2008Q2","1000cp","1","0","106.6"
"r_2","2008Q2","1000cp","2","0","100.6"
"r_2","2008Q2","1000cp","0","1","69.7"
"r_2","2008Q2","1000cp","1","1","35.6"
"r_2","2008Q2","1000cp","2","1","34.1"
"r_2","2008Q2","1000cp","0","2","32.4"
"r_2","2008Q2","1000cp","1","2","16.5"
"r_2","2008Q2","1000cp","2","2","15.9"
"r_2","2008Q2","1000cp","0","3","32.2"
"r_2","2008Q2","1000cp","1","3","20.4"
"r_2","2008Q2","1000cp","2","3","11.8"
"r_2","2008Q2","1000cp","0","4","72.9"
"r_2","2008Q2","1000cp","1","4","34"
"r_2","2008Q2","1000cp","2","4","38.8"
"r_2","2008Q3","1000cp","0","0","185.1"
"r_2","2008Q3","1000cp","1","0","96.8"
"r_2","2008Q3","1000cp","2","0","88.3"
"r_2","2008Q3","1000cp","0","1","56.2"
"r_2","2008Q3","1000cp","1","1","30.3"
"r_2","2008Q3","1000cp","2","1","25.9"
"r_2","2008Q3","1000cp","0","2","31.4"
"r_2","2008Q3","1000cp","1","2","17.3"
"r_2","2008Q3","1000cp","2","2","14.1"
"r_2","2008Q3","1000cp","0","3","29.1"
"r_2","2008Q3","1000cp","1","3","17"
"r_2","2008Q3","1000cp","2","3","12.1"
"r_2","2008Q3","1000cp","0","4","68.4"
"r_2","2008Q3","1000cp","1","4","32.2"
"r_2","2008Q3","1000cp","2","4","36.2"
"r_2","2008Q4","1000cp","0","0","177.7"
