Code list,Code,Name of Code list or Code in Bulgarian,Name of Code list or Code in English
"Units","","Мерни единици","Measuring units"
"Units","1000cp","брой лица в хиляди","Thousand persons"
"GenderID","","Пол","Sex"
"GenderID","0","Общо","Total"
"GenderID","1","Мъже","Male"
"GenderID","2","Жени","Female"
"LFS_ReasLeaveJob","","Причини за напускане на работа","Reasons leaving_job"
"LFS_ReasLeaveJob","0","Общо","Total"
"LFS_ReasLeaveJob","1","Съкращение, уволнение","Redundancy (Job losers)"
"LFS_ReasLeaveJob","2","Завършване на временна или сезонна работа","Seasonal or temporary job has ended"
"LFS_ReasLeaveJob","3","Неудовлетвореност от условията на работа","Unsatisfied with working conditions"
"LFS_ReasLeaveJob","5","Други","Others"
"LFS_ReasLeaveJob","6","Непосочено (вкл. неработили през последните 8 години)","Unknown (incl. non-working during the last 8 years)"
"LFS_ReasLeaveJob","8","Семейни причини","Family reasons"
"LFS_EmplExpr_Unempl","","Наличие на предишна заетост (за безработните лица)","Employment experience_unempl"
"LFS_EmplExpr_Unempl","0","Общо","Total"
"LFS_EmplExpr_Unempl","1","Безработни лица с предишна заетост","Unemployed with previous employment experience"
"LFS_EmplExpr_Unempl","2","Безработни лица, търсещи първа работа","Unemployed looking for their first job"
