RevisionColumn,periods,Units,GenderID,NUTS,ValueColumn
"r_2","2003Q1","1000cp","0","BG","499.6"
"r_2","2003Q1","1000cp","1","BG","277.8"
"r_2","2003Q1","1000cp","2","BG","221.8"
"r_2","2003Q1","1000cp","0","BG31","54"
"r_2","2003Q1","1000cp","1","BG31","31.7"
"r_2","2003Q1","1000cp","2","BG31","22.3"
"r_2","2003Q1","1000cp","0","BG32","64.3"
"r_2","2003Q1","1000cp","1","BG32","40.2"
"r_2","2003Q1","1000cp","2","BG32","24.1"
"r_2","2003Q1","1000cp","0","BG33","88.5"
"r_2","2003Q1","1000cp","1","BG33","46.5"
"r_2","2003Q1","1000cp","2","BG33","42"
"r_2","2003Q1","1000cp","0","BG34","85.5"
"r_2","2003Q1","1000cp","1","BG34","47.4"
"r_2","2003Q1","1000cp","2","BG34","38.1"
"r_2","2003Q1","1000cp","0","BG41","128.8"
"r_2","2003Q1","1000cp","1","BG41","65.1"
"r_2","2003Q1","1000cp","2","BG41","63.6"
"r_2","2003Q1","1000cp","0","BG42","78.5"
"r_2","2003Q1","1000cp","1","BG42","46.9"
"r_2","2003Q1","1000cp","2","BG42","31.5"
"r_2","2003Q2","1000cp","0","BG","457.3"
"r_2","2003Q2","1000cp","1","BG","252.1"
"r_2","2003Q2","1000cp","2","BG","205.2"
"r_2","2003Q2","1000cp","0","BG31","44"
"r_2","2003Q2","1000cp","1","BG31","26.8"
"r_2","2003Q2","1000cp","2","BG31","17.2"
"r_2","2003Q2","1000cp","0","BG32","58.9"
"r_2","2003Q2","1000cp","1","BG32","32.4"
"r_2","2003Q2","1000cp","2","BG32","26.5"
"r_2","2003Q2","1000cp","0","BG33","91.9"
"r_2","2003Q2","1000cp","1","BG33","46.1"
"r_2","2003Q2","1000cp","2","BG33","45.8"
"r_2","2003Q2","1000cp","0","BG34","75.7"
"r_2","2003Q2","1000cp","1","BG34","39.5"
"r_2","2003Q2","1000cp","2","BG34","36.2"
"r_2","2003Q2","1000cp","0","BG41","109.7"
"r_2","2003Q2","1000cp","1","BG41","61.8"
"r_2","2003Q2","1000cp","2","BG41","47.9"
"r_2","2003Q2","1000cp","0","BG42","77.1"
"r_2","2003Q2","1000cp","1","BG42","45.4"
"r_2","2003Q2","1000cp","2","BG42","31.7"
"r_2","2003Q3","1000cp","0","BG","426.3"
"r_2","2003Q3","1000cp","1","BG","228.5"
"r_2","2003Q3","1000cp","2","BG","197.8"
"r_2","2003Q3","1000cp","0","BG31","55.7"
"r_2","2003Q3","1000cp","1","BG31","32.3"
"r_2","2003Q3","1000cp","2","BG31","23.4"
"r_2","2003Q3","1000cp","0","BG32","56.6"
"r_2","2003Q3","1000cp","1","BG32","28.8"
"r_2","2003Q3","1000cp","2","BG32","27.8"
"r_2","2003Q3","1000cp","0","BG33","88.8"
"r_2","2003Q3","1000cp","1","BG33","43.4"
"r_2","2003Q3","1000cp","2","BG33","45.3"
"r_2","2003Q3","1000cp","0","BG34","58.9"
"r_2","2003Q3","1000cp","1","BG34","29.3"
"r_2","2003Q3","1000cp","2","BG34","29.6"
"r_2","2003Q3","1000cp","0","BG41","102.5"
"r_2","2003Q3","1000cp","1","BG41","56.1"
"r_2","2003Q3","1000cp","2","BG41","46.5"
"r_2","2003Q3","1000cp","0","BG42","63.8"
"r_2","2003Q3","1000cp","1","BG42","38.6"
"r_2","2003Q3","1000cp","2","BG42","25.2"
"r_2","2003Q4","1000cp","0","BG","411.4"
"r_2","2003Q4","1000cp","1","BG","223.2"
"r_2","2003Q4","1000cp","2","BG","188.3"
"r_2","2003Q4","1000cp","0","BG31","51.9"
"r_2","2003Q4","1000cp","1","BG31","29.9"
"r_2","2003Q4","1000cp","2","BG31","22"
"r_2","2003Q4","1000cp","0","BG32","61.7"
"r_2","2003Q4","1000cp","1","BG32","32.7"
"r_2","2003Q4","1000cp","2","BG32","28.9"
"r_2","2003Q4","1000cp","0","BG33","83.4"
"r_2","2003Q4","1000cp","1","BG33","45.1"
"r_2","2003Q4","1000cp","2","BG33","38.3"
"r_2","2003Q4","1000cp","0","BG34","60"
"r_2","2003Q4","1000cp","1","BG34","29.1"
"r_2","2003Q4","1000cp","2","BG34","30.9"
"r_2","2003Q4","1000cp","0","BG41","92.4"
