RevisionColumn,periods,Units,GenderID,NUTS,ValueColumn
"r_2","2003Q1","perc","0","BG","15.6"
"r_2","2003Q1","perc","1","BG","16.3"
"r_2","2003Q1","perc","2","BG","14.8"
"r_2","2003Q1","perc","0","BG31","14.7"
"r_2","2003Q1","perc","1","BG31","16.4"
"r_2","2003Q1","perc","2","BG31","12.8"
"r_2","2003Q1","perc","0","BG32","16.4"
"r_2","2003Q1","perc","1","BG32","18.8"
"r_2","2003Q1","perc","2","BG32","13.7"
"r_2","2003Q1","perc","0","BG33","21.7"
"r_2","2003Q1","perc","1","BG33","20.5"
"r_2","2003Q1","perc","2","BG33","23.2"
"r_2","2003Q1","perc","0","BG34","18"
"r_2","2003Q1","perc","1","BG34","18.2"
"r_2","2003Q1","perc","2","BG34","17.8"
"r_2","2003Q1","perc","0","BG41","13.5"
"r_2","2003Q1","perc","1","BG41","13.2"
"r_2","2003Q1","perc","2","BG41","13.8"
"r_2","2003Q1","perc","0","BG42","12.9"
"r_2","2003Q1","perc","1","BG42","14.9"
"r_2","2003Q1","perc","2","BG42","10.7"
"r_2","2003Q2","perc","0","BG","13.7"
"r_2","2003Q2","perc","1","BG","14.2"
"r_2","2003Q2","perc","2","BG","13.2"
"r_2","2003Q2","perc","0","BG31","12.1"
"r_2","2003Q2","perc","1","BG31","13.6"
"r_2","2003Q2","perc","2","BG31","10.2"
"r_2","2003Q2","perc","0","BG32","14.7"
"r_2","2003Q2","perc","1","BG32","14.9"
"r_2","2003Q2","perc","2","BG32","14.5"
"r_2","2003Q2","perc","0","BG33","20.3"
"r_2","2003Q2","perc","1","BG33","18.7"
"r_2","2003Q2","perc","2","BG33","22.2"
"r_2","2003Q2","perc","0","BG34","15.3"
"r_2","2003Q2","perc","1","BG34","14.8"
"r_2","2003Q2","perc","2","BG34","16"
"r_2","2003Q2","perc","0","BG41","11.3"
"r_2","2003Q2","perc","1","BG41","12.3"
"r_2","2003Q2","perc","2","BG41","10.2"
"r_2","2003Q2","perc","0","BG42","11.9"
"r_2","2003Q2","perc","1","BG42","13.1"
"r_2","2003Q2","perc","2","BG42","10.4"
"r_2","2003Q3","perc","0","BG","12.7"
"r_2","2003Q3","perc","1","BG","12.8"
"r_2","2003Q3","perc","2","BG","12.6"
"r_2","2003Q3","perc","0","BG31","14.8"
"r_2","2003Q3","perc","1","BG31","15.7"
"r_2","2003Q3","perc","2","BG31","13.7"
"r_2","2003Q3","perc","0","BG32","14.5"
"r_2","2003Q3","perc","1","BG32","13.8"
"r_2","2003Q3","perc","2","BG32","15.2"
"r_2","2003Q3","perc","0","BG33","19.1"
"r_2","2003Q3","perc","1","BG33","17.3"
"r_2","2003Q3","perc","2","BG33","21.2"
"r_2","2003Q3","perc","0","BG34","12"
