Code list,Code,Name of Code list or Code in Bulgarian,Name of Code list or Code in English
"Units","","Мерни единици","Measuring units"
"Units","1000cp","брой лица в хиляди","Thousand persons"
"GenderID","","Пол","Sex"
"GenderID","0","Общо","Total"
"GenderID","1","Мъже","Male"
"GenderID","2","Жени","Female"
"LFS_JobSearch_Meth","","Начини на търсене на работа","Job search methods"
"LFS_JobSearch_Meth","0","Общо","Total"
"LFS_JobSearch_Meth","1","Контакт с държавно бюро по труда","Contact with a public employment office"
"LFS_JobSearch_Meth","2","Установяване на директна връзка с работодатели","Direct contact with employers"
"LFS_JobSearch_Meth","3","Участие в конкурси, явяване на изпити или интервюта","Participating in competitions, taking tests or interviews"
"LFS_JobSearch_Meth","4","Търсене на съдействие от роднини и познати","Seeking assistance of friends and relatives"
"LFS_JobSearch_Meth","5","Подаване или отговаряне на обяви за работа в печатни и електронни медии","Placed or answered job advertisements (printed or electronic)"
"LFS_JobSearch_Meth","6","Изучаване на обяви за работа в печатни и електронни медии","Studying job advertisements (printed or electronic)"
"LFS_JobSearch_Meth","7","Kачване или актуализиране на автобиография (CV) онлайн","Placing or updating CVs online"
