RevisionColumn,periods,Units,GenderID,Residence,ValueColumn
"r_2","2003Q1","1000cp","0","0","499.6"
"r_2","2003Q1","1000cp","1","0","277.8"
"r_2","2003Q1","1000cp","2","0","221.8"
"r_2","2003Q1","1000cp","0","1","358"
"r_2","2003Q1","1000cp","1","1","194.4"
"r_2","2003Q1","1000cp","2","1","163.5"
"r_2","2003Q1","1000cp","0","2","141.6"
"r_2","2003Q1","1000cp","1","2","83.4"
"r_2","2003Q1","1000cp","2","2","58.2"
"r_2","2003Q2","1000cp","0","0","457.3"
"r_2","2003Q2","1000cp","1","0","252.1"
"r_2","2003Q2","1000cp","2","0","205.2"
"r_2","2003Q2","1000cp","0","1","327.9"
"r_2","2003Q2","1000cp","1","1","176.6"
"r_2","2003Q2","1000cp","2","1","151.3"
"r_2","2003Q2","1000cp","0","2","129.4"
"r_2","2003Q2","1000cp","1","2","75.5"
"r_2","2003Q2","1000cp","2","2","53.9"
"r_2","2003Q3","1000cp","0","0","426.3"
"r_2","2003Q3","1000cp","1","0","228.5"
"r_2","2003Q3","1000cp","2","0","197.8"
"r_2","2003Q3","1000cp","0","1","306.2"
"r_2","2003Q3","1000cp","1","1","161.7"
"r_2","2003Q3","1000cp","2","1","144.5"
"r_2","2003Q3","1000cp","0","2","120"
"r_2","2003Q3","1000cp","1","2","66.8"
"r_2","2003Q3","1000cp","2","2","53.3"
"r_2","2003Q4","1000cp","0","0","411.4"
"r_2","2003Q4","1000cp","1","0","223.2"
"r_2","2003Q4","1000cp","2","0","188.3"
"r_2","2003Q4","1000cp","0","1","283.6"
"r_2","2003Q4","1000cp","1","1","150.4"
"r_2","2003Q4","1000cp","2","1","133.2"
"r_2","2003Q4","1000cp","0","2","127.8"
"r_2","2003Q4","1000cp","1","2","72.7"
"r_2","2003Q4","1000cp","2","2","55.1"
"r_2","2004Q1","1000cp","0","0","428.8"
"r_2","2004Q1","1000cp","1","0","237.8"
"r_2","2004Q1","1000cp","2","0","191"
"r_2","2004Q1","1000cp","0","1","294.5"
"r_2","2004Q1","1000cp","1","1","157.1"
"r_2","2004Q1","1000cp","2","1","137.4"
"r_2","2004Q1","1000cp","0","2","134.3"
"r_2","2004Q1","1000cp","1","2","80.7"
"r_2","2004Q1","1000cp","2","2","53.6"
"r_2","2004Q2","1000cp","0","0","406.1"
"r_2","2004Q2","1000cp","1","0","222.7"
"r_2","2004Q2","1000cp","2","0","183.4"
"r_2","2004Q2","1000cp","0","1","290.6"
"r_2","2004Q2","1000cp","1","1","155.3"
"r_2","2004Q2","1000cp","2","1","135.3"
"r_2","2004Q2","1000cp","0","2","115.5"
"r_2","2004Q2","1000cp","1","2","67.4"
"r_2","2004Q2","1000cp","2","2","48.1"
"r_2","2004Q3","1000cp","0","0","373"
"r_2","2004Q3","1000cp","1","0","207.3"
"r_2","2004Q3","1000cp","2","0","165.8"
"r_2","2004Q3","1000cp","0","1","268.6"
"r_2","2004Q3","1000cp","1","1","146.7"
"r_2","2004Q3","1000cp","2","1","121.8"
"r_2","2004Q3","1000cp","0","2","104.5"
"r_2","2004Q3","1000cp","1","2","60.5"
"r_2","2004Q3","1000cp","2","2","43.9"
"r_2","2004Q4","1000cp","0","0","390.97295351718515"
"r_2","2004Q4","1000cp","1","0","220.02611290503776"
"r_2","2004Q4","1000cp","2","0","170.94684061214912"
"r_2","2004Q4","1000cp","0","1","273.336017681758"
"r_2","2004Q4","1000cp","1","1","148.88624627865065"
"r_2","2004Q4","1000cp","2","1","124.44977140310783"
"r_2","2004Q4","1000cp","0","2","117.63693583542799"
"r_2","2004Q4","1000cp","1","2","71.13986662638699"
"r_2","2004Q4","1000cp","2","2","46.49706920904096"
"r_2","2005Q1","1000cp","0","0","362.3"
"r_2","2005Q1","1000cp","1","0","200.2"
"r_2","2005Q1","1000cp","2","0","162.1"
"r_2","2005Q1","1000cp","0","1","245.8"
"r_2","2005Q1","1000cp","1","1","130.4"
"r_2","2005Q1","1000cp","2","1","115.4"
"r_2","2005Q1","1000cp","0","2","116.5"
"r_2","2005Q1","1000cp","1","2","69.7"
"r_2","2005Q1","1000cp","2","2","46.7"
"r_2","2005Q2","1000cp","0","0","332.9"
"r_2","2005Q2","1000cp","1","0","183.8"
"r_2","2005Q2","1000cp","2","0","149.1"
"r_2","2005Q2","1000cp","0","1","222.1"
"r_2","2005Q2","1000cp","1","1","123.4"
"r_2","2005Q2","1000cp","2","1","98.7"
"r_2","2005Q2","1000cp","0","2","110.8"
"r_2","2005Q2","1000cp","1","2","60.4"
"r_2","2005Q2","1000cp","2","2","50.4"
"r_2","2005Q3","1000cp","0","0","312.9"
"r_2","2005Q3","1000cp","1","0","167.8"
"r_2","2005Q3","1000cp","2","0","145.1"
"r_2","2005Q3","1000cp","0","1","216.2"
"r_2","2005Q3","1000cp","1","1","117.2"
"r_2","2005Q3","1000cp","2","1","99"
"r_2","2005Q3","1000cp","0","2","96.7"
"r_2","2005Q3","1000cp","1","2","50.6"
"r_2","2005Q3","1000cp","2","2","46.1"
"r_2","2005Q4","1000cp","0","0","328.5"
"r_2","2005Q4","1000cp","1","0","179"
"r_2","2005Q4","1000cp","2","0","149.5"
"r_2","2005Q4","1000cp","0","1","221.8"
"r_2","2005Q4","1000cp","1","1","120"
"r_2","2005Q4","1000cp","2","1","101.7"
"r_2","2005Q4","1000cp","0","2","106.8"
"r_2","2005Q4","1000cp","1","2","59"
"r_2","2005Q4","1000cp","2","2","47.8"
"r_2","2006Q1","1000cp","0","0","315.2"
"r_2","2006Q1","1000cp","1","0","164.7"
"r_2","2006Q1","1000cp","2","0","150.6"
"r_2","2006Q1","1000cp","0","1","209.2"
"r_2","2006Q1","1000cp","1","1","106.1"
"r_2","2006Q1","1000cp","2","1","103.1"
"r_2","2006Q1","1000cp","0","2","106"
"r_2","2006Q1","1000cp","1","2","58.5"
"r_2","2006Q1","1000cp","2","2","47.5"
"r_2","2006Q2","1000cp","0","0","308.9"
"r_2","2006Q2","1000cp","1","0","159.3"
"r_2","2006Q2","1000cp","2","0","149.6"
"r_2","2006Q2","1000cp","0","1","195.1"
"r_2","2006Q2","1000cp","1","1","99.8"
"r_2","2006Q2","1000cp","2","1","95.2"
"r_2","2006Q2","1000cp","0","2","113.8"
"r_2","2006Q2","1000cp","1","2","59.5"
"r_2","2006Q2","1000cp","2","2","54.3"
"r_2","2006Q3","1000cp","0","0","310.4"
"r_2","2006Q3","1000cp","1","0","153.8"
"r_2","2006Q3","1000cp","2","0","156.7"
"r_2","2006Q3","1000cp","0","1","199.9"
"r_2","2006Q3","1000cp","1","1","94.7"
"r_2","2006Q3","1000cp","2","1","105.3"
"r_2","2006Q3","1000cp","0","2","110.5"
"r_2","2006Q3","1000cp","1","2","59.1"
"r_2","2006Q3","1000cp","2","2","51.4"
"r_2","2006Q4","1000cp","0","0","288.4"
"r_2","2006Q4","1000cp","1","0","147.8"
"r_2","2006Q4","1000cp","2","0","140.6"
"r_2","2006Q4","1000cp","0","1","177"
"r_2","2006Q4","1000cp","1","1","88.1"
"r_2","2006Q4","1000cp","2","1","88.8"
"r_2","2006Q4","1000cp","0","2","111.4"
"r_2","2006Q4","1000cp","1","2","59.7"
"r_2","2006Q4","1000cp","2","2","51.8"
"r_2","2007Q1","1000cp","0","0","272.7"
"r_2","2007Q1","1000cp","1","0","138.5"
"r_2","2007Q1","1000cp","2","0","134.2"
"r_2","2007Q1","1000cp","0","1","168.3"
"r_2","2007Q1","1000cp","1","1","84"
"r_2","2007Q1","1000cp","2","1","84.3"
"r_2","2007Q1","1000cp","0","2","104.4"
"r_2","2007Q1","1000cp","1","2","54.5"
"r_2","2007Q1","1000cp","2","2","49.9"
"r_2","2007Q2","1000cp","0","0","237.8"
"r_2","2007Q2","1000cp","1","0","125.3"
"r_2","2007Q2","1000cp","2","0","112.6"
"r_2","2007Q2","1000cp","0","1","148.7"
"r_2","2007Q2","1000cp","1","1","77.8"
"r_2","2007Q2","1000cp","2","1","70.9"
"r_2","2007Q2","1000cp","0","2","89.2"
"r_2","2007Q2","1000cp","1","2","47.5"
"r_2","2007Q2","1000cp","2","2","41.7"
"r_2","2007Q3","1000cp","0","0","235.1"
"r_2","2007Q3","1000cp","1","0","113.5"
"r_2","2007Q3","1000cp","2","0","121.6"
"r_2","2007Q3","1000cp","0","1","143.5"
"r_2","2007Q3","1000cp","1","1","68.3"
"r_2","2007Q3","1000cp","2","1","75.2"
"r_2","2007Q3","1000cp","0","2","91.5"
"r_2","2007Q3","1000cp","1","2","45.2"
"r_2","2007Q3","1000cp","2","2","46.4"
"r_2","2007Q4","1000cp","0","0","215.3"
"r_2","2007Q4","1000cp","1","0","105.5"
"r_2","2007Q4","1000cp","2","0","109.8"
"r_2","2007Q4","1000cp","0","1","133.3"
"r_2","2007Q4","1000cp","1","1","65"
"r_2","2007Q4","1000cp","2","1","68.4"
"r_2","2007Q4","1000cp","0","2","82"
"r_2","2007Q4","1000cp","1","2","40.5"
"r_2","2007Q4","1000cp","2","2","41.4"
"r_2","2008Q1","1000cp","0","0","228.8"
"r_2","2008Q1","1000cp","1","0","119"
"r_2","2008Q1","1000cp","2","0","109.9"
"r_2","2008Q1","1000cp","0","1","142.8"
"r_2","2008Q1","1000cp","1","1","73.3"
"r_2","2008Q1","1000cp","2","1","69.5"
"r_2","2008Q1","1000cp","0","2","86.1"
"r_2","2008Q1","1000cp","1","2","45.7"
"r_2","2008Q1","1000cp","2","2","40.4"
"r_2","2008Q2","1000cp","0","0","207.2"
"r_2","2008Q2","1000cp","1","0","106.6"
"r_2","2008Q2","1000cp","2","0","100.6"
"r_2","2008Q2","1000cp","0","1","123.9"
"r_2","2008Q2","1000cp","1","1","57.5"
"r_2","2008Q2","1000cp","2","1","66.4"
"r_2","2008Q2","1000cp","0","2","83.2"
"r_2","2008Q2","1000cp","1","2","49.1"
"r_2","2008Q2","1000cp","2","2","34.2"
"r_2","2008Q3","1000cp","0","0","185.1"
"r_2","2008Q3","1000cp","1","0","96.8"
"r_2","2008Q3","1000cp","2","0","88.3"
"r_2","2008Q3","1000cp","0","1","111.7"
"r_2","2008Q3","1000cp","1","1","57.1"
"r_2","2008Q3","1000cp","2","1","54.6"
"r_2","2008Q3","1000cp","0","2","73.4"
"r_2","2008Q3","1000cp","1","2","39.7"
"r_2","2008Q3","1000cp","2","2","33.7"
"r_2","2008Q4","1000cp","0","0","177.7"
"r_2","2008Q4","1000cp","1","0","93.4"
"r_2","2008Q4","1000cp","2","0","84.3"
"r_2","2008Q4","1000cp","0","1","112.2"
"r_2","2008Q4","1000cp","1","1","57.6"
"r_2","2008Q4","1000cp","2","1","54.6"
"r_2","2008Q4","1000cp","0","2","65.6"
"r_2","2008Q4","1000cp","1","2","35.8"
"r_2","2008Q4","1000cp","2","2","29.8"
"r_2","2009Q1","1000cp","0","0","222.2"
"r_2","2009Q1","1000cp","1","0","121.8"
"r_2","2009Q1","1000cp","2","0","100.4"
"r_2","2009Q1","1000cp","0","1","141.2"
"r_2","2009Q1","1000cp","1","1","77.5"
"r_2","2009Q1","1000cp","2","1","63.8"
"r_2","2009Q1","1000cp","0","2","81"
"r_2","2009Q1","1000cp","1","2","44.3"
"r_2","2009Q1","1000cp","2","2","36.6"
"r_2","2009Q2","1000cp","0","0","222.6"
"r_2","2009Q2","1000cp","1","0","117.3"
"r_2","2009Q2","1000cp","2","0","105.2"
"r_2","2009Q2","1000cp","0","1","147.8"
"r_2","2009Q2","1000cp","1","1","75.3"
"r_2","2009Q2","1000cp","2","1","72.5"
"r_2","2009Q2","1000cp","0","2","74.8"
"r_2","2009Q2","1000cp","1","2","42"
"r_2","2009Q2","1000cp","2","2","32.8"
"r_2","2009Q3","1000cp","0","0","234.5"
"r_2","2009Q3","1000cp","1","0","127"
"r_2","2009Q3","1000cp","2","0","107.5"
"r_2","2009Q3","1000cp","0","1","154.5"
"r_2","2009Q3","1000cp","1","1","81"
"r_2","2009Q3","1000cp","2","1","73.5"
"r_2","2009Q3","1000cp","0","2","80"
"r_2","2009Q3","1000cp","1","2","46"
"r_2","2009Q3","1000cp","2","2","34"
"r_2","2009Q4","1000cp","0","0","272.8"
"r_2","2009Q4","1000cp","1","0","154.2"
"r_2","2009Q4","1000cp","2","0","118.6"
"r_2","2009Q4","1000cp","0","1","178.8"
"r_2","2009Q4","1000cp","1","1","100.1"
"r_2","2009Q4","1000cp","2","1","78.7"
"r_2","2009Q4","1000cp","0","2","94"
"r_2","2009Q4","1000cp","1","2","54.1"
"r_2","2009Q4","1000cp","2","2","39.9"
"r_2","2010Q1","1000cp","0","0","344.5"
"r_2","2010Q1","1000cp","1","0","196.1"
"r_2","2010Q1","1000cp","2","0","148.4"
"r_2","2010Q1","1000cp","0","1","236.7"
"r_2","2010Q1","1000cp","1","1","128.7"
"r_2","2010Q1","1000cp","2","1","108"
"r_2","2010Q1","1000cp","0","2","107.8"
"r_2","2010Q1","1000cp","1","2","67.4"
"r_2","2010Q1","1000cp","2","2","40.4"
"r_2","2010Q2","1000cp","0","0","345"
"r_2","2010Q2","1000cp","1","0","194.4"
"r_2","2010Q2","1000cp","2","0","150.5"
"r_2","2010Q2","1000cp","0","1","234.9"
"r_2","2010Q2","1000cp","1","1","126.6"
"r_2","2010Q2","1000cp","2","1","108.3"
"r_2","2010Q2","1000cp","0","2","110"
"r_2","2010Q2","1000cp","1","2","67.9"
"r_2","2010Q2","1000cp","2","2","42.2"
"r_2","2010Q3","1000cp","0","0","330.5"
"r_2","2010Q3","1000cp","1","0","186.9"
"r_2","2010Q3","1000cp","2","0","143.6"
"r_2","2010Q3","1000cp","0","1","221.6"
"r_2","2010Q3","1000cp","1","1","122.9"
"r_2","2010Q3","1000cp","2","1","98.8"
"r_2","2010Q3","1000cp","0","2","108.8"
"r_2","2010Q3","1000cp","1","2","64"
"r_2","2010Q3","1000cp","2","2","44.8"
"r_2","2010Q4","1000cp","0","0","389.4"
"r_2","2010Q4","1000cp","1","0","221.7"
"r_2","2010Q4","1000cp","2","0","167.8"
"r_2","2010Q4","1000cp","0","1","262.2"
"r_2","2010Q4","1000cp","1","1","145.5"
"r_2","2010Q4","1000cp","2","1","116.7"
"r_2","2010Q4","1000cp","0","2","127.2"
"r_2","2010Q4","1000cp","1","2","76.2"
"r_2","2010Q4","1000cp","2","2","51"
"r_2","2011Q1","1000cp","0","0","402"
"r_2","2011Q1","1000cp","1","0","234.1"
"r_2","2011Q1","1000cp","2","0","167.9"
"r_2","2011Q1","1000cp","0","1","272.9"
"r_2","2011Q1","1000cp","1","1","157.1"
"r_2","2011Q1","1000cp","2","1","115.9"
"r_2","2011Q1","1000cp","0","2","129"
"r_2","2011Q1","1000cp","1","2","77"
"r_2","2011Q1","1000cp","2","2","52"
"r_2","2011Q2","1000cp","0","0","372.3"
"r_2","2011Q2","1000cp","1","0","215.9"
"r_2","2011Q2","1000cp","2","0","156.4"
"r_2","2011Q2","1000cp","0","1","259.1"
"r_2","2011Q2","1000cp","1","1","148.2"
"r_2","2011Q2","1000cp","2","1","110.9"
"r_2","2011Q2","1000cp","0","2","113.1"
"r_2","2011Q2","1000cp","1","2","67.7"
"r_2","2011Q2","1000cp","2","2","45.4"
"r_2","2011Q3","1000cp","0","0","346.5"
"r_2","2011Q3","1000cp","1","0","199.3"
"r_2","2011Q3","1000cp","2","0","147.2"
"r_2","2011Q3","1000cp","0","1","238.4"
"r_2","2011Q3","1000cp","1","1","136.9"
"r_2","2011Q3","1000cp","2","1","101.6"
"r_2","2011Q3","1000cp","0","2","108"
"r_2","2011Q3","1000cp","1","2","62.4"
"r_2","2011Q3","1000cp","2","2","45.6"
"r_2","2011Q4","1000cp","0","0","384.2"
"r_2","2011Q4","1000cp","1","0","226.8"
"r_2","2011Q4","1000cp","2","0","157.4"
"r_2","2011Q4","1000cp","0","1","270.3"
"r_2","2011Q4","1000cp","1","1","158.4"
"r_2","2011Q4","1000cp","2","1","112"
"r_2","2011Q4","1000cp","0","2","113.9"
"r_2","2011Q4","1000cp","1","2","68.5"
"r_2","2011Q4","1000cp","2","2","45.4"
"r_2","2012Q1","1000cp","0","0","421.4"
"r_2","2012Q1","1000cp","1","0","252.3"
"r_2","2012Q1","1000cp","2","0","169"
"r_2","2012Q1","1000cp","0","1","289.8"
"r_2","2012Q1","1000cp","1","1","171.2"
"r_2","2012Q1","1000cp","2","1","118.6"
"r_2","2012Q1","1000cp","0","2","131.5"
"r_2","2012Q1","1000cp","1","2","81.1"
"r_2","2012Q1","1000cp","2","2","50.4"
"r_2","2012Q2","1000cp","0","0","409.5"
"r_2","2012Q2","1000cp","1","0","242.7"
"r_2","2012Q2","1000cp","2","0","166.8"
"r_2","2012Q2","1000cp","0","1","292.6"
"r_2","2012Q2","1000cp","1","1","173.1"
"r_2","2012Q2","1000cp","2","1","119.5"
"r_2","2012Q2","1000cp","0","2","116.9"
"r_2","2012Q2","1000cp","1","2","69.6"
"r_2","2012Q2","1000cp","2","2","47.3"
"r_2","2012Q3","1000cp","0","0","393.2"
"r_2","2012Q3","1000cp","1","0","231.5"
"r_2","2012Q3","1000cp","2","0","161.8"
"r_2","2012Q3","1000cp","0","1","273.7"
"r_2","2012Q3","1000cp","1","1","159.5"
"r_2","2012Q3","1000cp","2","1","114.2"
"r_2","2012Q3","1000cp","0","2","119.5"
"r_2","2012Q3","1000cp","1","2","71.9"
"r_2","2012Q3","1000cp","2","2","47.6"
"r_2","2012Q4","1000cp","0","0","417.3"
