RevisionColumn,periods,Units,GenderID,Residence,ValueColumn
"r_2","2003Q1","perc","0","0","15.6"
"r_2","2003Q1","perc","1","0","16.3"
"r_2","2003Q1","perc","2","0","14.8"
"r_2","2003Q1","perc","0","1","14.6"
"r_2","2003Q1","perc","1","1","15.2"
"r_2","2003Q1","perc","2","1","13.9"
"r_2","2003Q1","perc","0","2","19"
"r_2","2003Q1","perc","1","2","19.8"
"r_2","2003Q1","perc","2","2","18"
"r_2","2003Q2","perc","0","0","13.7"
"r_2","2003Q2","perc","1","0","14.2"
"r_2","2003Q2","perc","2","0","13.2"
"r_2","2003Q2","perc","0","1","13.1"
"r_2","2003Q2","perc","1","1","13.5"
"r_2","2003Q2","perc","2","1","12.6"
"r_2","2003Q2","perc","0","2","15.6"
"r_2","2003Q2","perc","1","2","16"
"r_2","2003Q2","perc","2","2","15.1"
"r_2","2003Q3","perc","0","0","12.7"
"r_2","2003Q3","perc","1","0","12.8"
"r_2","2003Q3","perc","2","0","12.6"
"r_2","2003Q3","perc","0","1","12.2"
"r_2","2003Q3","perc","1","1","12.4"
"r_2","2003Q3","perc","2","1","12"
"r_2","2003Q3","perc","0","2","14.2"
"r_2","2003Q3","perc","1","2","14"
"r_2","2003Q3","perc","2","2","14.5"
"r_2","2003Q4","perc","0","0","12.7"
"r_2","2003Q4","perc","1","0","13"
"r_2","2003Q4","perc","2","0","12.4"
"r_2","2003Q4","perc","0","1","11.6"
"r_2","2003Q4","perc","1","1","11.8"
"r_2","2003Q4","perc","2","1","11.3"
"r_2","2003Q4","perc","0","2","16.3"
"r_2","2003Q4","perc","1","2","16.3"
"r_2","2003Q4","perc","2","2","16.2"
"r_2","2004Q1","perc","0","0","13.3"
"r_2","2004Q1","perc","1","0","13.8"
"r_2","2004Q1","perc","2","0","12.8"
"r_2","2004Q1","perc","0","1","12"
"r_2","2004Q1","perc","1","1","12.2"
"r_2","2004Q1","perc","2","1","11.7"
"r_2","2004Q1","perc","0","2","17.8"
"r_2","2004Q1","perc","1","2","18.6"
"r_2","2004Q1","perc","2","2","16.6"
"r_2","2004Q2","perc","0","0","12"
"r_2","2004Q2","perc","1","0","12.4"
"r_2","2004Q2","perc","2","0","11.6"
"r_2","2004Q2","perc","0","1","11.5"
"r_2","2004Q2","perc","1","1","11.7"
"r_2","2004Q2","perc","2","1","11.1"
"r_2","2004Q2","perc","0","2","13.8"
"r_2","2004Q2","perc","1","2","14.2"
"r_2","2004Q2","perc","2","2","13.2"
"r_2","2004Q3","perc","0","0","11"
"r_2","2004Q3","perc","1","0","11.5"
"r_2","2004Q3","perc","2","0","10.4"
"r_2","2004Q3","perc","0","1","10.6"
"r_2","2004Q3","perc","1","1","11.1"
"r_2","2004Q3","perc","2","1","10"
"r_2","2004Q3","perc","0","2","12.1"
"r_2","2004Q3","perc","1","2","12.5"
"r_2","2004Q3","perc","2","2","11.6"
"r_2","2004Q4","perc","0","0","11.8"
"r_2","2004Q4","perc","1","0","12.5"
"r_2","2004Q4","perc","2","0","11.1"
"r_2","2004Q4","perc","0","1","10.9"
"r_2","2004Q4","perc","1","1","11.3"
"r_2","2004Q4","perc","2","1","10.4"
"r_2","2004Q4","perc","0","2","15"
"r_2","2004Q4","perc","1","2","15.8"
"r_2","2004Q4","perc","2","2","13.8"
"r_2","2005Q1","perc","0","0","11.3"
"r_2","2005Q1","perc","1","0","11.7"
"r_2","2005Q1","perc","2","0","10.9"
"r_2","2005Q1","perc","0","1","9.9"
"r_2","2005Q1","perc","1","1","10"
"r_2","2005Q1","perc","2","1","9.8"
"r_2","2005Q1","perc","0","2","16.2"
"r_2","2005Q1","perc","1","2","17"
"r_2","2005Q1","perc","2","2","15.3"
"r_2","2005Q2","perc","0","0","10"
"r_2","2005Q2","perc","1","0","10.3"
"r_2","2005Q2","perc","2","0","9.6"
"r_2","2005Q2","perc","0","1","8.8"
"r_2","2005Q2","perc","1","1","9.3"
"r_2","2005Q2","perc","2","1","8.2"
"r_2","2005Q2","perc","0","2","13.6"
"r_2","2005Q2","perc","1","2","13.1"
"r_2","2005Q2","perc","2","2","14.2"
"r_2","2005Q3","perc","0","0","9.2"
"r_2","2005Q3","perc","1","0","9.2"
"r_2","2005Q3","perc","2","0","9.1"
"r_2","2005Q3","perc","0","1","8.4"
"r_2","2005Q3","perc","1","1","8.7"
"r_2","2005Q3","perc","2","1","8.1"
"r_2","2005Q3","perc","0","2","11.6"
"r_2","2005Q3","perc","1","2","10.6"
"r_2","2005Q3","perc","2","2","12.8"
"r_2","2005Q4","perc","0","0","9.9"
"r_2","2005Q4","perc","1","0","10.1"
"r_2","2005Q4","perc","2","0","9.7"
"r_2","2005Q4","perc","0","1","8.8"
"r_2","2005Q4","perc","1","1","9"
"r_2","2005Q4","perc","2","1","8.5"
"r_2","2005Q4","perc","0","2","13.7"
"r_2","2005Q4","perc","1","2","13.2"
"r_2","2005Q4","perc","2","2","14.2"
"r_2","2006Q1","perc","0","0","9.7"
"r_2","2006Q1","perc","1","0","9.5"
"r_2","2006Q1","perc","2","0","9.9"
"r_2","2006Q1","perc","0","1","8.3"
"r_2","2006Q1","perc","1","1","8.1"
"r_2","2006Q1","perc","2","1","8.5"
"r_2","2006Q1","perc","0","2","14.4"
"r_2","2006Q1","perc","1","2","13.8"
"r_2","2006Q1","perc","2","2","15.3"
