Code list,Code,Name of Code list or Code in Bulgarian,Name of Code list or Code in English
"LFS_ProfStatus","","Статус в заетостта ","Professional status"
"LFS_ProfStatus","0","Общо","Total"
"LFS_ProfStatus","1","Работодатели","Employers"
"LFS_ProfStatus","2","Самостоятелно заети лица","Self-employed"
"LFS_ProfStatus","3","Наети лица общо","Employees"
"LFS_ProfStatus","3_1","Наети лица в частни предприятия","Employees in private enterprises"
"LFS_ProfStatus","3_2","Наети лица в обществени предприятия","Employees in public enterprises"
"LFS_ProfStatus","4","Неплатени семейни работници","Unpaid family workers"
"Units","","Мерни единици","Measuring units"
"Units","1000cp","брой лица в хиляди","Thousand persons"
"GenderID","","Пол","Sex"
"GenderID","0","Общо","Total"
"GenderID","1","Мъже","Male"
"GenderID","2","Жени","Female"
