RevisionColumn,LFS_ProfStatus,Units,periods,GenderID,ValueColumn
"r_3","0","1000cp","2016Q1","0","2975.1"
"r_3","0","1000cp","2016Q1","1","1586.1"
"r_3","0","1000cp","2016Q1","2","1389.1"
"r_3","1","1000cp","2016Q1","0","108.9"
"r_3","1","1000cp","2016Q1","1","81.7"
"r_3","1","1000cp","2016Q1","2","27.2"
"r_3","2","1000cp","2016Q1","0","223.7"
"r_3","2","1000cp","2016Q1","1","139.8"
"r_3","2","1000cp","2016Q1","2","83.9"
"r_3","3","1000cp","2016Q1","0","2622.3"
"r_3","3","1000cp","2016Q1","1","1355.6"
"r_3","3","1000cp","2016Q1","2","1266.6"
"r_3","3_1","1000cp","2016Q1","0","1951.1"
"r_3","3_1","1000cp","2016Q1","1","1081.6"
"r_3","3_1","1000cp","2016Q1","2","869.5"
"r_3","3_2","1000cp","2016Q1","0","671.2"
"r_3","3_2","1000cp","2016Q1","1","274"
"r_3","3_2","1000cp","2016Q1","2","397.1"
"r_3","4","1000cp","2016Q1","0","20.3"
"r_3","4","1000cp","2016Q1","1","8.9"
"r_3","4","1000cp","2016Q1","2","11.4"
"r_4","0","1000cp","2016Q2","0","3033.4"
"r_4","0","1000cp","2016Q2","1","1608.3"
"r_4","0","1000cp","2016Q2","2","1425.1"
"r_4","1","1000cp","2016Q2","0","109.4"
"r_4","1","1000cp","2016Q2","1","81.1"
"r_4","1","1000cp","2016Q2","2","28.3"
"r_4","2","1000cp","2016Q2","0","234.5"
"r_4","2","1000cp","2016Q2","1","148"
"r_4","2","1000cp","2016Q2","2","86.5"
"r_4","3","1000cp","2016Q2","0","2669.7"
"r_4","3","1000cp","2016Q2","1","1371.9"
"r_4","3","1000cp","2016Q2","2","1297.8"
"r_4","3_1","1000cp","2016Q2","0","1991.8"
"r_4","3_1","1000cp","2016Q2","1","1092.9"
"r_4","3_1","1000cp","2016Q2","2","898.9"
"r_4","3_2","1000cp","2016Q2","0","677.9"
"r_4","3_2","1000cp","2016Q2","1","279"
"r_4","3_2","1000cp","2016Q2","2","398.9"
"r_4","4","1000cp","2016Q2","0","19.7"
"r_4","4","1000cp","2016Q2","1","7.2"
"r_4","4","1000cp","2016Q2","2","12.5"
"r_5","0","1000cp","2016Q3","0","3052.7"
"r_5","0","1000cp","2016Q3","1","1623.7"
"r_5","0","1000cp","2016Q3","2","1429.1"
"r_5","1","1000cp","2016Q3","0","105.6"
"r_5","1","1000cp","2016Q3","1","73"
"r_5","1","1000cp","2016Q3","2","32.6"
"r_5","2","1000cp","2016Q3","0","232.7"
"r_5","2","1000cp","2016Q3","1","144.8"
"r_5","2","1000cp","2016Q3","2","87.9"
"r_5","3","1000cp","2016Q3","0","2697.3"
"r_5","3","1000cp","2016Q3","1","1400"
"r_5","3","1000cp","2016Q3","2","1297.2"
"r_5","3_1","1000cp","2016Q3","0","2010.2"
"r_5","3_1","1000cp","2016Q3","1","1112.3"
"r_5","3_1","1000cp","2016Q3","2","897.9"
"r_5","3_2","1000cp","2016Q3","0","687.1"
"r_5","3_2","1000cp","2016Q3","1","287.8"
"r_5","3_2","1000cp","2016Q3","2","399.3"
"r_5","4","1000cp","2016Q3","0","17.2"
"r_5","4","1000cp","2016Q3","1","5.9"
"r_5","4","1000cp","2016Q3","2","11.4"
"r_7","0","1000cp","2017Q1","0","3036.7"
"r_7","0","1000cp","2017Q1","1","1624.7"
"r_7","0","1000cp","2017Q1","2","1412"
"r_7","1","1000cp","2017Q1","0","110.6"
"r_7","1","1000cp","2017Q1","1","80.2"
"r_7","1","1000cp","2017Q1","2","30.4"
"r_7","2","1000cp","2017Q1","0","225.9"
"r_7","2","1000cp","2017Q1","1","144.3"
"r_7","2","1000cp","2017Q1","2","81.6"
"r_7","3","1000cp","2017Q1","0","2679.3"
