Code list,Code,Name of Code list or Code in Bulgarian,Name of Code list or Code in English
"LFS_EDUlevel","","Степени на завършено образование ","Level of education"
"LFS_EDUlevel","0","Общо","Total"
"LFS_EDUlevel","1","Висше","Higher"
"LFS_EDUlevel","2","Средно","Upper secondary"
"LFS_EDUlevel","2_1","Средно с придобита професионална квалификация","Secondary vocational"
"LFS_EDUlevel","2_2","Средно общо","Secondary general"
"LFS_EDUlevel","3","Основно","Lower secondary"
"LFS_EDUlevel","4","Начално и по-ниско","Primary or lower"
"Units","","Мерни единици","Measuring units"
"Units","1000cp","брой лица в хиляди","Thousand persons"
"Age10_LFS","","Десетгодишни възрастови групи  - Наблюдение на работната сила","10-years age groups - LFS"
"Age10_LFS","0","Общо","Total"
"Age10_LFS","15 - 64_gr","в т.ч. 15 - 64 навършени години","of which 15 - 64 years"
