RevisionColumn,periods,Units,NUTS,GenderID,COD_Shortlist,ValueColumn
"r_1","2005","cp/100000","BG","0","0","1464.7992868124911"
"r_1","2005","cp/100000","BG","1","0","1617.933738768713"
"r_1","2005","cp/100000","BG","2","0","1320.4645782547118"
"r_1","2005","cp/100000","BG31","0","0","1920.7803577674615"
"r_1","2005","cp/100000","BG31","1","0","2084.7697461235416"
"r_1","2005","cp/100000","BG31","2","0","1764.6048630683597"
"r_1","2005","cp/100000","BG311","0","0","2246.1996117679682"
"r_1","2005","cp/100000","BG311","1","0","2409.6385542168673"
"r_1","2005","cp/100000","BG311","2","0","2093.7220823519856"
"r_1","2005","cp/100000","BG313","0","0","1826.0704632746929"
"r_1","2005","cp/100000","BG313","1","0","1991.9970474544007"
"r_1","2005","cp/100000","BG313","2","0","1667.7785190126751"
"r_1","2005","cp/100000","BG315","0","0","1830.189385900301"
"r_1","2005","cp/100000","BG315","1","0","1924.1054374124537"
"r_1","2005","cp/100000","BG315","2","0","1739.8863747673622"
"r_1","2005","cp/100000","BG312","0","0","1995.2995916817017"
"r_1","2005","cp/100000","BG312","1","0","2173.7801523357743"
"r_1","2005","cp/100000","BG312","2","0","1826.92640393066"
"r_1","2005","cp/100000","BG314","0","0","1866.2039338786042"
"r_1","2005","cp/100000","BG314","1","0","2059.7411218055095"
"r_1","2005","cp/100000","BG314","2","0","1680.5973759763697"
"r_1","2005","cp/100000","BG32","0","0","1586.1386595225968"
"r_1","2005","cp/100000","BG32","1","0","1734.1352539115223"
"r_1","2005","cp/100000","BG32","2","0","1446.571749184865"
"r_1","2005","cp/100000","BG321","0","0","1611.1692746576352"
"r_1","2005","cp/100000","BG321","1","0","1757.025179645966"
"r_1","2005","cp/100000","BG321","2","0","1475.9448077886555"
"r_1","2005","cp/100000","BG322","0","0","1807.1892315237042"
"r_1","2005","cp/100000","BG322","1","0","1907.261857797469"
"r_1","2005","cp/100000","BG322","2","0","1713.9220815951353"
"r_1","2005","cp/100000","BG324","0","0","1469.4320959419088"
"r_1","2005","cp/100000","BG324","1","0","1608.4377059986816"
"r_1","2005","cp/100000","BG324","2","0","1336.9991486748636"
"r_1","2005","cp/100000","BG323","0","0","1541.4489697834142"
"r_1","2005","cp/100000","BG323","1","0","1724.7026305909044"
"r_1","2005","cp/100000","BG323","2","0","1368.7388479404922"
"r_1","2005","cp/100000","BG325","0","0","1515.9714448801678"
"r_1","2005","cp/100000","BG325","1","0","1662.497940599398"
"r_1","2005","cp/100000","BG325","2","0","1372.3763393512402"
"r_1","2005","cp/100000","BG33","0","0","1348.4126579060874"
"r_1","2005","cp/100000","BG33","1","0","1505.294774933623"
"r_1","2005","cp/100000","BG33","2","0","1198.8176045544121"
"r_1","2005","cp/100000","BG331","0","0","1247.8255270573188"
"r_1","2005","cp/100000","BG331","1","0","1402.6387869457026"
"r_1","2005","cp/100000","BG331","2","0","1100.455434324155"
"r_1","2005","cp/100000","BG332","0","0","1384.46393847258"
"r_1","2005","cp/100000","BG332","1","0","1529.0580369505874"
"r_1","2005","cp/100000","BG332","2","0","1245.3738500033298"
"r_1","2005","cp/100000","BG334","0","0","1489.3335489656997"
"r_1","2005","cp/100000","BG334","1","0","1643.160756394659"
"r_1","2005","cp/100000","BG334","2","0","1341.8760348427038"
"r_1","2005","cp/100000","BG333","0","0","1446.381782429177"
"r_1","2005","cp/100000","BG333","1","0","1622.8188197304962"
"r_1","2005","cp/100000","BG333","2","0","1279.605552783729"
"r_1","2005","cp/100000","BG34","0","0","1427.815272937014"
"r_1","2005","cp/100000","BG34","1","0","1577.2415757274239"
"r_1","2005","cp/100000","BG34","2","0","1285.519580614042"
"r_1","2005","cp/100000","BG341","0","0","1310.2949357387242"
"r_1","2005","cp/100000","BG341","1","0","1484.2127942962354"
"r_1","2005","cp/100000","BG341","2","0","1144.8087558999352"
"r_1","2005","cp/100000","BG342","0","0","1382.939781030573"
"r_1","2005","cp/100000","BG342","1","0","1484.8591137612534"
"r_1","2005","cp/100000","BG342","2","0","1285.8243666038454"
"r_1","2005","cp/100000","BG344","0","0","1511.0232426774767"
"r_1","2005","cp/100000","BG344","1","0","1649.298152854292"
"r_1","2005","cp/100000","BG344","2","0","1379.7347411377953"
"r_1","2005","cp/100000","BG343","0","0","1622.4489795918366"
"r_1","2005","cp/100000","BG343","1","0","1796.698185251524"
"r_1","2005","cp/100000","BG343","2","0","1455.0740874111418"
"r_1","2005","cp/100000","BG41","0","0","1358.7731879087469"
"r_1","2005","cp/100000","BG41","1","0","1511.427627646522"
"r_1","2005","cp/100000","BG41","2","0","1217.5670121092855"
"r_1","2005","cp/100000","BG413","0","0","1170.7086482249388"
"r_1","2005","cp/100000","BG413","1","0","1342.061196529152"
"r_1","2005","cp/100000","BG413","2","0","1005.1935982872301"
"r_1","2005","cp/100000","BG415","0","0","1728.6169111471374"
"r_1","2005","cp/100000","BG415","1","0","1947.9911758807407"
"r_1","2005","cp/100000","BG415","2","0","1520.3817452662572"
"r_1","2005","cp/100000","BG414","0","0","1667.8906338266863"
"r_1","2005","cp/100000","BG414","1","0","1902.4901093786364"
"r_1","2005","cp/100000","BG414","2","0","1446.5305226174792"
"r_1","2005","cp/100000","BG412","0","0","1637.5667153262298"
"r_1","2005","cp/100000","BG412","1","0","1816.8883051496744"
"r_1","2005","cp/100000","BG412","2","0","1465.2179793516973"
"r_1","2005","cp/100000","BG411","0","0","1268.6828822805144"
"r_1","2005","cp/100000","BG411","1","0","1389.6794674471755"
"r_1","2005","cp/100000","BG411","2","0","1159.5794004859752"
"r_1","2005","cp/100000","BG42","0","0","1353.954685555454"
"r_1","2005","cp/100000","BG42","1","0","1502.3353315435254"
"r_1","2005","cp/100000","BG42","2","0","1213.5732313033795"
"r_1","2005","cp/100000","BG425","0","0","1097.92098486276"
"r_1","2005","cp/100000","BG425","1","0","1197.9623207185234"
"r_1","2005","cp/100000","BG425","2","0","1000.0869640838333"
"r_1","2005","cp/100000","BG423","0","0","1342.423319963738"
"r_1","2005","cp/100000","BG423","1","0","1448.565049283886"
"r_1","2005","cp/100000","BG423","2","0","1239.862398295107"
"r_1","2005","cp/100000","BG421","0","0","1366.5577841586532"
"r_1","2005","cp/100000","BG421","1","0","1526.1098248808"
"r_1","2005","cp/100000","BG421","2","0","1218.0503566155037"
"r_1","2005","cp/100000","BG424","0","0","1178.671797474491"
"r_1","2005","cp/100000","BG424","1","0","1334.4154323974217"
"r_1","2005","cp/100000","BG424","2","0","1031.7927583161613"
"r_1","2005","cp/100000","BG422","0","0","1572.5812487837009"
"r_1","2005","cp/100000","BG422","1","0","1767.678710163768"
"r_1","2005","cp/100000","BG422","2","0","1387.7247582049956"
"r_1","2006","cp/100000","BG","0","0","1473.4083039140046"
"r_1","2006","cp/100000","BG","1","0","1621.1385991377579"
"r_1","2006","cp/100000","BG","2","0","1334.4206670716858"
"r_1","2006","cp/100000","BG31","0","0","1891.7653987936537"
"r_1","2006","cp/100000","BG31","1","0","2028.982377332412"
"r_1","2006","cp/100000","BG31","2","0","1761.5040029522413"
"r_1","2006","cp/100000","BG311","0","0","2241.8285478420144"
"r_1","2006","cp/100000","BG311","1","0","2361.8117324111868"
"r_1","2006","cp/100000","BG311","2","0","2129.992689572672"
"r_1","2006","cp/100000","BG313","0","0","1850.9592210546612"
"r_1","2006","cp/100000","BG313","1","0","1997.4870643173026"
"r_1","2006","cp/100000","BG313","2","0","1711.7396576520684"
"r_1","2006","cp/100000","BG315","0","0","1807.2136946497378"
"r_1","2006","cp/100000","BG315","1","0","1884.1159098822588"
"r_1","2006","cp/100000","BG315","2","0","1733.38120767145"
"r_1","2006","cp/100000","BG312","0","0","2024.5925424384582"
"r_1","2006","cp/100000","BG312","1","0","2188.6698278013478"
"r_1","2006","cp/100000","BG312","2","0","1870.3972981847178"
"r_1","2006","cp/100000","BG314","0","0","1757.1621666172155"
"r_1","2006","cp/100000","BG314","1","0","1913.9014300271967"
"r_1","2006","cp/100000","BG314","2","0","1607.4662747903656"
"r_1","2006","cp/100000","BG32","0","0","1585.3873975083595"
"r_1","2006","cp/100000","BG32","1","0","1714.7457224075379"
"r_1","2006","cp/100000","BG32","2","0","1463.6179930341066"
"r_1","2006","cp/100000","BG321","0","0","1654.2600118338582"
"r_1","2006","cp/100000","BG321","1","0","1808.0903381784944"
"r_1","2006","cp/100000","BG321","2","0","1511.874629024445"
"r_1","2006","cp/100000","BG322","0","0","1691.6416916416918"
"r_1","2006","cp/100000","BG322","1","0","1789.6611001964636"
"r_1","2006","cp/100000","BG322","2","0","1600.3886658188417"
"r_1","2006","cp/100000","BG324","0","0","1459.4797579328972"
"r_1","2006","cp/100000","BG324","1","0","1559.1652833768082"
"r_1","2006","cp/100000","BG324","2","0","1364.7502887242613"
"r_1","2006","cp/100000","BG323","0","0","1541.3453089915065"
"r_1","2006","cp/100000","BG323","1","0","1661.3248723606437"
"r_1","2006","cp/100000","BG323","2","0","1428.3873022130906"
"r_1","2006","cp/100000","BG325","0","0","1547.2727817925575"
"r_1","2006","cp/100000","BG325","1","0","1708.467992777702"
"r_1","2006","cp/100000","BG325","2","0","1389.8561247018033"
"r_1","2006","cp/100000","BG33","0","0","1384.4578578383446"
"r_1","2006","cp/100000","BG33","1","0","1540.93428671516"
"r_1","2006","cp/100000","BG33","2","0","1235.5339565915738"
"r_1","2006","cp/100000","BG331","0","0","1276.510158082633"
"r_1","2006","cp/100000","BG331","1","0","1451.7452785763298"
"r_1","2006","cp/100000","BG331","2","0","1109.8504559685387"
"r_1","2006","cp/100000","BG332","0","0","1481.9147898995807"
"r_1","2006","cp/100000","BG332","1","0","1647.9796068747137"
"r_1","2006","cp/100000","BG332","2","0","1322.6502664400175"
"r_1","2006","cp/100000","BG334","0","0","1513.7686160147814"
"r_1","2006","cp/100000","BG334","1","0","1615.744396525542"
"r_1","2006","cp/100000","BG334","2","0","1416.3196006443093"
"r_1","2006","cp/100000","BG333","0","0","1444.8953600614548"
"r_1","2006","cp/100000","BG333","1","0","1584.7728526952592"
"r_1","2006","cp/100000","BG333","2","0","1312.972601394481"
"r_1","2006","cp/100000","BG34","0","0","1455.983566091109"
"r_1","2006","cp/100000","BG34","1","0","1608.3803267515357"
"r_1","2006","cp/100000","BG34","2","0","1311.184595776928"
"r_1","2006","cp/100000","BG341","0","0","1357.9420483886393"
"r_1","2006","cp/100000","BG341","1","0","1509.8414568301182"
"r_1","2006","cp/100000","BG341","2","0","1213.7030995106036"
"r_1","2006","cp/100000","BG342","0","0","1375.6320697508966"
"r_1","2006","cp/100000","BG342","1","0","1507.8035446609647"
"r_1","2006","cp/100000","BG342","2","0","1249.976714293698"
"r_1","2006","cp/100000","BG344","0","0","1530.5909433773204"
"r_1","2006","cp/100000","BG344","1","0","1699.0360687623352"
"r_1","2006","cp/100000","BG344","2","0","1370.9694906433635"
"r_1","2006","cp/100000","BG343","0","0","1669.5455890550481"
"r_1","2006","cp/100000","BG343","1","0","1812.3232351658248"
"r_1","2006","cp/100000","BG343","2","0","1532.8663793103449"
"r_1","2006","cp/100000","BG41","0","0","1365.8365217489848"
"r_1","2006","cp/100000","BG41","1","0","1507.1667819851555"
"r_1","2006","cp/100000","BG41","2","0","1235.1513289850238"
"r_1","2006","cp/100000","BG413","0","0","1187.7458145597566"
"r_1","2006","cp/100000","BG413","1","0","1341.1268661761903"
"r_1","2006","cp/100000","BG413","2","0","1040.1759842938748"
"r_1","2006","cp/100000","BG415","0","0","1733.079411939138"
"r_1","2006","cp/100000","BG415","1","0","1905.9754907276867"
"r_1","2006","cp/100000","BG415","2","0","1569.532602423543"
"r_1","2006","cp/100000","BG414","0","0","1715.2548653521367"
"r_1","2006","cp/100000","BG414","1","0","2001.9725317592333"
"r_1","2006","cp/100000","BG414","2","0","1446.2124979280622"
"r_1","2006","cp/100000","BG412","0","0","1654.0691954209253"
"r_1","2006","cp/100000","BG412","1","0","1830.8782383215505"
"r_1","2006","cp/100000","BG412","2","0","1484.5049130763416"
"r_1","2006","cp/100000","BG411","0","0","1268.3467273317747"
"r_1","2006","cp/100000","BG411","1","0","1375.6561405543907"
"r_1","2006","cp/100000","BG411","2","0","1171.3570287589198"
"r_1","2006","cp/100000","BG42","0","0","1365.8306084989154"
"r_1","2006","cp/100000","BG42","1","0","1528.802900520708"
"r_1","2006","cp/100000","BG42","2","0","1212.016837449723"
"r_1","2006","cp/100000","BG425","0","0","1104.4163997924077"
"r_1","2006","cp/100000","BG425","1","0","1247.3532242540905"
"r_1","2006","cp/100000","BG425","2","0","965.3208786542953"
"r_1","2006","cp/100000","BG423","0","0","1365.1773720588087"
"r_1","2006","cp/100000","BG423","1","0","1512.82297569878"
"r_1","2006","cp/100000","BG423","2","0","1222.9221890968224"
"r_1","2006","cp/100000","BG421","0","0","1385.5904813498332"
"r_1","2006","cp/100000","BG421","1","0","1536.7357067134178"
"r_1","2006","cp/100000","BG421","2","0","1245.1427698218652"
"r_1","2006","cp/100000","BG424","0","0","1193.5169631283031"
"r_1","2006","cp/100000","BG424","1","0","1371.6618149601316"
"r_1","2006","cp/100000","BG424","2","0","1025.8624540297485"
"r_1","2006","cp/100000","BG422","0","0","1554.3455307852423"
"r_1","2006","cp/100000","BG422","1","0","1773.1872361559474"
"r_1","2006","cp/100000","BG422","2","0","1347.485476204448"
"r_1","2007","cp/100000","BG","0","0","1475.2934946820817"
"r_1","2007","cp/100000","BG","1","0","1612.3428873289733"
"r_1","2007","cp/100000","BG","2","0","1346.5422645032256"
"r_1","2007","cp/100000","BG31","0","0","1895.0263032042085"
"r_1","2007","cp/100000","BG31","1","0","2053.3060554309222"
"r_1","2007","cp/100000","BG31","2","0","1745.1840152947777"
"r_1","2007","cp/100000","BG311","0","0","2177.029915469667"
"r_1","2007","cp/100000","BG311","1","0","2365.3639231849434"
"r_1","2007","cp/100000","BG311","2","0","2001.5631902674415"
"r_1","2007","cp/100000","BG313","0","0","1866.3037198781908"
"r_1","2007","cp/100000","BG313","1","0","2041.6175893207696"
"r_1","2007","cp/100000","BG313","2","0","1700.3269126295022"
"r_1","2007","cp/100000","BG315","0","0","1822.4588812109666"
"r_1","2007","cp/100000","BG315","1","0","1957.811642313825"
"r_1","2007","cp/100000","BG315","2","0","1692.8793964190534"
"r_1","2007","cp/100000","BG312","0","0","2004.1941097971207"
"r_1","2007","cp/100000","BG312","1","0","2135.2629972530267"
"r_1","2007","cp/100000","BG312","2","0","1881.4675446848541"
"r_1","2007","cp/100000","BG314","0","0","1786.3040019214027"
"r_1","2007","cp/100000","BG314","1","0","1950.1388072152401"
"r_1","2007","cp/100000","BG314","2","0","1630.247174911258"
"r_1","2007","cp/100000","BG32","0","0","1572.61310663959"
"r_1","2007","cp/100000","BG32","1","0","1709.705005906935"
"r_1","2007","cp/100000","BG32","2","0","1443.807078216571"
"r_1","2007","cp/100000","BG321","0","0","1583.858367610954"
"r_1","2007","cp/100000","BG321","1","0","1708.0849353607073"
"r_1","2007","cp/100000","BG321","2","0","1469.11220799934"
"r_1","2007","cp/100000","BG322","0","0","1676.4534492805594"
"r_1","2007","cp/100000","BG322","1","0","1772.532721295205"
"r_1","2007","cp/100000","BG322","2","0","1587.1414155975206"
"r_1","2007","cp/100000","BG324","0","0","1529.677197952642"
"r_1","2007","cp/100000","BG324","1","0","1671.2924761833322"
