RevisionColumn,NKPD2011_CLS,Units,periods,GenderID,ValueColumn
"r_2","total","1000cp","2011Q1","0","2904.4"
"r_2","total","1000cp","2011Q1","1","1538.6"
"r_2","total","1000cp","2011Q1","2","1365.9"
"r_2","total","1000cp","2011Q2","0","2946"
"r_2","total","1000cp","2011Q2","1","1560.7"
"r_2","total","1000cp","2011Q2","2","1385.3"
"r_2","total","1000cp","2011Q3","0","3036.5"
"r_2","total","1000cp","2011Q3","1","1610.3"
"r_2","total","1000cp","2011Q3","2","1426.2"
"r_2","total","1000cp","2011Q4","0","2973.8"
"r_2","total","1000cp","2011Q4","1","1558.7"
"r_2","total","1000cp","2011Q4","2","1415.1"
"r_2","total","1000cp","2012Q1","0","2853.2"
"r_2","total","1000cp","2012Q1","1","1492.5"
"r_2","total","1000cp","2012Q1","2","1360.7"
"r_2","total","1000cp","2012Q2","0","2913.7"
"r_2","total","1000cp","2012Q2","1","1528.7"
"r_2","total","1000cp","2012Q2","2","1385"
"r_2","total","1000cp","2012Q3","0","3017.1"
"r_2","total","1000cp","2012Q3","1","1584.6"
"r_2","total","1000cp","2012Q3","2","1432.5"
"r_2","total","1000cp","2012Q4","0","2951.8"
"r_2","total","1000cp","2012Q4","1","1560.9"
"r_2","total","1000cp","2012Q4","2","1390.9"
"r_2","total","1000cp","2013Q1","0","2855"
"r_2","total","1000cp","2013Q1","1","1499"
"r_2","total","1000cp","2013Q1","2","1356"
"r_2","total","1000cp","2013Q2","0","2940.2"
"r_2","total","1000cp","2013Q2","1","1540.5"
"r_2","total","1000cp","2013Q2","2","1399.7"
"r_2","total","1000cp","2013Q3","0","3012.9"
"r_2","total","1000cp","2013Q3","1","1592.3"
"r_2","total","1000cp","2013Q3","2","1420.7"
"r_2","total","1000cp","2013Q4","0","2931.6"
"r_2","total","1000cp","2013Q4","1","1555.6"
"r_2","total","1000cp","2013Q4","2","1376"
"r_2","total","1000cp","2014Q1","0","2894.1"
"r_2","total","1000cp","2014Q1","1","1533.5"
"r_2","total","1000cp","2014Q1","2","1360.6"
"r_2","total","1000cp","2014Q2","0","2979.8"
"r_2","total","1000cp","2014Q2","1","1576.4"
"r_2","total","1000cp","2014Q2","2","1403.4"
"r_2","total","1000cp","2014Q3","0","3061.9"
"r_2","total","1000cp","2014Q3","1","1624.1"
"r_2","total","1000cp","2014Q3","2","1437.7"
"r_2","total","1000cp","2014Q4","0","2989.7"
"r_2","total","1000cp","2014Q4","1","1574.4"
"r_2","total","1000cp","2014Q4","2","1415.3"
"r_2","total","1000cp","2015Q1","0","2949.8"
"r_2","total","1000cp","2015Q1","1","1561.3"
"r_2","total","1000cp","2015Q1","2","1388.4"
"r_2","total","1000cp","2015Q2","0","3011.2"
"r_2","total","1000cp","2015Q2","1","1595.5"
"r_2","total","1000cp","2015Q2","2","1415.7"
"r_2","total","1000cp","2015Q3","0","3104.7"
"r_2","total","1000cp","2015Q3","1","1646"
"r_2","total","1000cp","2015Q3","2","1458.7"
"r_2","total","1000cp","2015Q4","0","3061.7"
"r_2","total","1000cp","2015Q4","1","1627.3"
"r_2","total","1000cp","2015Q4","2","1434.5"
"r_2","1","1000cp","2011Q1","0","194.5"
"r_2","1","1000cp","2011Q1","1","125.4"
"r_2","1","1000cp","2011Q1","2","69.1"
"r_2","1","1000cp","2011Q2","0","190.1"
"r_2","1","1000cp","2011Q2","1","120.4"
