Code list,Code,Name of Code list or Code in Bulgarian,Name of Code list or Code in English
"Units","","Мерни единици","Measuring units"
"Units","1000cp","брой лица в хиляди","Thousand persons"
"GenderID","","Пол","Sex"
"GenderID","0","Общо","Total"
"GenderID","1","Мъже","Male"
"GenderID","2","Жени","Female"
"NKPD2005_CLS","","Национална класификация на професиите и длъжностите 2005 - класове професии","Classification of occupations 2005"
"NKPD2005_CLS","1","Законодатели, висши служители и ръководители","Managers"
"NKPD2005_CLS","2","Аналитични специалисти","Professionals"
"NKPD2005_CLS","3","Техници и други приложни специалисти","Technicians and associate professionals"
"NKPD2005_CLS","4","Административен персонал","Clerical support workers"
"NKPD2005_CLS","5","Персонал, зает с услуги за населението, търговията и охраната","Service and sales workers"
"NKPD2005_CLS","6","Квалифицирани работници в селското, горското, рибното и ловното стопанство","Skilled agricultural, forestry and fishery workers"
"NKPD2005_CLS","7","Квалифицирани производствени работници и сродни на тях занаятчии","Craft and related trades workers"
"NKPD2005_CLS","8","Оператори на машини и съоръжения и работници по монтаж на изделия","Plant and machine operators, and assemblers"
"NKPD2005_CLS","9","Професии, неизискващи специална квалификация","Elementary occupations"
"NKPD2005_CLS","total","Общо","Total"
