RevisionColumn,Units,periods,GenderID,NKPD2005_CLS,ValueColumn
"r_2","1000cp","2006Q1","0","total","2940.5"
"r_2","1000cp","2006Q1","1","total","1563.2"
"r_2","1000cp","2006Q1","2","total","1377.2"
"r_2","1000cp","2006Q2","0","total","3139.1"
"r_2","1000cp","2006Q2","1","total","1667"
"r_2","1000cp","2006Q2","2","total","1472.1"
"r_2","1000cp","2006Q3","0","total","3200.8"
"r_2","1000cp","2006Q3","1","total","1694.8"
"r_2","1000cp","2006Q3","2","total","1506"
"r_2","1000cp","2006Q4","0","total","3159.6"
"r_2","1000cp","2006Q4","1","total","1686.2"
"r_2","1000cp","2006Q4","2","total","1473.4"
"r_2","1000cp","2007Q1","0","total","3135.4"
"r_2","1000cp","2007Q1","1","total","1667.4"
"r_2","1000cp","2007Q1","2","total","1467.9"
"r_2","1000cp","2007Q2","0","total","3253.1"
"r_2","1000cp","2007Q2","1","total","1723.8"
"r_2","1000cp","2007Q2","2","total","1529.3"
"r_2","1000cp","2007Q3","0","total","3315.5"
"r_2","1000cp","2007Q3","1","total","1765.1"
"r_2","1000cp","2007Q3","2","total","1550.4"
"r_2","1000cp","2007Q4","0","total","3306.4"
"r_2","1000cp","2007Q4","1","total","1769.8"
"r_2","1000cp","2007Q4","2","total","1536.7"
"r_2","1000cp","2008Q1","0","total","3289.9"
"r_2","1000cp","2008Q1","1","total","1749.1"
"r_2","1000cp","2008Q1","2","total","1540.7"
"r_2","1000cp","2008Q2","0","total","3372.1"
"r_2","1000cp","2008Q2","1","total","1794.4"
"r_2","1000cp","2008Q2","2","total","1577.7"
"r_2","1000cp","2008Q3","0","total","3417.3"
"r_2","1000cp","2008Q3","1","total","1825.7"
"r_2","1000cp","2008Q3","2","total","1591.6"
"r_2","1000cp","2008Q4","0","total","3363.5"
"r_2","1000cp","2008Q4","1","total","1802.3"
"r_2","1000cp","2008Q4","2","total","1561.2"
"r_2","1000cp","2009Q1","0","total","3262.8"
"r_2","1000cp","2009Q1","1","total","1738.7"
"r_2","1000cp","2009Q1","2","total","1524.1"
"r_2","1000cp","2009Q2","0","total","3300.1"
"r_2","1000cp","2009Q2","1","total","1754.5"
"r_2","1000cp","2009Q2","2","total","1545.6"
"r_2","1000cp","2009Q3","0","total","3280"
"r_2","1000cp","2009Q3","1","total","1744.6"
"r_2","1000cp","2009Q3","2","total","1535.5"
"r_2","1000cp","2009Q4","0","total","3171.6"
"r_2","1000cp","2009Q4","1","total","1691.6"
"r_2","1000cp","2009Q4","2","total","1480"
"r_2","1000cp","2010Q1","0","total","3030.9"
"r_2","1000cp","2010Q1","1","total","1622.6"
"r_2","1000cp","2010Q1","2","total","1408.4"
"r_2","1000cp","2010Q2","0","total","3096.2"
"r_2","1000cp","2010Q2","1","total","1657.3"
"r_2","1000cp","2010Q2","2","total","1438.8"
"r_2","1000cp","2010Q3","0","total","3129.8"
"r_2","1000cp","2010Q3","1","total","1672"
"r_2","1000cp","2010Q3","2","total","1457.8"
"r_2","1000cp","2010Q4","0","total","3044.1"
"r_2","1000cp","2010Q4","1","total","1607.6"
"r_2","1000cp","2010Q4","2","total","1436.5"
"r_2","1000cp","2006Q1","0","1","189.1"
"r_2","1000cp","2006Q1","1","1","126.8"
"r_2","1000cp","2006Q1","2","1","62.3"
"r_2","1000cp","2006Q2","0","1","201.3"
"r_2","1000cp","2006Q2","1","1","135.6"
"r_2","1000cp","2006Q2","2","1","65.7"
"r_2","1000cp","2006Q3","0","1","205.9"
"r_2","1000cp","2006Q3","1","1","140.7"
"r_2","1000cp","2006Q3","2","1","65.2"
"r_2","1000cp","2006Q4","0","1","206.2"
"r_2","1000cp","2006Q4","1","1","145.6"
"r_2","1000cp","2006Q4","2","1","60.5"
"r_2","1000cp","2007Q1","0","1","208.4"
"r_2","1000cp","2007Q1","1","1","144.1"
"r_2","1000cp","2007Q1","2","1","64.4"
"r_2","1000cp","2007Q2","0","1","207.1"
"r_2","1000cp","2007Q2","1","1","139.1"
"r_2","1000cp","2007Q2","2","1","68"
"r_2","1000cp","2007Q3","0","1","222"
"r_2","1000cp","2007Q3","1","1","152.8"
"r_2","1000cp","2007Q3","2","1","69.2"
"r_2","1000cp","2007Q4","0","1","221.4"
"r_2","1000cp","2007Q4","1","1","153.2"
"r_2","1000cp","2007Q4","2","1","68.2"
"r_2","1000cp","2008Q1","0","1","211"
"r_2","1000cp","2008Q1","1","1","141.3"
"r_2","1000cp","2008Q1","2","1","69.7"
"r_2","1000cp","2008Q2","0","1","217"
"r_2","1000cp","2008Q2","1","1","144.7"
"r_2","1000cp","2008Q2","2","1","72.3"
"r_2","1000cp","2008Q3","0","1","234.9"
"r_2","1000cp","2008Q3","1","1","157.2"
"r_2","1000cp","2008Q3","2","1","77.6"
"r_2","1000cp","2008Q4","0","1","219.8"
"r_2","1000cp","2008Q4","1","1","154.7"
"r_2","1000cp","2008Q4","2","1","65.1"
"r_2","1000cp","2009Q1","0","1","213.9"
"r_2","1000cp","2009Q1","1","1","145.2"
"r_2","1000cp","2009Q1","2","1","68.7"
"r_2","1000cp","2009Q2","0","1","233.5"
"r_2","1000cp","2009Q2","1","1","155.8"
"r_2","1000cp","2009Q2","2","1","77.6"
"r_2","1000cp","2009Q3","0","1","229"
"r_2","1000cp","2009Q3","1","1","155.2"
"r_2","1000cp","2009Q3","2","1","73.8"
"r_2","1000cp","2009Q4","0","1","218.3"
"r_2","1000cp","2009Q4","1","1","150.8"
"r_2","1000cp","2009Q4","2","1","67.4"
"r_2","1000cp","2010Q1","0","1","207"
"r_2","1000cp","2010Q1","1","1","140.1"
"r_2","1000cp","2010Q1","2","1","66.9"
"r_2","1000cp","2010Q2","0","1","219.6"
"r_2","1000cp","2010Q2","1","1","145.6"
"r_2","1000cp","2010Q2","2","1","74"
"r_2","1000cp","2010Q3","0","1","227.6"
"r_2","1000cp","2010Q3","1","1","152.3"
"r_2","1000cp","2010Q3","2","1","75.3"
"r_2","1000cp","2010Q4","0","1","222.5"
"r_2","1000cp","2010Q4","1","1","146.3"
"r_2","1000cp","2010Q4","2","1","76.2"
"r_2","1000cp","2006Q1","0","2","372.5"
"r_2","1000cp","2006Q1","1","2","119.9"
"r_2","1000cp","2006Q1","2","2","252.6"
"r_2","1000cp","2006Q2","0","2","383.8"
"r_2","1000cp","2006Q2","1","2","126.2"
"r_2","1000cp","2006Q2","2","2","257.5"
"r_2","1000cp","2006Q3","0","2","377.1"
"r_2","1000cp","2006Q3","1","2","123"
"r_2","1000cp","2006Q3","2","2","254.1"
"r_2","1000cp","2006Q4","0","2","387.1"
"r_2","1000cp","2006Q4","1","2","129.6"
"r_2","1000cp","2006Q4","2","2","257.5"
"r_2","1000cp","2007Q1","0","2","413.4"
"r_2","1000cp","2007Q1","1","2","137.3"
"r_2","1000cp","2007Q1","2","2","276.1"
"r_2","1000cp","2007Q2","0","2","399.5"
"r_2","1000cp","2007Q2","1","2","133.4"
"r_2","1000cp","2007Q2","2","2","266.1"
"r_2","1000cp","2007Q3","0","2","385.9"
"r_2","1000cp","2007Q3","1","2","134.2"
"r_2","1000cp","2007Q3","2","2","251.7"
"r_2","1000cp","2007Q4","0","2","401.4"
"r_2","1000cp","2007Q4","1","2","140.2"
"r_2","1000cp","2007Q4","2","2","261.1"
"r_2","1000cp","2008Q1","0","2","421.2"
"r_2","1000cp","2008Q1","1","2","143.4"
"r_2","1000cp","2008Q1","2","2","277.8"
"r_2","1000cp","2008Q2","0","2","421.1"
"r_2","1000cp","2008Q2","1","2","141.8"
"r_2","1000cp","2008Q2","2","2","279.3"
"r_2","1000cp","2008Q3","0","2","402"
"r_2","1000cp","2008Q3","1","2","131.6"
"r_2","1000cp","2008Q3","2","2","270.4"
"r_2","1000cp","2008Q4","0","2","414.9"
"r_2","1000cp","2008Q4","1","2","140.2"
"r_2","1000cp","2008Q4","2","2","274.7"
"r_2","1000cp","2009Q1","0","2","424"
"r_2","1000cp","2009Q1","1","2","141.9"
"r_2","1000cp","2009Q1","2","2","282.1"
"r_2","1000cp","2009Q2","0","2","421.2"
"r_2","1000cp","2009Q2","1","2","146.1"
"r_2","1000cp","2009Q2","2","2","275.1"
"r_2","1000cp","2009Q3","0","2","401.8"
"r_2","1000cp","2009Q3","1","2","138.8"
"r_2","1000cp","2009Q3","2","2","263"
"r_2","1000cp","2009Q4","0","2","404.5"
"r_2","1000cp","2009Q4","1","2","135"
"r_2","1000cp","2009Q4","2","2","269.5"
"r_2","1000cp","2010Q1","0","2","414.9"
"r_2","1000cp","2010Q1","1","2","140.6"
"r_2","1000cp","2010Q1","2","2","274.3"
"r_2","1000cp","2010Q2","0","2","411.1"
"r_2","1000cp","2010Q2","1","2","138.4"
"r_2","1000cp","2010Q2","2","2","272.7"
"r_2","1000cp","2010Q3","0","2","385.2"
"r_2","1000cp","2010Q3","1","2","118"
"r_2","1000cp","2010Q3","2","2","267.2"
"r_2","1000cp","2010Q4","0","2","394.6"
