RevisionColumn,EKATTE,Units,periods,Gender_Child,ValueColumn
"r_1","BG","num","2000","0","73679"
"r_1","BG","num","2000","1","37782"
"r_1","BG","num","2000","2","35897"
"r_1","BG","num","2001","0","68180"
"r_1","BG","num","2001","1","35125"
"r_1","BG","num","2001","2","33055"
"r_1","BG","num","2002","0","66499"
"r_1","BG","num","2002","1","34497"
"r_1","BG","num","2002","2","32002"
"r_1","BG","num","2003","0","67359"
"r_1","BG","num","2003","1","34670"
"r_1","BG","num","2003","2","32689"
"r_1","BG","num","2004","0","69886"
"r_1","BG","num","2004","1","36026"
"r_1","BG","num","2004","2","33860"
"r_1","BG","num","2005","0","71075"
"r_1","BG","num","2005","1","36478"
"r_1","BG","num","2005","2","34597"
"r_1","BG","num","2006","0","73978"
"r_1","BG","num","2006","1","38108"
"r_1","BG","num","2006","2","35870"
"r_1","BG","num","2007","0","75349"
"r_1","BG","num","2007","1","38822"
"r_1","BG","num","2007","2","36527"
"r_1","BG","num","2008","0","77712"
"r_1","BG","num","2008","1","39986"
"r_1","BG","num","2008","2","37726"
"r_1","BG","num","2009","0","80956"
"r_1","BG","num","2009","1","41312"
"r_1","BG","num","2009","2","39644"
"r_1","BG","num","2010","0","75513"
"r_1","BG","num","2010","1","38836"
"r_1","BG","num","2010","2","36677"
"r_1","BG","num","2011","0","70846"
"r_1","BG","num","2011","1","36533"
"r_1","BG","num","2011","2","34313"
"r_1","BG","num","2012","0","69121"
"r_1","BG","num","2012","1","35662"
"r_1","BG","num","2012","2","33459"
"r_1","BG","num","2013","0","66578"
"r_1","BG","num","2013","1","34044"
"r_1","BG","num","2013","2","32534"
"r_1","BG","num","2014","0","67585"
"r_1","BG","num","2014","1","34735"
"r_1","BG","num","2014","2","32850"
"r_1","BLG","num","2000","0","3286"
"r_1","BLG","num","2000","1","1729"
"r_1","BLG","num","2000","2","1557"
"r_1","BLG","num","2001","0","3036"
"r_1","BLG","num","2001","1","1561"
"r_1","BLG","num","2001","2","1475"
"r_1","BLG","num","2002","0","3012"
"r_1","BLG","num","2002","1","1596"
"r_1","BLG","num","2002","2","1416"
"r_1","BLG","num","2003","0","3000"
"r_1","BLG","num","2003","1","1514"
"r_1","BLG","num","2003","2","1486"
"r_1","BLG","num","2004","0","3222"
"r_1","BLG","num","2004","1","1626"
"r_1","BLG","num","2004","2","1596"
"r_1","BLG","num","2005","0","3198"
"r_1","BLG","num","2005","1","1606"
"r_1","BLG","num","2005","2","1592"
"r_1","BLG","num","2006","0","3373"
"r_1","BLG","num","2006","1","1760"
"r_1","BLG","num","2006","2","1613"
"r_1","BLG","num","2007","0","3384"
"r_1","BLG","num","2007","1","1749"
"r_1","BLG","num","2007","2","1635"
"r_1","BLG","num","2008","0","3557"
"r_1","BLG","num","2008","1","1836"
"r_1","BLG","num","2008","2","1721"
"r_1","BLG","num","2009","0","3573"
"r_1","BLG","num","2009","1","1839"
"r_1","BLG","num","2009","2","1734"
"r_1","BLG","num","2010","0","3360"
"r_1","BLG","num","2010","1","1724"
"r_1","BLG","num","2010","2","1636"
"r_1","BLG","num","2011","0","3169"
"r_1","BLG","num","2011","1","1594"
"r_1","BLG","num","2011","2","1575"
"r_1","BLG","num","2012","0","3044"
"r_1","BLG","num","2012","1","1576"
"r_1","BLG","num","2012","2","1468"
"r_1","BLG","num","2013","0","2883"
"r_1","BLG","num","2013","1","1507"
"r_1","BLG","num","2013","2","1376"
"r_1","BLG","num","2014","0","2950"
"r_1","BLG","num","2014","1","1503"
"r_1","BLG","num","2014","2","1447"
"r_1","BLG01","num","2000","0","104"
"r_1","BLG01","num","2000","1","63"
"r_1","BLG01","num","2000","2","41"
"r_1","BLG01","num","2001","0","98"
"r_1","BLG01","num","2001","1","51"
"r_1","BLG01","num","2001","2","47"
"r_1","BLG01","num","2002","0","91"
"r_1","BLG01","num","2002","1","49"
"r_1","BLG01","num","2002","2","42"
"r_1","BLG01","num","2003","0","92"
"r_1","BLG01","num","2003","1","43"
"r_1","BLG01","num","2003","2","49"
"r_1","BLG01","num","2004","0","96"
"r_1","BLG01","num","2004","1","47"
"r_1","BLG01","num","2004","2","49"
"r_1","BLG01","num","2005","0","96"
"r_1","BLG01","num","2005","1","42"
"r_1","BLG01","num","2005","2","54"
"r_1","BLG01","num","2006","0","123"
"r_1","BLG01","num","2006","1","68"
"r_1","BLG01","num","2006","2","55"
"r_1","BLG01","num","2007","0","109"
"r_1","BLG01","num","2007","1","44"
"r_1","BLG01","num","2007","2","65"
"r_1","BLG01","num","2008","0","118"
"r_1","BLG01","num","2008","1","54"
"r_1","BLG01","num","2008","2","64"
"r_1","BLG01","num","2009","0","116"
"r_1","BLG01","num","2009","1","61"
"r_1","BLG01","num","2009","2","55"
"r_1","BLG01","num","2010","0","103"
"r_1","BLG01","num","2010","1","51"
"r_1","BLG01","num","2010","2","52"
"r_1","BLG01","num","2011","0","121"
"r_1","BLG01","num","2011","1","47"
"r_1","BLG01","num","2011","2","74"
"r_1","BLG01","num","2012","0","101"
"r_1","BLG01","num","2012","1","47"
"r_1","BLG01","num","2012","2","54"
"r_1","BLG01","num","2013","0","109"
"r_1","BLG01","num","2013","1","57"
"r_1","BLG01","num","2013","2","52"
"r_1","BLG01","num","2014","0","117"
"r_1","BLG01","num","2014","1","56"
"r_1","BLG01","num","2014","2","61"
"r_1","BLG02","num","2000","0","115"
"r_1","BLG02","num","2000","1","63"
"r_1","BLG02","num","2000","2","52"
"r_1","BLG02","num","2001","0","113"
"r_1","BLG02","num","2001","1","43"
"r_1","BLG02","num","2001","2","70"
"r_1","BLG02","num","2002","0","129"
"r_1","BLG02","num","2002","1","72"
"r_1","BLG02","num","2002","2","57"
"r_1","BLG02","num","2003","0","121"
"r_1","BLG02","num","2003","1","57"
"r_1","BLG02","num","2003","2","64"
"r_1","BLG02","num","2004","0","123"
"r_1","BLG02","num","2004","1","64"
"r_1","BLG02","num","2004","2","59"
"r_1","BLG02","num","2005","0","120"
"r_1","BLG02","num","2005","1","52"
"r_1","BLG02","num","2005","2","68"
"r_1","BLG02","num","2006","0","148"
"r_1","BLG02","num","2006","1","75"
"r_1","BLG02","num","2006","2","73"
"r_1","BLG02","num","2007","0","132"
"r_1","BLG02","num","2007","1","77"
"r_1","BLG02","num","2007","2","55"
"r_1","BLG02","num","2008","0","139"
"r_1","BLG02","num","2008","1","73"
"r_1","BLG02","num","2008","2","66"
"r_1","BLG02","num","2009","0","165"
"r_1","BLG02","num","2009","1","86"
"r_1","BLG02","num","2009","2","79"
"r_1","BLG02","num","2010","0","121"
"r_1","BLG02","num","2010","1","57"
"r_1","BLG02","num","2010","2","64"
"r_1","BLG02","num","2011","0","128"
"r_1","BLG02","num","2011","1","60"
"r_1","BLG02","num","2011","2","68"
"r_1","BLG02","num","2012","0","94"
"r_1","BLG02","num","2012","1","49"
"r_1","BLG02","num","2012","2","45"
"r_1","BLG02","num","2013","0","85"
"r_1","BLG02","num","2013","1","41"
"r_1","BLG02","num","2013","2","44"
"r_1","BLG02","num","2014","0","109"
"r_1","BLG02","num","2014","1","62"
"r_1","BLG02","num","2014","2","47"
"r_1","BLG03","num","2000","0","771"
"r_1","BLG03","num","2000","1","403"
"r_1","BLG03","num","2000","2","368"
"r_1","BLG03","num","2001","0","722"
"r_1","BLG03","num","2001","1","380"
"r_1","BLG03","num","2001","2","342"
"r_1","BLG03","num","2002","0","682"
"r_1","BLG03","num","2002","1","357"
"r_1","BLG03","num","2002","2","325"
"r_1","BLG03","num","2003","0","673"
"r_1","BLG03","num","2003","1","332"
"r_1","BLG03","num","2003","2","341"
"r_1","BLG03","num","2004","0","720"
"r_1","BLG03","num","2004","1","383"
"r_1","BLG03","num","2004","2","337"
"r_1","BLG03","num","2005","0","723"
"r_1","BLG03","num","2005","1","358"
"r_1","BLG03","num","2005","2","365"
"r_1","BLG03","num","2006","0","753"
"r_1","BLG03","num","2006","1","394"
"r_1","BLG03","num","2006","2","359"
"r_1","BLG03","num","2007","0","769"
"r_1","BLG03","num","2007","1","391"
"r_1","BLG03","num","2007","2","378"
"r_1","BLG03","num","2008","0","809"
"r_1","BLG03","num","2008","1","415"
"r_1","BLG03","num","2008","2","394"
"r_1","BLG03","num","2009","0","821"
"r_1","BLG03","num","2009","1","427"
"r_1","BLG03","num","2009","2","394"
"r_1","BLG03","num","2010","0","827"
"r_1","BLG03","num","2010","1","431"
"r_1","BLG03","num","2010","2","396"
"r_1","BLG03","num","2011","0","753"
"r_1","BLG03","num","2011","1","360"
"r_1","BLG03","num","2011","2","393"
"r_1","BLG03","num","2012","0","776"
"r_1","BLG03","num","2012","1","399"
"r_1","BLG03","num","2012","2","377"
"r_1","BLG03","num","2013","0","676"
"r_1","BLG03","num","2013","1","362"
"r_1","BLG03","num","2013","2","314"
"r_1","BLG03","num","2014","0","786"
"r_1","BLG03","num","2014","1","403"
"r_1","BLG03","num","2014","2","383"
"r_1","BLG11","num","2000","0","329"
"r_1","BLG11","num","2000","1","160"
