RevisionColumn,NACE2008A21,Units,periods,GenderID,ValueColumn
"r_3","0","1000cp","2008Q1","0","3289.9"
"r_3","0","1000cp","2008Q1","1","1749.1"
"r_3","0","1000cp","2008Q1","2","1540.7"
"r_3","0","1000cp","2008Q2","0","3372.1"
"r_3","0","1000cp","2008Q2","1","1794.4"
"r_3","0","1000cp","2008Q2","2","1577.7"
"r_3","0","1000cp","2008Q3","0","3417.3"
"r_3","0","1000cp","2008Q3","1","1825.7"
"r_3","0","1000cp","2008Q3","2","1591.6"
"r_3","0","1000cp","2008Q4","0","3363.5"
"r_3","0","1000cp","2008Q4","1","1802.3"
"r_3","0","1000cp","2008Q4","2","1561.2"
"r_3","0","1000cp","2009Q1","0","3262.8"
"r_3","0","1000cp","2009Q1","1","1738.7"
"r_3","0","1000cp","2009Q1","2","1524.1"
"r_3","0","1000cp","2009Q2","0","3300.1"
"r_3","0","1000cp","2009Q2","1","1754.5"
"r_3","0","1000cp","2009Q2","2","1545.6"
"r_3","0","1000cp","2009Q3","0","3280"
"r_3","0","1000cp","2009Q3","1","1744.6"
"r_3","0","1000cp","2009Q3","2","1535.5"
"r_3","0","1000cp","2009Q4","0","3171.6"
"r_3","0","1000cp","2009Q4","1","1691.6"
"r_3","0","1000cp","2009Q4","2","1480"
"r_3","0","1000cp","2010Q1","0","3030.9"
"r_3","0","1000cp","2010Q1","1","1622.6"
"r_3","0","1000cp","2010Q1","2","1408.4"
"r_3","0","1000cp","2010Q2","0","3096.2"
"r_3","0","1000cp","2010Q2","1","1657.3"
"r_3","0","1000cp","2010Q2","2","1438.8"
"r_3","0","1000cp","2010Q3","0","3129.8"
"r_3","0","1000cp","2010Q3","1","1672"
"r_3","0","1000cp","2010Q3","2","1457.8"
"r_3","0","1000cp","2010Q4","0","3044.1"
"r_3","0","1000cp","2010Q4","1","1607.6"
"r_3","0","1000cp","2010Q4","2","1436.5"
"r_3","0","1000cp","2011Q1","0","2904.4"
"r_3","0","1000cp","2011Q1","1","1538.6"
"r_3","0","1000cp","2011Q1","2","1365.9"
"r_3","0","1000cp","2011Q2","0","2946"
"r_3","0","1000cp","2011Q2","1","1560.7"
"r_3","0","1000cp","2011Q2","2","1385.3"
"r_3","0","1000cp","2011Q3","0","3036.5"
"r_3","0","1000cp","2011Q3","1","1610.3"
"r_3","0","1000cp","2011Q3","2","1426.2"
"r_3","0","1000cp","2011Q4","0","2973.8"
"r_3","0","1000cp","2011Q4","1","1558.7"
"r_3","0","1000cp","2011Q4","2","1415.1"
"r_3","0","1000cp","2012Q1","0","2853.2"
"r_3","0","1000cp","2012Q1","1","1492.5"
"r_3","0","1000cp","2012Q1","2","1360.7"
"r_3","0","1000cp","2012Q2","0","2913.7"
"r_3","0","1000cp","2012Q2","1","1528.7"
"r_3","0","1000cp","2012Q2","2","1385"
"r_3","0","1000cp","2012Q3","0","3017.1"
"r_3","0","1000cp","2012Q3","1","1584.6"
"r_3","0","1000cp","2012Q3","2","1432.5"
"r_3","0","1000cp","2012Q4","0","2951.8"
"r_3","0","1000cp","2012Q4","1","1560.9"
"r_3","0","1000cp","2012Q4","2","1390.9"
"r_3","0","1000cp","2013Q1","0","2855"
"r_3","0","1000cp","2013Q1","1","1499"
"r_3","0","1000cp","2013Q1","2","1356"
"r_3","0","1000cp","2013Q2","0","2940.2"
"r_3","0","1000cp","2013Q2","1","1540.5"
"r_3","0","1000cp","2013Q2","2","1399.7"
"r_3","0","1000cp","2013Q3","0","3012.9"
"r_3","0","1000cp","2013Q3","1","1592.3"
"r_3","0","1000cp","2013Q3","2","1420.7"
"r_3","0","1000cp","2013Q4","0","2931.6"
"r_3","0","1000cp","2013Q4","1","1555.6"
"r_3","0","1000cp","2013Q4","2","1376"
"r_3","0","1000cp","2014Q1","0","2894.1"
"r_3","0","1000cp","2014Q1","1","1533.5"
"r_3","0","1000cp","2014Q1","2","1360.6"
"r_3","0","1000cp","2014Q2","0","2979.8"
"r_3","0","1000cp","2014Q2","1","1576.4"
"r_3","0","1000cp","2014Q2","2","1403.4"
"r_3","0","1000cp","2014Q3","0","3061.9"
"r_3","0","1000cp","2014Q3","1","1624.1"
"r_3","0","1000cp","2014Q3","2","1437.7"
"r_3","0","1000cp","2014Q4","0","2989.7"
"r_3","0","1000cp","2014Q4","1","1574.4"
"r_3","0","1000cp","2014Q4","2","1415.3"
"r_3","0","1000cp","2015Q1","0","2949.8"
"r_3","0","1000cp","2015Q1","1","1561.3"
"r_3","0","1000cp","2015Q1","2","1388.4"
"r_3","0","1000cp","2015Q2","0","3011.2"
"r_3","0","1000cp","2015Q2","1","1595.5"
"r_3","0","1000cp","2015Q2","2","1415.7"
"r_3","0","1000cp","2015Q3","0","3104.7"
"r_3","0","1000cp","2015Q3","1","1646"
"r_3","0","1000cp","2015Q3","2","1458.7"
"r_3","0","1000cp","2015Q4","0","3061.7"
"r_3","0","1000cp","2015Q4","1","1627.3"
"r_3","0","1000cp","2015Q4","2","1434.5"
"r_3","A","1000cp","2008Q1","0","231.8"
"r_3","A","1000cp","2008Q1","1","152.8"
"r_3","A","1000cp","2008Q1","2","79.1"
"r_3","A","1000cp","2008Q2","0","271.4"
"r_3","A","1000cp","2008Q2","1","172.4"
"r_3","A","1000cp","2008Q2","2","99"
"r_3","A","1000cp","2008Q3","0","265.2"
"r_3","A","1000cp","2008Q3","1","167.7"
"r_3","A","1000cp","2008Q3","2","97.5"
"r_3","A","1000cp","2008Q4","0","236.1"
"r_3","A","1000cp","2008Q4","1","147"
"r_3","A","1000cp","2008Q4","2","89.1"
"r_3","A","1000cp","2009Q1","0","216"
"r_3","A","1000cp","2009Q1","1","141"
"r_3","A","1000cp","2009Q1","2","75"
"r_3","A","1000cp","2009Q2","0","244.8"
"r_3","A","1000cp","2009Q2","1","156.6"
"r_3","A","1000cp","2009Q2","2","88.2"
"r_3","A","1000cp","2009Q3","0","245.1"
"r_3","A","1000cp","2009Q3","1","155"
"r_3","A","1000cp","2009Q3","2","90"
"r_3","A","1000cp","2009Q4","0","217"
"r_3","A","1000cp","2009Q4","1","143.2"
"r_3","A","1000cp","2009Q4","2","73.8"
"r_3","A","1000cp","2010Q1","0","189.3"
"r_3","A","1000cp","2010Q1","1","126"
"r_3","A","1000cp","2010Q1","2","63.3"
"r_3","A","1000cp","2010Q2","0","225.5"
"r_3","A","1000cp","2010Q2","1","142.1"
"r_3","A","1000cp","2010Q2","2","83.4"
"r_3","A","1000cp","2010Q3","0","229"
"r_3","A","1000cp","2010Q3","1","146.1"
"r_3","A","1000cp","2010Q3","2","82.9"
"r_3","A","1000cp","2010Q4","0","194.4"
"r_3","A","1000cp","2010Q4","1","125.1"
"r_3","A","1000cp","2010Q4","2","69.3"
"r_3","A","1000cp","2011Q1","0","177.6"
"r_3","A","1000cp","2011Q1","1","118.6"
"r_3","A","1000cp","2011Q1","2","59"
"r_3","A","1000cp","2011Q2","0","214.7"
"r_3","A","1000cp","2011Q2","1","142.7"
"r_3","A","1000cp","2011Q2","2","72.1"
"r_3","A","1000cp","2011Q3","0","221.1"
