RevisionColumn,Units,periods,GenderID,NACE2003A17Ext,ValueColumn
"r_1","1000cp","2003Q1","0","0","2704.3"
"r_1","1000cp","2003Q1","1","0","1424"
"r_1","1000cp","2003Q1","2","0","1280.3"
"r_1","1000cp","2003Q2","0","0","2876"
"r_1","1000cp","2003Q2","1","0","1525.9"
"r_1","1000cp","2003Q2","2","0","1350.1"
"r_1","1000cp","2003Q3","0","0","2933.1"
"r_1","1000cp","2003Q3","1","0","1555.3"
"r_1","1000cp","2003Q3","2","0","1377.8"
"r_1","1000cp","2003Q4","0","0","2825.6"
"r_1","1000cp","2003Q4","1","0","1497.7"
"r_1","1000cp","2003Q4","2","0","1327.9"
"r_1","1000cp","2004Q1","0","0","2783.8"
"r_1","1000cp","2004Q1","1","0","1482.2"
"r_1","1000cp","2004Q1","2","0","1301.7"
"r_1","1000cp","2004Q2","0","0","2969.8"
"r_1","1000cp","2004Q2","1","0","1575.3"
"r_1","1000cp","2004Q2","2","0","1394.5"
"r_1","1000cp","2004Q3","0","0","3024.6"
"r_1","1000cp","2004Q3","1","0","1597.3"
"r_1","1000cp","2004Q3","2","0","1427.2"
"r_1","1000cp","2004Q4","0","0","2911.9"
"r_1","1000cp","2004Q4","1","0","1545.6"
"r_1","1000cp","2004Q4","2","0","1366.3"
"r_1","1000cp","2005Q1","0","0","2838.4"
"r_1","1000cp","2005Q1","1","0","1511.8"
"r_1","1000cp","2005Q1","2","0","1326.6"
"r_1","1000cp","2005Q2","0","0","3008.9"
"r_1","1000cp","2005Q2","1","0","1603.6"
"r_1","1000cp","2005Q2","2","0","1405.2"
"r_1","1000cp","2005Q3","0","0","3098.1"
"r_1","1000cp","2005Q3","1","0","1656.4"
"r_1","1000cp","2005Q3","2","0","1441.6"
"r_1","1000cp","2005Q4","0","0","2982.3"
"r_1","1000cp","2005Q4","1","0","1596.7"
"r_1","1000cp","2005Q4","2","0","1385.7"
"r_1","1000cp","2006Q1","0","0","2940.5"
"r_1","1000cp","2006Q1","1","0","1563.2"
"r_1","1000cp","2006Q1","2","0","1377.2"
"r_1","1000cp","2006Q2","0","0","3139.1"
"r_1","1000cp","2006Q2","1","0","1667"
"r_1","1000cp","2006Q2","2","0","1472.1"
"r_1","1000cp","2006Q3","0","0","3200.8"
"r_1","1000cp","2006Q3","1","0","1694.8"
"r_1","1000cp","2006Q3","2","0","1506"
"r_1","1000cp","2006Q4","0","0","3159.6"
"r_1","1000cp","2006Q4","1","0","1686.2"
"r_1","1000cp","2006Q4","2","0","1473.4"
"r_1","1000cp","2007Q1","0","0","3135.4"
"r_1","1000cp","2007Q1","1","0","1667.4"
"r_1","1000cp","2007Q1","2","0","1467.9"
"r_1","1000cp","2007Q2","0","0","3253.1"
"r_1","1000cp","2007Q2","1","0","1723.8"
"r_1","1000cp","2007Q2","2","0","1529.3"
"r_1","1000cp","2007Q3","0","0","3315.5"
"r_1","1000cp","2007Q3","1","0","1765.1"
"r_1","1000cp","2007Q3","2","0","1550.4"
"r_1","1000cp","2007Q4","0","0","3306.4"
"r_1","1000cp","2007Q4","1","0","1769.8"
"r_1","1000cp","2007Q4","2","0","1536.7"
"r_1","1000cp","2003Q1","0","À_B","223.6"
"r_1","1000cp","2003Q1","1","À_B","150.4"
"r_1","1000cp","2003Q1","2","À_B","73.2"
"r_1","1000cp","2003Q2","0","À_B","320.1"
"r_1","1000cp","2003Q2","1","À_B","207.4"
"r_1","1000cp","2003Q2","2","À_B","112.7"
"r_1","1000cp","2003Q3","0","À_B","336.3"
"r_1","1000cp","2003Q3","1","À_B","210.4"
"r_1","1000cp","2003Q3","2","À_B","125.9"
"r_1","1000cp","2003Q4","0","À_B","263.1"
"r_1","1000cp","2003Q4","1","À_B","169.6"
"r_1","1000cp","2003Q4","2","À_B","93.5"
"r_1","1000cp","2004Q1","0","À_B","227.8"
"r_1","1000cp","2004Q1","1","À_B","153.1"
"r_1","1000cp","2004Q1","2","À_B","74.7"
"r_1","1000cp","2004Q2","0","À_B","318.5"
"r_1","1000cp","2004Q2","1","À_B","203"
"r_1","1000cp","2004Q2","2","À_B","115.5"
"r_1","1000cp","2004Q3","0","À_B","331.3"
"r_1","1000cp","2004Q3","1","À_B","204.2"
"r_1","1000cp","2004Q3","2","À_B","127.1"
"r_1","1000cp","2004Q4","0","À_B","251.3"
"r_1","1000cp","2004Q4","1","À_B","163.8"
"r_1","1000cp","2004Q4","2","À_B","87.5"
"r_1","1000cp","2005Q1","0","À_B","214"
"r_1","1000cp","2005Q1","1","À_B","141.9"
"r_1","1000cp","2005Q1","2","À_B","72.2"
"r_1","1000cp","2005Q2","0","À_B","279.8"
"r_1","1000cp","2005Q2","1","À_B","175.9"
"r_1","1000cp","2005Q2","2","À_B","103.8"
"r_1","1000cp","2005Q3","0","À_B","313.2"
"r_1","1000cp","2005Q3","1","À_B","199.1"
"r_1","1000cp","2005Q3","2","À_B","114.1"
"r_1","1000cp","2005Q4","0","À_B","258.5"
"r_1","1000cp","2005Q4","1","À_B","167.8"
"r_1","1000cp","2005Q4","2","À_B","90.7"
"r_1","1000cp","2006Q1","0","À_B","204.5"
"r_1","1000cp","2006Q1","1","À_B","139.3"
"r_1","1000cp","2006Q1","2","À_B","65.2"
"r_1","1000cp","2006Q2","0","À_B","266.8"
"r_1","1000cp","2006Q2","1","À_B","170.5"
"r_1","1000cp","2006Q2","2","À_B","96.2"
"r_1","1000cp","2006Q3","0","À_B","294.8"
"r_1","1000cp","2006Q3","1","À_B","181.5"
"r_1","1000cp","2006Q3","2","À_B","113.3"
"r_1","1000cp","2006Q4","0","À_B","242.5"
"r_1","1000cp","2006Q4","1","À_B","159.6"
"r_1","1000cp","2006Q4","2","À_B","82.9"
"r_1","1000cp","2007Q1","0","À_B","209.9"
"r_1","1000cp","2007Q1","1","À_B","143.5"
"r_1","1000cp","2007Q1","2","À_B","66.4"
"r_1","1000cp","2007Q2","0","À_B","264"
"r_1","1000cp","2007Q2","1","À_B","169.9"
"r_1","1000cp","2007Q2","2","À_B","94.1"
"r_1","1000cp","2007Q3","0","À_B","272.1"
"r_1","1000cp","2007Q3","1","À_B","170.5"
"r_1","1000cp","2007Q3","2","À_B","101.6"
"r_1","1000cp","2007Q4","0","À_B","235.5"
"r_1","1000cp","2007Q4","1","À_B","152.4"
"r_1","1000cp","2007Q4","2","À_B","83.1"
"r_1","1000cp","2003Q1","0","C","43.9"
"r_1","1000cp","2003Q1","1","C","34.8"
"r_1","1000cp","2003Q1","2","C","9.2"
"r_1","1000cp","2003Q2","0","C","39.4"
"r_1","1000cp","2003Q2","1","C","32.4"
"r_1","1000cp","2003Q2","2","C","7"
"r_1","1000cp","2003Q3","0","C","36.3"
"r_1","1000cp","2003Q3","1","C","30.7"
"r_1","1000cp","2003Q3","2","C","5.6"
"r_1","1000cp","2003Q4","0","C","46.1"
"r_1","1000cp","2003Q4","1","C","36.9"
"r_1","1000cp","2003Q4","2","C","9.2"
"r_1","1000cp","2004Q1","0","C","42.3"
"r_1","1000cp","2004Q1","1","C","33.1"
"r_1","1000cp","2004Q1","2","C","9.2"
"r_1","1000cp","2004Q2","0","C","36.3"
"r_1","1000cp","2004Q2","1","C","30.9"
"r_1","1000cp","2004Q2","2","C","5.4"
"r_1","1000cp","2004Q3","0","C","35.5"
"r_1","1000cp","2004Q3","1","C","30.5"
"r_1","1000cp","2004Q3","2","C","5"
"r_1","1000cp","2004Q4","0","C","40.6"
"r_1","1000cp","2004Q4","1","C","33.1"
"r_1","1000cp","2004Q4","2","C","7.5"
"r_1","1000cp","2005Q1","0","C","39.7"
"r_1","1000cp","2005Q1","1","C","33.4"
"r_1","1000cp","2005Q1","2","C","6.3"
"r_1","1000cp","2005Q2","0","C","34.3"
"r_1","1000cp","2005Q2","1","C","30.9"
"r_1","1000cp","2005Q2","2","C","3.4"
"r_1","1000cp","2005Q3","0","C","35.5"
"r_1","1000cp","2005Q3","1","C","29.8"
"r_1","1000cp","2005Q3","2","C","5.7"
"r_1","1000cp","2005Q4","0","C","37.3"
"r_1","1000cp","2005Q4","1","C","29.8"
