RevisionColumn,EKATTE,Units,periods,GenderID,ValueColumn
"r_1","BG","num","2000","0","115087"
"r_1","BG","num","2000","1","61520"
"r_1","BG","num","2000","2","53567"
"r_1","BG","num","2001","0","112368"
"r_1","BG","num","2001","1","60145"
"r_1","BG","num","2001","2","52223"
"r_1","BG","num","2002","0","112617"
"r_1","BG","num","2002","1","59942"
"r_1","BG","num","2002","2","52675"
"r_1","BG","num","2003","0","111927"
"r_1","BG","num","2003","1","59992"
"r_1","BG","num","2003","2","51935"
"r_1","BG","num","2004","0","110110"
"r_1","BG","num","2004","1","59256"
"r_1","BG","num","2004","2","50854"
"r_1","BG","num","2005","0","113374"
"r_1","BG","num","2005","1","60761"
"r_1","BG","num","2005","2","52613"
"r_1","BG","num","2006","0","113438"
"r_1","BG","num","2006","1","60503"
"r_1","BG","num","2006","2","52935"
"r_1","BG","num","2007","0","113004"
"r_1","BG","num","2007","1","59823"
"r_1","BG","num","2007","2","53181"
"r_1","BG","num","2008","0","110523"
"r_1","BG","num","2008","1","58303"
"r_1","BG","num","2008","2","52220"
"r_1","BG","num","2009","0","108068"
"r_1","BG","num","2009","1","56849"
"r_1","BG","num","2009","2","51219"
"r_1","BG","num","2010","0","110165"
"r_1","BG","num","2010","1","57641"
"r_1","BG","num","2010","2","52524"
"r_1","BG","num","2011","0","108258"
"r_1","BG","num","2011","1","56634"
"r_1","BG","num","2011","2","51624"
"r_1","BG","num","2012","0","109281"
"r_1","BG","num","2012","1","56702"
"r_1","BG","num","2012","2","52579"
"r_1","BG","num","2013","0","104345"
"r_1","BG","num","2013","1","54827"
"r_1","BG","num","2013","2","49518"
"r_1","BG","num","2014","0","108952"
"r_1","BG","num","2014","1","56630"
"r_1","BG","num","2014","2","52322"
"r_1","BLG","num","2000","0","3581"
"r_1","BLG","num","2000","1","2011"
"r_1","BLG","num","2000","2","1570"
"r_1","BLG","num","2001","0","3584"
"r_1","BLG","num","2001","1","2016"
"r_1","BLG","num","2001","2","1568"
"r_1","BLG","num","2002","0","3711"
"r_1","BLG","num","2002","1","2054"
"r_1","BLG","num","2002","2","1657"
"r_1","BLG","num","2003","0","3639"
"r_1","BLG","num","2003","1","2009"
"r_1","BLG","num","2003","2","1630"
"r_1","BLG","num","2004","0","3648"
"r_1","BLG","num","2004","1","1952"
"r_1","BLG","num","2004","2","1696"
"r_1","BLG","num","2005","0","3913"
"r_1","BLG","num","2005","1","2204"
"r_1","BLG","num","2005","2","1709"
"r_1","BLG","num","2006","0","3941"
"r_1","BLG","num","2006","1","2182"
"r_1","BLG","num","2006","2","1759"
"r_1","BLG","num","2007","0","3983"
"r_1","BLG","num","2007","1","2204"
"r_1","BLG","num","2007","2","1779"
"r_1","BLG","num","2008","0","3791"
"r_1","BLG","num","2008","1","2092"
"r_1","BLG","num","2008","2","1699"
"r_1","BLG","num","2009","0","3719"
"r_1","BLG","num","2009","1","2069"
"r_1","BLG","num","2009","2","1650"
"r_1","BLG","num","2010","0","3931"
"r_1","BLG","num","2010","1","2155"
"r_1","BLG","num","2010","2","1776"
"r_1","BLG","num","2011","0","3856"
"r_1","BLG","num","2011","1","2055"
"r_1","BLG","num","2011","2","1801"
"r_1","BLG","num","2012","0","3896"
"r_1","BLG","num","2012","1","2098"
"r_1","BLG","num","2012","2","1798"
"r_1","BLG","num","2013","0","3740"
"r_1","BLG","num","2013","1","1996"
"r_1","BLG","num","2013","2","1744"
"r_1","BLG","num","2014","0","4072"
"r_1","BLG","num","2014","1","2220"
"r_1","BLG","num","2014","2","1852"
"r_1","BLG01","num","2000","0","167"
"r_1","BLG01","num","2000","1","90"
"r_1","BLG01","num","2000","2","77"
"r_1","BLG01","num","2001","0","161"
"r_1","BLG01","num","2001","1","87"
"r_1","BLG01","num","2001","2","74"
"r_1","BLG01","num","2002","0","191"
"r_1","BLG01","num","2002","1","100"
"r_1","BLG01","num","2002","2","91"
"r_1","BLG01","num","2003","0","170"
"r_1","BLG01","num","2003","1","82"
"r_1","BLG01","num","2003","2","88"
"r_1","BLG01","num","2004","0","207"
"r_1","BLG01","num","2004","1","120"
"r_1","BLG01","num","2004","2","87"
"r_1","BLG01","num","2005","0","178"
"r_1","BLG01","num","2005","1","100"
"r_1","BLG01","num","2005","2","78"
"r_1","BLG01","num","2006","0","189"
"r_1","BLG01","num","2006","1","105"
"r_1","BLG01","num","2006","2","84"
"r_1","BLG01","num","2007","0","171"
"r_1","BLG01","num","2007","1","96"
"r_1","BLG01","num","2007","2","75"
"r_1","BLG01","num","2008","0","187"
"r_1","BLG01","num","2008","1","107"
"r_1","BLG01","num","2008","2","80"
"r_1","BLG01","num","2009","0","172"
"r_1","BLG01","num","2009","1","94"
"r_1","BLG01","num","2009","2","78"
"r_1","BLG01","num","2010","0","203"
"r_1","BLG01","num","2010","1","112"
"r_1","BLG01","num","2010","2","91"
"r_1","BLG01","num","2011","0","184"
"r_1","BLG01","num","2011","1","89"
"r_1","BLG01","num","2011","2","95"
"r_1","BLG01","num","2012","0","172"
"r_1","BLG01","num","2012","1","98"
"r_1","BLG01","num","2012","2","74"
"r_1","BLG01","num","2013","0","163"
"r_1","BLG01","num","2013","1","82"
"r_1","BLG01","num","2013","2","81"
"r_1","BLG01","num","2014","0","210"
"r_1","BLG01","num","2014","1","125"
"r_1","BLG01","num","2014","2","85"
"r_1","BLG02","num","2000","0","119"
"r_1","BLG02","num","2000","1","67"
"r_1","BLG02","num","2000","2","52"
"r_1","BLG02","num","2001","0","98"
"r_1","BLG02","num","2001","1","54"
"r_1","BLG02","num","2001","2","44"
"r_1","BLG02","num","2002","0","95"
"r_1","BLG02","num","2002","1","58"
"r_1","BLG02","num","2002","2","37"
"r_1","BLG02","num","2003","0","84"
"r_1","BLG02","num","2003","1","44"
"r_1","BLG02","num","2003","2","40"
"r_1","BLG02","num","2004","0","104"
"r_1","BLG02","num","2004","1","49"
"r_1","BLG02","num","2004","2","55"
"r_1","BLG02","num","2005","0","93"
"r_1","BLG02","num","2005","1","50"
"r_1","BLG02","num","2005","2","43"
"r_1","BLG02","num","2006","0","105"
"r_1","BLG02","num","2006","1","56"
"r_1","BLG02","num","2006","2","49"
"r_1","BLG02","num","2007","0","102"
"r_1","BLG02","num","2007","1","59"
"r_1","BLG02","num","2007","2","43"
"r_1","BLG02","num","2008","0","114"
"r_1","BLG02","num","2008","1","55"
"r_1","BLG02","num","2008","2","59"
"r_1","BLG02","num","2009","0","89"
"r_1","BLG02","num","2009","1","54"
"r_1","BLG02","num","2009","2","35"
"r_1","BLG02","num","2010","0","112"
"r_1","BLG02","num","2010","1","63"
"r_1","BLG02","num","2010","2","49"
"r_1","BLG02","num","2011","0","98"
"r_1","BLG02","num","2011","1","45"
"r_1","BLG02","num","2011","2","53"
"r_1","BLG02","num","2012","0","125"
"r_1","BLG02","num","2012","1","55"
"r_1","BLG02","num","2012","2","70"
"r_1","BLG02","num","2013","0","105"
"r_1","BLG02","num","2013","1","49"
"r_1","BLG02","num","2013","2","56"
"r_1","BLG02","num","2014","0","114"
"r_1","BLG02","num","2014","1","64"
"r_1","BLG02","num","2014","2","50"
"r_1","BLG03","num","2000","0","738"
"r_1","BLG03","num","2000","1","411"
"r_1","BLG03","num","2000","2","327"
"r_1","BLG03","num","2001","0","730"
"r_1","BLG03","num","2001","1","426"
"r_1","BLG03","num","2001","2","304"
"r_1","BLG03","num","2002","0","729"
"r_1","BLG03","num","2002","1","397"
"r_1","BLG03","num","2002","2","332"
"r_1","BLG03","num","2003","0","766"
"r_1","BLG03","num","2003","1","411"
"r_1","BLG03","num","2003","2","355"
"r_1","BLG03","num","2004","0","746"
"r_1","BLG03","num","2004","1","407"
"r_1","BLG03","num","2004","2","339"
"r_1","BLG03","num","2005","0","745"
"r_1","BLG03","num","2005","1","412"
"r_1","BLG03","num","2005","2","333"
"r_1","BLG03","num","2006","0","810"
"r_1","BLG03","num","2006","1","455"
"r_1","BLG03","num","2006","2","355"
"r_1","BLG03","num","2007","0","780"
"r_1","BLG03","num","2007","1","461"
"r_1","BLG03","num","2007","2","319"
"r_1","BLG03","num","2008","0","734"
"r_1","BLG03","num","2008","1","427"
"r_1","BLG03","num","2008","2","307"
"r_1","BLG03","num","2009","0","761"
"r_1","BLG03","num","2009","1","414"
"r_1","BLG03","num","2009","2","347"
"r_1","BLG03","num","2010","0","722"
"r_1","BLG03","num","2010","1","397"
"r_1","BLG03","num","2010","2","325"
"r_1","BLG03","num","2011","0","716"
"r_1","BLG03","num","2011","1","385"
"r_1","BLG03","num","2011","2","331"
"r_1","BLG03","num","2012","0","810"
"r_1","BLG03","num","2012","1","441"
"r_1","BLG03","num","2012","2","369"
"r_1","BLG03","num","2013","0","738"
"r_1","BLG03","num","2013","1","399"
"r_1","BLG03","num","2013","2","339"
"r_1","BLG03","num","2014","0","862"
"r_1","BLG03","num","2014","1","483"
"r_1","BLG03","num","2014","2","379"
"r_1","BLG11","num","2000","0","349"
"r_1","BLG11","num","2000","1","197"
"r_1","BLG11","num","2000","2","152"
"r_1","BLG11","num","2001","0","273"
"r_1","BLG11","num","2001","1","158"
"r_1","BLG11","num","2001","2","115"
"r_1","BLG11","num","2002","0","327"
"r_1","BLG11","num","2002","1","191"
"r_1","BLG11","num","2002","2","136"
"r_1","BLG11","num","2003","0","299"
"r_1","BLG11","num","2003","1","155"
"r_1","BLG11","num","2003","2","144"
"r_1","BLG11","num","2004","0","326"
"r_1","BLG11","num","2004","1","176"
"r_1","BLG11","num","2004","2","150"
"r_1","BLG11","num","2005","0","335"
"r_1","BLG11","num","2005","1","200"
"r_1","BLG11","num","2005","2","135"
"r_1","BLG11","num","2006","0","345"
"r_1","BLG11","num","2006","1","188"
"r_1","BLG11","num","2006","2","157"
"r_1","BLG11","num","2007","0","363"
"r_1","BLG11","num","2007","1","187"
"r_1","BLG11","num","2007","2","176"
"r_1","BLG11","num","2008","0","319"
"r_1","BLG11","num","2008","1","181"
"r_1","BLG11","num","2008","2","138"
"r_1","BLG11","num","2009","0","313"
"r_1","BLG11","num","2009","1","183"
"r_1","BLG11","num","2009","2","130"
"r_1","BLG11","num","2010","0","363"
"r_1","BLG11","num","2010","1","206"
"r_1","BLG11","num","2010","2","157"
"r_1","BLG11","num","2011","0","352"
"r_1","BLG11","num","2011","1","174"
"r_1","BLG11","num","2011","2","178"
"r_1","BLG11","num","2012","0","334"
"r_1","BLG11","num","2012","1","180"
"r_1","BLG11","num","2012","2","154"
"r_1","BLG11","num","2013","0","321"
"r_1","BLG11","num","2013","1","172"
"r_1","BLG11","num","2013","2","149"
"r_1","BLG11","num","2014","0","356"
"r_1","BLG11","num","2014","1","193"
"r_1","BLG11","num","2014","2","163"
"r_1","BLG13","num","2000","0","128"
"r_1","BLG13","num","2000","1","72"
"r_1","BLG13","num","2000","2","56"
"r_1","BLG13","num","2001","0","147"
"r_1","BLG13","num","2001","1","74"
"r_1","BLG13","num","2001","2","73"
"r_1","BLG13","num","2002","0","134"
"r_1","BLG13","num","2002","1","82"
"r_1","BLG13","num","2002","2","52"
"r_1","BLG13","num","2003","0","138"
"r_1","BLG13","num","2003","1","78"
"r_1","BLG13","num","2003","2","60"
"r_1","BLG13","num","2004","0","116"
"r_1","BLG13","num","2004","1","53"
"r_1","BLG13","num","2004","2","63"
"r_1","BLG13","num","2005","0","149"
"r_1","BLG13","num","2005","1","89"
"r_1","BLG13","num","2005","2","60"
"r_1","BLG13","num","2006","0","151"
"r_1","BLG13","num","2006","1","82"
"r_1","BLG13","num","2006","2","69"
"r_1","BLG13","num","2007","0","162"
"r_1","BLG13","num","2007","1","89"
"r_1","BLG13","num","2007","2","73"
"r_1","BLG13","num","2008","0","165"
"r_1","BLG13","num","2008","1","87"
"r_1","BLG13","num","2008","2","78"
"r_1","BLG13","num","2009","0","151"
"r_1","BLG13","num","2009","1","84"
"r_1","BLG13","num","2009","2","67"
"r_1","BLG13","num","2010","0","140"
"r_1","BLG13","num","2010","1","80"
"r_1","BLG13","num","2010","2","60"
"r_1","BLG13","num","2011","0","152"
"r_1","BLG13","num","2011","1","85"
"r_1","BLG13","num","2011","2","67"
"r_1","BLG13","num","2012","0","146"
"r_1","BLG13","num","2012","1","79"
"r_1","BLG13","num","2012","2","67"
"r_1","BLG13","num","2013","0","129"
"r_1","BLG13","num","2013","1","66"
"r_1","BLG13","num","2013","2","63"
"r_1","BLG13","num","2014","0","139"
"r_1","BLG13","num","2014","1","68"
"r_1","BLG13","num","2014","2","71"
"r_1","BLG28","num","2000","0","94"
"r_1","BLG28","num","2000","1","45"
"r_1","BLG28","num","2000","2","49"
"r_1","BLG28","num","2001","0","103"
"r_1","BLG28","num","2001","1","64"
"r_1","BLG28","num","2001","2","39"
"r_1","BLG28","num","2002","0","101"
"r_1","BLG28","num","2002","1","55"
"r_1","BLG28","num","2002","2","46"
"r_1","BLG28","num","2003","0","92"
