RevisionColumn,PlaceResidence,GenderID,Units,periods,ValueColumn
"r_2","0","0","1000cp","2003Q1","475.9"
"r_2","0","0","1000cp","2003Q2","415.7"
"r_2","0","0","1000cp","2003Q3","403"
"r_2","0","0","1000cp","2003Q4","443.4"
"r_2","0","0","1000cp","2004Q1","453.4"
"r_2","0","0","1000cp","2004Q2","368.1"
"r_2","0","0","1000cp","2004Q3","371.5"
"r_2","0","0","1000cp","2004Q4","374.5"
"r_2","0","0","1000cp","2005Q1","380.6"
"r_2","0","0","1000cp","2005Q2","324.3"
"r_2","0","0","1000cp","2005Q3","334"
"r_2","0","0","1000cp","2005Q4","335.9"
"r_2","0","0","1000cp","2006Q1","325"
"r_2","0","0","1000cp","2006Q2","272.9"
"r_2","0","0","1000cp","2006Q3","254.7"
"r_2","0","0","1000cp","2006Q4","229.4"
"r_2","0","0","1000cp","2007Q1","227.4"
"r_2","0","0","1000cp","2007Q2","208.2"
"r_2","0","0","1000cp","2007Q3","199.3"
"r_2","0","0","1000cp","2007Q4","186.5"
"r_2","0","0","1000cp","2008Q1","155.9"
"r_2","0","0","1000cp","2008Q2","154.4"
"r_2","0","0","1000cp","2008Q3","144.5"
"r_2","0","0","1000cp","2008Q4","152.8"
"r_2","0","0","1000cp","2009Q1","162.5"
"r_2","0","0","1000cp","2009Q2","173"
"r_2","0","0","1000cp","2009Q3","186.5"
"r_2","0","0","1000cp","2009Q4","223.7"
"r_2","0","0","1000cp","2010Q1","229.3"
"r_2","0","0","1000cp","2010Q2","218.2"
"r_2","0","0","1000cp","2010Q3","220.6"
"r_2","0","0","1000cp","2010Q4","223.4"
"r_2","0","0","1000cp","2011Q1","253.4"
"r_2","0","0","1000cp","2011Q2","233.4"
"r_2","0","0","1000cp","2011Q3","229.1"
"r_2","0","0","1000cp","2011Q4","224.8"
"r_2","0","0","1000cp","2012Q1","247.3"
"r_2","0","0","1000cp","2012Q2","238.7"
"r_2","0","0","1000cp","2012Q3","212.1"
"r_2","0","0","1000cp","2012Q4","212.6"
"r_2","0","0","1000cp","2013Q1","236.7"
"r_2","0","0","1000cp","2013Q2","217.8"
"r_2","0","0","1000cp","2013Q3","192.2"
"r_2","0","0","1000cp","2013Q4","192.2"
"r_2","0","0","1000cp","2014Q1","206.2"
"r_2","0","0","1000cp","2014Q2","195.2"
"r_2","0","0","1000cp","2014Q3","178.5"
"r_2","0","0","1000cp","2014Q4","188.5"
"r_2","0","0","1000cp","2015Q1","193.6"
"r_2","0","0","1000cp","2015Q2","169.8"
"r_2","0","0","1000cp","2015Q3","160.4"
"r_2","0","0","1000cp","2015Q4","167.7"
"r_2","0","1","1000cp","2003Q1","252.2"
"r_2","0","1","1000cp","2003Q2","219.5"
"r_2","0","1","1000cp","2003Q3","212.9"
"r_2","0","1","1000cp","2003Q4","236.3"
"r_2","0","1","1000cp","2004Q1","238.7"
"r_2","0","1","1000cp","2004Q2","192.7"
"r_2","0","1","1000cp","2004Q3","195.5"
"r_2","0","1","1000cp","2004Q4","193.4"
"r_2","0","1","1000cp","2005Q1","206.7"
"r_2","0","1","1000cp","2005Q2","176.5"
"r_2","0","1","1000cp","2005Q3","170.6"
"r_2","0","1","1000cp","2005Q4","171.6"
"r_2","0","1","1000cp","2006Q1","177"
"r_2","0","1","1000cp","2006Q2","143.3"
"r_2","0","1","1000cp","2006Q3","129.4"
"r_2","0","1","1000cp","2006Q4","117.2"
"r_2","0","1","1000cp","2007Q1","119.2"
"r_2","0","1","1000cp","2007Q2","108"
"r_2","0","1","1000cp","2007Q3","109.6"
"r_2","0","1","1000cp","2007Q4","97.6"
"r_2","0","1","1000cp","2008Q1","77.6"
"r_2","0","1","1000cp","2008Q2","80.7"
"r_2","0","1","1000cp","2008Q3","73"
"r_2","0","1","1000cp","2008Q4","76.9"
"r_2","0","1","1000cp","2009Q1","84"
"r_2","0","1","1000cp","2009Q2","88.8"
"r_2","0","1","1000cp","2009Q3","93.5"
"r_2","0","1","1000cp","2009Q4","122.2"
"r_2","0","1","1000cp","2010Q1","124.6"
"r_2","0","1","1000cp","2010Q2","116.4"
"r_2","0","1","1000cp","2010Q3","119.8"
"r_2","0","1","1000cp","2010Q4","125.7"
"r_2","0","1","1000cp","2011Q1","138.8"
"r_2","0","1","1000cp","2011Q2","131.2"
"r_2","0","1","1000cp","2011Q3","132.3"
"r_2","0","1","1000cp","2011Q4","125"
"r_2","0","1","1000cp","2012Q1","135.6"
"r_2","0","1","1000cp","2012Q2","129.1"
"r_2","0","1","1000cp","2012Q3","116.5"
"r_2","0","1","1000cp","2012Q4","120.4"
"r_2","0","1","1000cp","2013Q1","130"
"r_2","0","1","1000cp","2013Q2","121.2"
"r_2","0","1","1000cp","2013Q3","109.7"
"r_2","0","1","1000cp","2013Q4","105.2"
"r_2","0","1","1000cp","2014Q1","116.1"
"r_2","0","1","1000cp","2014Q2","112.3"
"r_2","0","1","1000cp","2014Q3","99.6"
"r_2","0","1","1000cp","2014Q4","103.3"
"r_2","0","1","1000cp","2015Q1","103.8"
"r_2","0","1","1000cp","2015Q2","93.1"
"r_2","0","1","1000cp","2015Q3","86.9"
"r_2","0","1","1000cp","2015Q4","91.1"
"r_2","0","2","1000cp","2003Q1","223.7"
"r_2","0","2","1000cp","2003Q2","196.2"
"r_2","0","2","1000cp","2003Q3","190.1"
"r_2","0","2","1000cp","2003Q4","207.1"
"r_2","0","2","1000cp","2004Q1","214.7"
"r_2","0","2","1000cp","2004Q2","175.4"
"r_2","0","2","1000cp","2004Q3","175.9"
"r_2","0","2","1000cp","2004Q4","181.1"
"r_2","0","2","1000cp","2005Q1","173.9"
"r_2","0","2","1000cp","2005Q2","147.8"
"r_2","0","2","1000cp","2005Q3","163.5"
"r_2","0","2","1000cp","2005Q4","164.3"
"r_2","0","2","1000cp","2006Q1","148"
"r_2","0","2","1000cp","2006Q2","129.6"
"r_2","0","2","1000cp","2006Q3","125.3"
"r_2","0","2","1000cp","2006Q4","112.3"
"r_2","0","2","1000cp","2007Q1","108.2"
"r_2","0","2","1000cp","2007Q2","100.2"
"r_2","0","2","1000cp","2007Q3","89.8"
"r_2","0","2","1000cp","2007Q4","89"
"r_2","0","2","1000cp","2008Q1","78.3"
"r_2","0","2","1000cp","2008Q2","73.7"
"r_2","0","2","1000cp","2008Q3","71.6"
"r_2","0","2","1000cp","2008Q4","75.9"
"r_2","0","2","1000cp","2009Q1","78.5"
"r_2","0","2","1000cp","2009Q2","84.2"
"r_2","0","2","1000cp","2009Q3","93"
"r_2","0","2","1000cp","2009Q4","101.4"
"r_2","0","2","1000cp","2010Q1","104.7"
"r_2","0","2","1000cp","2010Q2","101.8"
"r_2","0","2","1000cp","2010Q3","100.8"
"r_2","0","2","1000cp","2010Q4","97.7"
"r_2","0","2","1000cp","2011Q1","114.7"
"r_2","0","2","1000cp","2011Q2","102.2"
"r_2","0","2","1000cp","2011Q3","96.8"
"r_2","0","2","1000cp","2011Q4","99.7"
"r_2","0","2","1000cp","2012Q1","111.6"
"r_2","0","2","1000cp","2012Q2","109.6"
"r_2","0","2","1000cp","2012Q3","95.6"
"r_2","0","2","1000cp","2012Q4","92.2"
"r_2","0","2","1000cp","2013Q1","106.7"
"r_2","0","2","1000cp","2013Q2","96.6"
"r_2","0","2","1000cp","2013Q3","82.4"
"r_2","0","2","1000cp","2013Q4","87"
"r_2","0","2","1000cp","2014Q1","90.1"
"r_2","0","2","1000cp","2014Q2","82.9"
"r_2","0","2","1000cp","2014Q3","78.9"
"r_2","0","2","1000cp","2014Q4","85.2"
"r_2","0","2","1000cp","2015Q1","89.8"
"r_2","0","2","1000cp","2015Q2","76.7"
"r_2","0","2","1000cp","2015Q3","73.4"
"r_2","0","2","1000cp","2015Q4","76.6"
"r_2","1","0","1000cp","2003Q1","280.6"
"r_2","1","0","1000cp","2003Q2","245.1"
"r_2","1","0","1000cp","2003Q3","246.3"
"r_2","1","0","1000cp","2003Q4","262.7"
"r_2","1","0","1000cp","2004Q1","265.9"
"r_2","1","0","1000cp","2004Q2","218.7"
"r_2","1","0","1000cp","2004Q3","221.2"
"r_2","1","0","1000cp","2004Q4","209.6"
"r_2","1","0","1000cp","2005Q1","209.4"
"r_2","1","0","1000cp","2005Q2","185.3"
"r_2","1","0","1000cp","2005Q3","185.7"
"r_2","1","0","1000cp","2005Q4","187.1"
"r_2","1","0","1000cp","2006Q1","170.4"
"r_2","1","0","1000cp","2006Q2","151.1"
"r_2","1","0","1000cp","2006Q3","148.8"
"r_2","1","0","1000cp","2006Q4","131.2"
"r_2","1","0","1000cp","2007Q1","124.7"
"r_2","1","0","1000cp","2007Q2","114.5"
"r_2","1","0","1000cp","2007Q3","111.3"
"r_2","1","0","1000cp","2007Q4","99.4"
"r_2","1","0","1000cp","2008Q1","82.3"
"r_2","1","0","1000cp","2008Q2","83.3"
"r_2","1","0","1000cp","2008Q3","78.9"
"r_2","1","0","1000cp","2008Q4","83.4"
"r_2","1","0","1000cp","2009Q1","89.9"
"r_2","1","0","1000cp","2009Q2","95"
"r_2","1","0","1000cp","2009Q3","106.7"
"r_2","1","0","1000cp","2009Q4","133.1"
"r_2","1","0","1000cp","2010Q1","131.9"
"r_2","1","0","1000cp","2010Q2","119.3"
"r_2","1","0","1000cp","2010Q3","126.5"
"r_2","1","0","1000cp","2010Q4","125.5"
"r_2","1","0","1000cp","2011Q1","144.4"
"r_2","1","0","1000cp","2011Q2","141.8"
"r_2","1","0","1000cp","2011Q3","134.9"
"r_2","1","0","1000cp","2011Q4","124.2"
"r_2","1","0","1000cp","2012Q1","138.9"
"r_2","1","0","1000cp","2012Q2","138.1"
"r_2","1","0","1000cp","2012Q3","119.4"
"r_2","1","0","1000cp","2012Q4","112.9"
"r_2","1","0","1000cp","2013Q1","131.4"
"r_2","1","0","1000cp","2013Q2","118"
"r_2","1","0","1000cp","2013Q3","106.6"
"r_2","1","0","1000cp","2013Q4","96"
"r_2","1","0","1000cp","2014Q1","104.3"
"r_2","1","0","1000cp","2014Q2","103"
"r_2","1","0","1000cp","2014Q3","94.6"
"r_2","1","0","1000cp","2014Q4","98.6"
"r_2","1","0","1000cp","2015Q1","97.3"
"r_2","1","0","1000cp","2015Q2","79.4"
"r_2","1","0","1000cp","2015Q3","74.7"
"r_2","1","0","1000cp","2015Q4","73.5"
"r_2","1","1","1000cp","2003Q1","144.4"
