RevisionColumn,Age10_LFS,Units,periods,GenderID,ValueColumn
"r_3","0","1000cp","2017Q1","0","134.6"
"r_3","0","1000cp","2017Q1","1","72.3"
"r_3","0","1000cp","2017Q1","2","62.3"
"r_3","15 - 64","1000cp","2017Q1","0","132.1"
"r_3","15 - 64","1000cp","2017Q1","1","71.1"
"r_3","15 - 64","1000cp","2017Q1","2","61"
"r_3","15 - 24","1000cp","2017Q1","0","16.7"
"r_3","15 - 24","1000cp","2017Q1","1","9"
"r_3","15 - 24","1000cp","2017Q1","2","7.7"
"r_3","25 - 34","1000cp","2017Q1","0","33.7"
"r_3","25 - 34","1000cp","2017Q1","1","20.2"
"r_3","25 - 34","1000cp","2017Q1","2","13.5"
"r_3","35 - 44","1000cp","2017Q1","0","28.4"
"r_3","35 - 44","1000cp","2017Q1","1","16"
"r_3","35 - 44","1000cp","2017Q1","2","12.3"
"r_3","45 - 54","1000cp","2017Q1","0","27"
"r_3","45 - 54","1000cp","2017Q1","1","12.8"
"r_3","45 - 54","1000cp","2017Q1","2","14.2"
"r_3","55+","1000cp","2017Q1","0","28.8"
"r_3","55+","1000cp","2017Q1","1","14.3"
"r_3","55+","1000cp","2017Q1","2","14.5"
"r_3","0","1000cp","2017Q2","0","119.6"
"r_3","0","1000cp","2017Q2","1","60.4"
"r_3","0","1000cp","2017Q2","2","59.2"
"r_3","15 - 64","1000cp","2017Q2","0","115.6"
"r_3","15 - 64","1000cp","2017Q2","1","58.2"
"r_3","15 - 64","1000cp","2017Q2","2","57.4"
"r_3","15 - 24","1000cp","2017Q2","0","14.4"
"r_3","15 - 24","1000cp","2017Q2","1","7.8"
"r_3","15 - 24","1000cp","2017Q2","2","6.6"
"r_3","25 - 34","1000cp","2017Q2","0","27.2"
"r_3","25 - 34","1000cp","2017Q2","1","14.3"
"r_3","25 - 34","1000cp","2017Q2","2","12.9"
"r_3","35 - 44","1000cp","2017Q2","0","25.7"
"r_3","35 - 44","1000cp","2017Q2","1","13.2"
"r_3","35 - 44","1000cp","2017Q2","2","12.5"
"r_3","45 - 54","1000cp","2017Q2","0","23"
"r_3","45 - 54","1000cp","2017Q2","1","11.2"
"r_3","45 - 54","1000cp","2017Q2","2","11.8"
"r_3","55+","1000cp","2017Q2","0","29.3"
"r_3","55+","1000cp","2017Q2","1","13.9"
"r_3","55+","1000cp","2017Q2","2","15.4"
"r_3","0","1000cp","2017Q3","0","107.4"
"r_3","0","1000cp","2017Q3","1","56.6"
"r_3","0","1000cp","2017Q3","2","50.8"
"r_3","15 - 64","1000cp","2017Q3","0","103"
"r_3","15 - 64","1000cp","2017Q3","1","54.5"
"r_3","15 - 64","1000cp","2017Q3","2","48.5"
"r_3","15 - 24","1000cp","2017Q3","0","12"
"r_3","15 - 24","1000cp","2017Q3","1","7.9"
"r_3","15 - 24","1000cp","2017Q3","2","(4.2)"
"r_3","25 - 34","1000cp","2017Q3","0","24.2"
"r_3","25 - 34","1000cp","2017Q3","1","14.2"
"r_3","25 - 34","1000cp","2017Q3","2","10"
"r_3","35 - 44","1000cp","2017Q3","0","22.2"
"r_3","35 - 44","1000cp","2017Q3","1","13.2"
"r_3","35 - 44","1000cp","2017Q3","2","9"
"r_3","45 - 54","1000cp","2017Q3","0","21.9"
"r_3","45 - 54","1000cp","2017Q3","1","10.7"
"r_3","45 - 54","1000cp","2017Q3","2","11.2"
"r_3","55+","1000cp","2017Q3","0","27.2"
"r_3","55+","1000cp","2017Q3","1","10.6"
"r_3","55+","1000cp","2017Q3","2","16.6"
"r_3","0","1000cp","2017Q4","0","101.7"
"r_3","0","1000cp","2017Q4","1","53.3"
"r_3","0","1000cp","2017Q4","2","48.4"
"r_3","15 - 64","1000cp","2017Q4","0","98.3"
"r_3","15 - 64","1000cp","2017Q4","1","51.8"
"r_3","15 - 64","1000cp","2017Q4","2","46.5"
"r_3","15 - 24","1000cp","2017Q4","0","10.9"
"r_3","15 - 24","1000cp","2017Q4","1","6.7"
"r_3","15 - 24","1000cp","2017Q4","2","(4.2)"
"r_3","25 - 34","1000cp","2017Q4","0","20.9"
"r_3","25 - 34","1000cp","2017Q4","1","11.3"
"r_3","25 - 34","1000cp","2017Q4","2","9.5"
"r_3","35 - 44","1000cp","2017Q4","0","21.9"
"r_3","35 - 44","1000cp","2017Q4","1","12.6"
"r_3","35 - 44","1000cp","2017Q4","2","9.3"
"r_3","45 - 54","1000cp","2017Q4","0","22"
