RevisionColumn,PlaceResidence,GenderID,periods,Units,ValueColumn
"r_2","0","0","2003Q1","1000cp","3472.2"
"r_2","0","0","2003Q2","1000cp","3344.7"
"r_2","0","0","2003Q3","1000cp","3320.4"
"r_2","0","0","2003Q4","1000cp","3439.7"
"r_2","0","0","2004Q1","1000cp","3465.2"
"r_2","0","0","2004Q2","1000cp","3302.8"
"r_2","0","0","2004Q3","1000cp","3284.6"
"r_2","0","0","2004Q4","1000cp","3377.6"
"r_2","0","0","2005Q1","1000cp","3474.3"
"r_2","0","0","2005Q2","1000cp","3333"
"r_2","0","0","2005Q3","1000cp","3260"
"r_2","0","0","2005Q4","1000cp","3364.8"
"r_2","0","0","2006Q1","1000cp","3402.1"
"r_2","0","0","2006Q2","1000cp","3210.8"
"r_2","0","0","2006Q3","1000cp","3147.8"
"r_2","0","0","2006Q4","1000cp","3213.1"
"r_2","0","0","2007Q1","1000cp","3230.1"
"r_2","0","0","2007Q2","1000cp","3147.7"
"r_2","0","0","2007Q3","1000cp","3091.6"
"r_2","0","0","2007Q4","1000cp","3122.8"
"r_2","0","0","2008Q1","1000cp","3098.1"
"r_2","0","0","2008Q2","1000cp","3037.5"
"r_2","0","0","2008Q3","1000cp","3014.4"
"r_2","0","0","2008Q4","1000cp","3075.6"
"r_2","0","0","2009Q1","1000cp","3100"
"r_2","0","0","2009Q2","1000cp","3062.3"
"r_2","0","0","2009Q3","1000cp","3070.4"
"r_2","0","0","2009Q4","1000cp","3140.6"
"r_2","0","0","2010Q1","1000cp","3044.1"
"r_2","0","0","2010Q2","1000cp","2978.3"
"r_2","0","0","2010Q3","1000cp","2959.2"
"r_2","0","0","2010Q4","1000cp","2985.9"
"r_2","0","0","2011Q1","1000cp","3056.8"
"r_2","0","0","2011Q2","1000cp","3044.9"
"r_2","0","0","2011Q3","1000cp","2980.2"
"r_2","0","0","2011Q4","1000cp","3005.2"
"r_2","0","0","2012Q1","1000cp","3046.6"
"r_2","0","0","2012Q2","1000cp","2979.7"
"r_2","0","0","2012Q3","1000cp","2882.2"
"r_2","0","0","2012Q4","1000cp","2916.8"
"r_2","0","0","2013Q1","1000cp","2954.8"
"r_2","0","0","2013Q2","1000cp","2884.5"
"r_2","0","0","2013Q3","1000cp","2823.1"
"r_2","0","0","2013Q4","1000cp","2870.8"
"r_2","0","0","2014Q1","1000cp","2896.6"
"r_2","0","0","2014Q2","1000cp","2857.4"
"r_2","0","0","2014Q3","1000cp","2785.1"
"r_2","0","0","2014Q4","1000cp","2864"
"r_2","0","0","2015Q1","1000cp","2879.2"
"r_2","0","0","2015Q2","1000cp","2835"
"r_2","0","0","2015Q3","1000cp","2784.9"
"r_2","0","0","2015Q4","1000cp","2840.4"
"r_2","0","1","2003Q1","1000cp","1501.1"
"r_2","0","1","2003Q2","1000cp","1426.6"
"r_2","0","1","2003Q3","1000cp","1422.4"
"r_2","0","1","2003Q4","1000cp","1482.4"
"r_2","0","1","2004Q1","1000cp","1485.3"
"r_2","0","1","2004Q2","1000cp","1408.2"
"r_2","0","1","2004Q3","1000cp","1405.1"
"r_2","0","1","2004Q4","1000cp","1442.3"
"r_2","0","1","2005Q1","1000cp","1491.3"
"r_2","0","1","2005Q2","1000cp","1415.8"
"r_2","0","1","2005Q3","1000cp","1375.2"
"r_2","0","1","2005Q4","1000cp","1428.4"
"r_2","0","1","2006Q1","1000cp","1463.7"
"r_2","0","1","2006Q2","1000cp","1366.3"
"r_2","0","1","2006Q3","1000cp","1344.2"
"r_2","0","1","2006Q4","1000cp","1360.9"
"r_2","0","1","2007Q1","1000cp","1375.7"
"r_2","0","1","2007Q2","1000cp","1333"
"r_2","0","1","2007Q3","1000cp","1307"
"r_2","0","1","2007Q4","1000cp","1312.8"
"r_2","0","1","2008Q1","1000cp","1305.9"
"r_2","0","1","2008Q2","1000cp","1273"
"r_2","0","1","2008Q3","1000cp","1251.5"
"r_2","0","1","2008Q4","1000cp","1278.2"
"r_2","0","1","2009Q1","1000cp","1296"
"r_2","0","1","2009Q2","1000cp","1284.6"
"r_2","0","1","2009Q3","1000cp","1284.9"
"r_2","0","1","2009Q4","1000cp","1310.6"
"r_2","0","1","2010Q1","1000cp","1276.5"
"r_2","0","1","2010Q2","1000cp","1243.4"
"r_2","0","1","2010Q3","1000cp","1236.3"
"r_2","0","1","2010Q4","1000cp","1265.9"
"r_2","0","1","2011Q1","1000cp","1295.4"
"r_2","0","1","2011Q2","1000cp","1291.4"
"r_2","0","1","2011Q3","1000cp","1258.4"
"r_2","0","1","2011Q4","1000cp","1282.5"
"r_2","0","1","2012Q1","1000cp","1301.1"
"r_2","0","1","2012Q2","1000cp","1265.4"
"r_2","0","1","2012Q3","1000cp","1215.5"
"r_2","0","1","2012Q4","1000cp","1229.5"
"r_2","0","1","2013Q1","1000cp","1251.3"
"r_2","0","1","2013Q2","1000cp","1223.7"
"r_2","0","1","2013Q3","1000cp","1185.6"
"r_2","0","1","2013Q4","1000cp","1200"
"r_2","0","1","2014Q1","1000cp","1215.9"
"r_2","0","1","2014Q2","1000cp","1193.6"
"r_2","0","1","2014Q3","1000cp","1156.7"
"r_2","0","1","2014Q4","1000cp","1211"
"r_2","0","1","2015Q1","1000cp","1210.5"
"r_2","0","1","2015Q2","1000cp","1181.2"
"r_2","0","1","2015Q3","1000cp","1162.4"
"r_2","0","1","2015Q4","1000cp","1195.1"
"r_2","0","2","2003Q1","1000cp","1971.1"
"r_2","0","2","2003Q2","1000cp","1918.2"
"r_2","0","2","2003Q3","1000cp","1898"
"r_2","0","2","2003Q4","1000cp","1957.3"
"r_2","0","2","2004Q1","1000cp","1979.9"
"r_2","0","2","2004Q2","1000cp","1894.6"
"r_2","0","2","2004Q3","1000cp","1879.5"
"r_2","0","2","2004Q4","1000cp","1935.3"
"r_2","0","2","2005Q1","1000cp","1982.9"
"r_2","0","2","2005Q2","1000cp","1917.2"
"r_2","0","2","2005Q3","1000cp","1884.8"
"r_2","0","2","2005Q4","1000cp","1936.4"
"r_2","0","2","2006Q1","1000cp","1938.5"
"r_2","0","2","2006Q2","1000cp","1844.6"
"r_2","0","2","2006Q3","1000cp","1803.7"
"r_2","0","2","2006Q4","1000cp","1852.2"
"r_2","0","2","2007Q1","1000cp","1854.4"
"r_2","0","2","2007Q2","1000cp","1814.7"
"r_2","0","2","2007Q3","1000cp","1784.6"
"r_2","0","2","2007Q4","1000cp","1810.1"
"r_2","0","2","2008Q1","1000cp","1792.3"
"r_2","0","2","2008Q2","1000cp","1764.6"
"r_2","0","2","2008Q3","1000cp","1762.9"
"r_2","0","2","2008Q4","1000cp","1797.4"
"r_2","0","2","2009Q1","1000cp","1804"
"r_2","0","2","2009Q2","1000cp","1777.7"
"r_2","0","2","2009Q3","1000cp","1785.6"
"r_2","0","2","2009Q4","1000cp","1829.9"
"r_2","0","2","2010Q1","1000cp","1767.6"
"r_2","0","2","2010Q2","1000cp","1734.9"
"r_2","0","2","2010Q3","1000cp","1722.9"
"r_2","0","2","2010Q4","1000cp","1720"
"r_2","0","2","2011Q1","1000cp","1761.4"
"r_2","0","2","2011Q2","1000cp","1753.5"
"r_2","0","2","2011Q3","1000cp","1721.8"
"r_2","0","2","2011Q4","1000cp","1722.7"
"r_2","0","2","2012Q1","1000cp","1745.5"
"r_2","0","2","2012Q2","1000cp","1714.3"
"r_2","0","2","2012Q3","1000cp","1666.7"
"r_2","0","2","2012Q4","1000cp","1687.3"
"r_2","0","2","2013Q1","1000cp","1703.4"
"r_2","0","2","2013Q2","1000cp","1660.8"
"r_2","0","2","2013Q3","1000cp","1637.5"
"r_2","0","2","2013Q4","1000cp","1670.8"
"r_2","0","2","2014Q1","1000cp","1680.7"
"r_2","0","2","2014Q2","1000cp","1663.9"
"r_2","0","2","2014Q3","1000cp","1628.4"
"r_2","0","2","2014Q4","1000cp","1653"
"r_2","0","2","2015Q1","1000cp","1668.7"
"r_2","0","2","2015Q2","1000cp","1653.8"
"r_2","0","2","2015Q3","1000cp","1622.5"
"r_2","0","2","2015Q4","1000cp","1645.4"
"r_2","1","0","2003Q1","1000cp","2189.5"
"r_2","1","0","2003Q2","1000cp","2136.8"
"r_2","1","0","2003Q3","1000cp","2127.3"
"r_2","1","0","2003Q4","1000cp","2190.7"
"r_2","1","0","2004Q1","1000cp","2196.1"
"r_2","1","0","2004Q2","1000cp","2115.9"
"r_2","1","0","2004Q3","1000cp","2119.7"
"r_2","1","0","2004Q4","1000cp","2138.8"
"r_2","1","0","2005Q1","1000cp","2183.7"
"r_2","1","0","2005Q2","1000cp","2141.2"
"r_2","1","0","2005Q3","1000cp","2087.3"
"r_2","1","0","2005Q4","1000cp","2138"
"r_2","1","0","2006Q1","1000cp","2147.1"
"r_2","1","0","2006Q2","1000cp","2040.4"
"r_2","1","0","2006Q3","1000cp","2015.6"
"r_2","1","0","2006Q4","1000cp","2057.7"
"r_2","1","0","2007Q1","1000cp","2061"
"r_2","1","0","2007Q2","1000cp","2019.4"
"r_2","1","0","2007Q3","1000cp","1982.5"
"r_2","1","0","2007Q4","1000cp","1995.3"
