RevisionColumn,GenderID,Age10_LFS,periods,Units,ValueColumn
"r_2","0","0","2003Q1","1000cp","3472.2"
"r_2","0","0","2003Q2","1000cp","3344.7"
"r_2","0","0","2003Q3","1000cp","3320.4"
"r_2","0","0","2003Q4","1000cp","3439.7"
"r_2","0","0","2004Q1","1000cp","3465.2"
"r_2","0","0","2004Q2","1000cp","3302.8"
"r_2","0","0","2004Q3","1000cp","3284.6"
"r_2","0","0","2004Q4","1000cp","3377.6"
"r_2","0","0","2005Q1","1000cp","3474.3"
"r_2","0","0","2005Q2","1000cp","3333"
"r_2","0","0","2005Q3","1000cp","3260"
"r_2","0","0","2005Q4","1000cp","3364.8"
"r_2","0","0","2006Q1","1000cp","3402.1"
"r_2","0","0","2006Q2","1000cp","3210.8"
"r_2","0","0","2006Q3","1000cp","3147.8"
"r_2","0","0","2006Q4","1000cp","3213.1"
"r_2","0","0","2007Q1","1000cp","3230.1"
"r_2","0","0","2007Q2","1000cp","3147.7"
"r_2","0","0","2007Q3","1000cp","3091.6"
"r_2","0","0","2007Q4","1000cp","3122.8"
"r_2","0","0","2008Q1","1000cp","3098.1"
"r_2","0","0","2008Q2","1000cp","3037.5"
"r_2","0","0","2008Q3","1000cp","3014.4"
"r_2","0","0","2008Q4","1000cp","3075.6"
"r_2","0","0","2009Q1","1000cp","3100"
"r_2","0","0","2009Q2","1000cp","3062.3"
"r_2","0","0","2009Q3","1000cp","3070.4"
"r_2","0","0","2009Q4","1000cp","3140.6"
"r_2","0","0","2010Q1","1000cp","3044.1"
"r_2","0","0","2010Q2","1000cp","2978.3"
"r_2","0","0","2010Q3","1000cp","2959.2"
"r_2","0","0","2010Q4","1000cp","2985.9"
"r_2","0","0","2011Q1","1000cp","3056.8"
"r_2","0","0","2011Q2","1000cp","3044.9"
"r_2","0","0","2011Q3","1000cp","2980.2"
"r_2","0","0","2011Q4","1000cp","3005.2"
"r_2","0","0","2012Q1","1000cp","3046.6"
"r_2","0","0","2012Q2","1000cp","2979.7"
"r_2","0","0","2012Q3","1000cp","2882.2"
"r_2","0","0","2012Q4","1000cp","2916.8"
"r_2","0","0","2013Q1","1000cp","2954.8"
"r_2","0","0","2013Q2","1000cp","2884.5"
"r_2","0","0","2013Q3","1000cp","2823.1"
"r_2","0","0","2013Q4","1000cp","2870.8"
"r_2","0","0","2014Q1","1000cp","2896.6"
"r_2","0","0","2014Q2","1000cp","2857.4"
"r_2","0","0","2014Q3","1000cp","2785.1"
"r_2","0","0","2014Q4","1000cp","2864"
"r_2","0","0","2015Q1","1000cp","2879.2"
"r_2","0","0","2015Q2","1000cp","2835"
"r_2","0","0","2015Q3","1000cp","2784.9"
"r_2","0","0","2015Q4","1000cp","2840.4"
"r_2","0","15 - 64","2003Q1","1000cp","2151.7"
"r_2","0","15 - 64","2003Q2","1000cp","2037.2"
"r_2","0","15 - 64","2003Q3","1000cp","2006.3"
"r_2","0","15 - 64","2003Q4","1000cp","2107.1"
"r_2","0","15 - 64","2004Q1","1000cp","2137.8"
"r_2","0","15 - 64","2004Q2","1000cp","1973.2"
"r_2","0","15 - 64","2004Q3","1000cp","1959.3"
"r_2","0","15 - 64","2004Q4","1000cp","2046.7"
"r_2","0","15 - 64","2005Q1","1000cp","2119.3"
"r_2","0","15 - 64","2005Q2","1000cp","1981.5"
"r_2","0","15 - 64","2005Q3","1000cp","1918.2"
"r_2","0","15 - 64","2005Q4","1000cp","1989.5"
"r_2","0","15 - 64","2006Q1","1000cp","2021.5"
"r_2","0","15 - 64","2006Q2","1000cp","1838.5"
"r_2","0","15 - 64","2006Q3","1000cp","1772.9"
"r_2","0","15 - 64","2006Q4","1000cp","1813"
"r_2","0","15 - 64","2007Q1","1000cp","1821.3"
"r_2","0","15 - 64","2007Q2","1000cp","1768.2"
"r_2","0","15 - 64","2007Q3","1000cp","1707.1"
"r_2","0","15 - 64","2007Q4","1000cp","1704.8"
"r_2","0","15 - 64","2008Q1","1000cp","1708"
"r_2","0","15 - 64","2008Q2","1000cp","1665.1"
"r_2","0","15 - 64","2008Q3","1000cp","1627.1"
"r_2","0","15 - 64","2008Q4","1000cp","1658.7"
"r_2","0","15 - 64","2009Q1","1000cp","1696"
"r_2","0","15 - 64","2009Q2","1000cp","1661.9"
"r_2","0","15 - 64","2009Q3","1000cp","1654.6"
"r_2","0","15 - 64","2009Q4","1000cp","1708.6"
"r_2","0","15 - 64","2010Q1","1000cp","1744"
"r_2","0","15 - 64","2010Q2","1000cp","1676"
"r_2","0","15 - 64","2010Q3","1000cp","1659.2"
"r_2","0","15 - 64","2010Q4","1000cp","1687.7"
"r_2","0","15 - 64","2011Q1","1000cp","1742.9"
"r_2","0","15 - 64","2011Q2","1000cp","1728.5"
"r_2","0","15 - 64","2011Q3","1000cp","1667.2"
"r_2","0","15 - 64","2011Q4","1000cp","1691.7"
"r_2","0","15 - 64","2012Q1","1000cp","1712.7"
"r_2","0","15 - 64","2012Q2","1000cp","1645.2"
"r_2","0","15 - 64","2012Q3","1000cp","1545.3"
"r_2","0","15 - 64","2012Q4","1000cp","1575.6"
"r_2","0","15 - 64","2013Q1","1000cp","1611.1"
"r_2","0","15 - 64","2013Q2","1000cp","1542"
"r_2","0","15 - 64","2013Q3","1000cp","1475.8"
"r_2","0","15 - 64","2013Q4","1000cp","1517"
"r_2","0","15 - 64","2014Q1","1000cp","1541.9"
"r_2","0","15 - 64","2014Q2","1000cp","1496.2"
"r_2","0","15 - 64","2014Q3","1000cp","1418.2"
"r_2","0","15 - 64","2014Q4","1000cp","1491.2"
"r_2","0","15 - 64","2015Q1","1000cp","1505.4"
"r_2","0","15 - 64","2015Q2","1000cp","1449.8"
"r_2","0","15 - 64","2015Q3","1000cp","1399.3"
"r_2","0","15 - 64","2015Q4","1000cp","1447.9"
"r_2","0","20 - 64","2003Q1","1000cp","1648.8"
"r_2","0","20 - 64","2003Q2","1000cp","1529.4"
"r_2","0","20 - 64","2003Q3","1000cp","1504.3"
"r_2","0","20 - 64","2003Q4","1000cp","1596.5"
"r_2","0","20 - 64","2004Q1","1000cp","1630.2"
"r_2","0","20 - 64","2004Q2","1000cp","1451.5"
"r_2","0","20 - 64","2004Q3","1000cp","1435.5"
"r_2","0","20 - 64","2004Q4","1000cp","1537.3"
"r_2","0","20 - 64","2005Q1","1000cp","1609.8"
"r_2","0","20 - 64","2005Q2","1000cp","1458.2"
"r_2","0","20 - 64","2005Q3","1000cp","1393.7"
"r_2","0","20 - 64","2005Q4","1000cp","1464.8"
"r_2","0","20 - 64","2006Q1","1000cp","1496.9"
"r_2","0","20 - 64","2006Q2","1000cp","1321.3"
"r_2","0","20 - 64","2006Q3","1000cp","1261.7"
"r_2","0","20 - 64","2006Q4","1000cp","1297.4"
"r_2","0","20 - 64","2007Q1","1000cp","1315.6"
"r_2","0","20 - 64","2007Q2","1000cp","1251.2"
"r_2","0","20 - 64","2007Q3","1000cp","1206"
"r_2","0","20 - 64","2007Q4","1000cp","1199.9"
"r_2","0","20 - 64","2008Q1","1000cp","1215.3"
"r_2","0","20 - 64","2008Q2","1000cp","1176.9"
"r_2","0","20 - 64","2008Q3","1000cp","1136.7"
"r_2","0","20 - 64","2008Q4","1000cp","1156.1"
"r_2","0","20 - 64","2009Q1","1000cp","1230.1"
"r_2","0","20 - 64","2009Q2","1000cp","1199.4"
"r_2","0","20 - 64","2009Q3","1000cp","1190.9"
"r_2","0","20 - 64","2009Q4","1000cp","1240.4"
"r_2","0","20 - 64","2010Q1","1000cp","1361.2"
"r_2","0","20 - 64","2010Q2","1000cp","1296.2"
"r_2","0","20 - 64","2010Q3","1000cp","1284"
"r_2","0","20 - 64","2010Q4","1000cp","1308.1"
"r_2","0","20 - 64","2011Q1","1000cp","1388.2"
"r_2","0","20 - 64","2011Q2","1000cp","1372.9"
"r_2","0","20 - 64","2011Q3","1000cp","1320"
"r_2","0","20 - 64","2011Q4","1000cp","1342.4"
"r_2","0","20 - 64","2012Q1","1000cp","1380.2"
"r_2","0","20 - 64","2012Q2","1000cp","1319.3"
"r_2","0","20 - 64","2012Q3","1000cp","1234.3"
"r_2","0","20 - 64","2012Q4","1000cp","1270.3"
"r_2","0","20 - 64","2013Q1","1000cp","1301.8"
"r_2","0","20 - 64","2013Q2","1000cp","1232.1"
"r_2","0","20 - 64","2013Q3","1000cp","1175.7"
"r_2","0","20 - 64","2013Q4","1000cp","1218.7"
"r_2","0","20 - 64","2014Q1","1000cp","1243.8"
"r_2","0","20 - 64","2014Q2","1000cp","1201.2"
"r_2","0","20 - 64","2014Q3","1000cp","1127.2"
"r_2","0","20 - 64","2014Q4","1000cp","1198.1"
"r_2","0","20 - 64","2015Q1","1000cp","1211.7"
"r_2","0","20 - 64","2015Q2","1000cp","1154.8"
"r_2","0","20 - 64","2015Q3","1000cp","1109.1"
"r_2","0","20 - 64","2015Q4","1000cp","1149.8"
"r_2","0","15 - 29","2003Q1","1000cp","901.7"
"r_2","0","15 - 29","2003Q2","1000cp","894.7"
"r_2","0","15 - 29","2003Q3","1000cp","884.1"
"r_2","0","15 - 29","2003Q4","1000cp","914.2"
