RevisionColumn,Age10_LFS,NUTS,GenderID,periods,Units,ValueColumn
"r_2","0","BG","0","2003Q1","1000cp","3472.2"
"r_2","0","BG","1","2003Q1","1000cp","1501.1"
"r_2","0","BG","2","2003Q1","1000cp","1971.1"
"r_2","0","BG31","0","2003Q1","1000cp","493.2"
"r_2","0","BG31","1","2003Q1","1000cp","222.6"
"r_2","0","BG31","2","2003Q1","1000cp","270.6"
"r_2","0","BG32","0","2003Q1","1000cp","446.3"
"r_2","0","BG32","1","2003Q1","1000cp","187.6"
"r_2","0","BG32","2","2003Q1","1000cp","258.7"
"r_2","0","BG33","0","2003Q1","1000cp","445.5"
"r_2","0","BG33","1","2003Q1","1000cp","185.5"
"r_2","0","BG33","2","2003Q1","1000cp","260.1"
"r_2","0","BG34","0","2003Q1","1000cp","495"
"r_2","0","BG34","1","2003Q1","1000cp","208"
"r_2","0","BG34","2","2003Q1","1000cp","287"
"r_2","0","BG41","0","2003Q1","1000cp","853.7"
"r_2","0","BG41","1","2003Q1","1000cp","364.9"
"r_2","0","BG41","2","2003Q1","1000cp","488.7"
"r_2","0","BG42","0","2003Q1","1000cp","738.4"
"r_2","0","BG42","1","2003Q1","1000cp","332.5"
"r_2","0","BG42","2","2003Q1","1000cp","405.9"
"r_2","15 - 64_gr","BG","0","2003Q1","1000cp","2151.7"
"r_2","15 - 64_gr","BG","1","2003Q1","1000cp","946.7"
"r_2","15 - 64_gr","BG","2","2003Q1","1000cp","1205"
"r_2","15 - 64_gr","BG31","0","2003Q1","1000cp","285.6"
"r_2","15 - 64_gr","BG31","1","2003Q1","1000cp","133.3"
"r_2","15 - 64_gr","BG31","2","2003Q1","1000cp","152.2"
"r_2","15 - 64_gr","BG32","0","2003Q1","1000cp","282"
"r_2","15 - 64_gr","BG32","1","2003Q1","1000cp","118.7"
"r_2","15 - 64_gr","BG32","2","2003Q1","1000cp","163.3"
"r_2","15 - 64_gr","BG33","0","2003Q1","1000cp","281.8"
"r_2","15 - 64_gr","BG33","1","2003Q1","1000cp","116.7"
"r_2","15 - 64_gr","BG33","2","2003Q1","1000cp","165.1"
"r_2","15 - 64_gr","BG34","0","2003Q1","1000cp","308.7"
"r_2","15 - 64_gr","BG34","1","2003Q1","1000cp","131.9"
"r_2","15 - 64_gr","BG34","2","2003Q1","1000cp","176.9"
"r_2","15 - 64_gr","BG41","0","2003Q1","1000cp","510"
"r_2","15 - 64_gr","BG41","1","2003Q1","1000cp","220"
"r_2","15 - 64_gr","BG41","2","2003Q1","1000cp","290"
"r_2","15 - 64_gr","BG42","0","2003Q1","1000cp","483.6"
"r_2","15 - 64_gr","BG42","1","2003Q1","1000cp","226.1"
"r_2","15 - 64_gr","BG42","2","2003Q1","1000cp","257.5"
"r_2","0","BG","0","2003Q2","1000cp","3344.7"
"r_2","0","BG","1","2003Q2","1000cp","1426.6"
"r_2","0","BG","2","2003Q2","1000cp","1918.2"
"r_2","0","BG31","0","2003Q2","1000cp","495.6"
"r_2","0","BG31","1","2003Q2","1000cp","219.2"
"r_2","0","BG31","2","2003Q2","1000cp","276.3"
"r_2","0","BG32","0","2003Q2","1000cp","436.4"
"r_2","0","BG32","1","2003Q2","1000cp","184.7"
"r_2","0","BG32","2","2003Q2","1000cp","251.7"
"r_2","0","BG33","0","2003Q2","1000cp","400.2"
"r_2","0","BG33","1","2003Q2","1000cp","165.5"
"r_2","0","BG33","2","2003Q2","1000cp","234.7"
"r_2","0","BG34","0","2003Q2","1000cp","476.8"
"r_2","0","BG34","1","2003Q2","1000cp","201.2"
"r_2","0","BG34","2","2003Q2","1000cp","275.5"
"r_2","0","BG41","0","2003Q2","1000cp","840.1"
"r_2","0","BG41","1","2003Q2","1000cp","354.8"
"r_2","0","BG41","2","2003Q2","1000cp","485.3"
"r_2","0","BG42","0","2003Q2","1000cp","695.7"
"r_2","0","BG42","1","2003Q2","1000cp","301"
"r_2","0","BG42","2","2003Q2","1000cp","394.7"
"r_2","15 - 64_gr","BG","0","2003Q2","1000cp","2037.2"
"r_2","15 - 64_gr","BG","1","2003Q2","1000cp","884.4"
"r_2","15 - 64_gr","BG","2","2003Q2","1000cp","1152.7"
"r_2","15 - 64_gr","BG31","0","2003Q2","1000cp","288.9"
"r_2","15 - 64_gr","BG31","1","2003Q2","1000cp","131.4"
"r_2","15 - 64_gr","BG31","2","2003Q2","1000cp","157.5"
"r_2","15 - 64_gr","BG32","0","2003Q2","1000cp","271.4"
"r_2","15 - 64_gr","BG32","1","2003Q2","1000cp","115.7"
"r_2","15 - 64_gr","BG32","2","2003Q2","1000cp","155.7"
"r_2","15 - 64_gr","BG33","0","2003Q2","1000cp","247.2"
"r_2","15 - 64_gr","BG33","1","2003Q2","1000cp","104"
"r_2","15 - 64_gr","BG33","2","2003Q2","1000cp","143.2"
"r_2","15 - 64_gr","BG34","0","2003Q2","1000cp","291"
"r_2","15 - 64_gr","BG34","1","2003Q2","1000cp","125.3"
"r_2","15 - 64_gr","BG34","2","2003Q2","1000cp","165.7"
"r_2","15 - 64_gr","BG41","0","2003Q2","1000cp","499.8"
"r_2","15 - 64_gr","BG41","1","2003Q2","1000cp","212.6"
"r_2","15 - 64_gr","BG41","2","2003Q2","1000cp","287.3"
"r_2","15 - 64_gr","BG42","0","2003Q2","1000cp","438.8"
"r_2","15 - 64_gr","BG42","1","2003Q2","1000cp","195.4"
"r_2","15 - 64_gr","BG42","2","2003Q2","1000cp","243.4"
"r_2","0","BG","0","2003Q3","1000cp","3320.4"
"r_2","0","BG","1","2003Q3","1000cp","1422.4"
"r_2","0","BG","2","2003Q3","1000cp","1898"
"r_2","0","BG31","0","2003Q3","1000cp","485"
"r_2","0","BG31","1","2003Q3","1000cp","211.2"
"r_2","0","BG31","2","2003Q3","1000cp","273.7"
"r_2","0","BG32","0","2003Q3","1000cp","447.9"
"r_2","0","BG32","1","2003Q3","1000cp","195.5"
"r_2","0","BG32","2","2003Q3","1000cp","252.5"
"r_2","0","BG33","0","2003Q3","1000cp","389.7"
"r_2","0","BG33","1","2003Q3","1000cp","162"
"r_2","0","BG33","2","2003Q3","1000cp","227.7"
"r_2","0","BG34","0","2003Q3","1000cp","480"
"r_2","0","BG34","1","2003Q3","1000cp","205.4"
"r_2","0","BG34","2","2003Q3","1000cp","274.6"
