RevisionColumn,LFS_EDUlevel,Units,periods,ValueColumn
"r_3","0","1000cp","2003Q1","475.9"
"r_3","1","1000cp","2003Q1","30.1"
"r_3","2","1000cp","2003Q1","184.8"
"r_3","2_1","1000cp","2003Q1","120.5"
"r_3","3","1000cp","2003Q1","178.5"
"r_3","4","1000cp","2003Q1","82.4"
"r_3","0","1000cp","2003Q2","415.7"
"r_3","1","1000cp","2003Q2","24.6"
"r_3","2","1000cp","2003Q2","163.5"
"r_3","2_1","1000cp","2003Q2","110.9"
"r_3","3","1000cp","2003Q2","153.4"
"r_3","4","1000cp","2003Q2","74.2"
"r_3","0","1000cp","2003Q3","403"
"r_3","1","1000cp","2003Q3","24.6"
"r_3","2","1000cp","2003Q3","166"
"r_3","2_1","1000cp","2003Q3","111.3"
"r_3","3","1000cp","2003Q3","146.6"
"r_3","4","1000cp","2003Q3","65.8"
"r_3","0","1000cp","2003Q4","443.4"
"r_3","1","1000cp","2003Q4","26.2"
"r_3","2","1000cp","2003Q4","172.8"
"r_3","2_1","1000cp","2003Q4","120.1"
"r_3","3","1000cp","2003Q4","161.6"
"r_3","4","1000cp","2003Q4","82.9"
"r_3","0","1000cp","2004Q1","453.4"
"r_3","1","1000cp","2004Q1","25.3"
"r_3","2","1000cp","2004Q1","176.5"
"r_3","2_1","1000cp","2004Q1","123.4"
"r_3","3","1000cp","2004Q1","165.3"
"r_3","4","1000cp","2004Q1","86.3"
"r_3","0","1000cp","2004Q2","368.1"
"r_3","1","1000cp","2004Q2","21"
"r_3","2","1000cp","2004Q2","139.6"
"r_3","2_1","1000cp","2004Q2","97.5"
"r_3","3","1000cp","2004Q2","135.3"
"r_3","4","1000cp","2004Q2","72.2"
"r_3","0","1000cp","2004Q3","371.5"
"r_3","1","1000cp","2004Q3","18.6"
"r_3","2","1000cp","2004Q3","142.6"
"r_3","2_1","1000cp","2004Q3","97.6"
"r_3","3","1000cp","2004Q3","137"
"r_3","4","1000cp","2004Q3","73.3"
"r_3","0","1000cp","2004Q4","374.5"
"r_3","1","1000cp","2004Q4","23.2"
"r_3","2","1000cp","2004Q4","140.3"
"r_3","2_1","1000cp","2004Q4","43.8"
"r_3","3","1000cp","2004Q4","141.3"
"r_3","4","1000cp","2004Q4","69.7"
"r_3","0","1000cp","2005Q1","380.6"
"r_3","1","1000cp","2005Q1","21.1"
"r_3","2","1000cp","2005Q1","144"
"r_3","2_1","1000cp","2005Q1","104.7"
"r_3","3","1000cp","2005Q1","138.1"
"r_3","4","1000cp","2005Q1","77.4"
"r_3","0","1000cp","2005Q2","324.3"
"r_3","1","1000cp","2005Q2","15"
"r_3","2","1000cp","2005Q2","124.4"
"r_3","2_1","1000cp","2005Q2","87.8"
"r_3","3","1000cp","2005Q2","122.2"
"r_3","4","1000cp","2005Q2","62.7"
"r_3","0","1000cp","2005Q3","334"
"r_3","1","1000cp","2005Q3","18"
"r_3","2","1000cp","2005Q3","115"
"r_3","2_1","1000cp","2005Q3","74.8"
"r_3","3","1000cp","2005Q3","134.2"
"r_3","4","1000cp","2005Q3","66.8"
"r_3","0","1000cp","2005Q4","335.9"
"r_3","1","1000cp","2005Q4","15.9"
"r_3","2","1000cp","2005Q4","116.9"
"r_3","2_1","1000cp","2005Q4","76.2"
"r_3","3","1000cp","2005Q4","130.7"
"r_3","4","1000cp","2005Q4","72.4"
"r_3","0","1000cp","2006Q1","325"
"r_3","1","1000cp","2006Q1","16.1"
"r_3","2","1000cp","2006Q1","107.1"
"r_3","2_1","1000cp","2006Q1","70.9"
"r_3","3","1000cp","2006Q1","126.9"
"r_3","4","1000cp","2006Q1","74.9"
"r_3","0","1000cp","2006Q2","272.9"
"r_3","1","1000cp","2006Q2","17.6"
