Code list,Code,Name of Code list or Code in Bulgarian,Name of Code list or Code in English
"NUTS","","NUTS","NUTS"
"NUTS","BG","Общо за страната","Total for the country"
"NUTS","BG31","Северозападен","Severozapaden"
"NUTS","BG32","Северен централен","Severen tsentralen"
"NUTS","BG33","Североизточен","Severoiztochen"
"NUTS","BG34","Югоизточен","Yugoiztochen"
"NUTS","BG41","Югозападен","Yugozapaden"
"NUTS","BG42","Южен централен","Yuzhen tsentralen"
"Age10_LFS","","Възрастови групи  ","Age groups "
"Age10_LFS","0","Общо","Total"
"Age10_LFS","15 - 64_gr","в т.ч. 15 - 64 навършени години","of which 15 - 64 years"
"GenderID","","Пол","Sex"
"GenderID","0","Общо","Total"
"GenderID","1","Мъже","Male"
"GenderID","2","Жени","Female"
"Units","","Мерни единици","Measuring units"
"Units","1000cp","брой лица в хиляди","Thousand persons"
