RevisionColumn,NUTS,Age10_LFS,GenderID,Units,periods,ValueColumn
"r_2","BG","0","0","1000cp","2003Q1","3203.9"
"r_2","BG","0","1","1000cp","2003Q1","1701.8"
"r_2","BG","0","2","1000cp","2003Q1","1502.1"
"r_2","BG","15 - 64_gr","0","1000cp","2003Q1","3163.8"
"r_2","BG","15 - 64_gr","1","1000cp","2003Q1","1671.9"
"r_2","BG","15 - 64_gr","2","1000cp","2003Q1","1491.9"
"r_2","BG31","0","0","1000cp","2003Q1","366.6"
"r_2","BG31","0","1","1000cp","2003Q1","192.8"
"r_2","BG31","0","2","1000cp","2003Q1","173.8"
"r_2","BG31","15 - 64_gr","0","1000cp","2003Q1","361.3"
"r_2","BG31","15 - 64_gr","1","1000cp","2003Q1","188.2"
"r_2","BG31","15 - 64_gr","2","1000cp","2003Q1","173.1"
"r_2","BG32","0","0","1000cp","2003Q1","391.1"
"r_2","BG32","0","1","1000cp","2003Q1","214.4"
"r_2","BG32","0","2","1000cp","2003Q1","176.7"
"r_2","BG32","15 - 64_gr","0","1000cp","2003Q1","385.2"
"r_2","BG32","15 - 64_gr","1","1000cp","2003Q1","209.7"
"r_2","BG32","15 - 64_gr","2","1000cp","2003Q1","175.5"
"r_2","BG33","0","0","1000cp","2003Q1","408"
"r_2","BG33","0","1","1000cp","2003Q1","226.7"
"r_2","BG33","0","2","1000cp","2003Q1","181.3"
"r_2","BG33","15 - 64_gr","0","1000cp","2003Q1","403.2"
"r_2","BG33","15 - 64_gr","1","1000cp","2003Q1","223.1"
"r_2","BG33","15 - 64_gr","2","1000cp","2003Q1","180.1"
"r_2","BG34","0","0","1000cp","2003Q1","474.9"
"r_2","BG34","0","1","1000cp","2003Q1","260.4"
"r_2","BG34","0","2","1000cp","2003Q1","214.5"
"r_2","BG34","15 - 64_gr","0","1000cp","2003Q1","467"
"r_2","BG34","15 - 64_gr","1","1000cp","2003Q1","254.1"
"r_2","BG34","15 - 64_gr","2","1000cp","2003Q1","212.9"
"r_2","BG41","0","0","1000cp","2003Q1","954.7"
"r_2","BG41","0","1","1000cp","2003Q1","492.5"
"r_2","BG41","0","2","1000cp","2003Q1","462.1"
"r_2","BG41","15 - 64_gr","0","1000cp","2003Q1","942"
"r_2","BG41","15 - 64_gr","1","1000cp","2003Q1","484.1"
"r_2","BG41","15 - 64_gr","2","1000cp","2003Q1","457.9"
"r_2","BG42","0","0","1000cp","2003Q1","608.6"
"r_2","BG42","0","1","1000cp","2003Q1","314.9"
"r_2","BG42","0","2","1000cp","2003Q1","293.6"
"r_2","BG42","15 - 64_gr","0","1000cp","2003Q1","605.2"
"r_2","BG42","15 - 64_gr","1","1000cp","2003Q1","312.8"
"r_2","BG42","15 - 64_gr","2","1000cp","2003Q1","292.4"
"r_2","BG","0","0","1000cp","2003Q2","3333.3"
"r_2","BG","0","1","1000cp","2003Q2","1777.9"
"r_2","BG","0","2","1000cp","2003Q2","1555.3"
"r_2","BG","15 - 64_gr","0","1000cp","2003Q2","3274.8"
"r_2","BG","15 - 64_gr","1","1000cp","2003Q2","1737.4"
"r_2","BG","15 - 64_gr","2","1000cp","2003Q2","1537.4"
"r_2","BG31","0","0","1000cp","2003Q2","364.5"
"r_2","BG31","0","1","1000cp","2003Q2","196.6"
"r_2","BG31","0","2","1000cp","2003Q2","167.9"
"r_2","BG31","15 - 64_gr","0","1000cp","2003Q2","355.7"
"r_2","BG31","15 - 64_gr","1","1000cp","2003Q2","190.2"
"r_2","BG31","15 - 64_gr","2","1000cp","2003Q2","165.6"
"r_2","BG32","0","0","1000cp","2003Q2","401.2"
"r_2","BG32","0","1","1000cp","2003Q2","218.1"
"r_2","BG32","0","2","1000cp","2003Q2","183.2"
"r_2","BG32","15 - 64_gr","0","1000cp","2003Q2","395.7"
"r_2","BG32","15 - 64_gr","1","1000cp","2003Q2","214.7"
"r_2","BG32","15 - 64_gr","2","1000cp","2003Q2","181"
"r_2","BG33","0","0","1000cp","2003Q2","453.4"
"r_2","BG33","0","1","1000cp","2003Q2","246.9"
"r_2","BG33","0","2","1000cp","2003Q2","206.5"
"r_2","BG33","15 - 64_gr","0","1000cp","2003Q2","443.2"
"r_2","BG33","15 - 64_gr","1","1000cp","2003Q2","240.5"
"r_2","BG33","15 - 64_gr","2","1000cp","2003Q2","202.7"
"r_2","BG34","0","0","1000cp","2003Q2","493.5"
"r_2","BG34","0","1","1000cp","2003Q2","267.4"
"r_2","BG34","0","2","1000cp","2003Q2","226.1"
"r_2","BG34","15 - 64_gr","0","1000cp","2003Q2","482.9"
"r_2","BG34","15 - 64_gr","1","1000cp","2003Q2","259.6"
"r_2","BG34","15 - 64_gr","2","1000cp","2003Q2","223.3"
"r_2","BG41","0","0","1000cp","2003Q2","970.6"
"r_2","BG41","0","1","1000cp","2003Q2","503.3"
"r_2","BG41","0","2","1000cp","2003Q2","467.2"
"r_2","BG41","15 - 64_gr","0","1000cp","2003Q2","952.3"
"r_2","BG41","15 - 64_gr","1","1000cp","2003Q2","491.5"
"r_2","BG41","15 - 64_gr","2","1000cp","2003Q2","460.9"
"r_2","BG42","0","0","1000cp","2003Q2","650"
"r_2","BG42","0","1","1000cp","2003Q2","345.6"
"r_2","BG42","0","2","1000cp","2003Q2","304.4"
"r_2","BG42","15 - 64_gr","0","1000cp","2003Q2","644.9"
"r_2","BG42","15 - 64_gr","1","1000cp","2003Q2","341"
"r_2","BG42","15 - 64_gr","2","1000cp","2003Q2","303.9"
"r_2","BG","0","0","1000cp","2003Q3","3359.3"
"r_2","BG","0","1","1000cp","2003Q3","1783.8"
"r_2","BG","0","2","1000cp","2003Q3","1575.5"
"r_2","BG","15 - 64_gr","0","1000cp","2003Q3","3300.8"
"r_2","BG","15 - 64_gr","1","1000cp","2003Q3","1746.1"
"r_2","BG","15 - 64_gr","2","1000cp","2003Q3","1554.6"
"r_2","BG31","0","0","1000cp","2003Q3","375.9"
"r_2","BG31","0","1","1000cp","2003Q3","205.4"
"r_2","BG31","0","2","1000cp","2003Q3","170.5"
"r_2","BG31","15 - 64_gr","0","1000cp","2003Q3","367.3"
"r_2","BG31","15 - 64_gr","1","1000cp","2003Q3","200.2"
"r_2","BG31","15 - 64_gr","2","1000cp","2003Q3","167.1"
"r_2","BG32","0","0","1000cp","2003Q3","390.6"
"r_2","BG32","0","1","1000cp","2003Q3","208.2"
"r_2","BG32","0","2","1000cp","2003Q3","182.4"
"r_2","BG32","15 - 64_gr","0","1000cp","2003Q3","385.1"
"r_2","BG32","15 - 64_gr","1","1000cp","2003Q3","204.6"
"r_2","BG32","15 - 64_gr","2","1000cp","2003Q3","180.5"
"r_2","BG33","0","0","1000cp","2003Q3","464.2"
"r_2","BG33","0","1","1000cp","2003Q3","250.8"
"r_2","BG33","0","2","1000cp","2003Q3","213.4"
"r_2","BG33","15 - 64_gr","0","1000cp","2003Q3","456.5"
"r_2","BG33","15 - 64_gr","1","1000cp","2003Q3","245.5"
"r_2","BG33","15 - 64_gr","2","1000cp","2003Q3","211"
"r_2","BG34","0","0","1000cp","2003Q3","489.5"
"r_2","BG34","0","1","1000cp","2003Q3","262.4"
"r_2","BG34","0","2","1000cp","2003Q3","227.1"
"r_2","BG34","15 - 64_gr","0","1000cp","2003Q3","479"
"r_2","BG34","15 - 64_gr","1","1000cp","2003Q3","254.6"
"r_2","BG34","15 - 64_gr","2","1000cp","2003Q3","224.4"
"r_2","BG41","0","0","1000cp","2003Q3","970.9"
"r_2","BG41","0","1","1000cp","2003Q3","500.8"
"r_2","BG41","0","2","1000cp","2003Q3","470"
"r_2","BG41","15 - 64_gr","0","1000cp","2003Q3","950.7"
"r_2","BG41","15 - 64_gr","1","1000cp","2003Q3","489.7"
"r_2","BG41","15 - 64_gr","2","1000cp","2003Q3","461"
"r_2","BG42","0","0","1000cp","2003Q3","668.3"
"r_2","BG42","0","1","1000cp","2003Q3","356.1"
"r_2","BG42","0","2","1000cp","2003Q3","312.2"
"r_2","BG42","15 - 64_gr","0","1000cp","2003Q3","662.3"
"r_2","BG42","15 - 64_gr","1","1000cp","2003Q3","351.6"
"r_2","BG42","15 - 64_gr","2","1000cp","2003Q3","310.7"
"r_2","BG","0","0","1000cp","2003Q4","3237.1"
"r_2","BG","0","1","1000cp","2003Q4","1720.9"
"r_2","BG","0","2","1000cp","2003Q4","1516.2"
"r_2","BG","15 - 64_gr","0","1000cp","2003Q4","3190.7"
"r_2","BG","15 - 64_gr","1","1000cp","2003Q4","1688.6"
"r_2","BG","15 - 64_gr","2","1000cp","2003Q4","1502.1"
"r_2","BG31","0","0","1000cp","2003Q4","361.7"
"r_2","BG31","0","1","1000cp","2003Q4","195.2"
"r_2","BG31","0","2","1000cp","2003Q4","166.5"
"r_2","BG31","15 - 64_gr","0","1000cp","2003Q4","355.5"
"r_2","BG31","15 - 64_gr","1","1000cp","2003Q4","190.7"
"r_2","BG31","15 - 64_gr","2","1000cp","2003Q4","164.8"
"r_2","BG32","0","0","1000cp","2003Q4","399.1"
"r_2","BG32","0","1","1000cp","2003Q4","214.3"
"r_2","BG32","0","2","1000cp","2003Q4","184.8"
"r_2","BG32","15 - 64_gr","0","1000cp","2003Q4","393.2"
"r_2","BG32","15 - 64_gr","1","1000cp","2003Q4","209.9"
"r_2","BG32","15 - 64_gr","2","1000cp","2003Q4","183.3"
"r_2","BG33","0","0","1000cp","2003Q4","429.2"
"r_2","BG33","0","1","1000cp","2003Q4","235.4"
"r_2","BG33","0","2","1000cp","2003Q4","193.8"
"r_2","BG33","15 - 64_gr","0","1000cp","2003Q4","424.6"
"r_2","BG33","15 - 64_gr","1","1000cp","2003Q4","231.6"
"r_2","BG33","15 - 64_gr","2","1000cp","2003Q4","192.9"
"r_2","BG34","0","0","1000cp","2003Q4","464.4"
"r_2","BG34","0","1","1000cp","2003Q4","254"
"r_2","BG34","0","2","1000cp","2003Q4","210.5"
"r_2","BG34","15 - 64_gr","0","1000cp","2003Q4","455.7"
"r_2","BG34","15 - 64_gr","1","1000cp","2003Q4","247"
"r_2","BG34","15 - 64_gr","2","1000cp","2003Q4","208.7"
"r_2","BG41","0","0","1000cp","2003Q4","958.7"
"r_2","BG41","0","1","1000cp","2003Q4","491.5"
"r_2","BG41","0","2","1000cp","2003Q4","467.2"
"r_2","BG41","15 - 64_gr","0","1000cp","2003Q4","942.8"
"r_2","BG41","15 - 64_gr","1","1000cp","2003Q4","481.6"
"r_2","BG41","15 - 64_gr","2","1000cp","2003Q4","461.2"
"r_2","BG42","0","0","1000cp","2003Q4","624"
"r_2","BG42","0","1","1000cp","2003Q4","330.6"
"r_2","BG42","0","2","1000cp","2003Q4","293.4"
"r_2","BG42","15 - 64_gr","0","1000cp","2003Q4","618.9"
"r_2","BG42","15 - 64_gr","1","1000cp","2003Q4","327.7"
"r_2","BG42","15 - 64_gr","2","1000cp","2003Q4","291.2"
"r_2","BG","0","0","1000cp","2004Q1","3212.6"
"r_2","BG","0","1","1000cp","2004Q1","1720"
"r_2","BG","0","2","1000cp","2004Q1","1492.6"
"r_2","BG","15 - 64_gr","0","1000cp","2004Q1","3169.1"
"r_2","BG","15 - 64_gr","1","1000cp","2004Q1","1689.1"
"r_2","BG","15 - 64_gr","2","1000cp","2004Q1","1480"
"r_2","BG31","0","0","1000cp","2004Q1","350.3"
"r_2","BG31","0","1","1000cp","2004Q1","188.2"
"r_2","BG31","0","2","1000cp","2004Q1","162.1"
"r_2","BG31","15 - 64_gr","0","1000cp","2004Q1","346.6"
"r_2","BG31","15 - 64_gr","1","1000cp","2004Q1","185.3"
"r_2","BG31","15 - 64_gr","2","1000cp","2004Q1","161.3"
"r_2","BG32","0","0","1000cp","2004Q1","391.2"
"r_2","BG32","0","1","1000cp","2004Q1","214.1"
"r_2","BG32","0","2","1000cp","2004Q1","177.1"
"r_2","BG32","15 - 64_gr","0","1000cp","2004Q1","384.3"
"r_2","BG32","15 - 64_gr","1","1000cp","2004Q1","209.1"
"r_2","BG32","15 - 64_gr","2","1000cp","2004Q1","175.2"
"r_2","BG33","0","0","1000cp","2004Q1","415.7"
"r_2","BG33","0","1","1000cp","2004Q1","227.6"
"r_2","BG33","0","2","1000cp","2004Q1","188.1"
"r_2","BG33","15 - 64_gr","0","1000cp","2004Q1","408.8"
"r_2","BG33","15 - 64_gr","1","1000cp","2004Q1","222.5"
"r_2","BG33","15 - 64_gr","2","1000cp","2004Q1","186.3"
"r_2","BG34","0","0","1000cp","2004Q1","463"
"r_2","BG34","0","1","1000cp","2004Q1","254.1"
"r_2","BG34","0","2","1000cp","2004Q1","208.9"
"r_2","BG34","15 - 64_gr","0","1000cp","2004Q1","455.9"
"r_2","BG34","15 - 64_gr","1","1000cp","2004Q1","248.8"
"r_2","BG34","15 - 64_gr","2","1000cp","2004Q1","207"
"r_2","BG41","0","0","1000cp","2004Q1","972.5"
"r_2","BG41","0","1","1000cp","2004Q1","503.3"
"r_2","BG41","0","2","1000cp","2004Q1","469.2"
"r_2","BG41","15 - 64_gr","0","1000cp","2004Q1","960.3"
"r_2","BG41","15 - 64_gr","1","1000cp","2004Q1","495.6"
"r_2","BG41","15 - 64_gr","2","1000cp","2004Q1","464.7"
"r_2","BG42","0","0","1000cp","2004Q1","619.9"
"r_2","BG42","0","1","1000cp","2004Q1","332.7"
"r_2","BG42","0","2","1000cp","2004Q1","287.2"
"r_2","BG42","15 - 64_gr","0","1000cp","2004Q1","613.2"
"r_2","BG42","15 - 64_gr","1","1000cp","2004Q1","327.7"
"r_2","BG42","15 - 64_gr","2","1000cp","2004Q1","285.4"
"r_2","BG","0","0","1000cp","2004Q2","3376"
"r_2","BG","0","1","1000cp","2004Q2","1798"
"r_2","BG","0","2","1000cp","2004Q2","1577.9"
"r_2","BG","15 - 64_gr","0","1000cp","2004Q2","3327.7"
"r_2","BG","15 - 64_gr","1","1000cp","2004Q2","1764.6"
"r_2","BG","15 - 64_gr","2","1000cp","2004Q2","1563.1"
"r_2","BG31","0","0","1000cp","2004Q2","366.3"
"r_2","BG31","0","1","1000cp","2004Q2","200.1"
"r_2","BG31","0","2","1000cp","2004Q2","166.2"
"r_2","BG31","15 - 64_gr","0","1000cp","2004Q2","362.3"
"r_2","BG31","15 - 64_gr","1","1000cp","2004Q2","197.2"
"r_2","BG31","15 - 64_gr","2","1000cp","2004Q2","165.2"
"r_2","BG32","0","0","1000cp","2004Q2","408.9"
"r_2","BG32","0","1","1000cp","2004Q2","223.1"
"r_2","BG32","0","2","1000cp","2004Q2","185.8"
"r_2","BG32","15 - 64_gr","0","1000cp","2004Q2","402.4"
"r_2","BG32","15 - 64_gr","1","1000cp","2004Q2","218.5"
"r_2","BG32","15 - 64_gr","2","1000cp","2004Q2","183.8"
"r_2","BG33","0","0","1000cp","2004Q2","447.6"
"r_2","BG33","0","1","1000cp","2004Q2","240.9"
"r_2","BG33","0","2","1000cp","2004Q2","206.6"
"r_2","BG33","15 - 64_gr","0","1000cp","2004Q2","441"
"r_2","BG33","15 - 64_gr","1","1000cp","2004Q2","236.4"
"r_2","BG33","15 - 64_gr","2","1000cp","2004Q2","204.6"
"r_2","BG34","0","0","1000cp","2004Q2","488.7"
"r_2","BG34","0","1","1000cp","2004Q2","264.3"
"r_2","BG34","0","2","1000cp","2004Q2","224.4"
"r_2","BG34","15 - 64_gr","0","1000cp","2004Q2","480.3"
"r_2","BG34","15 - 64_gr","1","1000cp","2004Q2","258.7"
"r_2","BG34","15 - 64_gr","2","1000cp","2004Q2","221.7"
"r_2","BG41","0","0","1000cp","2004Q2","990.1"
"r_2","BG41","0","1","1000cp","2004Q2","509"
"r_2","BG41","0","2","1000cp","2004Q2","481.1"
"r_2","BG41","15 - 64_gr","0","1000cp","2004Q2","977.6"
"r_2","BG41","15 - 64_gr","1","1000cp","2004Q2","500.2"
"r_2","BG41","15 - 64_gr","2","1000cp","2004Q2","477.4"
"r_2","BG42","0","0","1000cp","2004Q2","674.3"
"r_2","BG42","0","1","1000cp","2004Q2","360.5"
"r_2","BG42","0","2","1000cp","2004Q2","313.8"
"r_2","BG42","15 - 64_gr","0","1000cp","2004Q2","664.1"
"r_2","BG42","15 - 64_gr","1","1000cp","2004Q2","353.7"
"r_2","BG42","15 - 64_gr","2","1000cp","2004Q2","310.4"
"r_2","BG","0","0","1000cp","2004Q3","3397.6"
"r_2","BG","0","1","1000cp","2004Q3","1804.6"
"r_2","BG","0","2","1000cp","2004Q3","1593"
"r_2","BG","15 - 64_gr","0","1000cp","2004Q3","3346.5"
"r_2","BG","15 - 64_gr","1","1000cp","2004Q3","1773"
"r_2","BG","15 - 64_gr","2","1000cp","2004Q3","1573.5"
"r_2","BG31","0","0","1000cp","2004Q3","375.6"
"r_2","BG31","0","1","1000cp","2004Q3","202"
"r_2","BG31","0","2","1000cp","2004Q3","173.6"
"r_2","BG31","15 - 64_gr","0","1000cp","2004Q3","369.1"
"r_2","BG31","15 - 64_gr","1","1000cp","2004Q3","197.6"
"r_2","BG31","15 - 64_gr","2","1000cp","2004Q3","171.5"
"r_2","BG32","0","0","1000cp","2004Q3","410"
"r_2","BG32","0","1","1000cp","2004Q3","219.5"
"r_2","BG32","0","2","1000cp","2004Q3","190.6"
"r_2","BG32","15 - 64_gr","0","1000cp","2004Q3","403"
"r_2","BG32","15 - 64_gr","1","1000cp","2004Q3","215.5"
"r_2","BG32","15 - 64_gr","2","1000cp","2004Q3","187.5"
"r_2","BG33","0","0","1000cp","2004Q3","443.2"
"r_2","BG33","0","1","1000cp","2004Q3","239.6"
"r_2","BG33","0","2","1000cp","2004Q3","203.6"
"r_2","BG33","15 - 64_gr","0","1000cp","2004Q3","436.5"
"r_2","BG33","15 - 64_gr","1","1000cp","2004Q3","235.9"
"r_2","BG33","15 - 64_gr","2","1000cp","2004Q3","200.6"
"r_2","BG34","0","0","1000cp","2004Q3","489.5"
"r_2","BG34","0","1","1000cp","2004Q3","267.3"
"r_2","BG34","0","2","1000cp","2004Q3","222.2"
"r_2","BG34","15 - 64_gr","0","1000cp","2004Q3","480.7"
"r_2","BG34","15 - 64_gr","1","1000cp","2004Q3","261.1"
"r_2","BG34","15 - 64_gr","2","1000cp","2004Q3","219.6"
"r_2","BG41","0","0","1000cp","2004Q3","999.2"
"r_2","BG41","0","1","1000cp","2004Q3","514"
"r_2","BG41","0","2","1000cp","2004Q3","485.1"
"r_2","BG41","15 - 64_gr","0","1000cp","2004Q3","985.4"
"r_2","BG41","15 - 64_gr","1","1000cp","2004Q3","505.8"
"r_2","BG41","15 - 64_gr","2","1000cp","2004Q3","479.6"
"r_2","BG42","0","0","1000cp","2004Q3","680.1"
"r_2","BG42","0","1","1000cp","2004Q3","362.2"
"r_2","BG42","0","2","1000cp","2004Q3","317.9"
"r_2","BG42","15 - 64_gr","0","1000cp","2004Q3","671.9"
"r_2","BG42","15 - 64_gr","1","1000cp","2004Q3","357.2"
"r_2","BG42","15 - 64_gr","2","1000cp","2004Q3","314.7"
"r_2","BG","0","0","1000cp","2004Q4","3302.8"
"r_2","BG","0","1","1000cp","2004Q4","1765.6"
"r_2","BG","0","2","1000cp","2004Q4","1537.2"
"r_2","BG","15 - 64_gr","0","1000cp","2004Q4","3261.1"
