RevisionColumn,Age10_LFS,Units,periods,GenderID,ValueColumn
"r_2","0","1000cp","2003Q1","0","3203.9"
"r_2","0","1000cp","2003Q1","1","1701.8"
"r_2","0","1000cp","2003Q1","2","1502.1"
"r_2","15 - 64","1000cp","2003Q1","0","3163.8"
"r_2","15 - 64","1000cp","2003Q1","1","1671.9"
"r_2","15 - 64","1000cp","2003Q1","2","1491.9"
"r_2","20 - 64","1000cp","2003Q1","0","3123.3"
"r_2","20 - 64","1000cp","2003Q1","1","1657.1"
"r_2","20 - 64","1000cp","2003Q1","2","1466.1"
"r_2","15 - 29","1000cp","2003Q1","0","701.6"
"r_2","15 - 29","1000cp","2003Q1","1","388.5"
"r_2","15 - 29","1000cp","2003Q1","2","313.1"
"r_2","15 - 24","1000cp","2003Q1","0","311.1"
"r_2","15 - 24","1000cp","2003Q1","1","170.8"
"r_2","15 - 24","1000cp","2003Q1","2","140.3"
"r_2","25 - 34","1000cp","2003Q1","0","818.4"
"r_2","25 - 34","1000cp","2003Q1","1","448.2"
"r_2","25 - 34","1000cp","2003Q1","2","370.2"
"r_2","35 - 44","1000cp","2003Q1","0","896.8"
"r_2","35 - 44","1000cp","2003Q1","1","451.8"
"r_2","35 - 44","1000cp","2003Q1","2","445"
"r_2","45 - 54","1000cp","2003Q1","0","844.3"
"r_2","45 - 54","1000cp","2003Q1","1","413.4"
"r_2","45 - 54","1000cp","2003Q1","2","430.9"
"r_2","55 - 64","1000cp","2003Q1","0","293.1"
"r_2","55 - 64","1000cp","2003Q1","1","187.8"
"r_2","55 - 64","1000cp","2003Q1","2","105.4"
"r_2","65+","1000cp","2003Q1","0","40"
"r_2","65+","1000cp","2003Q1","1","29.9"
"r_2","65+","1000cp","2003Q1","2","10.2"
"r_2","0","1000cp","2003Q2","0","3333.3"
"r_2","0","1000cp","2003Q2","1","1777.9"
"r_2","0","1000cp","2003Q2","2","1555.3"
"r_2","15 - 64","1000cp","2003Q2","0","3274.8"
"r_2","15 - 64","1000cp","2003Q2","1","1737.4"
"r_2","15 - 64","1000cp","2003Q2","2","1537.4"
"r_2","20 - 64","1000cp","2003Q2","0","3235.3"
"r_2","20 - 64","1000cp","2003Q2","1","1718.8"
