Code list,Code,Name of Code list or Code in Bulgarian,Name of Code list or Code in English
"Units","","Мерни единици","Measuring units"
"Units","1000BGN","хиляди левове","Thousand BGN"
"Indicators","","Показатели","Indicators"
"Indicators","3.1.2.4.3.1","Сума  на актива","Total Assets"
"Indicators","3.1.2.4.3.1.1","Нетекущи активи","Non-current assets"
"Indicators","3.1.2.4.3.1.1.1","Нетекущи материални активи","Non-current tangible assets"
"Indicators","3.1.2.4.3.1.1.2","Нетекущи нематериални активи","Non-current intangible assets"
"Indicators","3.1.2.4.3.1.1.3","Нетекущи финансови активи","Non-current financial assets"
"Indicators","3.1.2.4.3.1.1.4","Инвестиционни имоти","Investment estate"
"Indicators","3.1.2.4.3.1.1.5","Други нетекущи активи","Other non-current assets"
"Indicators","3.1.2.4.3.1.2","Активи с право на ползване","Right-of-use assets"
"Indicators","3.1.2.4.3.1.3","Капитализирани разходи по договори с клиенти","Capitalized costs under customer contracts"
"Indicators","3.1.2.4.3.1.4","Текущи активи","Current assets"
"Indicators","3.1.2.4.3.1.4.1","Материални запаси","Stocks"
"Indicators","3.1.2.4.3.1.4.2","Текущи вземания","Current receivables"
"Indicators","3.1.2.4.3.1.4.3","Текущи финансови активи","Current financial assets"
"Indicators","3.1.2.4.3.1.4.4","Парични средства","Cash"
"Indicators","3.1.2.4.3.1.4.5","Разходи за бъдещи периоди","Prepayments"
"Indicators","3.1.2.4.3.2","Сума на пасива","Total Liabilities"
"Indicators","3.1.2.4.3.2.1","Собствен капитал","Equity"
"Indicators","3.1.2.4.3.2.1.1","Основен капитал","Capital"
"Indicators","3.1.2.4.3.2.1.1.1","Регистриран капитал","Subscribed capital"
"Indicators","3.1.2.4.3.2.1.1.2","Невнесен капитал","Unpaid capital"
"Indicators","3.1.2.4.3.2.1.1.3","Изкупени собствени акции","Purchase of own shares"
"Indicators","3.1.2.4.3.2.1.2","Резерви","Reserves"
"Indicators","3.1.2.4.3.2.1.2.1","Премии от емисия","Emission premiums"
"Indicators","3.1.2.4.3.2.1.2.2","Резерв от последващи оценки на активи и пасиви","Reserve from following evaluation of assets and liabilities"
"Indicators","3.1.2.4.3.2.1.2.3","Целеви резерви","Surplus reserves"
"Indicators","3.1.2.4.3.2.1.3","Финансов резултат","Financial result"
"Indicators","3.1.2.4.3.2.1.3.1","Натрупана печалба (загуба)","Realized profit (loss)"
"Indicators","3.1.2.4.3.2.1.3.2","Текуща печалба (загуба)","Current profit (loss)"
"Indicators","3.1.2.4.3.2.2","Специализирани резерви","Special reserves"
"Indicators","3.1.2.4.3.2.2.1","Пенсионен резерв","Pension reserve"
"Indicators","3.1.2.4.3.2.2.1.1","Универсален пенсионен фонд","Universal pension fund"
"Indicators","3.1.2.4.3.2.2.1.2","Доброволен пенсионен фонд","Voluntary pension fund"
"Indicators","3.1.2.4.3.2.2.2","Резерв за гарантиране изплащането на пожизнени пенсии","Reserve for guaranteeing payment of lifetime payable pensions"
"Indicators","3.1.2.4.3.2.2.2.1","Универсален пенсионен фонд","Universal pension fund"
"Indicators","3.1.2.4.3.2.2.2.2","Професионален пенсионен фонд","Professional pension fund"
"Indicators","3.1.2.4.3.2.2.3","Резерв за гарантиране на брутните вноски","Reserve for guaranteeing of gross instalments"
"Indicators","3.1.2.4.3.2.2.4","Резерв за гарантиране на минималната доходност","Reserve for minimal profitability guarantee"
"Indicators","3.1.2.4.3.2.3","Нетекущи пасиви","Non-current liabilities"
"Indicators","3.1.2.4.3.2.3.1","Нетекущи задължения","Non-current liabilities"
"Indicators","3.1.2.4.3.2.3.2","Други нетекущи пасиви","Other non-current liabilities"
"Indicators","3.1.2.4.3.2.4","Текущи пасиви","Current liabilities"
"Indicators","3.1.2.4.3.2.4.1","Текущи задължения","Current liabilities"
"Indicators","3.1.2.4.3.2.4.2","Приходи за бъдещи периоди","Accruals"
