RevisionColumn,periods,Units,Indicators,ValueColumn
"r_3","2005","1000BGN","3.1.2.4.3.1.1","17017"
"r_3","2006","1000BGN","3.1.2.4.3.1.1","24208"
"r_3","2007","1000BGN","3.1.2.4.3.1.1","23406"
"r_3","2008","1000BGN","3.1.2.4.3.1.1","26720"
"r_3","2009","1000BGN","3.1.2.4.3.1.1","30949"
"r_3","2010","1000BGN","3.1.2.4.3.1.1","32686"
"r_3","2011","1000BGN","3.1.2.4.3.1.1","33501"
"r_3","2012","1000BGN","3.1.2.4.3.1.1","37753"
"r_3","2013","1000BGN","3.1.2.4.3.1.1","44903"
"r_3","2014","1000BGN","3.1.2.4.3.1.1","55159"
"r_3","2015","1000BGN","3.1.2.4.3.1.1","56885"
"r_3","2016","1000BGN","3.1.2.4.3.1.1","84710"
"r_3","2017","1000BGN","3.1.2.4.3.1.1","75075"
"r_3","2018","1000BGN","3.1.2.4.3.1.1","78412"
"r_3","2019","1000BGN","3.1.2.4.3.1.1","102622"
"r_3","2020","1000BGN","3.1.2.4.3.1.1","123411"
"r_3","2021","1000BGN","3.1.2.4.3.1.1","94993"
"r_3","2005","1000BGN","3.1.2.4.3.1.1.1","4454"
"r_3","2006","1000BGN","3.1.2.4.3.1.1.1","4793"
"r_3","2007","1000BGN","3.1.2.4.3.1.1.1","5206"
"r_3","2008","1000BGN","3.1.2.4.3.1.1.1","5136"
"r_3","2009","1000BGN","3.1.2.4.3.1.1.1","4744"
"r_3","2010","1000BGN","3.1.2.4.3.1.1.1","11020"
"r_3","2011","1000BGN","3.1.2.4.3.1.1.1","11401"
"r_3","2012","1000BGN","3.1.2.4.3.1.1.1","10210"
"r_3","2013","1000BGN","3.1.2.4.3.1.1.1","9758"
"r_3","2014","1000BGN","3.1.2.4.3.1.1.1","9614"
"r_3","2015","1000BGN","3.1.2.4.3.1.1.1","9348"
"r_3","2016","1000BGN","3.1.2.4.3.1.1.1","9225"
"r_3","2017","1000BGN","3.1.2.4.3.1.1.1","8997"
"r_3","2018","1000BGN","3.1.2.4.3.1.1.1","9741"
"r_3","2019","1000BGN","3.1.2.4.3.1.1.1","20400"
"r_3","2020","1000BGN","3.1.2.4.3.1.1.1","19382"
"r_3","2021","1000BGN","3.1.2.4.3.1.1.1","8143"
"r_3","2005","1000BGN","3.1.2.4.3.1.1.2","1044"
"r_3","2006","1000BGN","3.1.2.4.3.1.1.2","1007"
"r_3","2007","1000BGN","3.1.2.4.3.1.1.2","862"
"r_3","2008","1000BGN","3.1.2.4.3.1.1.2","1074"
"r_3","2009","1000BGN","3.1.2.4.3.1.1.2","1314"
"r_3","2010","1000BGN","3.1.2.4.3.1.1.2","1255"
"r_3","2011","1000BGN","3.1.2.4.3.1.1.2","1062"
"r_3","2012","1000BGN","3.1.2.4.3.1.1.2","841"
"r_3","2013","1000BGN","3.1.2.4.3.1.1.2","1247"
"r_3","2014","1000BGN","3.1.2.4.3.1.1.2","1414"
"r_3","2015","1000BGN","3.1.2.4.3.1.1.2","1782"
"r_3","2016","1000BGN","3.1.2.4.3.1.1.2","2456"
"r_3","2017","1000BGN","3.1.2.4.3.1.1.2","2515"
"r_3","2018","1000BGN","3.1.2.4.3.1.1.2",".."
"r_3","2019","1000BGN","3.1.2.4.3.1.1.2",".."
"r_3","2020","1000BGN","3.1.2.4.3.1.1.2",".."
"r_3","2021","1000BGN","3.1.2.4.3.1.1.2","2234"
"r_3","2005","1000BGN","3.1.2.4.3.1.1.3","8493"
"r_3","2006","1000BGN","3.1.2.4.3.1.1.3","15532"
"r_3","2007","1000BGN","3.1.2.4.3.1.1.3","9630"
"r_3","2008","1000BGN","3.1.2.4.3.1.1.3","13455"
"r_3","2009","1000BGN","3.1.2.4.3.1.1.3","19108"
"r_3","2010","1000BGN","3.1.2.4.3.1.1.3","15587"
"r_3","2011","1000BGN","3.1.2.4.3.1.1.3","16019"
"r_3","2012","1000BGN","3.1.2.4.3.1.1.3","20259"
"r_3","2013","1000BGN","3.1.2.4.3.1.1.3",".."
"r_3","2014","1000BGN","3.1.2.4.3.1.1.3","37628"
"r_3","2015","1000BGN","3.1.2.4.3.1.1.3",".."
"r_3","2016","1000BGN","3.1.2.4.3.1.1.3",".."
"r_3","2017","1000BGN","3.1.2.4.3.1.1.3",".."
"r_3","2018","1000BGN","3.1.2.4.3.1.1.3",".."
"r_3","2019","1000BGN","3.1.2.4.3.1.1.3",".."
"r_3","2020","1000BGN","3.1.2.4.3.1.1.3",".."
"r_3","2021","1000BGN","3.1.2.4.3.1.1.3","80929"
"r_3","2005","1000BGN","3.1.2.4.3.1.1.4","."
"r_3","2006","1000BGN","3.1.2.4.3.1.1.4","."
"r_3","2007","1000BGN","3.1.2.4.3.1.1.4","4517"
"r_3","2008","1000BGN","3.1.2.4.3.1.1.4","4750"
"r_3","2009","1000BGN","3.1.2.4.3.1.1.4","4628"
"r_3","2010","1000BGN","3.1.2.4.3.1.1.4","4618"
"r_3","2011","1000BGN","3.1.2.4.3.1.1.4","4618"
"r_3","2012","1000BGN","3.1.2.4.3.1.1.4","5995"
"r_3","2013","1000BGN","3.1.2.4.3.1.1.4","5374"
"r_3","2014","1000BGN","3.1.2.4.3.1.1.4","5982"
"r_3","2015","1000BGN","3.1.2.4.3.1.1.4","5956"
"r_3","2016","1000BGN","3.1.2.4.3.1.1.4","5921"
"r_3","2017","1000BGN","3.1.2.4.3.1.1.4","7708"
"r_3","2018","1000BGN","3.1.2.4.3.1.1.4","4398"
"r_3","2019","1000BGN","3.1.2.4.3.1.1.4","2925"
"r_3","2020","1000BGN","3.1.2.4.3.1.1.4","3066"
"r_3","2021","1000BGN","3.1.2.4.3.1.1.4","2752"
"r_3","2005","1000BGN","3.1.2.4.3.1.1.5","3026"
"r_3","2006","1000BGN","3.1.2.4.3.1.1.5","2876"
"r_3","2007","1000BGN","3.1.2.4.3.1.1.5","3191"
"r_3","2008","1000BGN","3.1.2.4.3.1.1.5","2305"
"r_3","2009","1000BGN","3.1.2.4.3.1.1.5","1155"
"r_3","2010","1000BGN","3.1.2.4.3.1.1.5","206"
"r_3","2011","1000BGN","3.1.2.4.3.1.1.5","401"
"r_3","2012","1000BGN","3.1.2.4.3.1.1.5","448"
"r_3","2013","1000BGN","3.1.2.4.3.1.1.5",".."
"r_3","2014","1000BGN","3.1.2.4.3.1.1.5","521"
"r_3","2015","1000BGN","3.1.2.4.3.1.1.5",".."
"r_3","2016","1000BGN","3.1.2.4.3.1.1.5",".."
"r_3","2017","1000BGN","3.1.2.4.3.1.1.5",".."
"r_3","2018","1000BGN","3.1.2.4.3.1.1.5","3354"
"r_3","2019","1000BGN","3.1.2.4.3.1.1.5","10427"
"r_3","2020","1000BGN","3.1.2.4.3.1.1.5","23597"
"r_3","2021","1000BGN","3.1.2.4.3.1.1.5","935"
"r_3","2005","1000BGN","3.1.2.4.3.1.2","-"
"r_3","2006","1000BGN","3.1.2.4.3.1.2","-"
"r_3","2007","1000BGN","3.1.2.4.3.1.2","-"
"r_3","2008","1000BGN","3.1.2.4.3.1.2","-"
"r_3","2009","1000BGN","3.1.2.4.3.1.2","-"
"r_3","2010","1000BGN","3.1.2.4.3.1.2","-"
"r_3","2011","1000BGN","3.1.2.4.3.1.2","-"
"r_3","2012","1000BGN","3.1.2.4.3.1.2","-"
"r_3","2013","1000BGN","3.1.2.4.3.1.2","-"
"r_3","2014","1000BGN","3.1.2.4.3.1.2","-"
"r_3","2015","1000BGN","3.1.2.4.3.1.2","-"
"r_3","2016","1000BGN","3.1.2.4.3.1.2","-"
"r_3","2017","1000BGN","3.1.2.4.3.1.2","-"
"r_3","2018","1000BGN","3.1.2.4.3.1.2","-"
"r_3","2019","1000BGN","3.1.2.4.3.1.2","-"
"r_3","2020","1000BGN","3.1.2.4.3.1.2","-"
"r_3","2021","1000BGN","3.1.2.4.3.1.2","11120"
"r_3","2005","1000BGN","3.1.2.4.3.1.3","-"
"r_3","2006","1000BGN","3.1.2.4.3.1.3","-"
"r_3","2007","1000BGN","3.1.2.4.3.1.3","-"
"r_3","2008","1000BGN","3.1.2.4.3.1.3","-"
"r_3","2009","1000BGN","3.1.2.4.3.1.3","-"
"r_3","2010","1000BGN","3.1.2.4.3.1.3","-"
"r_3","2011","1000BGN","3.1.2.4.3.1.3","-"
"r_3","2012","1000BGN","3.1.2.4.3.1.3","-"
"r_3","2013","1000BGN","3.1.2.4.3.1.3","-"
"r_3","2014","1000BGN","3.1.2.4.3.1.3","-"
"r_3","2015","1000BGN","3.1.2.4.3.1.3","-"
"r_3","2016","1000BGN","3.1.2.4.3.1.3","-"
"r_3","2017","1000BGN","3.1.2.4.3.1.3","-"
"r_3","2018","1000BGN","3.1.2.4.3.1.3","-"
"r_3","2019","1000BGN","3.1.2.4.3.1.3","-"
"r_3","2020","1000BGN","3.1.2.4.3.1.3","-"
"r_3","2021","1000BGN","3.1.2.4.3.1.3","40226"
"r_3","2005","1000BGN","3.1.2.4.3.1.4","31952"
"r_3","2006","1000BGN","3.1.2.4.3.1.4","47834"
"r_3","2007","1000BGN","3.1.2.4.3.1.4","92296"
"r_3","2008","1000BGN","3.1.2.4.3.1.4","78999"
"r_3","2009","1000BGN","3.1.2.4.3.1.4","96556"
"r_3","2010","1000BGN","3.1.2.4.3.1.4","113214"
"r_3","2011","1000BGN","3.1.2.4.3.1.4","127818"
"r_3","2012","1000BGN","3.1.2.4.3.1.4","157110"
"r_3","2013","1000BGN","3.1.2.4.3.1.4","186964"
"r_3","2014","1000BGN","3.1.2.4.3.1.4","202680"
"r_3","2015","1000BGN","3.1.2.4.3.1.4","230020"
"r_3","2016","1000BGN","3.1.2.4.3.1.4","264477"
"r_3","2017","1000BGN","3.1.2.4.3.1.4","304961"
"r_3","2018","1000BGN","3.1.2.4.3.1.4","342633"
"r_3","2019","1000BGN","3.1.2.4.3.1.4","372825"
"r_3","2020","1000BGN","3.1.2.4.3.1.4","345834"
"r_3","2021","1000BGN","3.1.2.4.3.1.4","390412"
"r_3","2005","1000BGN","3.1.2.4.3.1.4.1","194"
"r_3","2006","1000BGN","3.1.2.4.3.1.4.1","38"
"r_3","2007","1000BGN","3.1.2.4.3.1.4.1","22"
"r_3","2008","1000BGN","3.1.2.4.3.1.4.1","30"
"r_3","2009","1000BGN","3.1.2.4.3.1.4.1","123"
"r_3","2010","1000BGN","3.1.2.4.3.1.4.1","184"
"r_3","2011","1000BGN","3.1.2.4.3.1.4.1","42"
"r_3","2012","1000BGN","3.1.2.4.3.1.4.1","71"
"r_3","2013","1000BGN","3.1.2.4.3.1.4.1",".."
"r_3","2014","1000BGN","3.1.2.4.3.1.4.1",".."
"r_3","2015","1000BGN","3.1.2.4.3.1.4.1",".."
"r_3","2016","1000BGN","3.1.2.4.3.1.4.1",".."
"r_3","2017","1000BGN","3.1.2.4.3.1.4.1",".."
"r_3","2018","1000BGN","3.1.2.4.3.1.4.1","131"
"r_3","2019","1000BGN","3.1.2.4.3.1.4.1",".."
"r_3","2020","1000BGN","3.1.2.4.3.1.4.1",".."
"r_3","2021","1000BGN","3.1.2.4.3.1.4.1",".."
"r_3","2005","1000BGN","3.1.2.4.3.1.4.2","2789"
"r_3","2006","1000BGN","3.1.2.4.3.1.4.2","7146"
"r_3","2007","1000BGN","3.1.2.4.3.1.4.2","27746"
"r_3","2008","1000BGN","3.1.2.4.3.1.4.2","4994"
"r_3","2009","1000BGN","3.1.2.4.3.1.4.2","5638"
"r_3","2010","1000BGN","3.1.2.4.3.1.4.2","6497"
"r_3","2011","1000BGN","3.1.2.4.3.1.4.2","8077"
"r_3","2012","1000BGN","3.1.2.4.3.1.4.2","8453"
"r_3","2013","1000BGN","3.1.2.4.3.1.4.2","9966"
"r_3","2014","1000BGN","3.1.2.4.3.1.4.2","11671"
"r_3","2015","1000BGN","3.1.2.4.3.1.4.2","11537"
"r_3","2016","1000BGN","3.1.2.4.3.1.4.2","14364"
