RevisionColumn,Age10_LFS,NUTS,GenderID,periods,Units,ValueColumn
"r_2","0","BG","0","2003Q1","perc","48"
"r_2","0","BG","1","2003Q1","perc","53.1"
"r_2","0","BG","2","2003Q1","perc","43.2"
"r_2","0","BG31","0","2003Q1","perc","42.6"
"r_2","0","BG31","1","2003Q1","perc","46.4"
"r_2","0","BG31","2","2003Q1","perc","39.1"
"r_2","0","BG32","0","2003Q1","perc","46.7"
"r_2","0","BG32","1","2003Q1","perc","53.3"
"r_2","0","BG32","2","2003Q1","perc","40.6"
"r_2","0","BG33","0","2003Q1","perc","47.8"
"r_2","0","BG33","1","2003Q1","perc","55"
"r_2","0","BG33","2","2003Q1","perc","41.1"
"r_2","0","BG34","0","2003Q1","perc","49"
"r_2","0","BG34","1","2003Q1","perc","55.6"
"r_2","0","BG34","2","2003Q1","perc","42.8"
"r_2","0","BG41","0","2003Q1","perc","52.8"
"r_2","0","BG41","1","2003Q1","perc","57.4"
"r_2","0","BG41","2","2003Q1","perc","48.6"
"r_2","0","BG42","0","2003Q1","perc","45.2"
"r_2","0","BG42","1","2003Q1","perc","48.6"
"r_2","0","BG42","2","2003Q1","perc","42"
"r_2","15 - 64_gr","BG","0","2003Q1","perc","59.5"
"r_2","15 - 64_gr","BG","1","2003Q1","perc","63.8"
"r_2","15 - 64_gr","BG","2","2003Q1","perc","55.3"
"r_2","15 - 64_gr","BG31","0","2003Q1","perc","55.9"
"r_2","15 - 64_gr","BG31","1","2003Q1","perc","58.5"
"r_2","15 - 64_gr","BG31","2","2003Q1","perc","53.2"
"r_2","15 - 64_gr","BG32","0","2003Q1","perc","57.7"
"r_2","15 - 64_gr","BG32","1","2003Q1","perc","63.9"
"r_2","15 - 64_gr","BG32","2","2003Q1","perc","51.8"
"r_2","15 - 64_gr","BG33","0","2003Q1","perc","58.9"
"r_2","15 - 64_gr","BG33","1","2003Q1","perc","65.6"
"r_2","15 - 64_gr","BG33","2","2003Q1","perc","52.2"
"r_2","15 - 64_gr","BG34","0","2003Q1","perc","60.2"
"r_2","15 - 64_gr","BG34","1","2003Q1","perc","65.8"
"r_2","15 - 64_gr","BG34","2","2003Q1","perc","54.6"
"r_2","15 - 64_gr","BG41","0","2003Q1","perc","64.9"
"r_2","15 - 64_gr","BG41","1","2003Q1","perc","68.8"
"r_2","15 - 64_gr","BG41","2","2003Q1","perc","61.2"
"r_2","15 - 64_gr","BG42","0","2003Q1","perc","55.6"
"r_2","15 - 64_gr","BG42","1","2003Q1","perc","58"
"r_2","15 - 64_gr","BG42","2","2003Q1","perc","53.2"
"r_2","0","BG","0","2003Q2","perc","49.9"
"r_2","0","BG","1","2003Q2","perc","55.5"
"r_2","0","BG","2","2003Q2","perc","44.8"
"r_2","0","BG31","0","2003Q2","perc","42.4"
"r_2","0","BG31","1","2003Q2","perc","47.3"
"r_2","0","BG31","2","2003Q2","perc","37.8"
"r_2","0","BG32","0","2003Q2","perc","47.9"
"r_2","0","BG32","1","2003Q2","perc","54.1"
"r_2","0","BG32","2","2003Q2","perc","42.1"
"r_2","0","BG33","0","2003Q2","perc","53.1"
"r_2","0","BG33","1","2003Q2","perc","59.9"
"r_2","0","BG33","2","2003Q2","perc","46.8"
"r_2","0","BG34","0","2003Q2","perc","50.9"
"r_2","0","BG34","1","2003Q2","perc","57.1"
"r_2","0","BG34","2","2003Q2","perc","45.1"
"r_2","0","BG41","0","2003Q2","perc","53.6"
"r_2","0","BG41","1","2003Q2","perc","58.7"
"r_2","0","BG41","2","2003Q2","perc","49.1"
"r_2","0","BG42","0","2003Q2","perc","48.3"
"r_2","0","BG42","1","2003Q2","perc","53.5"
"r_2","0","BG42","2","2003Q2","perc","43.5"
"r_2","15 - 64_gr","BG","0","2003Q2","perc","61.6"
"r_2","15 - 64_gr","BG","1","2003Q2","perc","66.3"
