RevisionColumn,Age10_LFS,GenderID,LFS_WorkWillingness,periods,Units,LFS_ReasInactivity,ValueColumn
"r_17","0","0","0","2003Q1","1000cp","0","3472.2"
"r_17","0","1","0","2003Q1","1000cp","0","1501.1"
"r_17","0","2","0","2003Q1","1000cp","0","1971.1"
"r_17","0","0","0","2003Q2","1000cp","0","3344.7"
"r_17","0","1","0","2003Q2","1000cp","0","1426.6"
"r_17","0","2","0","2003Q2","1000cp","0","1918.2"
"r_17","0","0","0","2003Q3","1000cp","0","3320.4"
"r_17","0","1","0","2003Q3","1000cp","0","1422.4"
"r_17","0","2","0","2003Q3","1000cp","0","1898"
"r_17","0","0","0","2003Q4","1000cp","0","3439.7"
"r_17","0","1","0","2003Q4","1000cp","0","1482.4"
"r_17","0","2","0","2003Q4","1000cp","0","1957.3"
"r_17","0","0","0","2004Q1","1000cp","0","3465.2"
"r_17","0","1","0","2004Q1","1000cp","0","1485.3"
"r_17","0","2","0","2004Q1","1000cp","0","1979.9"
"r_17","0","0","0","2004Q2","1000cp","0","3302.8"
"r_17","0","1","0","2004Q2","1000cp","0","1408.2"
"r_17","0","2","0","2004Q2","1000cp","0","1894.6"
"r_17","0","0","0","2004Q3","1000cp","0","3284.6"
"r_17","0","1","0","2004Q3","1000cp","0","1405.1"
"r_17","0","2","0","2004Q3","1000cp","0","1879.5"
"r_17","0","0","0","2004Q4","1000cp","0","3377.6"
"r_17","0","1","0","2004Q4","1000cp","0","1442.3"
"r_17","0","2","0","2004Q4","1000cp","0","1935.3"
"r_17","0","0","0","2005Q1","1000cp","0","3474.3"
"r_17","0","1","0","2005Q1","1000cp","0","1491.3"
"r_17","0","2","0","2005Q1","1000cp","0","1982.9"
"r_17","0","0","0","2005Q2","1000cp","0","3333"
"r_17","0","1","0","2005Q2","1000cp","0","1415.8"
"r_17","0","2","0","2005Q2","1000cp","0","1917.2"
"r_17","0","0","0","2005Q3","1000cp","0","3260"
"r_17","0","1","0","2005Q3","1000cp","0","1375.2"
"r_17","0","2","0","2005Q3","1000cp","0","1884.8"
"r_17","0","0","0","2005Q4","1000cp","0","3364.8"
"r_17","0","1","0","2005Q4","1000cp","0","1428.4"
"r_17","0","2","0","2005Q4","1000cp","0","1936.4"
"r_17","0","0","0","2006Q1","1000cp","0","3402.1"
"r_17","0","1","0","2006Q1","1000cp","0","1463.7"
"r_17","0","2","0","2006Q1","1000cp","0","1938.5"
"r_17","0","0","0","2006Q2","1000cp","0","3210.8"
"r_17","0","1","0","2006Q2","1000cp","0","1366.3"
"r_17","0","2","0","2006Q2","1000cp","0","1844.6"
"r_17","0","0","0","2006Q3","1000cp","0","3147.8"
"r_17","0","1","0","2006Q3","1000cp","0","1344.2"
"r_17","0","2","0","2006Q3","1000cp","0","1803.7"
"r_17","0","0","0","2006Q4","1000cp","0","3213.1"
"r_17","0","1","0","2006Q4","1000cp","0","1360.9"
"r_17","0","2","0","2006Q4","1000cp","0","1852.2"
"r_17","0","0","0","2007Q1","1000cp","0","3230.1"
"r_17","0","1","0","2007Q1","1000cp","0","1375.7"
"r_17","0","2","0","2007Q1","1000cp","0","1854.4"
"r_17","0","0","0","2007Q2","1000cp","0","3147.7"
"r_17","0","1","0","2007Q2","1000cp","0","1333"
"r_17","0","2","0","2007Q2","1000cp","0","1814.7"
"r_17","0","0","0","2007Q3","1000cp","0","3091.6"
"r_17","0","1","0","2007Q3","1000cp","0","1307"
"r_17","0","2","0","2007Q3","1000cp","0","1784.6"
"r_17","0","0","0","2007Q4","1000cp","0","3122.8"
"r_17","0","1","0","2007Q4","1000cp","0","1312.8"
"r_17","0","2","0","2007Q4","1000cp","0","1810.1"
"r_17","0","0","0","2008Q1","1000cp","0","3098.1"
"r_17","0","1","0","2008Q1","1000cp","0","1305.9"
"r_17","0","2","0","2008Q1","1000cp","0","1792.3"
"r_17","0","0","0","2008Q2","1000cp","0","3037.5"
"r_17","0","1","0","2008Q2","1000cp","0","1273"
"r_17","0","2","0","2008Q2","1000cp","0","1764.6"
"r_17","0","0","0","2008Q3","1000cp","0","3014.4"
"r_17","0","1","0","2008Q3","1000cp","0","1251.5"
"r_17","0","2","0","2008Q3","1000cp","0","1762.9"
"r_17","0","0","0","2008Q4","1000cp","0","3075.6"
"r_17","0","1","0","2008Q4","1000cp","0","1278.2"
"r_17","0","2","0","2008Q4","1000cp","0","1797.4"
"r_17","0","0","0","2009Q1","1000cp","0","3100"
"r_17","0","1","0","2009Q1","1000cp","0","1296"
"r_17","0","2","0","2009Q1","1000cp","0","1804"
"r_17","0","0","0","2009Q2","1000cp","0","3062.3"
"r_17","0","1","0","2009Q2","1000cp","0","1284.6"
"r_17","0","2","0","2009Q2","1000cp","0","1777.7"
"r_17","0","0","0","2009Q3","1000cp","0","3070.4"
"r_17","0","1","0","2009Q3","1000cp","0","1284.9"
"r_17","0","2","0","2009Q3","1000cp","0","1785.6"
"r_17","0","0","0","2009Q4","1000cp","0","3140.6"
"r_17","0","1","0","2009Q4","1000cp","0","1310.6"
"r_17","0","2","0","2009Q4","1000cp","0","1829.9"
"r_17","0","0","0","2010Q1","1000cp","0","3044.1"
"r_17","0","1","0","2010Q1","1000cp","0","1276.5"
"r_17","0","2","0","2010Q1","1000cp","0","1767.6"
"r_17","0","0","0","2010Q2","1000cp","0","2978.3"
"r_17","0","1","0","2010Q2","1000cp","0","1243.4"
"r_17","0","2","0","2010Q2","1000cp","0","1734.9"
"r_17","0","0","0","2010Q3","1000cp","0","2959.2"
"r_17","0","1","0","2010Q3","1000cp","0","1236.3"
"r_17","0","2","0","2010Q3","1000cp","0","1722.9"
"r_17","0","0","0","2010Q4","1000cp","0","2985.9"
"r_17","0","1","0","2010Q4","1000cp","0","1265.9"
"r_17","0","2","0","2010Q4","1000cp","0","1720"
"r_17","0","0","0","2011Q1","1000cp","0","3056.8"
"r_17","0","1","0","2011Q1","1000cp","0","1295.4"
"r_17","0","2","0","2011Q1","1000cp","0","1761.4"
"r_17","0","0","0","2011Q2","1000cp","0","3044.9"
"r_17","0","1","0","2011Q2","1000cp","0","1291.4"
"r_17","0","2","0","2011Q2","1000cp","0","1753.5"
"r_17","0","0","0","2011Q3","1000cp","0","2980.2"
"r_17","0","1","0","2011Q3","1000cp","0","1258.4"
"r_17","0","2","0","2011Q3","1000cp","0","1721.8"
"r_17","0","0","0","2011Q4","1000cp","0","3005.2"
"r_17","0","1","0","2011Q4","1000cp","0","1282.5"
"r_17","0","2","0","2011Q4","1000cp","0","1722.7"
"r_17","0","0","0","2012Q1","1000cp","0","3046.6"
"r_17","0","1","0","2012Q1","1000cp","0","1301.1"
"r_17","0","2","0","2012Q1","1000cp","0","1745.5"
"r_17","0","0","0","2012Q2","1000cp","0","2979.7"
"r_17","0","1","0","2012Q2","1000cp","0","1265.4"
"r_17","0","2","0","2012Q2","1000cp","0","1714.3"
"r_17","0","0","0","2012Q3","1000cp","0","2882.2"
"r_17","0","1","0","2012Q3","1000cp","0","1215.5"
"r_17","0","2","0","2012Q3","1000cp","0","1666.7"
"r_17","0","0","0","2012Q4","1000cp","0","2916.8"
"r_17","0","1","0","2012Q4","1000cp","0","1229.5"
"r_17","0","2","0","2012Q4","1000cp","0","1687.3"
"r_17","0","0","0","2013Q1","1000cp","0","2954.8"
"r_17","0","1","0","2013Q1","1000cp","0","1251.3"
"r_17","0","2","0","2013Q1","1000cp","0","1703.4"
"r_17","0","0","0","2013Q2","1000cp","0","2884.5"
"r_17","0","1","0","2013Q2","1000cp","0","1223.7"
"r_17","0","2","0","2013Q2","1000cp","0","1660.8"
"r_17","0","0","0","2013Q3","1000cp","0","2823.1"
"r_17","0","1","0","2013Q3","1000cp","0","1185.6"
"r_17","0","2","0","2013Q3","1000cp","0","1637.5"
"r_17","0","0","0","2013Q4","1000cp","0","2870.8"
"r_17","0","1","0","2013Q4","1000cp","0","1200"
"r_17","0","2","0","2013Q4","1000cp","0","1670.8"
"r_17","0","0","0","2014Q1","1000cp","0","2896.6"
"r_17","0","1","0","2014Q1","1000cp","0","1215.9"
"r_17","0","2","0","2014Q1","1000cp","0","1680.7"
"r_17","0","0","0","2014Q2","1000cp","0","2857.4"
"r_17","0","1","0","2014Q2","1000cp","0","1193.6"
"r_17","0","2","0","2014Q2","1000cp","0","1663.9"
"r_17","0","0","0","2014Q3","1000cp","0","2785.1"
"r_17","0","1","0","2014Q3","1000cp","0","1156.7"
