RevisionColumn,periods,Indicators,Units,Countries_TOUR,ValueColumn
"r_2","2015IX","3.5.2.2.2","num","total","1679923"
"r_2","2015IX","3.5.2.1.2","num","total","332159"
"r_2","2015IX","3.5.2.2.2","num","EU","1207728"
"r_2","2015IX","3.5.2.1.2","num","EU","217560"
"r_2","2015IX","3.5.2.2.2","num","AT","16585"
"r_2","2015IX","3.5.2.1.2","num","AT","4305"
"r_2","2015IX","3.5.2.2.2","num","BE","36813"
"r_2","2015IX","3.5.2.1.2","num","BE","6409"
"r_2","2015IX","3.5.2.2.2","num","DE","487099"
"r_2","2015IX","3.5.2.1.2","num","DE","67210"
"r_2","2015IX","3.5.2.2.2","num","GR","14669"
"r_2","2015IX","3.5.2.1.2","num","GR","7510"
"r_2","2015IX","3.5.2.2.2","num","DK","7829"
"r_2","2015IX","3.5.2.1.2","num","DK","1648"
"r_2","2015IX","3.5.2.2.2","num","EE","11753"
"r_2","2015IX","3.5.2.1.2","num","EE","1924"
"r_2","2015IX","3.5.2.2.2","num","IE","8665"
"r_2","2015IX","3.5.2.1.2","num","IE","1679"
"r_2","2015IX","3.5.2.2.2","num","ES","5825"
"r_2","2015IX","3.5.2.1.2","num","ES","2760"
"r_2","2015IX","3.5.2.2.2","num","IT","13421"
"r_2","2015IX","3.5.2.1.2","num","IT","5564"
"r_2","2015IX","3.5.2.2.2","num","CY","1329"
"r_2","2015IX","3.5.2.1.2","num","CY","512"
"r_2","2015IX","3.5.2.2.2","num","LV","7149"
"r_2","2015IX","3.5.2.1.2","num","LV","1449"
"r_2","2015IX","3.5.2.2.2","num","LT","13194"
"r_2","2015IX","3.5.2.1.2","num","LT","2263"
"r_2","2015IX","3.5.2.2.2","num","LU","4135"
"r_2","2015IX","3.5.2.1.2","num","LU","607"
"r_2","2015IX","3.5.2.2.2","num","MT","555"
"r_2","2015IX","3.5.2.1.2","num","MT","312"
"r_2","2015IX","3.5.2.2.2","num","NL","12913"
"r_2","2015IX","3.5.2.1.2","num","NL","3314"
"r_2","2015IX","3.5.2.2.2","num","GB","193485"
"r_2","2015IX","3.5.2.1.2","num","GB","28864"
"r_2","2015IX","3.5.2.2.2","num","PL","140492"
"r_2","2015IX","3.5.2.1.2","num","PL","22303"
