RevisionColumn,GenderID,Units,periods,ValueColumn
"r_2","0","1000cp","2003Q1","2326.2"
"r_2","0","1000cp","2003Q2","2409.5"
"r_2","0","1000cp","2003Q3","2453.1"
"r_2","0","1000cp","2003Q4","2413"
"r_2","0","1000cp","2004Q1","2394.3"
"r_2","0","1000cp","2004Q2","2490.5"
"r_2","0","1000cp","2004Q3","2530.5"
"r_2","0","1000cp","2004Q4","2496.7"
"r_2","0","1000cp","2005Q1","2467.5"
"r_2","0","1000cp","2005Q2","2575"
"r_2","0","1000cp","2005Q3","2630"
"r_2","0","1000cp","2005Q4","2554.2"
"r_2","0","1000cp","2006Q1","2568.2"
"r_2","0","1000cp","2006Q2","2720.4"
"r_2","0","1000cp","2006Q3","2760.1"
"r_2","0","1000cp","2006Q4","2757.3"
"r_2","0","1000cp","2007Q1","2762.3"
"r_2","0","1000cp","2007Q2","2852.9"
"r_2","0","1000cp","2007Q3","2891.2"
"r_2","0","1000cp","2007Q4","2889.3"
"r_2","0","1000cp","2008Q1","2879.6"
"r_2","0","1000cp","2008Q2","2945.3"
"r_2","0","1000cp","2008Q3","2986.7"
"r_2","0","1000cp","2008Q4","2963.6"
"r_2","0","1000cp","2009Q1","2882.6"
"r_2","0","1000cp","2009Q2","2881.3"
"r_2","0","1000cp","2009Q3","2851.9"
"r_2","0","1000cp","2009Q4","2774.5"
"r_2","0","1000cp","2010Q1","2668.4"
"r_2","0","1000cp","2010Q2","2701.7"
"r_2","0","1000cp","2010Q3","2723.1"
"r_2","0","1000cp","2010Q4","2661.7"
"r_2","0","1000cp","2011Q1","2546.2"
"r_2","0","1000cp","2011Q2","2584"
"r_2","0","1000cp","2011Q3","2660.9"
"r_2","0","1000cp","2011Q4","2633.4"
"r_2","0","1000cp","2012Q1","2537.4"
"r_2","0","1000cp","2012Q2","2576.8"
"r_2","0","1000cp","2012Q3","2660.7"
"r_2","0","1000cp","2012Q4","2601.3"
"r_2","0","1000cp","2013Q1","2532.9"
"r_2","0","1000cp","2013Q2","2589.8"
"r_2","0","1000cp","2013Q3","2634.4"
"r_2","0","1000cp","2013Q4","2557.6"
"r_2","0","1000cp","2014Q1","2540.9"
"r_2","0","1000cp","2014Q2","2613.3"
"r_2","0","1000cp","2014Q3","2669.4"
"r_2","0","1000cp","2014Q4","2612.9"
"r_2","0","1000cp","2015Q1","2594.2"
"r_2","0","1000cp","2015Q2","2646.7"
"r_2","0","1000cp","2015Q3","2722.7"
"r_2","0","1000cp","2015Q4","2705.2"
"r_2","1","1000cp","2003Q1","1179.5"
"r_2","1","1000cp","2003Q2","1229.8"
"r_2","1","1000cp","2003Q3","1253.7"
"r_2","1","1000cp","2003Q4","1230.5"
"r_2","1","1000cp","2004Q1","1228"
"r_2","1","1000cp","2004Q2","1274.5"
"r_2","1","1000cp","2004Q3","1289.5"
"r_2","1","1000cp","2004Q4","1271.6"
"r_2","1","1000cp","2005Q1","1268.4"
"r_2","1","1000cp","2005Q2","1334.9"
"r_2","1","1000cp","2005Q3","1363.9"
"r_2","1","1000cp","2005Q4","1324.8"
"r_2","1","1000cp","2006Q1","1323.2"
"r_2","1","1000cp","2006Q2","1398.9"
"r_2","1","1000cp","2006Q3","1413.1"
"r_2","1","1000cp","2006Q4","1427.9"
"r_2","1","1000cp","2007Q1","1426.5"
"r_2","1","1000cp","2007Q2","1465.3"
"r_2","1","1000cp","2007Q3","1489.6"
"r_2","1","1000cp","2007Q4","1501.6"
"r_2","1","1000cp","2008Q1","1491.9"
"r_2","1","1000cp","2008Q2","1526.4"
"r_2","1","1000cp","2008Q3","1553.6"
"r_2","1","1000cp","2008Q4","1547.7"
"r_2","1","1000cp","2009Q1","1493.3"
"r_2","1","1000cp","2009Q2","1487.2"
"r_2","1","1000cp","2009Q3","1480.8"
"r_2","1","1000cp","2009Q4","1441.4"
"r_2","1","1000cp","2010Q1","1391.2"
"r_2","1","1000cp","2010Q2","1409.9"
"r_2","1","1000cp","2010Q3","1419.3"
"r_2","1","1000cp","2010Q4","1372.3"
"r_2","1","1000cp","2011Q1","1312"
"r_2","1","1000cp","2011Q2","1327.6"
"r_2","1","1000cp","2011Q3","1372.3"
"r_2","1","1000cp","2011Q4","1346"
"r_2","1","1000cp","2012Q1","1288.5"
"r_2","1","1000cp","2012Q2","1309.3"
"r_2","1","1000cp","2012Q3","1358.6"
"r_2","1","1000cp","2012Q4","1341.3"
"r_2","1","1000cp","2013Q1","1285.5"
"r_2","1","1000cp","2013Q2","1314.2"
"r_2","1","1000cp","2013Q3","1353.5"
"r_2","1","1000cp","2013Q4","1312.6"
"r_2","1","1000cp","2014Q1","1301.2"
"r_2","1","1000cp","2014Q2","1338.3"
"r_2","1","1000cp","2014Q3","1373.8"
"r_2","1","1000cp","2014Q4","1330.3"
"r_2","1","1000cp","2015Q1","1328.3"
"r_2","1","1000cp","2015Q2","1353.1"
"r_2","1","1000cp","2015Q3","1396.9"
"r_2","1","1000cp","2015Q4","1395.6"
"r_2","2","1000cp","2003Q1","1146.6"
"r_2","2","1000cp","2003Q2","1179.7"
"r_2","2","1000cp","2003Q3","1199.4"
"r_2","2","1000cp","2003Q4","1182.6"
"r_2","2","1000cp","2004Q1","1166.3"
"r_2","2","1000cp","2004Q2","1216.1"
"r_2","2","1000cp","2004Q3","1241"
"r_2","2","1000cp","2004Q4","1225.1"
"r_2","2","1000cp","2005Q1","1199.1"
"r_2","2","1000cp","2005Q2","1240.1"
"r_2","2","1000cp","2005Q3","1266.1"
"r_2","2","1000cp","2005Q4","1229.4"
"r_2","2","1000cp","2006Q1","1244.9"
"r_2","2","1000cp","2006Q2","1321.4"
"r_2","2","1000cp","2006Q3","1347.1"
"r_2","2","1000cp","2006Q4","1329.3"
"r_2","2","1000cp","2007Q1","1335.8"
"r_2","2","1000cp","2007Q2","1387.6"
"r_2","2","1000cp","2007Q3","1401.6"
"r_2","2","1000cp","2007Q4","1387.7"
"r_2","2","1000cp","2008Q1","1387.8"
"r_2","2","1000cp","2008Q2","1418.9"
"r_2","2","1000cp","2008Q3","1433.1"
"r_2","2","1000cp","2008Q4","1415.8"
"r_2","2","1000cp","2009Q1","1389.4"
"r_2","2","1000cp","2009Q2","1394"
"r_2","2","1000cp","2009Q3","1371.1"
"r_2","2","1000cp","2009Q4","1333.1"
"r_2","2","1000cp","2010Q1","1277.1"
"r_2","2","1000cp","2010Q2","1291.9"
"r_2","2","1000cp","2010Q3","1303.8"
"r_2","2","1000cp","2010Q4","1289.4"
"r_2","2","1000cp","2011Q1","1234.2"
"r_2","2","1000cp","2011Q2","1256.4"
"r_2","2","1000cp","2011Q3","1288.6"
"r_2","2","1000cp","2011Q4","1287.3"
"r_2","2","1000cp","2012Q1","1249"
"r_2","2","1000cp","2012Q2","1267.5"
"r_2","2","1000cp","2012Q3","1302.1"
"r_2","2","1000cp","2012Q4","1260"
"r_2","2","1000cp","2013Q1","1247.4"
"r_2","2","1000cp","2013Q2","1275.6"
"r_2","2","1000cp","2013Q3","1280.9"
"r_2","2","1000cp","2013Q4","1245"
"r_2","2","1000cp","2014Q1","1239.7"
"r_2","2","1000cp","2014Q2","1275"
"r_2","2","1000cp","2014Q3","1295.6"
"r_2","2","1000cp","2014Q4","1282.7"
"r_2","2","1000cp","2015Q1","1265.9"
"r_2","2","1000cp","2015Q2","1293.7"
"r_2","2","1000cp","2015Q3","1325.7"
"r_2","2","1000cp","2015Q4","1309.6"
"r_3","0","1000cp","2016Q1","2622.3"
"r_3","1","1000cp","2016Q1","1355.6"
"r_3","2","1000cp","2016Q1","1266.6"
"r_4","0","1000cp","2016Q2","2669.7"
"r_4","1","1000cp","2016Q2","1371.9"
"r_4","2","1000cp","2016Q2","1297.8"
"r_5","0","1000cp","2016Q3","2697.3"
"r_5","1","1000cp","2016Q3","1400"
"r_5","2","1000cp","2016Q3","1297.2"
"r_6","0","1000cp","2016Q4","2662.3"
"r_6","1","1000cp","2016Q4","1390.7"
"r_6","2","1000cp","2016Q4","1271.6"
"r_7","0","1000cp","2017Q1","2679.3"
"r_7","1","1000cp","2017Q1","1392.7"
"r_7","2","1000cp","2017Q1","1286.6"
"r_8","0","1000cp","2017Q2","2792.4"
"r_8","1","1000cp","2017Q2","1439.3"
"r_8","2","1000cp","2017Q2","1353.1"
"r_9","0","1000cp","2017Q3","2839.6"
"r_9","1","1000cp","2017Q3","1470.9"
"r_9","2","1000cp","2017Q3","1368.6"
"r_10","0","1000cp","2017Q4","2790.4"
"r_10","1","1000cp","2017Q4","1458.5"
"r_10","2","1000cp","2017Q4","1331.8"
"r_11","0","1000cp","2018Q1","2733.5"
"r_11","1","1000cp","2018Q1","1417.8"
"r_11","2","1000cp","2018Q1","1315.8"
"r_12","0","1000cp","2018Q2","2785.6"
"r_12","1","1000cp","2018Q2","1435"
"r_12","2","1000cp","2018Q2","1350.6"
"r_13","0","1000cp","2018Q3","2831.9"
"r_13","1","1000cp","2018Q3","1468.6"
"r_13","2","1000cp","2018Q3","1363.3"
"r_14","0","1000cp","2018Q4","2790.6"
"r_14","1","1000cp","2018Q4","1455.9"
"r_14","2","1000cp","2018Q4","1334.7"
"r_15","0","1000cp","2019Q1","2789.8"
"r_15","1","1000cp","2019Q1","1446.8"
"r_15","2","1000cp","2019Q1","1343"
"r_16","0","1000cp","2019Q2","2912.6"
"r_16","1","1000cp","2019Q2","1506.8"
"r_16","2","1000cp","2019Q2","1405.8"
"r_17","0","1000cp","2019Q3","2953.3"
"r_17","1","1000cp","2019Q3","1544.9"
