RevisionColumn,PlaceResidence,Units,periods,ValueColumn
"r_2","0","1000cp","2003Q1","2326.2"
"r_2","0","1000cp","2003Q2","2409.5"
"r_2","0","1000cp","2003Q3","2453.1"
"r_2","0","1000cp","2003Q4","2413"
"r_2","0","1000cp","2004Q1","2394.3"
"r_2","0","1000cp","2004Q2","2490.5"
"r_2","0","1000cp","2004Q3","2530.5"
"r_2","0","1000cp","2004Q4","2496.7"
"r_2","0","1000cp","2005Q1","2467.5"
"r_2","0","1000cp","2005Q2","2575"
"r_2","0","1000cp","2005Q3","2630"
"r_2","0","1000cp","2005Q4","2554.2"
"r_2","0","1000cp","2006Q1","2568.2"
"r_2","0","1000cp","2006Q2","2720.4"
"r_2","0","1000cp","2006Q3","2760.1"
"r_2","0","1000cp","2006Q4","2757.3"
"r_2","0","1000cp","2007Q1","2762.3"
"r_2","0","1000cp","2007Q2","2852.9"
"r_2","0","1000cp","2007Q3","2891.2"
"r_2","0","1000cp","2007Q4","2889.3"
"r_2","0","1000cp","2008Q1","2879.6"
"r_2","0","1000cp","2008Q2","2945.3"
"r_2","0","1000cp","2008Q3","2986.7"
"r_2","0","1000cp","2008Q4","2963.6"
"r_2","0","1000cp","2009Q1","2882.6"
"r_2","0","1000cp","2009Q2","2881.3"
"r_2","0","1000cp","2009Q3","2851.9"
"r_2","0","1000cp","2009Q4","2774.5"
"r_2","0","1000cp","2010Q1","2668.4"
"r_2","0","1000cp","2010Q2","2701.7"
"r_2","0","1000cp","2010Q3","2723.1"
"r_2","0","1000cp","2010Q4","2661.7"
"r_2","0","1000cp","2011Q1","2546.2"
"r_2","0","1000cp","2011Q2","2584"
"r_2","0","1000cp","2011Q3","2660.9"
"r_2","0","1000cp","2011Q4","2633.4"
"r_2","0","1000cp","2012Q1","2537.4"
"r_2","0","1000cp","2012Q2","2576.8"
"r_2","0","1000cp","2012Q3","2660.7"
"r_2","0","1000cp","2012Q4","2601.3"
"r_2","0","1000cp","2013Q1","2532.9"
"r_2","0","1000cp","2013Q2","2589.8"
"r_2","0","1000cp","2013Q3","2634.4"
"r_2","0","1000cp","2013Q4","2557.6"
"r_2","0","1000cp","2014Q1","2540.9"
"r_2","0","1000cp","2014Q2","2613.3"
"r_2","0","1000cp","2014Q3","2669.4"
"r_2","0","1000cp","2014Q4","2612.9"
"r_2","0","1000cp","2015Q1","2594.2"
"r_2","0","1000cp","2015Q2","2646.7"
"r_2","0","1000cp","2015Q3","2722.7"
"r_2","0","1000cp","2015Q4","2705.2"
"r_2","1","1000cp","2003Q1","1881.9"
"r_2","1","1000cp","2003Q2","1933.1"
"r_2","1","1000cp","2003Q3","1953.1"
"r_2","1","1000cp","2003Q4","1928.4"
"r_2","1","1000cp","2004Q1","1929.7738979804342"
"r_2","1","1000cp","2004Q2","1991.4"
"r_2","1","1000cp","2004Q3","2004.4"
"r_2","1","1000cp","2004Q4","1991.5"
"r_2","1","1000cp","2005Q1","2007.7"
"r_2","1","1000cp","2005Q2","2060.1"
"r_2","1","1000cp","2005Q3","2091.5"
"r_2","1","1000cp","2005Q4","2045.5"
"r_2","1","1000cp","2006Q1","2069.4"
"r_2","1","1000cp","2006Q2","2179.1"
"r_2","1","1000cp","2006Q3","2194.7"
"r_2","1","1000cp","2006Q4","2192.8"
"r_2","1","1000cp","2007Q1","2222.3"
"r_2","1","1000cp","2007Q2","2271"
"r_2","1","1000cp","2007Q3","2299"
"r_2","1","1000cp","2007Q4","2296.8"
"r_2","1","1000cp","2008Q1","2291.3"
"r_2","1","1000cp","2008Q2","2330.1"
"r_2","1","1000cp","2008Q3","2360.8"
"r_2","1","1000cp","2008Q4","2356.9"
"r_2","1","1000cp","2009Q1","2309.1"
"r_2","1","1000cp","2009Q2","2279.8"
"r_2","1","1000cp","2009Q3","2261.6"
"r_2","1","1000cp","2009Q4","2215.4"
"r_2","1","1000cp","2010Q1","2165.9"
"r_2","1","1000cp","2010Q2","2170.3"
"r_2","1","1000cp","2010Q3","2187.7"
"r_2","1","1000cp","2010Q4","2147.3"
"r_2","1","1000cp","2011Q1","2071.4"
"r_2","1","1000cp","2011Q2","2083.3"
"r_2","1","1000cp","2011Q3","2139.9"
"r_2","1","1000cp","2011Q4","2124.9"
"r_2","1","1000cp","2012Q1","2053.3"
"r_2","1","1000cp","2012Q2","2076.2"
"r_2","1","1000cp","2012Q3","2144.6"
"r_2","1","1000cp","2012Q4","2113.7"
"r_2","1","1000cp","2013Q1","2061.2"
"r_2","1","1000cp","2013Q2","2088.4"
"r_2","1","1000cp","2013Q3","2120.9"
"r_2","1","1000cp","2013Q4","2084.6"
"r_2","1","1000cp","2014Q1","2082.2"
"r_2","1","1000cp","2014Q2","2121.9"
"r_2","1","1000cp","2014Q3","2163"
"r_2","1","1000cp","2014Q4","2126.9"
"r_2","1","1000cp","2015Q1","2118.5"
"r_2","1","1000cp","2015Q2","2159"
"r_2","1","1000cp","2015Q3","2195.1"
"r_2","1","1000cp","2015Q4","2190"
"r_2","2","1000cp","2003Q1","444.2"
"r_2","2","1000cp","2003Q2","476.5"
"r_2","2","1000cp","2003Q3","500"
"r_2","2","1000cp","2003Q4","484.6"
"r_2","2","1000cp","2004Q1","464.505619324461"
"r_2","2","1000cp","2004Q2","499.2"
"r_2","2","1000cp","2004Q3","526.1"
"r_2","2","1000cp","2004Q4","505.2"
"r_2","2","1000cp","2005Q1","459.7"
"r_2","2","1000cp","2005Q2","514.9"
"r_2","2","1000cp","2005Q3","538.5"
"r_2","2","1000cp","2005Q4","508.7"
"r_2","2","1000cp","2006Q1","498.7"
"r_2","2","1000cp","2006Q2","541.3"
"r_2","2","1000cp","2006Q3","565.5"
"r_2","2","1000cp","2006Q4","564.4"
"r_2","2","1000cp","2007Q1","540"
"r_2","2","1000cp","2007Q2","581.9"
"r_2","2","1000cp","2007Q3","592.2"
"r_2","2","1000cp","2007Q4","592.5"
"r_2","2","1000cp","2008Q1","588.3"
"r_2","2","1000cp","2008Q2","615.2"
"r_2","2","1000cp","2008Q3","625.9"
"r_2","2","1000cp","2008Q4","606.7"
"r_2","2","1000cp","2009Q1","573.6"
"r_2","2","1000cp","2009Q2","601.4"
"r_2","2","1000cp","2009Q3","590.3"
"r_2","2","1000cp","2009Q4","559"
"r_2","2","1000cp","2010Q1","502.4"
"r_2","2","1000cp","2010Q2","531.4"
"r_2","2","1000cp","2010Q3","535.4"
"r_2","2","1000cp","2010Q4","514.4"
"r_2","2","1000cp","2011Q1","474.8"
"r_2","2","1000cp","2011Q2","500.7"
"r_2","2","1000cp","2011Q3","521"
"r_2","2","1000cp","2011Q4","508.5"
"r_2","2","1000cp","2012Q1","484.2"
"r_2","2","1000cp","2012Q2","500.6"
"r_2","2","1000cp","2012Q3","516.1"
"r_2","2","1000cp","2012Q4","487.6"
"r_2","2","1000cp","2013Q1","471.7"
"r_2","2","1000cp","2013Q2","501.4"
"r_2","2","1000cp","2013Q3","513.5"
"r_2","2","1000cp","2013Q4","473"
"r_2","2","1000cp","2014Q1","458.7"
"r_2","2","1000cp","2014Q2","491.4"
"r_2","2","1000cp","2014Q3","506.3"
"r_2","2","1000cp","2014Q4","486"
"r_2","2","1000cp","2015Q1","475.7"
"r_2","2","1000cp","2015Q2","487.7"
"r_2","2","1000cp","2015Q3","527.6"
"r_2","2","1000cp","2015Q4","515.2"
"r_3","0","1000cp","2016Q1","2622.3"
"r_3","1","1000cp","2016Q1","2138.2"
"r_3","2","1000cp","2016Q1","484.1"
"r_4","0","1000cp","2016Q2","2669.7"
"r_4","1","1000cp","2016Q2","2159.5"
"r_4","2","1000cp","2016Q2","510.3"
"r_5","0","1000cp","2016Q3","2697.3"
"r_5","1","1000cp","2016Q3","2169.1"
"r_5","2","1000cp","2016Q3","528.2"
"r_6","0","1000cp","2016Q4","2662.3"
"r_6","1","1000cp","2016Q4","2161.9"
"r_6","2","1000cp","2016Q4","500.3"
"r_7","0","1000cp","2017Q1","2679.3"
"r_7","1","1000cp","2017Q1","2175.9"
"r_7","2","1000cp","2017Q1","503.5"
"r_8","0","1000cp","2017Q2","2792.4"
"r_8","1","1000cp","2017Q2","2233"
"r_8","2","1000cp","2017Q2","559.4"
"r_9","0","1000cp","2017Q3","2839.6"
"r_9","1","1000cp","2017Q3","2256.2"
"r_9","2","1000cp","2017Q3","583.4"
"r_10","0","1000cp","2017Q4","2790.4"
"r_10","1","1000cp","2017Q4","2228.5"
"r_10","2","1000cp","2017Q4","561.9"
"r_11","0","1000cp","2018Q1","2733.5"
"r_11","1","1000cp","2018Q1","2194.6"
"r_11","2","1000cp","2018Q1","539"
"r_12","0","1000cp","2018Q2","2785.6"
"r_12","1","1000cp","2018Q2","2218.1"
"r_12","2","1000cp","2018Q2","567.5"
"r_13","0","1000cp","2018Q3","2831.9"
"r_13","1","1000cp","2018Q3","2242"
"r_13","2","1000cp","2018Q3","589.9"
"r_14","0","1000cp","2018Q4","2790.6"
"r_14","1","1000cp","2018Q4","2224.4"
"r_14","2","1000cp","2018Q4","566.2"
"r_15","0","1000cp","2019Q1","2789.8"
"r_15","1","1000cp","2019Q1","2229.3"
"r_15","2","1000cp","2019Q1","560.5"
"r_16","0","1000cp","2019Q2","2912.6"
"r_16","1","1000cp","2019Q2","2300.6"
"r_16","2","1000cp","2019Q2","612"
"r_17","0","1000cp","2019Q3","2953.3"
"r_17","1","1000cp","2019Q3","2319.2"
"r_17","2","1000cp","2019Q3","634.1"
"r_18","0","1000cp","2019Q4","2876.8"
"r_18","1","1000cp","2019Q4","2279.3"
