RevisionColumn,LFS_FullPartTime,Units,periods,ValueColumn
"r_2","TOT","1000cp","2008Q1","2879.6"
"r_2","TOT","1000cp","2008Q2","2945.3"
"r_2","TOT","1000cp","2008Q3","2986.7"
"r_2","TOT","1000cp","2008Q4","2963.6"
"r_2","TOT","1000cp","2009Q1","2882.6"
"r_2","TOT","1000cp","2009Q2","2881.3"
"r_2","TOT","1000cp","2009Q3","2851.9"
"r_2","TOT","1000cp","2009Q4","2774.5"
"r_2","TOT","1000cp","2010Q1","2668.4"
"r_2","TOT","1000cp","2010Q2","2701.7"
"r_2","TOT","1000cp","2010Q3","2723.1"
"r_2","TOT","1000cp","2010Q4","2661.7"
"r_2","TOT","1000cp","2011Q1","2546.2"
"r_2","TOT","1000cp","2011Q2","2584"
"r_2","TOT","1000cp","2011Q3","2660.9"
"r_2","TOT","1000cp","2011Q4","2633.4"
"r_2","TOT","1000cp","2012Q1","2537.4"
"r_2","TOT","1000cp","2012Q2","2576.8"
"r_2","TOT","1000cp","2012Q3","2660.7"
"r_2","TOT","1000cp","2012Q4","2601.3"
"r_2","TOT","1000cp","2013Q1","2532.9"
"r_2","TOT","1000cp","2013Q2","2589.8"
"r_2","TOT","1000cp","2013Q3","2634.4"
"r_2","TOT","1000cp","2013Q4","2557.6"
"r_2","TOT","1000cp","2014Q1","2540.9"
"r_2","TOT","1000cp","2014Q2","2613.3"
"r_2","TOT","1000cp","2014Q3","2669.4"
"r_2","TOT","1000cp","2014Q4","2612.9"
"r_2","TOT","1000cp","2015Q1","2594.2"
"r_2","TOT","1000cp","2015Q2","2646.7"
"r_2","TOT","1000cp","2015Q3","2722.7"
"r_2","TOT","1000cp","2015Q4","2705.2"
"r_2","FT","1000cp","2008Q1","2835.8"
"r_2","FT","1000cp","2008Q2","2904.5"
"r_2","FT","1000cp","2008Q3","2941.2"
"r_2","FT","1000cp","2008Q4","2922.4"
"r_2","FT","1000cp","2009Q1","2838.5"
"r_2","FT","1000cp","2009Q2","2830.4"
"r_2","FT","1000cp","2009Q3","2808.9"
"r_2","FT","1000cp","2009Q4","2734.1"
"r_2","FT","1000cp","2010Q1","2621"
"r_2","FT","1000cp","2010Q2","2655.1"
"r_2","FT","1000cp","2010Q3","2681"
"r_2","FT","1000cp","2010Q4","2614.4"
"r_2","FT","1000cp","2011Q1","2500.7"
"r_2","FT","1000cp","2011Q2","2537.7"
"r_2","FT","1000cp","2011Q3","2613.8"
"r_2","FT","1000cp","2011Q4","2587.1"
"r_2","FT","1000cp","2012Q1","2491.4"
"r_2","FT","1000cp","2012Q2","2521.8"
"r_2","FT","1000cp","2012Q3","2609.3"
"r_2","FT","1000cp","2012Q4","2551.1"
"r_2","FT","1000cp","2013Q1","2472.2"
"r_2","FT","1000cp","2013Q2","2528.7"
"r_2","FT","1000cp","2013Q3","2579.9"
"r_2","FT","1000cp","2013Q4","2504.3"
"r_2","FT","1000cp","2014Q1","2482"
"r_2","FT","1000cp","2014Q2","2562.4"
"r_2","FT","1000cp","2014Q3","2614.4"
"r_2","FT","1000cp","2014Q4","2562.1"
"r_2","FT","1000cp","2015Q1","2541"
"r_2","FT","1000cp","2015Q2","2599.8"
"r_2","FT","1000cp","2015Q3","2673"
"r_2","FT","1000cp","2015Q4","2655.8"
"r_2","PT","1000cp","2008Q1","43.9"
"r_2","PT","1000cp","2008Q2","40.8"
"r_2","PT","1000cp","2008Q3","45.5"
"r_2","PT","1000cp","2008Q4","41.1"
"r_2","PT","1000cp","2009Q1","44.1"
"r_2","PT","1000cp","2009Q2","50.8"
"r_2","PT","1000cp","2009Q3","43"
"r_2","PT","1000cp","2009Q4","40.3"
"r_2","PT","1000cp","2010Q1","47.4"
"r_2","PT","1000cp","2010Q2","46.6"
"r_2","PT","1000cp","2010Q3","42.1"
"r_2","PT","1000cp","2010Q4","47.3"
"r_2","PT","1000cp","2011Q1","45.6"
"r_2","PT","1000cp","2011Q2","46.3"
"r_2","PT","1000cp","2011Q3","47.1"
"r_2","PT","1000cp","2011Q4","46.3"
"r_2","PT","1000cp","2012Q1","46"
"r_2","PT","1000cp","2012Q2","55"
"r_2","PT","1000cp","2012Q3","51.4"
"r_2","PT","1000cp","2012Q4","50.3"
"r_2","PT","1000cp","2013Q1","60.7"
"r_2","PT","1000cp","2013Q2","61.2"
"r_2","PT","1000cp","2013Q3","54.5"
"r_2","PT","1000cp","2013Q4","53.3"
"r_2","PT","1000cp","2014Q1","58.9"
"r_2","PT","1000cp","2014Q2","50.9"
"r_2","PT","1000cp","2014Q3","54.9"
"r_2","PT","1000cp","2014Q4","50.9"
"r_2","PT","1000cp","2015Q1","53.2"
"r_2","PT","1000cp","2015Q2","46.9"
"r_2","PT","1000cp","2015Q3","49.6"
"r_2","PT","1000cp","2015Q4","49.4"
"r_3","TOT","1000cp","2016Q1","2622.3"
"r_3","FT","1000cp","2016Q1","2574.3"
"r_3","PT","1000cp","2016Q1","48"
"r_4","TOT","1000cp","2016Q2","2669.7"
"r_4","FT","1000cp","2016Q2","2618.7"
"r_4","PT","1000cp","2016Q2","51"
"r_5","TOT","1000cp","2016Q3","2697.3"
"r_5","FT","1000cp","2016Q3","2651.8"
"r_5","PT","1000cp","2016Q3","45.5"
"r_6","TOT","1000cp","2016Q4","2662.3"
"r_6","FT","1000cp","2016Q4","2616.5"
"r_6","PT","1000cp","2016Q4","45.8"
"r_7","TOT","1000cp","2017Q1","2679.3"
"r_7","FT","1000cp","2017Q1","2629.2"
"r_7","PT","1000cp","2017Q1","50.1"
"r_8","TOT","1000cp","2017Q2","2792.4"
"r_8","FT","1000cp","2017Q2","2731.6"
"r_8","PT","1000cp","2017Q2","60.8"
"r_9","TOT","1000cp","2017Q3","2839.6"
"r_9","FT","1000cp","2017Q3","2786.2"
"r_9","PT","1000cp","2017Q3","53.4"
"r_10","TOT","1000cp","2017Q4","2790.4"
"r_10","FT","1000cp","2017Q4","2744.6"
"r_10","PT","1000cp","2017Q4","45.8"
"r_11","TOT","1000cp","2018Q1","2733.5"
"r_11","FT","1000cp","2018Q1","2684.1"
"r_11","PT","1000cp","2018Q1","49.4"
"r_12","TOT","1000cp","2018Q2","2785.6"
"r_12","FT","1000cp","2018Q2","2736"
"r_12","PT","1000cp","2018Q2","49.6"
"r_13","TOT","1000cp","2018Q3","2831.9"
"r_13","FT","1000cp","2018Q3","2783.1"
"r_13","PT","1000cp","2018Q3","48.8"
"r_14","TOT","1000cp","2018Q4","2790.6"
"r_14","FT","1000cp","2018Q4","2749.9"
"r_14","PT","1000cp","2018Q4","40.7"
"r_15","TOT","1000cp","2019Q1","2789.8"
"r_15","FT","1000cp","2019Q1","2742.1"
"r_15","PT","1000cp","2019Q1","47.7"
"r_16","TOT","1000cp","2019Q2","2912.6"
"r_16","FT","1000cp","2019Q2","2855.6"
