RevisionColumn,LFS_LabourContract,Units,periods,ValueColumn
"r_1","0","1000cp","2006Q1","2568.2"
"r_1","0","1000cp","2006Q2","2720.4"
"r_1","0","1000cp","2006Q3","2760.1"
"r_1","0","1000cp","2006Q4","2757.3"
"r_1","0","1000cp","2007Q1","2762.3"
"r_1","0","1000cp","2007Q2","2852.9"
"r_1","0","1000cp","2007Q3","2891.2"
"r_1","0","1000cp","2007Q4","2889.3"
"r_1","0","1000cp","2008Q1","2879.6"
"r_1","0","1000cp","2008Q2","2945.3"
"r_1","0","1000cp","2008Q3","2986.7"
"r_1","0","1000cp","2008Q4","2963.6"
"r_1","0","1000cp","2009Q1","2882.6"
"r_1","0","1000cp","2009Q2","2881.3"
"r_1","0","1000cp","2009Q3","2851.9"
"r_1","0","1000cp","2009Q4","2774.5"
"r_1","0","1000cp","2010Q1","2668.4"
"r_1","0","1000cp","2010Q2","2701.7"
"r_1","0","1000cp","2010Q3","2723.1"
"r_1","0","1000cp","2010Q4","2661.7"
"r_1","0","1000cp","2011Q1","2546.2"
"r_1","0","1000cp","2011Q2","2584"
"r_1","0","1000cp","2011Q3","2660.9"
"r_1","0","1000cp","2011Q4","2633.4"
"r_1","0","1000cp","2012Q1","2537.4"
"r_1","0","1000cp","2012Q2","2576.8"
"r_1","0","1000cp","2012Q3","2660.7"
"r_1","0","1000cp","2012Q4","2601.3"
"r_1","0","1000cp","2013Q1","2532.9"
"r_1","0","1000cp","2013Q2","2589.8"
"r_1","0","1000cp","2013Q3","2634.4"
"r_1","0","1000cp","2013Q4","2557.6"
"r_1","0","1000cp","2014Q1","2540.9"
"r_1","0","1000cp","2014Q2","2613.3"
"r_1","0","1000cp","2014Q3","2669.4"
"r_1","0","1000cp","2014Q4","2612.9"
"r_1","0","1000cp","2015Q1","2594.2"
"r_1","0","1000cp","2015Q2","2646.7"
"r_1","0","1000cp","2015Q3","2722.7"
"r_1","0","1000cp","2015Q4","2705.2"
"r_1","1","1000cp","2006Q1","2462.4"
"r_1","1","1000cp","2006Q2","2587.2"
"r_1","1","1000cp","2006Q3","2633.8"
"r_1","1","1000cp","2006Q4","2630.7"
"r_1","1","1000cp","2007Q1","2651.6"
"r_1","1","1000cp","2007Q2","2730"
"r_1","1","1000cp","2007Q3","2772.2"
"r_1","1","1000cp","2007Q4","2791.8"
"r_1","1","1000cp","2008Q1","2784.3"
"r_1","1","1000cp","2008Q2","2828.4"
"r_1","1","1000cp","2008Q3","2852.5"
"r_1","1","1000cp","2008Q4","2858"
"r_1","1","1000cp","2009Q1","2794.7"
"r_1","1","1000cp","2009Q2","2769.3"
"r_1","1","1000cp","2009Q3","2737.5"
"r_1","1","1000cp","2009Q4","2684.7"
"r_1","1","1000cp","2010Q1","2590.7"
"r_1","1","1000cp","2010Q2","2603.3"
"r_1","1","1000cp","2010Q3","2628.9"
"r_1","1","1000cp","2010Q4","2589.6"
"r_1","1","1000cp","2011Q1","2494.6"
"r_1","1","1000cp","2011Q2","2521.8"
"r_1","1","1000cp","2011Q3","2581.8"
"r_1","1","1000cp","2011Q4","2574.7"
"r_1","1","1000cp","2012Q1","2492.9"
"r_1","1","1000cp","2012Q2","2510.7"
"r_1","1","1000cp","2012Q3","2581"
"r_1","1","1000cp","2012Q4","2533.6"
"r_1","1","1000cp","2013Q1","2471.6"
"r_1","1","1000cp","2013Q2","2512.9"
"r_1","1","1000cp","2013Q3","2542.6"
"r_1","1","1000cp","2013Q4","2483.3"
"r_1","1","1000cp","2014Q1","2475.4"
"r_1","1","1000cp","2014Q2","2532.1"
"r_1","1","1000cp","2014Q3","2576.2"
"r_1","1","1000cp","2014Q4","2540.1"
"r_1","1","1000cp","2015Q1","2524.5"
"r_1","1","1000cp","2015Q2","2567.6"
"r_1","1","1000cp","2015Q3","2635.7"
"r_1","1","1000cp","2015Q4","2635.8"
"r_1","2","1000cp","2006Q1","42.2"
"r_1","2","1000cp","2006Q2","46.5"
"r_1","2","1000cp","2006Q3","36.8"
"r_1","2","1000cp","2006Q4","39.8"
"r_1","2","1000cp","2007Q1","40.2"
"r_1","2","1000cp","2007Q2","44.2"
"r_1","2","1000cp","2007Q3","37.3"
"r_1","2","1000cp","2007Q4","37.4"
"r_1","2","1000cp","2008Q1","33.3"
"r_1","2","1000cp","2008Q2","39.7"
"r_1","2","1000cp","2008Q3","49.1"
"r_1","2","1000cp","2008Q4","46.5"
"r_1","2","1000cp","2009Q1","40.2"
"r_1","2","1000cp","2009Q2","43.8"
"r_1","2","1000cp","2009Q3","45.4"
"r_1","2","1000cp","2009Q4","37.8"
"r_1","2","1000cp","2010Q1","30.7"
"r_1","2","1000cp","2010Q2","37"
"r_1","2","1000cp","2010Q3","34.3"
"r_1","2","1000cp","2010Q4","28.6"
"r_1","2","1000cp","2011Q1","22.3"
"r_1","2","1000cp","2011Q2","19.3"
"r_1","2","1000cp","2011Q3","26.2"
"r_1","2","1000cp","2011Q4","23.3"
"r_1","2","1000cp","2012Q1","17.3"
"r_1","2","1000cp","2012Q2","28.4"
"r_1","2","1000cp","2012Q3","33.7"
"r_1","2","1000cp","2012Q4","28.6"
"r_1","2","1000cp","2013Q1","28.7"
"r_1","2","1000cp","2013Q2","31.1"
"r_1","2","1000cp","2013Q3","30.3"
"r_1","2","1000cp","2013Q4","29.9"
"r_1","2","1000cp","2014Q1","29.9"
"r_1","2","1000cp","2014Q2","29.3"
"r_1","2","1000cp","2014Q3","32.1"
"r_1","2","1000cp","2014Q4","28.6"
"r_1","2","1000cp","2015Q1","26.9"
"r_1","2","1000cp","2015Q2","24.2"
"r_1","2","1000cp","2015Q3","26.8"
"r_1","2","1000cp","2015Q4","23.6"
"r_1","3","1000cp","2006Q1","63.6"
"r_1","3","1000cp","2006Q2","86.6"
"r_1","3","1000cp","2006Q3","89.5"
"r_1","3","1000cp","2006Q4","86.7"
"r_1","3","1000cp","2007Q1","70.6"
"r_1","3","1000cp","2007Q2","78.6"
"r_1","3","1000cp","2007Q3","81.7"
"r_1","3","1000cp","2007Q4","60.1"
"r_1","3","1000cp","2008Q1","62.1"
"r_1","3","1000cp","2008Q2","77.2"
"r_1","3","1000cp","2008Q3","85"
"r_1","3","1000cp","2008Q4","59.1"
"r_1","3","1000cp","2009Q1","47.7"
"r_1","3","1000cp","2009Q2","68.1"
"r_1","3","1000cp","2009Q3","68.9"
"r_1","3","1000cp","2009Q4","52"
"r_1","3","1000cp","2010Q1","47"
"r_1","3","1000cp","2010Q2","61.5"
"r_1","3","1000cp","2010Q3","60"
"r_1","3","1000cp","2010Q4","43.5"
"r_1","3","1000cp","2011Q1","29.3"
"r_1","3","1000cp","2011Q2","42.9"
"r_1","3","1000cp","2011Q3","53"
"r_1","3","1000cp","2011Q4","35.4"
"r_1","3","1000cp","2012Q1","27.2"
"r_1","3","1000cp","2012Q2","37.7"
"r_1","3","1000cp","2012Q3","46"
"r_1","3","1000cp","2012Q4","39.1"
"r_1","3","1000cp","2013Q1","32.5"
"r_1","3","1000cp","2013Q2","45.9"
"r_1","3","1000cp","2013Q3","61.5"
"r_1","3","1000cp","2013Q4","44.4"
"r_1","3","1000cp","2014Q1","35.7"
"r_1","3","1000cp","2014Q2","51.9"
"r_1","3","1000cp","2014Q3","61"
"r_1","3","1000cp","2014Q4","44.3"
"r_1","3","1000cp","2015Q1","42.9"
"r_1","3","1000cp","2015Q2","54.9"
"r_1","3","1000cp","2015Q3","60.1"
"r_1","3","1000cp","2015Q4","45.7"
"r_2","0","1000cp","2016Q1","2622.3"
"r_2","1","1000cp","2016Q1","2555.8"
"r_2","2","1000cp","2016Q1","22.6"
"r_2","3","1000cp","2016Q1","43.8"
"r_3","0","1000cp","2016Q2","2669.7"
"r_3","1","1000cp","2016Q2","2578.8"
"r_3","2","1000cp","2016Q2","23.5"
"r_3","3","1000cp","2016Q2","67.4"
"r_4","0","1000cp","2016Q3","2697.3"
"r_4","1","1000cp","2016Q3","2607.2"
"r_4","2","1000cp","2016Q3","22.4"
"r_4","3","1000cp","2016Q3","67.7"
"r_5","0","1000cp","2016Q4","2662.3"
"r_5","1","1000cp","2016Q4","2594.9"
"r_5","2","1000cp","2016Q4","23"
"r_5","3","1000cp","2016Q4","44.4"
"r_6","0","1000cp","2017Q1","2679.3"
"r_6","1","1000cp","2017Q1","2612.3"
"r_6","2","1000cp","2017Q1","24.5"
"r_6","3","1000cp","2017Q1","42.5"
"r_7","0","1000cp","2017Q2","2792.4"
"r_7","1","1000cp","2017Q2","2695.8"
"r_7","2","1000cp","2017Q2","24.2"
"r_7","3","1000cp","2017Q2","72.5"
"r_8","0","1000cp","2017Q3","2839.6"
"r_8","1","1000cp","2017Q3","2735.9"
"r_8","2","1000cp","2017Q3","27.1"
"r_8","3","1000cp","2017Q3","76.5"
"r_9","0","1000cp","2017Q4","2790.4"
"r_9","1","1000cp","2017Q4","2702.2"
"r_9","2","1000cp","2017Q4","28.8"
