RevisionColumn,Units,periods,Ownership_LFS,ValueColumn
"r_3","1000cp","2003Q1","total","2326.2"
"r_3","1000cp","2003Q2","total","2409.5"
"r_3","1000cp","2003Q3","total","2453.1"
"r_3","1000cp","2003Q4","total","2413"
"r_3","1000cp","2004Q1","total","2394.3"
"r_3","1000cp","2004Q2","total","2490.5"
"r_3","1000cp","2004Q3","total","2530.5"
"r_3","1000cp","2004Q4","total","2496.7"
"r_3","1000cp","2005Q1","total","2467.5"
"r_3","1000cp","2005Q2","total","2575"
"r_3","1000cp","2005Q3","total","2630"
"r_3","1000cp","2005Q4","total","2554.2"
"r_3","1000cp","2006Q1","total","2568.2"
"r_3","1000cp","2006Q2","total","2720.4"
"r_3","1000cp","2006Q3","total","2760.1"
"r_3","1000cp","2006Q4","total","2757.3"
"r_3","1000cp","2007Q1","total","2762.3"
"r_3","1000cp","2007Q2","total","2852.9"
"r_3","1000cp","2007Q3","total","2891.2"
"r_3","1000cp","2007Q4","total","2889.3"
"r_3","1000cp","2008Q1","total","2879.6"
"r_3","1000cp","2008Q2","total","2945.3"
"r_3","1000cp","2008Q3","total","2986.7"
"r_3","1000cp","2008Q4","total","2963.6"
"r_3","1000cp","2009Q1","total","2882.6"
"r_3","1000cp","2009Q2","total","2881.3"
"r_3","1000cp","2009Q3","total","2851.9"
"r_3","1000cp","2009Q4","total","2774.5"
"r_3","1000cp","2010Q1","total","2668.4"
"r_3","1000cp","2010Q2","total","2701.7"
"r_3","1000cp","2010Q3","total","2723.1"
"r_3","1000cp","2010Q4","total","2661.7"
"r_3","1000cp","2011Q1","total","2546.2"
"r_3","1000cp","2011Q2","total","2584"
"r_3","1000cp","2011Q3","total","2660.9"
"r_3","1000cp","2011Q4","total","2633.4"
"r_3","1000cp","2012Q1","total","2537.4"
"r_3","1000cp","2012Q2","total","2576.8"
"r_3","1000cp","2012Q3","total","2660.7"
"r_3","1000cp","2012Q4","total","2601.3"
"r_3","1000cp","2013Q1","total","2532.9"
"r_3","1000cp","2013Q2","total","2589.8"
"r_3","1000cp","2013Q3","total","2634.4"
"r_3","1000cp","2013Q4","total","2557.6"
"r_3","1000cp","2014Q1","total","2540.9"
"r_3","1000cp","2014Q2","total","2613.3"
"r_3","1000cp","2014Q3","total","2669.4"
"r_3","1000cp","2014Q4","total","2612.9"
"r_3","1000cp","2015Q1","total","2594.2"
"r_3","1000cp","2015Q2","total","2646.7"
"r_3","1000cp","2015Q3","total","2722.7"
"r_3","1000cp","2015Q4","total","2705.2"
"r_3","1000cp","2003Q1","3","1331.7"
"r_3","1000cp","2003Q2","3","1422.4"
"r_3","1000cp","2003Q3","3","1477.8"
"r_3","1000cp","2003Q4","3","1448.4"
"r_3","1000cp","2004Q1","3","1507.4"
"r_3","1000cp","2004Q2","3","1573.8"
"r_3","1000cp","2004Q3","3","1609.1"
"r_3","1000cp","2004Q4","3","1586.4"
"r_3","1000cp","2005Q1","3","1610.1"
"r_3","1000cp","2005Q2","3","1708.6"
"r_3","1000cp","2005Q3","3","1747.2"
"r_3","1000cp","2005Q4","3","1702"
"r_3","1000cp","2006Q1","3","1721.3"
"r_3","1000cp","2006Q2","3","1852.4"
"r_3","1000cp","2006Q3","3","1893.2"
"r_3","1000cp","2006Q4","3","1899.9"
"r_3","1000cp","2007Q1","3","1921.7"
"r_3","1000cp","2007Q2","3","2022.6"
"r_3","1000cp","2007Q3","3","2054.5"
"r_3","1000cp","2007Q4","3","2041.6"
"r_3","1000cp","2008Q1","3","2071.6"
"r_3","1000cp","2008Q2","3","2158.3"
"r_3","1000cp","2008Q3","3","2212.7"
"r_3","1000cp","2008Q4","3","2181.8"
"r_3","1000cp","2009Q1","3","2099.9"
"r_3","1000cp","2009Q2","3","2094.5"
"r_3","1000cp","2009Q3","3","2099.3"
"r_3","1000cp","2009Q4","3","2020"
"r_3","1000cp","2010Q1","3","1933.7"
"r_3","1000cp","2010Q2","3","1977"
"r_3","1000cp","2010Q3","3","2011.5"
"r_3","1000cp","2010Q4","3","1926.7"
"r_3","1000cp","2011Q1","3","1820.8"
"r_3","1000cp","2011Q2","3","1877.6"
"r_3","1000cp","2011Q3","3","1959.9"
"r_3","1000cp","2011Q4","3","1916.4"
"r_3","1000cp","2012Q1","3","1816.2"
"r_3","1000cp","2012Q2","3","1860"
"r_3","1000cp","2012Q3","3","1934.7"
"r_3","1000cp","2012Q4","3","1879.1"
"r_3","1000cp","2013Q1","3","1803.4"
"r_3","1000cp","2013Q2","3","1873"
"r_3","1000cp","2013Q3","3","1928.6"
"r_3","1000cp","2013Q4","3","1832.4"
"r_3","1000cp","2014Q1","3","1816.5"
"r_3","1000cp","2014Q2","3","1897.9"
"r_3","1000cp","2014Q3","3","1979.5"
"r_3","1000cp","2014Q4","3","1920.6"
"r_3","1000cp","2015Q1","3","1883.8"
"r_3","1000cp","2015Q2","3","1945.4"
"r_3","1000cp","2015Q3","3","2031.5"
"r_3","1000cp","2015Q4","3","2012.1"
"r_3","1000cp","2003Q1","4","994.5"
"r_3","1000cp","2003Q2","4","987.1"
"r_3","1000cp","2003Q3","4","975.3"
"r_3","1000cp","2003Q4","4","964.7"
"r_3","1000cp","2004Q1","4","886.9"
"r_3","1000cp","2004Q2","4","916.8"
"r_3","1000cp","2004Q3","4","921.4"
"r_3","1000cp","2004Q4","4","910.2"
"r_3","1000cp","2005Q1","4","857.3"
"r_3","1000cp","2005Q2","4","866.5"
"r_3","1000cp","2005Q3","4","882.8"
"r_3","1000cp","2005Q4","4","852.2"
"r_3","1000cp","2006Q1","4","846.9"
"r_3","1000cp","2006Q2","4","867.9"
"r_3","1000cp","2006Q3","4","866.9"
"r_3","1000cp","2006Q4","4","857.3"
"r_3","1000cp","2007Q1","4","840.6"
"r_3","1000cp","2007Q2","4","830.2"
"r_3","1000cp","2007Q3","4","836.7"
"r_3","1000cp","2007Q4","4","847.7"
"r_3","1000cp","2008Q1","4","808"
"r_3","1000cp","2008Q2","4","787"
"r_3","1000cp","2008Q3","4","774"
"r_3","1000cp","2008Q4","4","781.7"
"r_3","1000cp","2009Q1","4","782.7"
"r_3","1000cp","2009Q2","4","786.8"
"r_3","1000cp","2009Q3","4","752.6"
"r_3","1000cp","2009Q4","4","754.5"
"r_3","1000cp","2010Q1","4","734.7"
"r_3","1000cp","2010Q2","4","724.7"
"r_3","1000cp","2010Q3","4","711.6"
"r_3","1000cp","2010Q4","4","735"
"r_3","1000cp","2011Q1","4","725.4"
"r_3","1000cp","2011Q2","4","706.4"
"r_3","1000cp","2011Q3","4","701"
"r_3","1000cp","2011Q4","4","717"
"r_3","1000cp","2012Q1","4","721.2"
"r_3","1000cp","2012Q2","4","716.8"
"r_3","1000cp","2012Q3","4","726"
"r_3","1000cp","2012Q4","4","722.2"
"r_3","1000cp","2013Q1","4","729.6"
"r_3","1000cp","2013Q2","4","716.8"
"r_3","1000cp","2013Q3","4","705.8"
"r_3","1000cp","2013Q4","4","725.2"
"r_3","1000cp","2014Q1","4","724.4"
"r_3","1000cp","2014Q2","4","715.4"
"r_3","1000cp","2014Q3","4","689.9"
"r_3","1000cp","2014Q4","4","692.4"
"r_3","1000cp","2015Q1","4","710.4"
"r_3","1000cp","2015Q2","4","701.4"
"r_3","1000cp","2015Q3","4","691.2"
"r_3","1000cp","2015Q4","4","693.1"
"r_4","1000cp","2016Q1","total","2622.3"
"r_4","1000cp","2016Q1","3","1951.1"
"r_4","1000cp","2016Q1","4","671.2"
"r_5","1000cp","2016Q2","total","2669.7"
"r_5","1000cp","2016Q2","3","1991.8"
"r_5","1000cp","2016Q2","4","677.9"
"r_6","1000cp","2016Q3","total","2697.3"
"r_6","1000cp","2016Q3","3","2010.2"
"r_6","1000cp","2016Q3","4","687.1"
"r_7","1000cp","2016Q4","total","2662.3"
"r_7","1000cp","2016Q4","3","1974"
"r_7","1000cp","2016Q4","4","688.3"
"r_8","1000cp","2017Q1","total","2679.3"
"r_8","1000cp","2017Q1","3","2016.5"
"r_8","1000cp","2017Q1","4","662.8"
"r_9","1000cp","2017Q2","total","2792.4"
"r_9","1000cp","2017Q2","3","2127.9"
"r_9","1000cp","2017Q2","4","664.5"
"r_10","1000cp","2017Q3","total","2839.6"
"r_10","1000cp","2017Q3","3","2154.1"
"r_10","1000cp","2017Q3","4","685.5"
"r_11","1000cp","2017Q4","total","2790.4"
"r_11","1000cp","2017Q4","3","2108.7"
"r_11","1000cp","2017Q4","4","681.6"
"r_12","1000cp","2018Q1","total","2733.5"
"r_12","1000cp","2018Q1","3","2078.4"
"r_12","1000cp","2018Q1","4","655.1"
"r_13","1000cp","2018Q2","total","2785.6"
"r_13","1000cp","2018Q2","3","2123.4"
"r_13","1000cp","2018Q2","4","662.2"
"r_15","1000cp","2018Q3","total","2831.9"
"r_15","1000cp","2018Q3","3","2150.3"
"r_15","1000cp","2018Q3","4","681.7"
"r_15","1000cp","2018Q4","total","2790.6"
"r_15","1000cp","2018Q4","3","2102"
"r_15","1000cp","2018Q4","4","688.6"
"r_16","1000cp","2019Q1","total","2789.8"
"r_16","1000cp","2019Q1","3","2111.3"
"r_16","1000cp","2019Q1","4","678.5"
"r_16","1000cp","2019Q2","total","2912.6"
"r_16","1000cp","2019Q2","3","2217.5"
"r_16","1000cp","2019Q2","4","695.1"
"r_17","1000cp","2019Q3","total","2953.3"
"r_17","1000cp","2019Q3","3","2262.3"
"r_17","1000cp","2019Q3","4","690.9"
"r_18","1000cp","2019Q4","total","2876.8"
"r_18","1000cp","2019Q4","3","2204.6"
"r_18","1000cp","2019Q4","4","672.2"
"r_19","1000cp","2020Q1","total","2777.4"
"r_19","1000cp","2020Q1","3","2086.1"
"r_19","1000cp","2020Q1","4","691.4"
"r_20","1000cp","2020Q2","total","2728.7"
"r_20","1000cp","2020Q2","3","2016.6"
"r_20","1000cp","2020Q2","4","712.1"
"r_21","1000cp","2020Q3","total","2818.1"
"r_21","1000cp","2020Q3","3","2139.6"
"r_21","1000cp","2020Q3","4","678.5"
"r_22","1000cp","2020Q4","total","2780.1"
"r_22","1000cp","2020Q4","3","2120.7"
"r_22","1000cp","2020Q4","4","659.4"
"r_31","1000cp","2023Q1","total","2590.3"
"r_31","1000cp","2023Q1","3","1992.3"
"r_31","1000cp","2023Q1","4","598"
"r_32","1000cp","2023Q2","total","2601.1"
"r_32","1000cp","2023Q2","3","1986.8"
"r_32","1000cp","2023Q2","4","614.3"
"r_33","1000cp","2023Q3","total","2635.2"
"r_33","1000cp","2023Q3","3","2040"
"r_33","1000cp","2023Q3","4","595.2"
"r_34","1000cp","2022Q1","total","2562.6"
"r_34","1000cp","2022Q1","3","1950.6"
"r_34","1000cp","2022Q1","4","612"
"r_35","1000cp","2022Q2","total","2600.2"
"r_35","1000cp","2022Q2","3","2001.2"
"r_35","1000cp","2022Q2","4","599"
"r_36","1000cp","2022Q3","total","2651.7"
"r_36","1000cp","2022Q3","3","2052.4"
"r_36","1000cp","2022Q3","4","599.3"
"r_37","1000cp","2022Q4","total","2631.2"
"r_37","1000cp","2022Q4","3","2045.4"
"r_37","1000cp","2022Q4","4","585.8"
"r_38","1000cp","2023Q4","total","2576.5"
"r_38","1000cp","2023Q4","3","1993.7"
"r_38","1000cp","2023Q4","4","582.8"
"r_39","1000cp","2024Q1","total","2569.6"
"r_39","1000cp","2024Q1","3","1973.1"
"r_39","1000cp","2024Q1","4","596.5"
