RevisionColumn,LFS_JobPermanency,Units,periods,ValueColumn
"r_2","0","1000cp","2008Q1","2879.6"
"r_2","0","1000cp","2008Q2","2945.3"
"r_2","0","1000cp","2008Q3","2986.7"
"r_2","0","1000cp","2008Q4","2963.6"
"r_2","0","1000cp","2009Q1","2882.6"
"r_2","0","1000cp","2009Q2","2881.3"
"r_2","0","1000cp","2009Q3","2851.9"
"r_2","0","1000cp","2009Q4","2774.5"
"r_2","0","1000cp","2010Q1","2668.4"
"r_2","0","1000cp","2010Q2","2701.7"
"r_2","0","1000cp","2010Q3","2723.1"
"r_2","0","1000cp","2010Q4","2661.7"
"r_2","0","1000cp","2011Q1","2546.2"
"r_2","0","1000cp","2011Q2","2584"
"r_2","0","1000cp","2011Q3","2660.9"
"r_2","0","1000cp","2011Q4","2633.4"
"r_2","0","1000cp","2012Q1","2537.4"
"r_2","0","1000cp","2012Q2","2576.8"
"r_2","0","1000cp","2012Q3","2660.7"
"r_2","0","1000cp","2012Q4","2601.3"
"r_2","0","1000cp","2013Q1","2532.9"
"r_2","0","1000cp","2013Q2","2589.8"
"r_2","0","1000cp","2013Q3","2634.4"
"r_2","0","1000cp","2013Q4","2557.6"
"r_2","0","1000cp","2014Q1","2540.9"
"r_2","0","1000cp","2014Q2","2613.3"
"r_2","0","1000cp","2014Q3","2669.4"
"r_2","0","1000cp","2014Q4","2612.9"
"r_2","0","1000cp","2015Q1","2594.2"
"r_2","0","1000cp","2015Q2","2646.7"
"r_2","0","1000cp","2015Q3","2722.7"
"r_2","0","1000cp","2015Q4","2705.2"
"r_2","1","1000cp","2008Q1","2759.6"
"r_2","1","1000cp","2008Q2","2793.8"
"r_2","1","1000cp","2008Q3","2805"
"r_2","1","1000cp","2008Q4","2822.3"
"r_2","1","1000cp","2009Q1","2773.4"
"r_2","1","1000cp","2009Q2","2728.7"
"r_2","1","1000cp","2009Q3","2696.1"
"r_2","1","1000cp","2009Q4","2653.5"
"r_2","1","1000cp","2010Q1","2572.1"
"r_2","1","1000cp","2010Q2","2570.5"
"r_2","1","1000cp","2010Q3","2573.1"
"r_2","1","1000cp","2010Q4","2554.4"
"r_2","1","1000cp","2011Q1","2467.2"
"r_2","1","1000cp","2011Q2","2477.7"
"r_2","1","1000cp","2011Q3","2522.5"
"r_2","1","1000cp","2011Q4","2528.9"
"r_2","1","1000cp","2012Q1","2457"
"r_2","1","1000cp","2012Q2","2452.6"
"r_2","1","1000cp","2012Q3","2514.4"
"r_2","1","1000cp","2012Q4","2487.6"
"r_2","1","1000cp","2013Q1","2415.6"
"r_2","1","1000cp","2013Q2","2430.9"
"r_2","1","1000cp","2013Q3","2454.9"
"r_2","1","1000cp","2013Q4","2429.3"
"r_2","1","1000cp","2014Q1","2419.9"
"r_2","1","1000cp","2014Q2","2464.1"
"r_2","1","1000cp","2014Q3","2498"
"r_2","1","1000cp","2014Q4","2499"
"r_2","1","1000cp","2015Q1","2497.8"
"r_2","1","1000cp","2015Q2","2525.1"
"r_2","1","1000cp","2015Q3","2565.4"
"r_2","1","1000cp","2015Q4","2605.1"
"r_2","2","1000cp","2008Q1","120"
"r_2","2","1000cp","2008Q2","151.5"
"r_2","2","1000cp","2008Q3","181.7"
"r_2","2","1000cp","2008Q4","141.3"
"r_2","2","1000cp","2009Q1","109.2"
"r_2","2","1000cp","2009Q2","152.6"
"r_2","2","1000cp","2009Q3","155.8"
"r_2","2","1000cp","2009Q4","121"
"r_2","2","1000cp","2010Q1","96.3"
"r_2","2","1000cp","2010Q2","131.2"
"r_2","2","1000cp","2010Q3","150.1"
"r_2","2","1000cp","2010Q4","107.3"
"r_2","2","1000cp","2011Q1","79"
"r_2","2","1000cp","2011Q2","106.3"
"r_2","2","1000cp","2011Q3","138.4"
"r_2","2","1000cp","2011Q4","104.5"
"r_2","2","1000cp","2012Q1","80.4"
"r_2","2","1000cp","2012Q2","124.2"
"r_2","2","1000cp","2012Q3","146.3"
"r_2","2","1000cp","2012Q4","113.7"
"r_2","2","1000cp","2013Q1","117.3"
"r_2","2","1000cp","2013Q2","158.9"
"r_2","2","1000cp","2013Q3","179.6"
"r_2","2","1000cp","2013Q4","128.3"
"r_2","2","1000cp","2014Q1","121.1"
"r_2","2","1000cp","2014Q2","149.2"
"r_2","2","1000cp","2014Q3","171.3"
"r_2","2","1000cp","2014Q4","114"
"r_2","2","1000cp","2015Q1","96.4"
"r_2","2","1000cp","2015Q2","121.6"
"r_2","2","1000cp","2015Q3","157.3"
"r_2","2","1000cp","2015Q4","100.1"
"r_3","0","1000cp","2016Q1","2622.3"
"r_3","1","1000cp","2016Q1","2535.7"
"r_3","2","1000cp","2016Q1","86.5"
"r_4","0","1000cp","2016Q2","2669.7"
"r_4","1","1000cp","2016Q2","2550.6"
"r_4","2","1000cp","2016Q2","119.2"
"r_5","0","1000cp","2016Q3","2697.3"
"r_5","1","1000cp","2016Q3","2556.3"
"r_5","2","1000cp","2016Q3","140.9"
"r_6","0","1000cp","2016Q4","2662.3"
"r_6","1","1000cp","2016Q4","2565.3"
"r_6","2","1000cp","2016Q4","97"
"r_7","0","1000cp","2017Q1","2679.3"
"r_7","1","1000cp","2017Q1","2584.9"
"r_7","2","1000cp","2017Q1","94.4"
"r_8","0","1000cp","2017Q2","2792.4"
"r_8","1","1000cp","2017Q2","2650.7"
"r_8","2","1000cp","2017Q2","141.7"
"r_9","0","1000cp","2017Q3","2839.6"
"r_9","1","1000cp","2017Q3","2685.9"
"r_9","2","1000cp","2017Q3","153.6"
"r_10","0","1000cp","2017Q4","2790.4"
"r_10","1","1000cp","2017Q4","2680.2"
"r_10","2","1000cp","2017Q4","110.2"
"r_11","0","1000cp","2018Q1","2733.5"
"r_11","1","1000cp","2018Q1","2635.5"
"r_11","2","1000cp","2018Q1","98.1"
"r_12","0","1000cp","2018Q2","2785.6"
"r_12","1","1000cp","2018Q2","2667.5"
"r_12","2","1000cp","2018Q2","118.1"
"r_13","0","1000cp","2018Q3","2831.9"
"r_13","1","1000cp","2018Q3","2692.4"
"r_13","2","1000cp","2018Q3","139.5"
"r_14","0","1000cp","2018Q4","2790.6"
"r_14","1","1000cp","2018Q4","2689.3"
"r_14","2","1000cp","2018Q4","101.3"
"r_15","0","1000cp","2019Q1","2789.8"
"r_15","1","1000cp","2019Q1","2697.7"
"r_15","2","1000cp","2019Q1","92.1"
"r_16","0","1000cp","2019Q2","2912.6"
"r_16","1","1000cp","2019Q2","2778.6"
"r_16","2","1000cp","2019Q2","134"
"r_17","0","1000cp","2019Q3","2953.3"
"r_17","1","1000cp","2019Q3","2793.5"
"r_17","2","1000cp","2019Q3","159.7"
"r_18","0","1000cp","2019Q4","2876.8"
"r_18","1","1000cp","2019Q4","2759.1"
"r_18","2","1000cp","2019Q4","117.8"
"r_19","0","1000cp","2020Q1","2777.4"
"r_19","1","1000cp","2020Q1","2690.1"
"r_19","2","1000cp","2020Q1","87.3"
"r_20","0","1000cp","2020Q2","2728.7"
"r_20","1","1000cp","2020Q2","2632"
"r_20","2","1000cp","2020Q2","96.7"
"r_21","0","1000cp","2020Q3","2818.1"
"r_21","1","1000cp","2020Q3","2689.6"
"r_21","2","1000cp","2020Q3","128.5"
"r_22","0","1000cp","2020Q4","2780.1"
"r_22","1","1000cp","2020Q4","2689.3"
"r_22","2","1000cp","2020Q4","90.8"
"r_31","0","1000cp","2023Q1","2590.3"
"r_31","1","1000cp","2023Q1","2522.7"
"r_31","2","1000cp","2023Q1","67.6"
"r_32","0","1000cp","2023Q2","2601.1"
"r_32","1","1000cp","2023Q2","2510.8"
"r_32","2","1000cp","2023Q2","90.2"
"r_33","0","1000cp","2023Q3","2635.2"
"r_33","1","1000cp","2023Q3","2535"
