RevisionColumn,Indicators,periods,PRODPROM,Units,ValueColumn
"r_16","3.1.1.2.1","2008","07.10.10","kg_fig",".."
"r_16","3.1.1.2.2","2008","07.10.10","kg_fig",".."
"r_16","3.1.1.2.3","2008","07.10.10","kg_fig",".."
"r_16","3.1.1.2.1","2008","07.29.11","kg_fig","27191013201"
"r_16","3.1.1.2.2","2008","07.29.11","kg_fig","376520105"
"r_16","3.1.1.2.3","2008","07.29.11","kg_fig","720140"
"r_16","3.1.1.2.1","2008","07.29.12","kg_fig","-"
"r_16","3.1.1.2.2","2008","07.29.12","kg_fig","-"
"r_16","3.1.1.2.3","2008","07.29.12","kg_fig","-"
"r_16","3.1.1.2.1","2008","07.29.13","kg_fig","-"
"r_16","3.1.1.2.2","2008","07.29.13","kg_fig","-"
"r_16","3.1.1.2.3","2008","07.29.13","kg_fig","-"
"r_16","3.1.1.2.1","2008","07.29.14","kg_fig",".."
"r_16","3.1.1.2.2","2008","07.29.14","kg_fig",".."
"r_16","3.1.1.2.3","2008","07.29.14","kg_fig",".."
"r_16","3.1.1.2.1","2008","07.29.15","kg_fig","641291060"
"r_16","3.1.1.2.2","2008","07.29.15","kg_fig","363684957"
"r_16","3.1.1.2.3","2008","07.29.15","kg_fig","54169"
"r_16","3.1.1.2.1","2008","07.29.19","kg_fig",".."
"r_16","3.1.1.2.2","2008","07.29.19","kg_fig",".."
"r_16","3.1.1.2.3","2008","07.29.19","kg_fig",".."
"r_16","3.1.1.2.1","2008","08.11.11","kg_fig","223948074"
"r_16","3.1.1.2.2","2008","08.11.11","kg_fig","139277804"
"r_16","3.1.1.2.3","2008","08.11.11","kg_fig","12694"
"r_16","3.1.1.2.1","2008","08.11.12","kg_fig",".."
"r_16","3.1.1.2.2","2008","08.11.12","kg_fig",".."
"r_16","3.1.1.2.3","2008","08.11.12","kg_fig","6939"
"r_16","3.1.1.2.1","2008","08.11.20","kg_fig","5.73149835E+9"
"r_16","3.1.1.2.2","2008","08.11.20","kg_fig","4440240025"
"r_16","3.1.1.2.3","2008","08.11.20","kg_fig","23373"
"r_16","3.1.1.2.1","2008","08.11.30","kg_fig","31092142"
"r_16","3.1.1.2.2","2008","08.11.30","kg_fig","38793922"
"r_16","3.1.1.2.3","2008","08.11.30","kg_fig","1244"
"r_16","3.1.1.2.1","2008","08.11.40","kg_fig",".."
"r_16","3.1.1.2.2","2008","08.11.40","kg_fig",".."
"r_16","3.1.1.2.3","2008","08.11.40","kg_fig",".."
"r_16","3.1.1.2.1","2008","08.12.11","kg_fig","12031564925"
"r_16","3.1.1.2.2","2008","08.12.11","kg_fig","11521515043"
"r_16","3.1.1.2.3","2008","08.12.11","kg_fig","142556"
"r_16","3.1.1.2.1","2008","08.12.12","kg_fig","30736943603"
"r_16","3.1.1.2.2","2008","08.12.12","kg_fig","2.473952559E+10"
"r_16","3.1.1.2.3","2008","08.12.12","kg_fig","243741"
"r_16","3.1.1.2.1","2008","08.12.13","kg_fig",".."
"r_16","3.1.1.2.2","2008","08.12.13","kg_fig",".."
"r_16","3.1.1.2.3","2008","08.12.13","kg_fig",".."
"r_16","3.1.1.2.1","2008","08.12.21","kg_fig",".."
"r_16","3.1.1.2.2","2008","08.12.21","kg_fig",".."
"r_16","3.1.1.2.3","2008","08.12.21","kg_fig",".."
"r_16","3.1.1.2.1","2008","08.12.22","kg_fig","992840358"
"r_16","3.1.1.2.2","2008","08.12.22","kg_fig","673034118"
"r_16","3.1.1.2.3","2008","08.12.22","kg_fig","3392"
"r_16","3.1.1.2.1","2008","08.91.11","kg_fig","-"
"r_16","3.1.1.2.2","2008","08.91.11","kg_fig","-"
"r_16","3.1.1.2.3","2008","08.91.11","kg_fig","-"
"r_16","3.1.1.2.1","2008","08.91.12","kg_fig","-"
"r_16","3.1.1.2.2","2008","08.91.12","kg_fig","-"
"r_16","3.1.1.2.3","2008","08.91.12","kg_fig","-"
"r_16","3.1.1.2.1","2008","08.91.19","kg_fig",".."
"r_16","3.1.1.2.2","2008","08.91.19","kg_fig",".."
