RevisionColumn,GenderID,Units,periods,ValueColumn
"r_2","0","hours","2008Q1","39.7"
"r_2","0","hours","2008Q2","40.9"
"r_2","0","hours","2008Q3","41.6"
"r_2","0","hours","2008Q4","40.9"
"r_2","0","hours","2009Q1","39.8"
"r_2","0","hours","2009Q2","39.5"
"r_2","0","hours","2009Q3","41.1"
"r_2","0","hours","2009Q4","40.6"
"r_2","0","hours","2010Q1","40.1"
"r_2","0","hours","2010Q2","40.5"
"r_2","0","hours","2010Q3","40.9"
"r_2","0","hours","2010Q4","40.4"
"r_2","0","hours","2011Q1","40.3"
"r_2","0","hours","2011Q2","39.9"
"r_2","0","hours","2011Q3","40.4"
"r_2","0","hours","2011Q4","40.4"
"r_2","0","hours","2012Q1","40.4"
"r_2","0","hours","2012Q2","39.7"
"r_2","0","hours","2012Q3","40.6"
"r_2","0","hours","2012Q4","39.8"
"r_2","0","hours","2013Q1","39.8"
"r_2","0","hours","2013Q2","39.5"
"r_2","0","hours","2013Q3","40.6"
"r_2","0","hours","2013Q4","39.9"
"r_2","0","hours","2014Q1","39.8"
"r_2","0","hours","2014Q2","39.7"
"r_2","0","hours","2014Q3","40.604666769505506"
"r_2","0","hours","2014Q4","40"
"r_2","0","hours","2015Q1","39.9"
"r_2","0","hours","2015Q2","39.8"
"r_2","0","hours","2015Q3","40.6"
"r_2","0","hours","2015Q4","40.3"
"r_2","1","hours","2008Q1","40.1"
"r_2","1","hours","2008Q2","41.5"
"r_2","1","hours","2008Q3","42.2"
"r_2","1","hours","2008Q4","41.5"
"r_2","1","hours","2009Q1","40.2"
"r_2","1","hours","2009Q2","39.9"
"r_2","1","hours","2009Q3","41.5"
"r_2","1","hours","2009Q4","41"
"r_2","1","hours","2010Q1","40.5"
"r_2","1","hours","2010Q2","40.9"
"r_2","1","hours","2010Q3","41.2"
"r_2","1","hours","2010Q4","40.8"
"r_2","1","hours","2011Q1","40.5"
"r_2","1","hours","2011Q2","40.2"
"r_2","1","hours","2011Q3","40.8"
"r_2","1","hours","2011Q4","40.6"
"r_2","1","hours","2012Q1","40.6"
"r_2","1","hours","2012Q2","40.1"
"r_2","1","hours","2012Q3","41"
"r_2","1","hours","2012Q4","40.1"
"r_2","1","hours","2013Q1","40.1"
"r_2","1","hours","2013Q2","39.9"
"r_2","1","hours","2013Q3","40.9"
"r_2","1","hours","2013Q4","40.3"
"r_2","1","hours","2014Q1","40.1"
"r_2","1","hours","2014Q2","40.1"
"r_2","1","hours","2014Q3","40.92138960826489"
"r_2","1","hours","2014Q4","40.4"
"r_2","1","hours","2015Q1","40.2"
"r_2","1","hours","2015Q2","40.3"
"r_2","1","hours","2015Q3","41"
"r_2","1","hours","2015Q4","40.6"
"r_2","2","hours","2008Q1","39.2"
"r_2","2","hours","2008Q2","40.2"
"r_2","2","hours","2008Q3","41"
"r_2","2","hours","2008Q4","40.3"
"r_2","2","hours","2009Q1","39.3"
"r_2","2","hours","2009Q2","39.1"
"r_2","2","hours","2009Q3","40.7"
"r_2","2","hours","2009Q4","40.1"
"r_2","2","hours","2010Q1","39.7"
"r_2","2","hours","2010Q2","40"
"r_2","2","hours","2010Q3","40.5"
"r_2","2","hours","2010Q4","40.1"
"r_2","2","hours","2011Q1","40.1"
"r_2","2","hours","2011Q2","39.5"
"r_2","2","hours","2011Q3","39.9"
"r_2","2","hours","2011Q4","40"
"r_2","2","hours","2012Q1","40.1"
"r_2","2","hours","2012Q2","39.3"
"r_2","2","hours","2012Q3","40.2"
"r_2","2","hours","2012Q4","39.5"
"r_2","2","hours","2013Q1","39.4"
"r_2","2","hours","2013Q2","39.1"
"r_2","2","hours","2013Q3","40.3"
"r_2","2","hours","2013Q4","39.5"
"r_2","2","hours","2014Q1","39.4"
"r_2","2","hours","2014Q2","39.2"
"r_2","2","hours","2014Q3","40.24744982784112"
"r_2","2","hours","2014Q4","39.6"
"r_2","2","hours","2015Q1","39.5"
"r_2","2","hours","2015Q2","39.3"
"r_2","2","hours","2015Q3","40.1"
"r_2","2","hours","2015Q4","39.9"
"r_3","0","hours","2016Q1","40.4"
"r_3","1","hours","2016Q1","40.7"
"r_3","2","hours","2016Q1","40.1"
