RevisionColumn,Ownership_LFS,Units,periods,ValueColumn
"r_2","total","hours","2008Q1","39.7"
"r_2","total","hours","2008Q2","40.9"
"r_2","total","hours","2008Q3","41.6"
"r_2","total","hours","2008Q4","40.9"
"r_2","total","hours","2009Q1","39.8"
"r_2","total","hours","2009Q2","39.5"
"r_2","total","hours","2009Q3","41.1"
"r_2","total","hours","2009Q4","40.6"
"r_2","total","hours","2010Q1","40.1"
"r_2","total","hours","2010Q2","40.5"
"r_2","total","hours","2010Q3","40.9"
"r_2","total","hours","2010Q4","40.4"
"r_2","total","hours","2011Q1","40.3"
"r_2","total","hours","2011Q2","39.9"
"r_2","total","hours","2011Q3","40.4"
"r_2","total","hours","2011Q4","40.4"
"r_2","total","hours","2012Q1","40.4"
"r_2","total","hours","2012Q2","39.7"
"r_2","total","hours","2012Q3","40.6"
"r_2","total","hours","2012Q4","39.8"
"r_2","total","hours","2013Q1","39.8"
"r_2","total","hours","2013Q2","39.5"
"r_2","total","hours","2013Q3","40.6"
"r_2","total","hours","2013Q4","39.9"
"r_2","total","hours","2014Q1","39.8"
"r_2","total","hours","2014Q2","39.7"
"r_2","total","hours","2014Q3","40.604666769505506"
"r_2","total","hours","2014Q4","40"
"r_2","total","hours","2015Q1","39.9"
"r_2","total","hours","2015Q2","39.8"
"r_2","total","hours","2015Q3","40.6"
"r_2","total","hours","2015Q4","40.3"
"r_2","3","hours","2008Q1","40"
"r_2","3","hours","2008Q2","41.5"
"r_2","3","hours","2008Q3","42.2"
"r_2","3","hours","2008Q4","41.5"
"r_2","3","hours","2009Q1","40.2"
"r_2","3","hours","2009Q2","40.1"
"r_2","3","hours","2009Q3","41.7"
"r_2","3","hours","2009Q4","41.1"
"r_2","3","hours","2010Q1","40.6"
"r_2","3","hours","2010Q2","41"
"r_2","3","hours","2010Q3","41.4"
"r_2","3","hours","2010Q4","40.9"
"r_2","3","hours","2011Q1","40.7"
"r_2","3","hours","2011Q2","40.4"
"r_2","3","hours","2011Q3","40.9"
"r_2","3","hours","2011Q4","40.8"
"r_2","3","hours","2012Q1","40.7"
"r_2","3","hours","2012Q2","40.2"
"r_2","3","hours","2012Q3","41.1"
"r_2","3","hours","2012Q4","40.2"
"r_2","3","hours","2013Q1","40.2"
"r_2","3","hours","2013Q2","40"
"r_2","3","hours","2013Q3","41.1"
"r_2","3","hours","2013Q4","40.4"
"r_2","3","hours","2014Q1","40.2"
"r_2","3","hours","2014Q2","40.2"
"r_2","3","hours","2014Q3","41.04775012455761"
"r_2","3","hours","2014Q4","40.4"
"r_2","3","hours","2015Q1","40.2"
"r_2","3","hours","2015Q2","40.3"
"r_2","3","hours","2015Q3","41"
"r_2","3","hours","2015Q4","40.7"
"r_2","4","hours","2008Q1","38.8"
"r_2","4","hours","2008Q2","38.9"
"r_2","4","hours","2008Q3","39.6"
"r_2","4","hours","2008Q4","39.2"
"r_2","4","hours","2009Q1","38.4"
"r_2","4","hours","2009Q2","38.2"
"r_2","4","hours","2009Q3","39.2"
"r_2","4","hours","2009Q4","39"
"r_2","4","hours","2010Q1","38.7"
"r_2","4","hours","2010Q2","38.8"
"r_2","4","hours","2010Q3","39"
"r_2","4","hours","2010Q4","39.2"
"r_2","4","hours","2011Q1","39.2"
"r_2","4","hours","2011Q2","38.3"
"r_2","4","hours","2011Q3","38.6"
"r_2","4","hours","2011Q4","39.1"
"r_2","4","hours","2012Q1","39.4"
"r_2","4","hours","2012Q2","38.2"
"r_2","4","hours","2012Q3","39.1"
"r_2","4","hours","2012Q4","38.6"
"r_2","4","hours","2013Q1","38.7"
"r_2","4","hours","2013Q2","38"
"r_2","4","hours","2013Q3","39.2"
"r_2","4","hours","2013Q4","38.6"
"r_2","4","hours","2014Q1","38.4"
"r_2","4","hours","2014Q2","38.2"
"r_2","4","hours","2014Q3","39.08651524147131"
"r_2","4","hours","2014Q4","38.8"
"r_2","4","hours","2015Q1","38.7"
"r_2","4","hours","2015Q2","38.3"
"r_2","4","hours","2015Q3","39.1"
"r_2","4","hours","2015Q4","39"
"r_3","total","hours","2016Q1","40.4"
"r_3","3","hours","2016Q1","40.8"
"r_3","4","hours","2016Q1","39.3"
"r_4","total","hours","2016Q2","39.8"
"r_4","3","hours","2016Q2","40.2"
"r_4","4","hours","2016Q2","38.4"
"r_5","total","hours","2016Q3","40.2"
"r_5","3","hours","2016Q3","40.7"
"r_5","4","hours","2016Q3","38.7"
"r_6","total","hours","2016Q4","40.4"
"r_6","3","hours","2016Q4","40.8"
"r_6","4","hours","2016Q4","39.2"
"r_7","total","hours","2017Q1","40.1"
"r_7","3","hours","2017Q1","40.5"
"r_7","4","hours","2017Q1","39"
"r_8","total","hours","2017Q2","39.6"
"r_8","3","hours","2017Q2","40"
"r_8","4","hours","2017Q2","38.3"
"r_9","total","hours","2017Q3","40.3"
"r_9","3","hours","2017Q3","40.7"
"r_9","4","hours","2017Q3","38.8"
"r_10","total","hours","2017Q4","39.9"
"r_10","3","hours","2017Q4","40.3"
"r_10","4","hours","2017Q4","38.5"
"r_11","total","hours","2018Q1","40.1"
"r_11","3","hours","2018Q1","40.4"
"r_11","4","hours","2018Q1","38.9"
"r_12","total","hours","2018Q2","39.4"
"r_12","3","hours","2018Q2","39.8"
"r_12","4","hours","2018Q2","38.2"
"r_13","total","hours","2018Q3","40.2"
"r_13","3","hours","2018Q3","40.6"
"r_13","4","hours","2018Q3","38.8"
"r_14","total","hours","2018Q4","39.8"
"r_14","3","hours","2018Q4","40.2"
"r_14","4","hours","2018Q4","38.5"
"r_15","total","hours","2019Q1","39.9"
"r_15","3","hours","2019Q1","40.2"
"r_15","4","hours","2019Q1","38.9"
"r_16","total","hours","2019Q2","39.1"
"r_16","3","hours","2019Q2","39.5"
"r_16","4","hours","2019Q2","37.8"
"r_17","total","hours","2019Q3","39.9"
"r_17","3","hours","2019Q3","40.3"
"r_17","4","hours","2019Q3","38.6"
"r_18","total","hours","2019Q4","39.6"
"r_18","3","hours","2019Q4","39.9"
"r_18","4","hours","2019Q4","38.3"
"r_19","total","hours","2020Q1","39.6"
"r_19","3","hours","2020Q1","40"
"r_19","4","hours","2020Q1","38.6"
"r_20","total","hours","2020Q2","38.7"
"r_20","3","hours","2020Q2","39"
"r_20","4","hours","2020Q2","37.9"
"r_21","total","hours","2020Q3","39.9"
"r_21","3","hours","2020Q3","40.2"
"r_21","4","hours","2020Q3","38.8"
"r_22","total","hours","2020Q4","39.1"
"r_22","3","hours","2020Q4","39.3"
"r_22","4","hours","2020Q4","38.4"
"r_31","total","hours","2023Q1","39.4"
"r_31","3","hours","2023Q1","39.5"
"r_31","4","hours","2023Q1","38.7"
"r_32","total","hours","2023Q2","38.3"
"r_32","3","hours","2023Q2","38.4"
"r_32","4","hours","2023Q2","37.6"
"r_33","total","hours","2023Q3","39.3"
"r_33","3","hours","2023Q3","39.4"
"r_33","4","hours","2023Q3","38.5"
"r_34","total","hours","2022Q1","39.7"
"r_34","3","hours","2022Q1","39.9"
"r_34","4","hours","2022Q1","39.1"
"r_35","total","hours","2022Q2","38.5"
"r_35","3","hours","2022Q2","38.7"
"r_35","4","hours","2022Q2","37.8"
"r_36","total","hours","2022Q3","39.4"
"r_36","3","hours","2022Q3","39.7"
"r_36","4","hours","2022Q3","38.5"
"r_37","total","hours","2022Q4","39"
"r_37","3","hours","2022Q4","39.2"
"r_37","4","hours","2022Q4","38.5"
"r_38","total","hours","2023Q4","38.9"
"r_38","3","hours","2023Q4","39"
"r_38","4","hours","2023Q4","38.6"
"r_39","total","hours","2024Q1","39.3"
"r_39","3","hours","2024Q1","39.3"
"r_39","4","hours","2024Q1","39"
"r_40","total","hours","2021Q1","40"
"r_40","3","hours","2021Q1","40.1"
"r_40","4","hours","2021Q1","39.5"
"r_41","total","hours","2021Q2","38.8"
"r_41","3","hours","2021Q2","39"
"r_41","4","hours","2021Q2","38"
"r_42","total","hours","2021Q3","39.9"
"r_42","3","hours","2021Q3","40.1"
"r_42","4","hours","2021Q3","39.1"
"r_43","total","hours","2021Q4","39.3"
"r_43","3","hours","2021Q4","39.4"
"r_43","4","hours","2021Q4","38.9"
"r_44","total","hours","2024Q2","38.4"
"r_44","3","hours","2024Q2","38.6"
"r_44","4","hours","2024Q2","38"
"r_45","total","hours","2024Q3","39.2"
"r_45","3","hours","2024Q3","39.4"
"r_45","4","hours","2024Q3","38.7"
"r_45","null_value","hours","2024Q3",""
"r_46","total","hours","2024Q4","38.9"
"r_46","3","hours","2024Q4","38.9"
"r_46","4","hours","2024Q4","38.7"
"r_47","total","hours","2025Q1","38.9"
"r_47","3","hours","2025Q1","38.9"
"r_47","4","hours","2025Q1","38.6"
"r_48","total","hours","2025Q2","38.1"
"r_48","3","hours","2025Q2","38.2"
"r_48","4","hours","2025Q2","37.5"
"r_49","total","hours","2025Q3","38.9"
"r_49","3","hours","2025Q3","39"
"r_49","4","hours","2025Q3","38.4"
