RevisionColumn,periods,Units,Indicators,NUTS,ValueColumn
"r_2","2015IX","num","3.5.2.5","BG","2644"
"r_2","2015IX","num","3.5.2.4","BG","264956"
"r_2","2015IX","num","3.5.2.6","BG","7248923"
"r_2","2015IX","num","3.5.2.2","BG","2418327"
"r_2","2015IX","num","3.5.2.2.1","BG","738404"
"r_2","2015IX","num","3.5.2.2.2","BG","1679923"
"r_2","2015IX","num","3.5.2.1","BG","633426"
"r_2","2015IX","num","3.5.2.1.1","BG","301267"
"r_2","2015IX","num","3.5.2.1.2","BG","332159"
"r_2","2015IX","BGN_tabl","3.5.2.3","BG","113358979"
"r_2","2015IX","BGN_tabl","3.5.2.3.1","BG","26679309"
"r_2","2015IX","BGN_tabl","3.5.2.3.2","BG","86679670"
"r_2","2015IX","num","3.5.2.5","BG3","1595"
"r_2","2015IX","num","3.5.2.4","BG3","205562"
"r_2","2015IX","num","3.5.2.6","BG3","5507315"
"r_2","2015IX","num","3.5.2.2","BG3","1971094"
"r_2","2015IX","num","3.5.2.2.1","BG3","463582"
"r_2","2015IX","num","3.5.2.2.2","BG3","1507512"
"r_2","2015IX","num","3.5.2.1","BG3","409847"
"r_2","2015IX","num","3.5.2.1.1","BG3","165471"
"r_2","2015IX","num","3.5.2.1.2","BG3","244376"
"r_2","2015IX","BGN_tabl","3.5.2.3","BG3","90658747"
"r_2","2015IX","BGN_tabl","3.5.2.3.1","BG3","15739665"
"r_2","2015IX","BGN_tabl","3.5.2.3.2","BG3","74919082"
"r_2","2015IX","num","3.5.2.5","BG31","185"
"r_2","2015IX","num","3.5.2.4","BG31","8346"
"r_2","2015IX","num","3.5.2.6","BG31","248930"
"r_2","2015IX","num","3.5.2.2","BG31","47595"
"r_2","2015IX","num","3.5.2.2.1","BG31","41913"
"r_2","2015IX","num","3.5.2.2.2","BG31","5682"
"r_2","2015IX","num","3.5.2.1","BG31","26050"
"r_2","2015IX","num","3.5.2.1.1","BG31","22975"
"r_2","2015IX","num","3.5.2.1.2","BG31","3075"
"r_2","2015IX","BGN_tabl","3.5.2.3","BG31","1547578"
"r_2","2015IX","BGN_tabl","3.5.2.3.1","BG31","1280600"
"r_2","2015IX","BGN_tabl","3.5.2.3.2","BG31","266978"
"r_2","2015IX","num","3.5.2.5","BG311","32"
