RevisionColumn,Labour_SES_nkpd1996,Units,periods,GenderID,ValueColumn
"r_1","0","1000cp","2003Q1","0","2704.3"
"r_1","0","1000cp","2003Q1","1","1424"
"r_1","0","1000cp","2003Q1","2","1280.3"
"r_1","0","1000cp","2003Q2","0","2876"
"r_1","0","1000cp","2003Q2","1","1525.9"
"r_1","0","1000cp","2003Q2","2","1350.1"
"r_1","0","1000cp","2003Q3","0","2933.1"
"r_1","0","1000cp","2003Q3","1","1555.3"
"r_1","0","1000cp","2003Q3","2","1377.8"
"r_1","0","1000cp","2003Q4","0","2825.6"
"r_1","0","1000cp","2003Q4","1","1497.7"
"r_1","0","1000cp","2003Q4","2","1327.9"
"r_1","0","1000cp","2004Q1","0","2783.8"
"r_1","0","1000cp","2004Q1","1","1482.2"
"r_1","0","1000cp","2004Q1","2","1301.7"
"r_1","0","1000cp","2004Q2","0","2969.8"
"r_1","0","1000cp","2004Q2","1","1575.3"
"r_1","0","1000cp","2004Q2","2","1394.5"
"r_1","0","1000cp","2004Q3","0","3024.6"
"r_1","0","1000cp","2004Q3","1","1597.3"
"r_1","0","1000cp","2004Q3","2","1427.2"
"r_1","0","1000cp","2004Q4","0","2911.9"
"r_1","0","1000cp","2004Q4","1","1545.6"
"r_1","0","1000cp","2004Q4","2","1366.3"
"r_1","0","1000cp","2005Q1","0","2838.4"
"r_1","0","1000cp","2005Q1","1","1511.8"
"r_1","0","1000cp","2005Q1","2","1326.6"
"r_1","0","1000cp","2005Q2","0","3008.9"
"r_1","0","1000cp","2005Q2","1","1603.6"
"r_1","0","1000cp","2005Q2","2","1405.2"
"r_1","0","1000cp","2005Q3","0","3098.1"
"r_1","0","1000cp","2005Q3","1","1656.4"
"r_1","0","1000cp","2005Q3","2","1441.6"
"r_1","0","1000cp","2005Q4","0","2982.3"
"r_1","0","1000cp","2005Q4","1","1596.7"
"r_1","0","1000cp","2005Q4","2","1385.7"
"r_1","1","1000cp","2003Q1","0","222.8"
"r_1","1","1000cp","2003Q1","1","152.9"
"r_1","1","1000cp","2003Q1","2","70"
"r_1","1","1000cp","2003Q2","0","215.9"
"r_1","1","1000cp","2003Q2","1","148.3"
"r_1","1","1000cp","2003Q2","2","67.6"
"r_1","1","1000cp","2003Q3","0","214.9"
"r_1","1","1000cp","2003Q3","1","150.1"
"r_1","1","1000cp","2003Q3","2","64.7"
"r_1","1","1000cp","2003Q4","0","219.1"
"r_1","1","1000cp","2003Q4","1","154.9"
"r_1","1","1000cp","2003Q4","2","64.2"
"r_1","1","1000cp","2004Q1","0","213.4"
"r_1","1","1000cp","2004Q1","1","145.7"
"r_1","1","1000cp","2004Q1","2","67.8"
"r_1","1","1000cp","2004Q2","0","213"
"r_1","1","1000cp","2004Q2","1","139.7"
"r_1","1","1000cp","2004Q2","2","73.3"
"r_1","1","1000cp","2004Q3","0","210.8"
"r_1","1","1000cp","2004Q3","1","141.3"
"r_1","1","1000cp","2004Q3","2","69.5"
"r_1","1","1000cp","2004Q4","0","194"
"r_1","1","1000cp","2004Q4","1","130.9"
"r_1","1","1000cp","2004Q4","2","63.1"
"r_1","1","1000cp","2005Q1","0","198.9"
"r_1","1","1000cp","2005Q1","1","128.2"
"r_1","1","1000cp","2005Q1","2","70.7"
"r_1","1","1000cp","2005Q2","0","200.2"
"r_1","1","1000cp","2005Q2","1","130.3"
"r_1","1","1000cp","2005Q2","2","69.9"
"r_1","1","1000cp","2005Q3","0","193.1"
"r_1","1","1000cp","2005Q3","1","130.5"
"r_1","1","1000cp","2005Q3","2","62.7"
"r_1","1","1000cp","2005Q4","0","188.9"
"r_1","1","1000cp","2005Q4","1","126.5"
"r_1","1","1000cp","2005Q4","2","62.4"
"r_1","2","1000cp","2003Q1","0","339.9"
"r_1","2","1000cp","2003Q1","1","112.4"
"r_1","2","1000cp","2003Q1","2","227.5"
"r_1","2","1000cp","2003Q2","0","335.5"
"r_1","2","1000cp","2003Q2","1","113.4"
"r_1","2","1000cp","2003Q2","2","222.2"
"r_1","2","1000cp","2003Q3","0","334.1"
"r_1","2","1000cp","2003Q3","1","118.6"
"r_1","2","1000cp","2003Q3","2","215.5"
"r_1","2","1000cp","2003Q4","0","331.4"
"r_1","2","1000cp","2003Q4","1","112.8"
"r_1","2","1000cp","2003Q4","2","218.6"
"r_1","2","1000cp","2004Q1","0","327.5"
"r_1","2","1000cp","2004Q1","1","114.4"
"r_1","2","1000cp","2004Q1","2","213.1"
"r_1","2","1000cp","2004Q2","0","331.1"
"r_1","2","1000cp","2004Q2","1","118.2"
"r_1","2","1000cp","2004Q2","2","212.9"
"r_1","2","1000cp","2004Q3","0","340.7"
"r_1","2","1000cp","2004Q3","1","120.9"
"r_1","2","1000cp","2004Q3","2","219.8"
"r_1","2","1000cp","2004Q4","0","346.8"
"r_1","2","1000cp","2004Q4","1","120.9"
"r_1","2","1000cp","2004Q4","2","225.9"
"r_1","2","1000cp","2005Q1","0","330.3"
"r_1","2","1000cp","2005Q1","1","111.9"
"r_1","2","1000cp","2005Q1","2","218.4"
"r_1","2","1000cp","2005Q2","0","347.4"
"r_1","2","1000cp","2005Q2","1","125"
"r_1","2","1000cp","2005Q2","2","222.5"
"r_1","2","1000cp","2005Q3","0","362.9"
"r_1","2","1000cp","2005Q3","1","129.5"
"r_1","2","1000cp","2005Q3","2","233.4"
"r_1","2","1000cp","2005Q4","0","351.4"
"r_1","2","1000cp","2005Q4","1","118.3"
"r_1","2","1000cp","2005Q4","2","233.1"
"r_1","3","1000cp","2003Q1","0","354.7"
"r_1","3","1000cp","2003Q1","1","163.1"
"r_1","3","1000cp","2003Q1","2","191.7"
"r_1","3","1000cp","2003Q2","0","346.5"
