Code list,Code,Name of Code list or Code in Bulgarian,Name of Code list or Code in English
"Units","","Мерни единици","Measuring units"
"Units","num","брой","Number"
"Countries_TOUR","","Ноаменклатура на страните за целите на статистиката на туризма","Nomenclature on the countries for tourism statistics purposes"
"Countries_TOUR","AT","Австрия","Austria"
"Countries_TOUR","BE","Белгия","Belgium"
"Countries_TOUR","CA","Канада","Canada"
"Countries_TOUR","CH","Швейцария","Switzerland"
"Countries_TOUR","CY","Кипър","Cyprus"
"Countries_TOUR","CZ","Чешка република","Czech Rep."
"Countries_TOUR","DE","Германия","Germany"
"Countries_TOUR","DK","Дания","Denmark"
"Countries_TOUR","ES","Испания","Spain"
"Countries_TOUR","EU","Европейски съюз","European Union"
"Countries_TOUR","FI","Финландия","Finland"
"Countries_TOUR","FR","Франция","France"
"Countries_TOUR","GB","Обединено кралство","United Kingdom"
"Countries_TOUR","GR","Гърция","Greece"
"Countries_TOUR","HR","Хърватия","Croatia"
"Countries_TOUR","HU","Унгария","Hungary"
"Countries_TOUR","IE","Ирландия","Ireland"
"Countries_TOUR","IL","Израел","Israel"
"Countries_TOUR","IT","Италия","Italy"
"Countries_TOUR","MK","Бивша югославска република Македония","FYROM"
"Countries_TOUR","MT","Малта","Malta"
"Countries_TOUR","NL","Нидерландия","Netherlands"
"Countries_TOUR","NO","Норвегия","Norway"
"Countries_TOUR","OTH","Други страни","Оther countries"
"Countries_TOUR","OTH_EU","Други страни от ЕС","Other countries from EU"
"Countries_TOUR","OTH_EUR","Други европейски страни","Other European countries"
"Countries_TOUR","PL","Полша","Poland"
"Countries_TOUR","PT","Португалия","Portugal"
"Countries_TOUR","RO","Румъния","Romania"
"Countries_TOUR","RoW","Останал свят","Rest of the world"
"Countries_TOUR","RS","Сърбия","Serbia"
"Countries_TOUR","RU","Руска федерация","Russian Federation"
"Countries_TOUR","SE","Швеция","Sweden"
"Countries_TOUR","SI","Словения","Slovenia"
"Countries_TOUR","SK","Словакия","Slovakia"
"Countries_TOUR","total","Общо","Total"
"Countries_TOUR","TR","Турция","Turkiye"
"Countries_TOUR","UA","Украйна","Ukraine"
"Countries_TOUR","US","САЩ","USA"
"Indicators","","Показатели","Indicators"
"Indicators","3.5.1.1","Пътувания на български граждани в чужбина - общо","Trips of Bulgarian residents abroad - total"
"Indicators","3.5.1.1.1","Пътувания на български граждани в чужбина с цел почивка и екскурзия","Trips of Bulgarian residents abroad by holiday and recreation purpose"
"Indicators","3.5.1.1.2","Пътувания на български граждани в чужбина със служебна цел","Trips of Bulgarian residents abroad by professional purpose"
"Indicators","3.5.1.1.3","Пътувания на български граждани в чужбина с други цели","Trips of Bulgarian residents abroad by other purposes"
