RevisionColumn,Units,periods,Countries_TOUR,Indicators,ValueColumn
"r_1","num","2008","total","3.5.1.1","5726767"
"r_1","num","2008","total","3.5.1.1.1","1628997"
"r_1","num","2008","total","3.5.1.1.2","2947231"
"r_1","num","2008","total","3.5.1.1.3","1150539"
"r_1","num","2008","EU","3.5.1.1","3499530"
"r_1","num","2008","EU","3.5.1.1.1","923092"
"r_1","num","2008","EU","3.5.1.1.2","2240827"
"r_1","num","2008","EU","3.5.1.1.3","335611"
"r_1","num","2008","AT","3.5.1.1","137654"
"r_1","num","2008","AT","3.5.1.1.1","40322"
"r_1","num","2008","AT","3.5.1.1.2","84772"
"r_1","num","2008","AT","3.5.1.1.3","12560"
"r_1","num","2008","BE","3.5.1.1","52495"
"r_1","num","2008","BE","3.5.1.1.1","11683"
"r_1","num","2008","BE","3.5.1.1.2","34298"
"r_1","num","2008","BE","3.5.1.1.3","6514"
"r_1","num","2008","GB","3.5.1.1","160034"
"r_1","num","2008","GB","3.5.1.1.1","22534"
"r_1","num","2008","GB","3.5.1.1.2","104196"
"r_1","num","2008","GB","3.5.1.1.3","33304"
"r_1","num","2008","DE","3.5.1.1","332643"
"r_1","num","2008","DE","3.5.1.1.1","78745"
"r_1","num","2008","DE","3.5.1.1.2","218396"
"r_1","num","2008","DE","3.5.1.1.3","35502"
"r_1","num","2008","GR","3.5.1.1","1709510"
"r_1","num","2008","GR","3.5.1.1.1","417795"
"r_1","num","2008","GR","3.5.1.1.2","1151682"
"r_1","num","2008","GR","3.5.1.1.3","140033"
"r_1","num","2008","DK","3.5.1.1","6660"
"r_1","num","2008","DK","3.5.1.1.1","1218"
"r_1","num","2008","DK","3.5.1.1.2","3114"
"r_1","num","2008","DK","3.5.1.1.3","2328"
"r_1","num","2008","IE","3.5.1.1","2592"
"r_1","num","2008","IE","3.5.1.1.1","357"
"r_1","num","2008","IE","3.5.1.1.2","1319"
"r_1","num","2008","IE","3.5.1.1.3","916"
"r_1","num","2008","ES","3.5.1.1","153174"
"r_1","num","2008","ES","3.5.1.1.1","55373"
"r_1","num","2008","ES","3.5.1.1.2","73562"
"r_1","num","2008","ES","3.5.1.1.3","24239"
"r_1","num","2008","IT","3.5.1.1","164023"
"r_1","num","2008","IT","3.5.1.1.1","51804"
"r_1","num","2008","IT","3.5.1.1.2","95899"
"r_1","num","2008","IT","3.5.1.1.3","16320"
"r_1","num","2008","CY","3.5.1.1","29358"
"r_1","num","2008","CY","3.5.1.1.1","5333"
"r_1","num","2008","CY","3.5.1.1.2","17334"
"r_1","num","2008","CY","3.5.1.1.3","6691"
"r_1","num","2008","MT","3.5.1.1","4520"
"r_1","num","2008","MT","3.5.1.1.1","1208"
"r_1","num","2008","MT","3.5.1.1.2","2704"
"r_1","num","2008","MT","3.5.1.1.3","608"
"r_1","num","2008","NL","3.5.1.1","46370"
"r_1","num","2008","NL","3.5.1.1.1","14070"
"r_1","num","2008","NL","3.5.1.1.2","27269"
"r_1","num","2008","NL","3.5.1.1.3","5031"
"r_1","num","2008","PL","3.5.1.1","32067"
"r_1","num","2008","PL","3.5.1.1.1","8929"
"r_1","num","2008","PL","3.5.1.1.2","20811"
"r_1","num","2008","PL","3.5.1.1.3","2327"
"r_1","num","2008","PT","3.5.1.1","2302"
"r_1","num","2008","PT","3.5.1.1.1","804"
"r_1","num","2008","PT","3.5.1.1.2","1168"
"r_1","num","2008","PT","3.5.1.1.3","330"
"r_1","num","2008","RO","3.5.1.1","481564"
"r_1","num","2008","RO","3.5.1.1.1","166835"
"r_1","num","2008","RO","3.5.1.1.2","285172"
"r_1","num","2008","RO","3.5.1.1.3","29557"
"r_1","num","2008","SK","3.5.1.1","4440"
"r_1","num","2008","SK","3.5.1.1.1","815"
"r_1","num","2008","SK","3.5.1.1.2","3446"
"r_1","num","2008","SK","3.5.1.1.3","179"
"r_1","num","2008","SI","3.5.1.1","7145"
"r_1","num","2008","SI","3.5.1.1.1","2050"
"r_1","num","2008","SI","3.5.1.1.2","4773"
"r_1","num","2008","SI","3.5.1.1.3","322"
"r_1","num","2008","HU","3.5.1.1","34206"
"r_1","num","2008","HU","3.5.1.1.1","6632"
"r_1","num","2008","HU","3.5.1.1.2","22375"
"r_1","num","2008","HU","3.5.1.1.3","5199"
"r_1","num","2008","FI","3.5.1.1","1348"
