RevisionColumn,periods,NUTS,Units,Ages_COD,GenderID,COD_ICD10ch,ValueColumn
"r_1","2015","BG","num","0","0","0","110117"
"r_1","2015","BG","num","0","1","0","57040"
"r_1","2015","BG","num","0","2","0","53077"
"r_1","2015","BG","num","1","0","0","434"
"r_1","2015","BG","num","1","1","0","245"
"r_1","2015","BG","num","1","2","0","189"
"r_1","2015","BG","num","2","0","0","82"
"r_1","2015","BG","num","2","1","0","39"
"r_1","2015","BG","num","2","2","0","43"
"r_1","2015","BG","num","3","0","0","70"
"r_1","2015","BG","num","3","1","0","47"
"r_1","2015","BG","num","3","2","0","23"
"r_1","2015","BG","num","4","0","0","60"
"r_1","2015","BG","num","4","1","0","35"
"r_1","2015","BG","num","4","2","0","25"
"r_1","2015","BG","num","5","0","0","150"
"r_1","2015","BG","num","5","1","0","104"
"r_1","2015","BG","num","5","2","0","46"
"r_1","2015","BG","num","6","0","0","241"
"r_1","2015","BG","num","6","1","0","170"
"r_1","2015","BG","num","6","2","0","71"
"r_1","2015","BG","num","7","0","0","357"
"r_1","2015","BG","num","7","1","0","257"
"r_1","2015","BG","num","7","2","0","100"
"r_1","2015","BG","num","8","0","0","509"
"r_1","2015","BG","num","8","1","0","364"
"r_1","2015","BG","num","8","2","0","145"
"r_1","2015","BG","num","9","0","0","775"
"r_1","2015","BG","num","9","1","0","523"
"r_1","2015","BG","num","9","2","0","252"
"r_1","2015","BG","num","10","0","0","1318"
"r_1","2015","BG","num","10","1","0","877"
"r_1","2015","BG","num","10","2","0","441"
"r_1","2015","BG","num","11","0","0","2188"
"r_1","2015","BG","num","11","1","0","1499"
"r_1","2015","BG","num","11","2","0","689"
"r_1","2015","BG","num","12","0","0","3499"
"r_1","2015","BG","num","12","1","0","2484"
"r_1","2015","BG","num","12","2","0","1015"
"r_1","2015","BG","num","13","0","0","5574"
"r_1","2015","BG","num","13","1","0","3849"
"r_1","2015","BG","num","13","2","0","1725"
"r_1","2015","BG","num","14","0","0","8258"
"r_1","2015","BG","num","14","1","0","5666"
"r_1","2015","BG","num","14","2","0","2592"
"r_1","2015","BG","num","15","0","0","11356"
"r_1","2015","BG","num","15","1","0","7379"
"r_1","2015","BG","num","15","2","0","3977"
