RevisionColumn,NUTS,SILC_Median,SILC_HHType,Units,periods,ValueColumn
"r_5","BG","3","1","Euro","2016","1891"
"r_5","BG","3","2","Euro","2016","3970"
"r_5","BG","3","1","BGN_fig","2016","3698"
"r_5","BG","3","2","BGN_fig","2016","7765"
"r_5","BG","3","1","PPP_fig","2016","4046"
"r_5","BG","3","2","PPP_fig","2016","8497"
"r_5","BG","1","1","Euro","2016","1260"
"r_5","BG","1","2","Euro","2016","2647"
"r_5","BG","2","1","Euro","2016","1575"
"r_5","BG","2","2","Euro","2016","3309"
"r_5","BG","4","1","Euro","2016","2206"
"r_5","BG","4","2","Euro","2016","4632"
"r_5","BG","1","1","BGN_fig","2016","2465"
"r_5","BG","1","2","BGN_fig","2016","5177"
"r_5","BG","2","1","BGN_fig","2016","3081"
"r_5","BG","2","2","BGN_fig","2016","6471"
"r_5","BG","4","1","BGN_fig","2016","4314"
"r_5","BG","4","2","BGN_fig","2016","9059"
"r_5","BG31","1","1","Euro","2016","1027"
"r_5","BG31","1","2","Euro","2016","2156"
"r_5","BG31","2","1","Euro","2016","1284"
"r_5","BG31","2","2","Euro","2016","2695"
"r_5","BG31","3","1","Euro","2016","1540"
"r_5","BG31","3","2","Euro","2016","3234"
"r_5","BG31","4","1","Euro","2016","1797"
"r_5","BG31","4","2","Euro","2016","3774"
"r_5","BG31","1","1","BGN_fig","2016","2008"
"r_5","BG31","1","2","BGN_fig","2016","4217"
"r_5","BG31","2","1","BGN_fig","2016","2510"
"r_5","BG31","2","2","BGN_fig","2016","5272"
"r_5","BG31","3","1","BGN_fig","2016","3012"
"r_5","BG31","3","2","BGN_fig","2016","6326"
"r_5","BG31","4","1","BGN_fig","2016","3514"
"r_5","BG31","4","2","BGN_fig","2016","7380"
"r_5","BG311","1","1","BGN_fig","2016","1554"
"r_5","BG311","1","2","BGN_fig","2016","3264"
"r_5","BG311","2","1","BGN_fig","2016","1943"
"r_5","BG311","2","2","BGN_fig","2016","4080"
"r_5","BG311","3","1","BGN_fig","2016","2332"
"r_5","BG311","3","2","BGN_fig","2016","4896"
"r_5","BG311","4","1","BGN_fig","2016","2720"
"r_5","BG311","4","2","BGN_fig","2016","5712"
"r_5","BG313","1","1","BGN_fig","2016","1846"
"r_5","BG313","1","2","BGN_fig","2016","3876"
"r_5","BG313","2","1","BGN_fig","2016","2307"
"r_5","BG313","2","2","BGN_fig","2016","4846"
"r_5","BG313","3","1","BGN_fig","2016","2769"
"r_5","BG313","3","2","BGN_fig","2016","5815"
"r_5","BG313","4","1","BGN_fig","2016","3230"
"r_5","BG313","4","2","BGN_fig","2016","6784"
"r_5","BG315","1","1","BGN_fig","2016","1883"
"r_5","BG315","1","2","BGN_fig","2016","3955"
"r_5","BG315","2","1","BGN_fig","2016","2354"
"r_5","BG315","2","2","BGN_fig","2016","4944"
"r_5","BG315","3","1","BGN_fig","2016","2825"
"r_5","BG315","3","2","BGN_fig","2016","5933"
"r_5","BG315","4","1","BGN_fig","2016","3296"
"r_5","BG315","4","2","BGN_fig","2016","6921"
"r_5","BG312","1","1","BGN_fig","2016","1972"
"r_5","BG312","1","2","BGN_fig","2016","4142"
"r_5","BG312","2","1","BGN_fig","2016","2466"
"r_5","BG312","2","2","BGN_fig","2016","5178"
"r_5","BG312","3","1","BGN_fig","2016","2959"
"r_5","BG312","3","2","BGN_fig","2016","6213"
"r_5","BG312","4","1","BGN_fig","2016","3452"
"r_5","BG312","4","2","BGN_fig","2016","7249"
"r_5","BG314","1","1","BGN_fig","2016","2328"
"r_5","BG314","1","2","BGN_fig","2016","4890"
"r_5","BG314","2","1","BGN_fig","2016","2911"
"r_5","BG314","2","2","BGN_fig","2016","6112"
"r_5","BG314","3","1","BGN_fig","2016","3493"
"r_5","BG314","3","2","BGN_fig","2016","7334"
"r_5","BG314","4","1","BGN_fig","2016","4075"
"r_5","BG314","4","2","BGN_fig","2016","8557"
"r_5","BG32","1","1","Euro","2016","1173"
"r_5","BG32","1","2","Euro","2016","2464"
"r_5","BG32","2","1","Euro","2016","1467"
"r_5","BG32","2","2","Euro","2016","3080"
"r_5","BG32","3","1","Euro","2016","1760"
