RevisionColumn,periods,Units,GenderID,Age10_LFS,ValueColumn
"r_3","2003","perc","0","0","13.7"
"r_3","2004","perc","0","0","12"
"r_3","2005","perc","0","0","10.1"
"r_3","2006","perc","0","0","9"
"r_3","2007","perc","0","0","6.9"
"r_3","2008","perc","0","0","5.6"
"r_3","2009","perc","0","0","6.8"
"r_3","2010","perc","0","0","10.3"
"r_3","2011","perc","0","0","11.3"
"r_3","2012","perc","0","0","12.3"
"r_3","2013","perc","0","0","12.9"
"r_3","2014","perc","0","0","11.4"
"r_3","2015","perc","0","0","9.1"
"r_3","2016","perc","0","0","7.6"
"r_3","2017","perc","0","0","6.2"
"r_3","2018","perc","0","0","5.2"
"r_3","2019","perc","0","0","4.2"
"r_3","2003","perc","0","15 - 64","13.9"
"r_3","2004","perc","0","15 - 64","12.2"
"r_3","2005","perc","0","15 - 64","10.2"
"r_3","2006","perc","0","15 - 64","9"
"r_3","2007","perc","0","15 - 64","6.9"
"r_3","2008","perc","0","15 - 64","5.7"
"r_3","2009","perc","0","15 - 64","6.9"
"r_3","2010","perc","0","15 - 64","10.3"
"r_3","2011","perc","0","15 - 64","11.4"
"r_3","2012","perc","0","15 - 64","12.4"
"r_3","2013","perc","0","15 - 64","13"
"r_3","2014","perc","0","15 - 64","11.5"
"r_3","2015","perc","0","15 - 64","9.2"
"r_3","2016","perc","0","15 - 64","7.7"
"r_3","2017","perc","0","15 - 64","6.2"
"r_3","2018","perc","0","15 - 64","5.3"
"r_3","2019","perc","0","15 - 64","4.3"
"r_3","2003","perc","0","20 - 64","13.4"
"r_3","2004","perc","0","20 - 64","11.7"
"r_3","2005","perc","0","20 - 64","9.8"
"r_3","2006","perc","0","20 - 64","8.6"
"r_3","2007","perc","0","20 - 64","6.6"
"r_3","2008","perc","0","20 - 64","5.4"
"r_3","2009","perc","0","20 - 64","6.6"
"r_3","2010","perc","0","20 - 64","10"
"r_3","2011","perc","0","20 - 64","11"
"r_3","2012","perc","0","20 - 64","12"
"r_3","2013","perc","0","20 - 64","12.7"
"r_3","2014","perc","0","20 - 64","11.3"
"r_3","2015","perc","0","20 - 64","9.1"
"r_3","2016","perc","0","20 - 64","7.6"
"r_3","2017","perc","0","20 - 64","6.1"
"r_3","2018","perc","0","20 - 64","5.1"
"r_3","2019","perc","0","20 - 64","4.2"
"r_3","2003","perc","0","15 - 29","21.1"
"r_3","2004","perc","0","15 - 29","19.2"
"r_3","2005","perc","0","15 - 29","16"
"r_3","2006","perc","0","15 - 29","14.5"
"r_3","2007","perc","0","15 - 29","11"
"r_3","2008","perc","0","15 - 29","9.4"
"r_3","2009","perc","0","15 - 29","11.9"
"r_3","2010","perc","0","15 - 29","16.6"
"r_3","2011","perc","0","15 - 29","19.1"
"r_3","2012","perc","0","15 - 29","20.8"
"r_3","2013","perc","0","15 - 29","21.8"
"r_3","2014","perc","0","15 - 29","17.7"
"r_3","2015","perc","0","15 - 29","14.4"
"r_3","2016","perc","0","15 - 29","12.2"
"r_3","2017","perc","0","15 - 29","9.9"
"r_3","2018","perc","0","15 - 29","8.3"
"r_3","2019","perc","0","15 - 29","6.9"
"r_3","2003","perc","0","15 - 24","28.2"
"r_3","2004","perc","0","15 - 24","25.8"
"r_3","2005","perc","0","15 - 24","22.3"
"r_3","2006","perc","0","15 - 24","19.5"
"r_3","2007","perc","0","15 - 24","15.1"
"r_3","2008","perc","0","15 - 24","12.728064569968629"
"r_3","2009","perc","0","15 - 24","16.2"
"r_3","2010","perc","0","15 - 24","21.9"
"r_3","2011","perc","0","15 - 24","25"
"r_3","2012","perc","0","15 - 24","28.1"
"r_3","2013","perc","0","15 - 24","28.4"
"r_3","2014","perc","0","15 - 24","23.8"
"r_3","2015","perc","0","15 - 24","21.6"
"r_3","2016","perc","0","15 - 24","17.2"
"r_3","2017","perc","0","15 - 24","12.9"
"r_3","2018","perc","0","15 - 24","12.7"
"r_3","2019","perc","0","15 - 24","8.9"
"r_3","2003","perc","0","25 - 34","14.5"
"r_3","2004","perc","0","25 - 34","12.7"
"r_3","2005","perc","0","25 - 34","10.2"
"r_3","2006","perc","0","25 - 34","9.2"
"r_3","2007","perc","0","25 - 34","6.7"
"r_3","2008","perc","0","25 - 34","5.677053822309638"
"r_3","2009","perc","0","25 - 34","6.9"
"r_3","2010","perc","0","25 - 34","11.5"
"r_3","2011","perc","0","25 - 34","13.4"
"r_3","2012","perc","0","25 - 34","13.8"
"r_3","2013","perc","0","25 - 34","15.3"
"r_3","2014","perc","0","25 - 34","12.8"
"r_3","2015","perc","0","25 - 34","10"
"r_3","2016","perc","0","25 - 34","8.6"
"r_3","2017","perc","0","25 - 34","7"
"r_3","2018","perc","0","25 - 34","6.2"
"r_3","2019","perc","0","25 - 34","5.5"
"r_3","2003","perc","0","35 - 44","11.1"
"r_3","2004","perc","0","35 - 44","9.9"
"r_3","2005","perc","0","35 - 44","8.4"
"r_3","2006","perc","0","35 - 44","7.5"
"r_3","2007","perc","0","35 - 44","5.7"
"r_3","2008","perc","0","35 - 44","4.29667441125551"
"r_3","2009","perc","0","35 - 44","5.5"
"r_3","2010","perc","0","35 - 44","8.2"
"r_3","2011","perc","0","35 - 44","9.1"
"r_3","2012","perc","0","35 - 44","10"
"r_3","2013","perc","0","35 - 44","10.3"
"r_3","2014","perc","0","35 - 44","9.6"
"r_3","2015","perc","0","35 - 44","7.7"
"r_3","2016","perc","0","35 - 44","6.4"
"r_3","2017","perc","0","35 - 44","5.4"
"r_3","2018","perc","0","35 - 44","4.6"
"r_3","2019","perc","0","35 - 44","3.9"
"r_3","2003","perc","0","45 - 54","11.9"
"r_3","2004","perc","0","45 - 54","10.2"
"r_3","2005","perc","0","45 - 54","8.7"
"r_3","2006","perc","0","45 - 54","7.6"
"r_3","2007","perc","0","45 - 54","5.9"
"r_3","2008","perc","0","45 - 54","4.9245370263906105"
"r_3","2009","perc","0","45 - 54","5.8"
"r_3","2010","perc","0","45 - 54","8.6"
"r_3","2011","perc","0","45 - 54","9.2"
"r_3","2012","perc","0","45 - 54","10.2"
"r_3","2013","perc","0","45 - 54","10.2"
"r_3","2014","perc","0","45 - 54","9.4"
"r_3","2015","perc","0","45 - 54","7.8"
"r_3","2016","perc","0","45 - 54","6.6"
"r_3","2017","perc","0","45 - 54","5.3"
"r_3","2018","perc","0","45 - 54","4.4"
"r_3","2019","perc","0","45 - 54","3.1"
"r_3","2003","perc","0","55 - 64","11.5"
"r_3","2004","perc","0","55 - 64","10.2"
"r_3","2005","perc","0","55 - 64","8.6"
"r_3","2006","perc","0","55 - 64","7.9"
"r_3","2007","perc","0","55 - 64","6.8"
"r_3","2008","perc","0","55 - 64","5.5"
"r_3","2009","perc","0","55 - 64","6.3"
"r_3","2010","perc","0","55 - 64","9"
"r_3","2011","perc","0","55 - 64","8.8"
"r_3","2012","perc","0","55 - 64","10.4"
"r_3","2013","perc","0","55 - 64","12.4"
