RevisionColumn,GenderID,Age10_LFS,periods,Units,ValueColumn
"r_4","0","0","2019","perc","54.2"
"r_4","0","15 - 64","2019","perc","70.1"
"r_4","0","20 - 64","2019","perc","75"
"r_4","0","15 - 29","2019","perc","42.1"
"r_4","0","15 - 24","2019","perc","21.8"
"r_4","0","25 - 34","2019","perc","76.7"
"r_4","0","35 - 44","2019","perc","84.7"
"r_4","0","45 - 54","2019","perc","84.8"
"r_4","0","55 - 64","2019","perc","64.4"
"r_4","0","65+","2019","perc","6.5"
"r_4","1","0","2019","perc","60.5"
"r_4","1","15 - 64","2019","perc","74.1"
"r_4","1","20 - 64","2019","perc","79.3"
"r_4","1","15 - 29","2019","perc","47.2"
"r_4","1","15 - 24","2019","perc","25"
"r_4","1","25 - 34","2019","perc","83.9"
"r_4","1","35 - 44","2019","perc","88.1"
"r_4","1","45 - 54","2019","perc","85.9"
"r_4","1","55 - 64","2019","perc","69.2"
"r_4","1","65+","2019","perc","9.5"
"r_4","2","0","2019","perc","48.3"
"r_4","2","15 - 64","2019","perc","66"
"r_4","2","20 - 64","2019","perc","70.7"
"r_4","2","15 - 29","2019","perc","36.7"
"r_4","2","15 - 24","2019","perc","18.4"
"r_4","2","25 - 34","2019","perc","69.1"
"r_4","2","35 - 44","2019","perc","81"
"r_4","2","45 - 54","2019","perc","83.7"
"r_4","2","55 - 64","2019","perc","59.9"
"r_4","2","65+","2019","perc","4.4"
"r_5","0","0","2003","perc","42.4"
"r_5","0","0","2004","perc","43.7"
"r_5","0","0","2005","perc","44.7"
"r_5","0","0","2006","perc","46.7"
"r_5","0","0","2007","perc","49"
"r_5","0","0","2008","perc","50.8"
"r_5","0","0","2009","perc","49.4"
"r_5","0","0","2010","perc","47.9"
"r_5","0","0","2011","perc","46.6"
"r_5","0","0","2012","perc","46.6"
"r_5","0","0","2013","perc","46.9"
"r_5","0","0","2014","perc","48"
"r_5","0","0","2015","perc","49.1"
"r_5","0","0","2016","perc","49.3"
"r_5","0","0","2017","perc","51.9"
"r_5","0","0","2018","perc","52.4"
"r_5","0","15 - 64","2003","perc","52.5"
"r_5","0","15 - 64","2004","perc","54.2"
"r_5","0","15 - 64","2005","perc","55.8"
"r_5","0","15 - 64","2006","perc","58.6"
"r_5","0","15 - 64","2007","perc","61.7"
"r_5","0","15 - 64","2008","perc","64"
"r_5","0","15 - 64","2009","perc","62.6"
"r_5","0","15 - 64","2010","perc","59.8"
"r_5","0","15 - 64","2011","perc","58.4"
"r_5","0","15 - 64","2012","perc","58.8"
"r_5","0","15 - 64","2013","perc","59.5"
"r_5","0","15 - 64","2014","perc","61"
"r_5","0","15 - 64","2015","perc","62.9"
"r_5","0","15 - 64","2016","perc","63.4"
"r_5","0","15 - 64","2017","perc","66.9"
"r_5","0","15 - 64","2018","perc","67.7"
"r_5","0","20 - 64","2003","perc","58"
"r_5","0","20 - 64","2004","perc","60.1"
"r_5","0","20 - 64","2005","perc","61.9"
"r_5","0","20 - 64","2006","perc","65.1"
"r_5","0","20 - 64","2007","perc","68.4"
"r_5","0","20 - 64","2008","perc","70.7"
"r_5","0","20 - 64","2009","perc","68.8"
"r_5","0","20 - 64","2010","perc","64.7"
"r_5","0","20 - 64","2011","perc","62.9"
"r_5","0","20 - 64","2012","perc","63"
"r_5","0","20 - 64","2013","perc","63.5"
"r_5","0","20 - 64","2014","perc","65.1"
"r_5","0","20 - 64","2015","perc","67.1"
"r_5","0","20 - 64","2016","perc","67.7"
"r_5","0","20 - 64","2017","perc","71.3"
"r_5","0","20 - 64","2018","perc","72.4"
"r_5","0","15 - 29","2003","perc","34.6"
"r_5","0","15 - 29","2004","perc","34.8"
"r_5","0","15 - 29","2005","perc","35.6"
"r_5","0","15 - 29","2006","perc","37.3"
"r_5","0","15 - 29","2007","perc","39"
"r_5","0","15 - 29","2008","perc","40.8"
"r_5","0","15 - 29","2009","perc","38.7"
"r_5","0","15 - 29","2010","perc","39.4"
"r_5","0","15 - 29","2011","perc","37.2"
"r_5","0","15 - 29","2012","perc","37.5"
"r_5","0","15 - 29","2013","perc","36.7"
"r_5","0","15 - 29","2014","perc","38"
"r_5","0","15 - 29","2015","perc","39.2"
"r_5","0","15 - 29","2016","perc","38.3"
"r_5","0","15 - 29","2017","perc","42"
"r_5","0","15 - 29","2018","perc","40.8"
"r_5","0","15 - 24","2003","perc","20.7"
"r_5","0","15 - 24","2004","perc","21.5"
"r_5","0","15 - 24","2005","perc","21.6"
"r_5","0","15 - 24","2006","perc","23.2"
"r_5","0","15 - 24","2007","perc","24.5"
"r_5","0","15 - 24","2008","perc","26.3"
"r_5","0","15 - 24","2009","perc","24.8"
"r_5","0","15 - 24","2010","perc","24.3"
"r_5","0","15 - 24","2011","perc","22.1"
"r_5","0","15 - 24","2012","perc","21.9"
"r_5","0","15 - 24","2013","perc","21.2"
"r_5","0","15 - 24","2014","perc","20.7"
"r_5","0","15 - 24","2015","perc","20.3"
"r_5","0","15 - 24","2016","perc","19.8"
"r_5","0","15 - 24","2017","perc","22.9"
"r_5","0","15 - 24","2018","perc","20.7"
"r_5","0","25 - 34","2003","perc","65.4"
"r_5","0","25 - 34","2004","perc","67.4"
"r_5","0","25 - 34","2005","perc","69.4"
"r_5","0","25 - 34","2006","perc","72.2"
"r_5","0","25 - 34","2007","perc","76.2"
"r_5","0","25 - 34","2008","perc","78.2"
"r_5","0","25 - 34","2009","perc","75.1"
