RevisionColumn,NUTS,SILC_Median,GenderID,SILC_Age,periods,Units,ValueColumn
"r_4","BG","1","0","0","2008","1000cp","644.1"
"r_4","BG","1","0","0","2008","perc_pop_fig","8.4"
"r_4","BG","1","0","0","2009","1000cp","668.7"
"r_4","BG","1","0","0","2009","perc_pop_fig","8.8"
"r_4","BG","1","0","0","2010","1000cp","696.3"
"r_4","BG","1","0","0","2010","perc_pop_fig","9.2"
"r_4","BG","1","0","0","2011","1000cp","738.6"
"r_4","BG","1","0","0","2011","perc_pop_fig","9.8"
"r_4","BG","1","0","0","2012","1000cp","740.6"
"r_4","BG","1","0","0","2012","perc_pop_fig","10.1"
"r_4","BG","1","0","0","2013","1000cp","701.6"
"r_4","BG","1","0","0","2013","perc_pop_fig","9.6"
"r_4","BG","1","0","0","2014","1000cp","784.8"
"r_4","BG","1","0","0","2014","perc_pop_fig","10.8"
"r_4","BG","1","0","0","2015","1000cp","718.2"
"r_4","BG","1","0","0","2015","perc_pop_fig","10"
"r_4","BG","1","0","2","2008","1000cp","381.2"
"r_4","BG","1","0","2","2008","perc_pop_fig","7.6"
"r_4","BG","1","0","2","2009","1000cp","380.2"
"r_4","BG","1","0","2","2009","perc_pop_fig","7.6"
"r_4","BG","1","0","2","2010","1000cp","358.7"
"r_4","BG","1","0","2","2010","perc_pop_fig","7.2"
"r_4","BG","1","0","2","2011","1000cp","419.3"
"r_4","BG","1","0","2","2011","perc_pop_fig","8.5"
"r_4","BG","1","0","2","2012","1000cp","422.4"
"r_4","BG","1","0","2","2012","perc_pop_fig","8.9"
"r_4","BG","1","0","2","2013","1000cp","409.8"
"r_4","BG","1","0","2","2013","perc_pop_fig","8.7"
"r_4","BG","1","0","2","2014","1000cp","475.9"
"r_4","BG","1","0","2","2014","perc_pop_fig","10.2"
"r_4","BG","1","0","2","2015","1000cp","416.7"
"r_4","BG","1","0","2","2015","perc_pop_fig","9.1"
"r_4","BG","1","0","3","2008","1000cp","78.7"
"r_4","BG","1","0","3","2008","perc_pop_fig","5.9"
"r_4","BG","1","0","3","2009","1000cp","130.6"
"r_4","BG","1","0","3","2009","perc_pop_fig","9.8"
"r_4","BG","1","0","3","2010","1000cp","151.7"
"r_4","BG","1","0","3","2010","perc_pop_fig","11.4"
"r_4","BG","1","0","3","2011","1000cp","114.4"
"r_4","BG","1","0","3","2011","perc_pop_fig","8.6"
"r_4","BG","1","0","3","2012","1000cp","111.7"
"r_4","BG","1","0","3","2012","perc_pop_fig","8.1"
"r_4","BG","1","0","3","2013","1000cp","85.8"
"r_4","BG","1","0","3","2013","perc_pop_fig","6.2"
"r_4","BG","1","0","3","2014","1000cp","67.2"
"r_4","BG","1","0","3","2014","perc_pop_fig","4.7"
"r_4","BG","1","0","3","2015","1000cp","118.9"
"r_4","BG","1","0","3","2015","perc_pop_fig","8.3"
"r_4","BG","1","0","1","2008","1000cp","184.1"
"r_4","BG","1","0","1","2008","perc_pop_fig","14.4"
"r_4","BG","1","0","1","2009","1000cp","157.9"
"r_4","BG","1","0","1","2009","perc_pop_fig","12.4"
"r_4","BG","1","0","1","2010","1000cp","185.9"
"r_4","BG","1","0","1","2010","perc_pop_fig","14.6"
"r_4","BG","1","0","1","2011","1000cp","204.9"
"r_4","BG","1","0","1","2011","perc_pop_fig","16"
