Code list,Code,Name of Code list or Code in Bulgarian,Name of Code list or Code in English
"NUTS","","NUTS","NUTS"
"NUTS","BG","Общо за страната","Total for the country"
"NUTS","BG31","Северозападен","Severozapaden"
"NUTS","BG32","Северен централен","Severen tsentralen"
"NUTS","BG33","Североизточен","Severoiztochen"
"NUTS","BG34","Югоизточен","Yugoiztochen"
"NUTS","BG41","Югозападен","Yugozapaden"
"NUTS","BG42","Южен централен","Yuzhen tsentralen"
"GenderID","","Пол","Sex"
"GenderID","0","Общо","Total"
"GenderID","1","Мъже","Male"
"GenderID","2","Жени","Female"
"SILC_Activity","","Икономическа активност","Activity Status"
"SILC_Activity","1","Заети","Employment"
"SILC_Activity","2","Не заети","Non employment"
"SILC_Activity","3","Безработни","Unemployment"
"SILC_Activity","4","Пенсионери","Retired"
"SILC_Activity","5","Други неактивни","Inactive population - Other"
"Units","","Мерни единици","Measuring units"
"Units","perc_pop_fig","% от съвкупността","PC_POP"
