RevisionColumn,NUTS,GenderID,SILC_Activity,Units,periods,ValueColumn
"r_2","BG","0","1","perc_pop_fig","2008","7.5"
"r_2","BG","0","1","perc_pop_fig","2009","7.4"
"r_2","BG","0","1","perc_pop_fig","2010","7.7"
"r_2","BG","0","1","perc_pop_fig","2011","8.2"
"r_2","BG","0","1","perc_pop_fig","2012","7.4"
"r_2","BG","0","1","perc_pop_fig","2013","7.2"
"r_2","BG","0","1","perc_pop_fig","2014","9.2"
"r_2","BG","1","1","perc_pop_fig","2008","7.9"
"r_2","BG","1","1","perc_pop_fig","2009","7.7"
"r_2","BG","1","1","perc_pop_fig","2010","8.4"
"r_2","BG","1","1","perc_pop_fig","2011","8.8"
"r_2","BG","1","1","perc_pop_fig","2012","7.7"
"r_2","BG","1","1","perc_pop_fig","2013","7.9"
"r_2","BG","1","1","perc_pop_fig","2014","9.7"
"r_2","BG","2","1","perc_pop_fig","2008","7"
"r_2","BG","2","1","perc_pop_fig","2009","7.1"
"r_2","BG","2","1","perc_pop_fig","2010","6.7"
"r_2","BG","2","1","perc_pop_fig","2011","7.5"
"r_2","BG","2","1","perc_pop_fig","2012","7"
"r_2","BG","2","1","perc_pop_fig","2013","6.4"
"r_2","BG","2","1","perc_pop_fig","2014","8.6"
"r_2","BG","0","2","perc_pop_fig","2008","34.9"
"r_2","BG","0","2","perc_pop_fig","2009","36.9"
"r_2","BG","0","2","perc_pop_fig","2010","32.4"
"r_2","BG","0","2","perc_pop_fig","2011","33.5"
"r_2","BG","0","2","perc_pop_fig","2012","31.3"
"r_2","BG","0","2","perc_pop_fig","2013","30.9"
"r_2","BG","0","2","perc_pop_fig","2014","29.3"
"r_2","BG","1","2","perc_pop_fig","2008","34"
"r_2","BG","1","2","perc_pop_fig","2009","35.4"
"r_2","BG","1","2","perc_pop_fig","2010","30.6"
"r_2","BG","1","2","perc_pop_fig","2011","31.6"
"r_2","BG","1","2","perc_pop_fig","2012","29.1"
"r_2","BG","1","2","perc_pop_fig","2013","29.1"
"r_2","BG","1","2","perc_pop_fig","2014","28.7"
"r_2","BG","2","2","perc_pop_fig","2008","35.4"
"r_2","BG","2","2","perc_pop_fig","2009","37.8"
"r_2","BG","2","2","perc_pop_fig","2010","33.6"
"r_2","BG","2","2","perc_pop_fig","2011","34.8"
"r_2","BG","2","2","perc_pop_fig","2012","33"
"r_2","BG","2","2","perc_pop_fig","2013","32.3"
"r_2","BG","2","2","perc_pop_fig","2014","29.7"
"r_2","BG","0","3","perc_pop_fig","2008","55"
"r_2","BG","0","3","perc_pop_fig","2009","52.2"
"r_2","BG","0","3","perc_pop_fig","2010","48.3"
"r_2","BG","0","3","perc_pop_fig","2011","52.2"
"r_2","BG","0","3","perc_pop_fig","2012","48.5"
"r_2","BG","0","3","perc_pop_fig","2013","47.6"
"r_2","BG","0","3","perc_pop_fig","2014","50.2"
"r_2","BG","1","3","perc_pop_fig","2008","57.6"
"r_2","BG","1","3","perc_pop_fig","2009","59"
"r_2","BG","1","3","perc_pop_fig","2010","51.9"
"r_2","BG","1","3","perc_pop_fig","2011","57"
"r_2","BG","1","3","perc_pop_fig","2012","50.5"
"r_2","BG","1","3","perc_pop_fig","2013","47.7"
"r_2","BG","1","3","perc_pop_fig","2014","52.7"
"r_2","BG","2","3","perc_pop_fig","2008","52.7"
"r_2","BG","2","3","perc_pop_fig","2009","46.1"
"r_2","BG","2","3","perc_pop_fig","2010","44.7"
"r_2","BG","2","3","perc_pop_fig","2011","46.5"
"r_2","BG","2","3","perc_pop_fig","2012","45.9"
"r_2","BG","2","3","perc_pop_fig","2013","47.5"
"r_2","BG","2","3","perc_pop_fig","2014","46.8"
"r_2","BG","0","4","perc_pop_fig","2008","31.7"
"r_2","BG","0","4","perc_pop_fig","2009","36.5"
"r_2","BG","0","4","perc_pop_fig","2010","30"
"r_2","BG","0","4","perc_pop_fig","2011","28.6"
"r_2","BG","0","4","perc_pop_fig","2012","26.2"
"r_2","BG","0","4","perc_pop_fig","2013","25.9"
"r_2","BG","0","4","perc_pop_fig","2014","21.1"
"r_2","BG","1","4","perc_pop_fig","2008","27.6"
"r_2","BG","1","4","perc_pop_fig","2009","30.1"
"r_2","BG","1","4","perc_pop_fig","2010","23.6"
"r_2","BG","1","4","perc_pop_fig","2011","21"
"r_2","BG","1","4","perc_pop_fig","2012","18.2"
"r_2","BG","1","4","perc_pop_fig","2013","19.1"
"r_2","BG","1","4","perc_pop_fig","2014","16.6"
"r_2","BG","2","4","perc_pop_fig","2008","34.4"
"r_2","BG","2","4","perc_pop_fig","2009","40.7"
"r_2","BG","2","4","perc_pop_fig","2010","34.2"
"r_2","BG","2","4","perc_pop_fig","2011","33.7"
"r_2","BG","2","4","perc_pop_fig","2012","31.5"
"r_2","BG","2","4","perc_pop_fig","2013","30.6"
"r_2","BG","2","4","perc_pop_fig","2014","24.2"
"r_2","BG","0","5","perc_pop_fig","2008","23.9"
"r_2","BG","0","5","perc_pop_fig","2009","24"
"r_2","BG","0","5","perc_pop_fig","2010","24.4"
"r_2","BG","0","5","perc_pop_fig","2011","27.6"
"r_2","BG","0","5","perc_pop_fig","2012","27.4"
"r_2","BG","0","5","perc_pop_fig","2013","25.1"
"r_2","BG","0","5","perc_pop_fig","2014","27.7"
"r_2","BG","1","5","perc_pop_fig","2008","22.9"
"r_2","BG","1","5","perc_pop_fig","2009","22.4"
"r_2","BG","1","5","perc_pop_fig","2010","23.7"
"r_2","BG","1","5","perc_pop_fig","2011","23.6"
"r_2","BG","1","5","perc_pop_fig","2012","25"
"r_2","BG","1","5","perc_pop_fig","2013","24.6"
"r_2","BG","1","5","perc_pop_fig","2014","23.1"
"r_2","BG","2","5","perc_pop_fig","2008","24.4"
"r_2","BG","2","5","perc_pop_fig","2009","24.7"
"r_2","BG","2","5","perc_pop_fig","2010","24.7"
"r_2","BG","2","5","perc_pop_fig","2011","29.8"
"r_2","BG","2","5","perc_pop_fig","2012","28.7"
"r_2","BG","2","5","perc_pop_fig","2013","25.4"
"r_2","BG","2","5","perc_pop_fig","2014","30.4"
"r_2","BG31","0","1","perc_pop_fig","2008","7.5"
"r_2","BG31","0","1","perc_pop_fig","2009","6.1"
"r_2","BG31","0","1","perc_pop_fig","2010","9.1"
"r_2","BG31","0","1","perc_pop_fig","2011","6.5"
"r_2","BG31","0","1","perc_pop_fig","2012","5.1"
"r_2","BG31","0","1","perc_pop_fig","2013","6.2"
"r_2","BG31","0","1","perc_pop_fig","2014","5.5"
"r_2","BG32","0","1","perc_pop_fig","2008","9.5"
"r_2","BG32","0","1","perc_pop_fig","2009","7.7"
"r_2","BG32","0","1","perc_pop_fig","2010","8.7"
"r_2","BG32","0","1","perc_pop_fig","2011","8.6"
"r_2","BG32","0","1","perc_pop_fig","2012","7.2"
"r_2","BG32","0","1","perc_pop_fig","2013","5.2"
"r_2","BG32","0","1","perc_pop_fig","2014","7.1"
"r_2","BG33","0","1","perc_pop_fig","2008","4.4"
"r_2","BG33","0","1","perc_pop_fig","2009","6.9"
"r_2","BG33","0","1","perc_pop_fig","2010","7.8"
"r_2","BG33","0","1","perc_pop_fig","2011","7.4"
"r_2","BG33","0","1","perc_pop_fig","2012","9.7"
"r_2","BG33","0","1","perc_pop_fig","2013","9.5"
"r_2","BG33","0","1","perc_pop_fig","2014","9"
"r_2","BG34","0","1","perc_pop_fig","2008","7.8"
"r_2","BG34","0","1","perc_pop_fig","2009","8.1"
"r_2","BG34","0","1","perc_pop_fig","2010","8"
"r_2","BG34","0","1","perc_pop_fig","2011","8.7"
"r_2","BG34","0","1","perc_pop_fig","2012","5.6"
"r_2","BG34","0","1","perc_pop_fig","2013","6.6"
"r_2","BG34","0","1","perc_pop_fig","2014","9.6"
"r_2","BG41","0","1","perc_pop_fig","2008","7.4"
"r_2","BG41","0","1","perc_pop_fig","2009","5.5"
"r_2","BG41","0","1","perc_pop_fig","2010","6.9"
"r_2","BG41","0","1","perc_pop_fig","2011","8"
"r_2","BG41","0","1","perc_pop_fig","2012","6.7"
"r_2","BG41","0","1","perc_pop_fig","2013","7.8"
"r_2","BG41","0","1","perc_pop_fig","2014","7.5"
"r_2","BG42","0","1","perc_pop_fig","2008","7.2"
"r_2","BG42","0","1","perc_pop_fig","2009","8.7"
"r_2","BG42","0","1","perc_pop_fig","2010","6.7"
"r_2","BG42","0","1","perc_pop_fig","2011","7.3"
"r_2","BG42","0","1","perc_pop_fig","2012","8.8"
"r_2","BG42","0","1","perc_pop_fig","2013","7.9"
"r_2","BG42","0","1","perc_pop_fig","2014","13.3"
"r_2","BG31","0","3","perc_pop_fig","2008","57.5"
"r_2","BG31","0","3","perc_pop_fig","2009","62.8"
"r_2","BG31","0","3","perc_pop_fig","2010","52.6"
"r_2","BG31","0","3","perc_pop_fig","2011","48.1"
"r_2","BG31","0","3","perc_pop_fig","2012","44.8"
"r_2","BG31","0","3","perc_pop_fig","2013","43"
"r_2","BG31","0","3","perc_pop_fig","2014","44.9"
"r_2","BG32","0","3","perc_pop_fig","2008","55.3"
"r_2","BG32","0","3","perc_pop_fig","2009","50.9"
"r_2","BG32","0","3","perc_pop_fig","2010","46.9"
"r_2","BG32","0","3","perc_pop_fig","2011","51.7"
"r_2","BG32","0","3","perc_pop_fig","2012","50.6"
"r_2","BG32","0","3","perc_pop_fig","2013","35.4"
"r_2","BG32","0","3","perc_pop_fig","2014","39.1"
"r_2","BG33","0","3","perc_pop_fig","2008","39.6"
"r_2","BG33","0","3","perc_pop_fig","2009","48.9"
"r_2","BG33","0","3","perc_pop_fig","2010","49.9"
"r_2","BG33","0","3","perc_pop_fig","2011","52.8"
"r_2","BG33","0","3","perc_pop_fig","2012","47.1"
"r_2","BG33","0","3","perc_pop_fig","2013","46.9"
"r_2","BG33","0","3","perc_pop_fig","2014","45"
"r_2","BG34","0","3","perc_pop_fig","2008","57.1"
"r_2","BG34","0","3","perc_pop_fig","2009","53.6"
"r_2","BG34","0","3","perc_pop_fig","2010","54.4"
"r_2","BG34","0","3","perc_pop_fig","2011","57.8"
"r_2","BG34","0","3","perc_pop_fig","2012","56.2"
"r_2","BG34","0","3","perc_pop_fig","2013","54.8"
"r_2","BG34","0","3","perc_pop_fig","2014","50"
"r_2","BG41","0","3","perc_pop_fig","2008","46.2"
"r_2","BG41","0","3","perc_pop_fig","2009","35.2"
"r_2","BG41","0","3","perc_pop_fig","2010","36.5"
"r_2","BG41","0","3","perc_pop_fig","2011","44.2"
"r_2","BG41","0","3","perc_pop_fig","2012","39.7"
"r_2","BG41","0","3","perc_pop_fig","2013","43.9"
"r_2","BG41","0","3","perc_pop_fig","2014","49.8"
"r_2","BG42","0","3","perc_pop_fig","2008","58.1"
"r_2","BG42","0","3","perc_pop_fig","2009","53.8"
"r_2","BG42","0","3","perc_pop_fig","2010","40.2"
"r_2","BG42","0","3","perc_pop_fig","2011","47.1"
"r_2","BG42","0","3","perc_pop_fig","2012","48.6"
"r_2","BG42","0","3","perc_pop_fig","2013","50.3"
"r_2","BG42","0","3","perc_pop_fig","2014","53.4"
"r_2","BG31","0","4","perc_pop_fig","2008","18.6"
"r_2","BG31","0","4","perc_pop_fig","2009","32.9"
"r_2","BG31","0","4","perc_pop_fig","2010","29.7"
