RevisionColumn,periods,Units,NUTS,Residence,GenderID,Age,ValueColumn
"r_1","2010","num","BG","0","0","Total","7504868"
"r_1","2010","num","BG","0","1","Total","3629809"
"r_1","2010","num","BG","0","2","Total","3875059"
"r_1","2010","num","BG","1","0","Total","5375069"
"r_1","2010","num","BG","1","1","Total","2581084"
"r_1","2010","num","BG","1","2","Total","2793985"
"r_1","2010","num","BG","2","0","Total","2129799"
"r_1","2010","num","BG","2","1","Total","1048725"
"r_1","2010","num","BG","2","2","Total","1081074"
"r_1","2010","num","BG","0","0","0","71096"
"r_1","2010","num","BG","0","1","0","36498"
"r_1","2010","num","BG","0","2","0","34598"
"r_1","2010","num","BG","1","0","0","53826"
"r_1","2010","num","BG","1","1","0","27643"
"r_1","2010","num","BG","1","2","0","26183"
"r_1","2010","num","BG","2","0","0","17270"
"r_1","2010","num","BG","2","1","0","8855"
"r_1","2010","num","BG","2","2","0","8415"
"r_1","2010","num","BG","0","0","1 - 4","301929"
"r_1","2010","num","BG","0","1","1 - 4","155082"
"r_1","2010","num","BG","0","2","1 - 4","146847"
"r_1","2010","num","BG","1","0","1 - 4","226467"
"r_1","2010","num","BG","1","1","1 - 4","116367"
"r_1","2010","num","BG","1","2","1 - 4","110100"
"r_1","2010","num","BG","2","0","1 - 4","75462"
"r_1","2010","num","BG","2","1","1 - 4","38715"
"r_1","2010","num","BG","2","2","1 - 4","36747"
"r_1","2010","num","BG","0","0","5 - 9","340613"
"r_1","2010","num","BG","0","1","5 - 9","175276"
"r_1","2010","num","BG","0","2","5 - 9","165337"
"r_1","2010","num","BG","1","0","5 - 9","248127"
"r_1","2010","num","BG","1","1","5 - 9","127770"
"r_1","2010","num","BG","1","2","5 - 9","120357"
"r_1","2010","num","BG","2","0","5 - 9","92486"
"r_1","2010","num","BG","2","1","5 - 9","47506"
"r_1","2010","num","BG","2","2","5 - 9","44980"
"r_1","2010","num","BG","0","0","10 - 14","318802"
"r_1","2010","num","BG","0","1","10 - 14","163774"
"r_1","2010","num","BG","0","2","10 - 14","155028"
"r_1","2010","num","BG","1","0","10 - 14","225843"
"r_1","2010","num","BG","1","1","10 - 14","115866"
"r_1","2010","num","BG","1","2","10 - 14","109977"
"r_1","2010","num","BG","2","0","10 - 14","92959"
"r_1","2010","num","BG","2","1","10 - 14","47908"
"r_1","2010","num","BG","2","2","10 - 14","45051"
"r_1","2010","num","BG","0","0","15 - 19","385512"
"r_1","2010","num","BG","0","1","15 - 19","197671"
"r_1","2010","num","BG","0","2","15 - 19","187841"
"r_1","2010","num","BG","1","0","15 - 19","273806"
"r_1","2010","num","BG","1","1","15 - 19","139890"
"r_1","2010","num","BG","1","2","15 - 19","133916"
"r_1","2010","num","BG","2","0","15 - 19","111706"
"r_1","2010","num","BG","2","1","15 - 19","57781"
"r_1","2010","num","BG","2","2","15 - 19","53925"
"r_1","2010","num","BG","0","0","20 - 24","506302"
"r_1","2010","num","BG","0","1","20 - 24","259173"
"r_1","2010","num","BG","0","2","20 - 24","247129"
"r_1","2010","num","BG","1","0","20 - 24","382113"
"r_1","2010","num","BG","1","1","20 - 24","193039"
"r_1","2010","num","BG","1","2","20 - 24","189074"
"r_1","2010","num","BG","2","0","20 - 24","124189"
"r_1","2010","num","BG","2","1","20 - 24","66134"
"r_1","2010","num","BG","2","2","20 - 24","58055"
"r_1","2010","num","BG","0","0","25 - 29","528448"
"r_1","2010","num","BG","0","1","25 - 29","271868"
"r_1","2010","num","BG","0","2","25 - 29","256580"
"r_1","2010","num","BG","1","0","25 - 29","415866"
"r_1","2010","num","BG","1","1","25 - 29","211365"
"r_1","2010","num","BG","1","2","25 - 29","204501"
"r_1","2010","num","BG","2","0","25 - 29","112582"
"r_1","2010","num","BG","2","1","25 - 29","60503"
"r_1","2010","num","BG","2","2","25 - 29","52079"
"r_1","2010","num","BG","0","0","30 - 34","564771"
"r_1","2010","num","BG","0","1","30 - 34","289570"
"r_1","2010","num","BG","0","2","30 - 34","275201"
"r_1","2010","num","BG","1","0","30 - 34","438602"
"r_1","2010","num","BG","1","1","30 - 34","222128"
"r_1","2010","num","BG","1","2","30 - 34","216474"
"r_1","2010","num","BG","2","0","30 - 34","126169"
"r_1","2010","num","BG","2","1","30 - 34","67442"
"r_1","2010","num","BG","2","2","30 - 34","58727"
"r_1","2010","num","BG","0","0","35 - 39","557085"
"r_1","2010","num","BG","0","1","35 - 39","283090"
"r_1","2010","num","BG","0","2","35 - 39","273995"
"r_1","2010","num","BG","1","0","35 - 39","426956"
"r_1","2010","num","BG","1","1","35 - 39","213961"
"r_1","2010","num","BG","1","2","35 - 39","212995"
"r_1","2010","num","BG","2","0","35 - 39","130129"
"r_1","2010","num","BG","2","1","35 - 39","69129"
"r_1","2010","num","BG","2","2","35 - 39","61000"
"r_1","2010","num","BG","0","0","40 - 44","526784"
"r_1","2010","num","BG","0","1","40 - 44","265925"
"r_1","2010","num","BG","0","2","40 - 44","260859"
"r_1","2010","num","BG","1","0","40 - 44","394715"
"r_1","2010","num","BG","1","1","40 - 44","195371"
"r_1","2010","num","BG","1","2","40 - 44","199344"
"r_1","2010","num","BG","2","0","40 - 44","132069"
"r_1","2010","num","BG","2","1","40 - 44","70554"
"r_1","2010","num","BG","2","2","40 - 44","61515"
"r_1","2010","num","BG","0","0","45 - 49","508893"
"r_1","2010","num","BG","0","1","45 - 49","253118"
"r_1","2010","num","BG","0","2","45 - 49","255775"
"r_1","2010","num","BG","1","0","45 - 49","377219"
"r_1","2010","num","BG","1","1","45 - 49","183079"
"r_1","2010","num","BG","1","2","45 - 49","194140"
"r_1","2010","num","BG","2","0","45 - 49","131674"
"r_1","2010","num","BG","2","1","45 - 49","70039"
"r_1","2010","num","BG","2","2","45 - 49","61635"
"r_1","2010","num","BG","0","0","50 - 54","521727"
"r_1","2010","num","BG","0","1","50 - 54","254702"
"r_1","2010","num","BG","0","2","50 - 54","267025"
"r_1","2010","num","BG","1","0","50 - 54","386087"
"r_1","2010","num","BG","1","1","50 - 54","183659"
"r_1","2010","num","BG","1","2","50 - 54","202428"
"r_1","2010","num","BG","2","0","50 - 54","135640"
"r_1","2010","num","BG","2","1","50 - 54","71043"
"r_1","2010","num","BG","2","2","50 - 54","64597"
"r_1","2010","num","BG","0","0","55 - 59","517672"
"r_1","2010","num","BG","0","1","55 - 59","245554"
"r_1","2010","num","BG","0","2","55 - 59","272118"
"r_1","2010","num","BG","1","0","55 - 59","377623"
"r_1","2010","num","BG","1","1","55 - 59","175310"
"r_1","2010","num","BG","1","2","55 - 59","202313"
"r_1","2010","num","BG","2","0","55 - 59","140049"
"r_1","2010","num","BG","2","1","55 - 59","70244"
"r_1","2010","num","BG","2","2","55 - 59","69805"
"r_1","2010","num","BG","0","0","60 - 64","523863"
"r_1","2010","num","BG","0","1","60 - 64","239287"
"r_1","2010","num","BG","0","2","60 - 64","284576"
"r_1","2010","num","BG","1","0","60 - 64","364070"
"r_1","2010","num","BG","1","1","60 - 64","163982"
"r_1","2010","num","BG","1","2","60 - 64","200088"
"r_1","2010","num","BG","2","0","60 - 64","159793"
"r_1","2010","num","BG","2","1","60 - 64","75305"
"r_1","2010","num","BG","2","2","60 - 64","84488"
"r_1","2010","num","BG","0","0","65 - 69","400984"
"r_1","2010","num","BG","0","1","65 - 69","174790"
"r_1","2010","num","BG","0","2","65 - 69","226194"
"r_1","2010","num","BG","1","0","65 - 69","250685"
"r_1","2010","num","BG","1","1","65 - 69","109388"
"r_1","2010","num","BG","1","2","65 - 69","141297"
"r_1","2010","num","BG","2","0","65 - 69","150299"
"r_1","2010","num","BG","2","1","65 - 69","65402"
"r_1","2010","num","BG","2","2","65 - 69","84897"
"r_1","2010","num","BG","0","0","70 - 74","337778"
"r_1","2010","num","BG","0","1","70 - 74","139935"
"r_1","2010","num","BG","0","2","70 - 74","197843"
"r_1","2010","num","BG","1","0","70 - 74","195650"
"r_1","2010","num","BG","1","1","70 - 74","79595"
"r_1","2010","num","BG","1","2","70 - 74","116055"
"r_1","2010","num","BG","2","0","70 - 74","142128"
"r_1","2010","num","BG","2","1","70 - 74","60340"
"r_1","2010","num","BG","2","2","70 - 74","81788"
"r_1","2010","num","BG","0","0","75 - 79","297819"
"r_1","2010","num","BG","0","1","75 - 79","117740"
"r_1","2010","num","BG","0","2","75 - 79","180079"
"r_1","2010","num","BG","1","0","75 - 79","167559"
"r_1","2010","num","BG","1","1","75 - 79","63252"
"r_1","2010","num","BG","1","2","75 - 79","104307"
"r_1","2010","num","BG","2","0","75 - 79","130260"
"r_1","2010","num","BG","2","1","75 - 79","54488"
"r_1","2010","num","BG","2","2","75 - 79","75772"
"r_1","2010","num","BG","0","0","80 - 84","188779"
"r_1","2010","num","BG","0","1","80 - 84","70462"
"r_1","2010","num","BG","0","2","80 - 84","118317"
"r_1","2010","num","BG","1","0","80 - 84","109071"
"r_1","2010","num","BG","1","1","80 - 84","39259"
"r_1","2010","num","BG","1","2","80 - 84","69812"
"r_1","2010","num","BG","2","0","80 - 84","79708"
"r_1","2010","num","BG","2","1","80 - 84","31203"
"r_1","2010","num","BG","2","2","80 - 84","48505"
"r_1","2010","num","BG","0","0","85 - 89","85437"
"r_1","2010","num","BG","0","1","85 - 89","29579"
"r_1","2010","num","BG","0","2","85 - 89","55858"
"r_1","2010","num","BG","1","0","85 - 89","49029"
"r_1","2010","num","BG","1","1","85 - 89","16384"
"r_1","2010","num","BG","1","2","85 - 89","32645"
"r_1","2010","num","BG","2","0","85 - 89","36408"
"r_1","2010","num","BG","2","1","85 - 89","13195"
"r_1","2010","num","BG","2","2","85 - 89","23213"
"r_1","2010","num","BG","0","0","90 - 94","17156"
"r_1","2010","num","BG","0","1","90 - 94","5646"
"r_1","2010","num","BG","0","2","90 - 94","11510"
"r_1","2010","num","BG","1","0","90 - 94","9847"
"r_1","2010","num","BG","1","1","90 - 94","3187"
"r_1","2010","num","BG","1","2","90 - 94","6660"
"r_1","2010","num","BG","2","0","90 - 94","7309"
"r_1","2010","num","BG","2","1","90 - 94","2459"
"r_1","2010","num","BG","2","2","90 - 94","4850"
"r_1","2010","num","BG","0","0","95 - 99","3185"
"r_1","2010","num","BG","0","1","95 - 99","986"
"r_1","2010","num","BG","0","2","95 - 99","2199"
"r_1","2010","num","BG","1","0","95 - 99","1781"
"r_1","2010","num","BG","1","1","95 - 99","541"
"r_1","2010","num","BG","1","2","95 - 99","1240"
"r_1","2010","num","BG","2","0","95 - 99","1404"
"r_1","2010","num","BG","2","1","95 - 99","445"
"r_1","2010","num","BG","2","2","95 - 99","959"
